even I think that one's not so good.
      0 100.00%: 
      1 183.88%:  thanks
  12230 0.00%: . I need to get to it so
  12231 0.00%:  so I don't see that
  12232 0.01%:  so I don't see that one
  12233 0.00%:  no need to go into that one.
  12234 0.00%:  that's it. It goes on 
  12235 0.00%:  no I don't have one on the
  12236 0.00%:  so no that one isn't done.
  12237 0.00%:  this one I do have
  12238 0.00%:  so it doesn't go to a
  12239 0.00%: . It is that
  12240 0.00%:  so i need to go on
  12241 0.00%: . It's not even as
  12242 0.00%:  that is too good not
  12243 0.00%:  it's done. I have to get on
  12244 0.00%:  so I have to go to the end so
  12245 0.00%:  so the one thing not
  12246 0.01%:  so the one thing not on
  12247 0.00%:  so the end is on a
  12248 0.00%:  no this one I got that
  12249 0.00%:  no it's not. I need to get
  12250 0.00%:  it's the end. It takes
  12251 0.00%:  it's good then
  12252 0.00%:  it's good then.
  12253 0.00%:  no this one's not done I got
  12254 0.00%:  that's too good I think so
  12255 0.00%:  so I need that in notes
  12256 0.00%:  so I do have to get the
  12257 0.00%:  no I need that to go to
  12258 0.00%:  no thanks it's one
  12259 0.00%:  that's not good one I
  12260 0.00%:  that's too good so I think
  12261 0.00%:  that one goes into the 'I don
  12262 0.00%:  that one is not even good I
  12263 0.00%:  so no it doesn't even
  12264 0.00%:  so it's not done. I gotta
  12265 0.00%:  I've got it set
  12266 0.00%:  this one's not even an
  12267 0.00%: . I've set aside 
  12268 0.00%:  so that's one ending. It
  12269 0.00%:  that one's not even good. It is
  12270 0.00%:  I need to go on that'
  12271 0.00%:  the end is '
  12272 0.00%: . I've gotten one
  12273 0.00%:  this one I had to go to
  12274 0.00%:  I need to go into a sens
  12275 0.00%:  no it's not the end. I got an
  12276 0.00%:  no don't eat this
  12277 0.00%:  so that's not even 
  12278 0.00%:  that's too good so it
  12279 0.00%:  no no I don't get this
  12280 0.00%:  so I need to ask to
  12281 0.00%:  I've hit the one
  12282 0.00%:  so don't eat it
  12283 0.00%:  so i've got that one
  12284 0.01%:  so i've got that one done
  12285 0.01%:  so i've got that one done.
  12286 0.00%:  no don't take notes
  12287 0.01%:  no don't take notes on
  12288 0.01%:  no don't take notes on this
  12289 0.00%:  it's not that one I
  12290 0.00%:  so not that's the end.
  12291 0.00%:  so the endings I
  12292 0.00%:  this one goes on.
  12293 0.00%:  I've done this one at
  12294 0.00%:  no I need to take this on
  12295 0.00%:  I got to have
  12296 0.00%:  I got to have the
  12297 0.00%:  I got to have this
  12298 0.00%:  thanks so I'd
  12299 0.00%:  no no that is the end
  12300 0.01%:  no no that is the end.
  12301 0.00%:  that is so on
  12302 0.00%:  and then I got this
  12303 0.00%:  so I kinda got one
  12304 0.00%:  that is no one
  12305 0.00%:  I need to eat so.
  12306 0.00%:  so no I haven't gotten into
  12307 0.00%:  no that one's not in so the
  12308 0.00%:  and I've got the 
  12309 0.00%:  so no need to get that
  12310 0.00%:  that one is sooo
  12311 0.00%:  so I need to thank those in
  12312 0.00%:  so I have not gotten it done
  12313 0.00%:  so. I kinda
  12314 0.00%:  so in the end that's one
  12315 0.00%:  so then I've got to edit
  12316 0.00%:  no no that one isn't so
  12317 0.00%:  no no I need to sit
  12318 0.00%:  I have to do things to
  12319 0.00%:  that is so the end.
  12320 0.00%:  so I've had 
  12321 0.00%:  I need to get to this soon.
  12322 0.00%:  then I've
  12323 0.05%:  then I've gotta
  12324 0.01%:  then I've got to head
  12325 0.00%:  then I've got to take
  12326 0.00%:  this one I've got one
  12327 0.00%:  so that's the one good one. In
  12328 0.00%:  so don't even go
  12329 0.00%:  no it does not go on the
  12330 0.00%:  no I have to sit on
  12331 0.00%:  so then I gave
  12332 0.00%:  I need to go in soon so that
  12333 0.00%:  so I haven't gone in to too
  12334 0.00%:  no no that one goes
  12335 0.01%:  no no that one goes on
  12336 0.00%:  so the one is that
  12337 0.00%:  so the one is that one
  12338 0.00%:  so I've gotta end it
  12339 0.00%:  no I have to get it done
  12340 0.00%:  that's it. I gots
  12341 0.00%: . It's one thing to have to
  12342 0.00%:  no I've gotten too
  12343 0.01%:  no I've gotten too into
  12344 0.00%:  I need to go to it soon
  12345 0.00%:  this needs to get onto
  12346 0.00%:  so no one took
  12347 0.01%:  so no one took it
  12348 0.01%:  so no one took the
  12349 0.00%:  so no one took that
  12350 0.00%:  then. I have no
  12351 0.00%:  no thanks so I
  12352 0.00%:  no that's the end so go on
  12353 0.00%:  no that's not one. It
  12354 0.00%:  this one's an end note
  12355 0.00%:  no that isn't the end no I
  12356 0.00%:  that one is not even good so
  12357 0.00%:  so then I get this
  12358 0.00%:  so it's the one good
  12359 0.01%:  so it's the one good one
  12360 0.00%:  and this one I've got notes
  12361 0.00%:  that is not good I
  12362 0.00%:  no no no this has
  12363 0.00%:  no one's seen that on
  12364 0.00%:  this one I don't have so no
  12365 0.00%:  so in the end I've gotta
  12366 0.00%:  so I've got the end at
  12367 0.00%:  that one ends soon in
  12368 0.00%:  that's done so the
  12369 0.00%:  then. I've got no
  12370 0.00%:  that one's done. It goes into
  12371 0.00%: . I think that one's good so
  12372 0.00%:  then. I've got to dash
  12373 0.00%:  no that one doesn't go so I
  12374 0.00%:  so it had too
  12375 0.00%:  and it's got these
  12376 0.00%:  so I think that one's not good
  12377 0.00%:  so the end I have to
  12378 0.00%:  that's one to the side.
  12379 0.00%: . It ends the
  12380 0.00%:  so that one doesn't go on. I
  12381 0.00%:  then. I need to go sit
  12382 0.00%:  I've got to do that in 
  12383 0.00%:  so that one goes in the 'It
  12384 0.00%:  no that's not the end so no.
  12385 0.00%:  so I've got this to thank
  12386 0.00%:  I gotta do this.
  12387 0.00%:  so that's one thing. I don
  12388 0.00%:  so the one thing not noted
  12389 0.00%:  so I have to go to it
  12390 0.00%:  so I need that on this
  12391 0.00%:  so no I have not gotten this
  12392 0.00%:  so that's done I think.
  12393 0.00%:  that is the end I got
  12394 0.00%:  so it's no good to have
  12395 0.00%:  no no that one goes in the '
  12396 0.00%:  that's not done I got
  12397 0.00%:  so I haven't gone on the
  12398 0.00%: . I need to go sit on a
  12399 0.00%: . I've got this one to
  12400 0.00%:  and I get one
  12401 0.00%:  I have to do this one to
  12402 0.00%:  no no no that is
  12403 0.00%:  so no it's not done that
  12404 0.00%:  so that is one end
  12405 0.00%:  that one got it.
  12406 0.00%:  I have got to do it
  12407 0.00%:  so don't get this at
  12408 0.00%:  no thanks i don't even
  12409 0.00%:  so no that's the ending.
  12410 0.01%:  so no that's the ending. I
  12411 0.00%:  this one gets an 
  12412 0.00%:  I've done this to
  12413 0.00%:  I've done this to the
  12414 0.00%:  that one I've got in notes
  12415 0.00%:  no that is not good. I'
  12416 0.00%:  and it gets one th
  12417 0.00%: . I've got that to
  12418 0.00%:  no it's not the end. I took a
  12419 0.00%:  so I need to go sit on that
  12420 0.00%:  that one gets in the '
  12421 0.00%:  it's an even
  12422 0.00%:  so the end is '
  12423 0.00%:  so the end is 'the
  12424 0.00%:  that is the end so.
  12425 0.00%:  so I've done that 
  12426 0.00%:  that one is good on the one
  12427 0.00%:  so I gotta note this on
  12428 0.00%:  then. I have to go soon
  12429 0.00%:  so I've gotta do 
  12430 0.00%:  so in the end that's not on
  12431 0.00%:  so it's that I need
  12432 0.00%:  that's one thing I do not see
  12433 0.00%:  so no it's not that one.
  12434 0.00%:  no no no I need to have
  12435 0.01%:  no no no I need to have this
  12436 0.00%:  this has to end. I've
  12437 0.00%:  I need to go on to this
  12438 0.00%:  no that isn't good on
  12439 0.00%:  so the end is I've got to
  12440 0.00%:  no need to get in
  12441 0.00%: . I have to get to this soon
  12442 0.00%:  this one's not done. I gotta
  12443 0.00%:  so it's not that good. In
  12444 0.00%:  so it goes one
  12445 0.00%:  no I've said the
  12446 0.00%: . I have nothing on
  12447 0.00%: . I've got tons and
  12448 0.01%: . I've got tons and tons to
  12449 0.00%:  no this one's gone and
  12450 0.00%:  no I don't have to go to this
  12451 0.00%:  it's not done I
  12452 0.01%:  it's not done I haven
  12453 0.00%:  no I've taken this to
  12454 0.00%:  so don't go to that
  12455 0.01%:  so don't go to that one
  12456 0.00%:  so that's one to the end
  12457 0.00%:  no it's not done I got a
  12458 0.00%:  no I need this one to go on a
  12459 0.00%:  that's not even one thing I
  12460 0.00%: . It's not even an end
  12461 0.00%:  no that is not good to
  12462 0.00%:  I've got to sit at
  12463 0.00%:  no one's eating the
  12464 0.00%:  so that's good too. I think
  12465 0.00%:  no no it's not the end. It
  12466 0.00%:  so I got to end on
  12467 0.01%:  so I got to end on that
  12468 0.00%: . I see things
  12469 0.00%:  that's done. Is it the
  12470 0.00%:  no I have done this one
  12471 0.00%: . I've done it on
  12472 0.00%:  so I have one thing to do on
  12473 0.00%:  noooo I take
  12474 0.00%: . I've got one too
  12475 0.00%:  so I got that in seven
  12476 0.00%:  so I have not got the
  12477 0.00%:  so I had nothing on
  12478 0.00%:  I've got to do the one
  12479 0.00%:  so the end is one that
  12480 0.00%:  no that is not the end so on
  12481 0.00%:  that's one toot
  12482 0.00%:  no no I haven't gotten this
  12483 0.00%:  I've got that set
  12484 0.00%:  I've got this done on
  12485 0.00%:  it's so that I don
  12486 0.00%:  so then it's not a good
  12487 0.00%:  this one I'd have
  12488 0.00%:  so the one in that
  12489 0.00%:  so the one in that one
  12490 0.00%:  so that ending I'
  12491 0.00%:  so not that one's good
  12492 0.00%:  so the one ending has
  12493 0.00%:  so I need to get that in on
  12494 0.00%:  so the one at
  12495 0.00%:  no that isn't so good I
  12496 0.00%:  it's so good that even the
  12497 0.00%:  so I've got that on the nose
  12498 0.00%:  no this one's got no teeth
  12499 0.00%:  so no that's one
  12500 0.00%:  so I don't have to go the
  12501 0.00%:  and I've got to see it
  12502 0.00%:  that's not this I
  12503 0.00%:  so that doesn't get one
  12504 0.00%:  so I've set the thing
  12505 0.00%:  no I've got this.
  12506 0.00%:  so I need to get on this to a
  12507 0.00%:  so no I don't have one shot
  12508 0.00%:  so I've done that one so it
  12509 0.00%:  this one had 
  12510 0.00%:  so I think that one's not done.
  12511 0.00%:  it's done. I hate
  12512 0.00%:  I've got that done too
  12513 0.00%:  I need to go eat onion
  12514 0.00%: . It took that
  12515 0.00%:  so that is the one I'
  12516 0.01%:  so that is the one I've got
  12517 0.00%:  so no one is that
  12518 0.00%:  no it's done no
  12519 0.01%:  no it's done no thank
  12520 0.01%:  no it's done no I
  12521 0.01%:  no it's done no thanks
  12522 0.00%:  this goes on a
  12523 0.00%:  I don't have it so the
  12524 0.00%:  so I've not done a
  12525 0.00%:  so I haven't got it on the
  12526 0.00%:  then. I'd
  12527 0.00%:  I get that one's not so
  12528 0.00%:  it's not gonna end. It
  12529 0.00%:  so don't get into
  12530 0.01%:  so don't get into the
  12531 0.00%:  it's not good as
  12532 0.00%:  so then I took that
  12533 0.00%:  I need to sit on the sh
  12534 0.00%:  so it's that good too
  12535 0.00%:  I have to get in to
  12536 0.01%:  I have to get in to the
  12537 0.00%:  so it's the end. I have to go to
  12538 0.00%:  so in the end I got 
  12539 0.00%:  I don't have it to
  12540 0.00%:  so it has gone
  12541 0.01%:  so it has gone on
  12542 0.00%: . I have to get the kids to
  12543 0.00%:  so no that isn't the end I
  12544 0.00%:  so I get that one then
  12545 0.00%: . I need to get this on 
  12546 0.00%:  so this one I've got done.
  12547 0.00%:  I don't get to
  12548 0.00%:  I don't get to the
  12549 0.00%:  that's good. It took seven
  12550 0.00%:  I get that one isn
  12551 0.00%:  I need to go so the
  12552 0.00%: . I had the
  12553 0.00%:  so. I think that goes to
  12554 0.00%:  so that one I think doesn't go
  12555 0.01%:  so that one I think doesn't go on
  12556 0.00%:  that's not one. I got
  12557 0.00%:  so this one I have not gotten
  12558 0.00%: . It's one thing that
  12559 0.00%:  so no one took it that
  12560 0.00%:  no no it doesn
  12561 0.02%:  no no it doesn't have
  12562 0.01%:  no no it doesn't have to go
  12563 0.00%:  so I got that one in too
  12564 0.00%:  that's not in so good
  12565 0.00%:  so that's not one I got
  12566 0.00%:  no no I don't see
  12567 0.00%:  it's not done so I have
  12568 0.00%:  it's not done so I have to go
  12569 0.00%:  no it's done no one
  12570 0.00%:  so I've gotten into
  12571 0.01%:  so I've gotten into the
  12572 0.00%:  so I've gotten into a
  12573 0.00%:  I don't have these to
  12574 0.00%:  no that's one thing.
  12575 0.00%: . I don't have these
  12576 0.00%:  this one I get that
  12577 0.00%:  so then I need to go into an
  12578 0.00%:  so don't get it on
  12579 0.01%:  so don't get it on the
  12580 0.00%:  that's one to the end.
  12581 0.00%:  no thanks I've gotten too
  12582 0.00%:  so I haven't got it done.
  12583 0.00%:  no thanks no good this
  12584 0.00%:  that one ends. It's the
  12585 0.00%:  no that's the end. I got so
  12586 0.00%:  so it goes on and then
  12587 0.00%:  so I do have to go to
  12588 0.00%:  I had this one on
  12589 0.00%:  so no one took this
  12590 0.00%:  I have one thing to do
  12591 0.00%:  I need that one to sink
  12592 0.00%:  no that's one. I think
  12593 0.00%:  so it ends on a non
  12594 0.00%:  that one is too soon I
  12595 0.00%:  it doesn't go too
  12596 0.00%:  so I got to this and
  12597 0.01%:  so I got to this and then
  12598 0.00%:  no this one's not one I
  12599 0.00%:  that's done I get the
  12600 0.00%: . I need that on
  12601 0.00%:  this one doesn't go to a
  12602 0.00%: . I need to get on to this so
  12603 0.00%:  so it's not the end. I have no
  12604 0.00%:  no that one's no good I see
  12605 0.00%:  that's the end I get.
  12606 0.00%:  that one isn't so good. In the
  12607 0.00%:  so on this one I don't get
  12608 0.01%:  so on this one I don't get the
  12609 0.00%:  so on this one I don't get a
  12610 0.00%:  that one I think goes on to
  12611 0.00%:  that one ends in too
  12612 0.00%:  so no it's gonna need
  12613 0.00%:  this one gets an '
  12614 0.00%:  it's the end so go to
  12615 0.00%:  I don't have this one set to
  12616 0.00%:  I think that one got even
  12617 0.00%:  I've got this and one
  12618 0.00%:  so I have to do it on
  12619 0.01%:  so I have to do it on the
  12620 0.00%:  so I don't see it
  12621 0.00%:  so it's good that the one
  12622 0.00%:  no this one I've done that
  12623 0.00%:  it's not even as
  12624 0.00%:  no the end is gonna
  12625 0.00%:  no the end is a
  12626 0.00%:  and this one's not to
  12627 0.00%:  I have to go do it soon
  12628 0.00%:  so that one does not go in.
  12629 0.00%:  that is not the one I'
  12630 0.00%:  so then I end it
  12631 0.00%:  I've done this one to
  12632 0.00%:  no no I need to take it
  12633 0.00%:  so the ending I have
  12634 0.00%: . I have nothing to do on
  12635 0.00%:  no it goes a
  12636 0.00%:  no thanks I need to go set it
  12637 0.00%:  so I need this to have 
  12638 0.00%:  that's one so I need to go.
  12639 0.00%: . I need to get to this a
  12640 0.00%:  so this one I gave the
  12641 0.00%:  that one's the end I
  12642 0.00%:  that doesn't go in the one I
  12643 0.00%:  that one's not the one in
  12644 0.00%:  so don't get those
  12645 0.00%:  so. I think that one
  12646 0.03%:  so. I think that one needs
  12647 0.01%:  so. I think that one'
  12648 0.00%:  so I took this to the
  12649 0.00%: . It doesn't have to get so
  12650 0.00%: . I need that on the
  12651 0.00%:  I need to get on that in
  12652 0.00%:  so the one I said
  12653 0.00%:  thanks I've done it
  12654 0.00%: . It's on the net soon
  12655 0.00%:  that's one done. I got
  12656 0.00%:  that's one done. I got the
  12657 0.00%:  it's good I have to
  12658 0.00%:  that one's not done so I got
  12659 0.00%:  sooooo that's it. I
  12660 0.00%:  so I got to end on that one
  12661 0.00%:  so I got to end on that one.
  12662 0.00%:  no I don't have to go into
  12663 0.01%:  no I don't have to go into the
  12664 0.00%:  so I kinda sn
  12665 0.00%:  it's good then thanks
  12666 0.00%:  I need to go into a non
  12667 0.00%:  so it had to go
  12668 0.00%:  no that's no the end. I
  12669 0.00%:  that's the end so no it
  12670 0.00%:  so I do think that one'
  12671 0.00%:  I have to go soon to
  12672 0.00%:  I have to go soon to the
  12673 0.00%:  so that is one good one
  12674 0.00%:  I got that done on
  12675 0.01%:  I got that done on the
  12676 0.00%:  that one got it done.
  12677 0.00%:  I get it the
  12678 0.00%:  so. I think that's one
  12679 0.00%:  so it's no good to eat
  12680 0.00%:  this one doesn't have to go on. I
  12681 0.00%:  it goes on to state
  12682 0.00%:  so I got this.
  12683 0.00%:  so i need to get on
  12684 0.00%:  so i need to get on that
  12685 0.00%:  no no no that is the
  12686 0.01%:  no no no that is the end
  12687 0.00%:  so it's the end I haven
  12688 0.00%:  that's one good one. It
  12689 0.00%:  so this one had to go
  12690 0.01%:  so this one had to go to
  12691 0.00%:  so I haven't gone on in too
  12692 0.00%:  no that's it no no
  12693 0.00%:  so that one's done. I got
  12694 0.01%:  so that one's done. I got it
  12695 0.00%:  so that one's done. I got to
  12696 0.00%:  so that one's done. I got the
  12697 0.00%:  so I have to end this one to
  12698 0.00%:  so I took the '
  12699 0.00%:  so I gotta note the
  12700 0.00%:  it's an end.
  12701 0.00%:  so that doesn't go in the one
  12702 0.00%:  no thanks to the '
  12703 0.00%:  then. I've got the
  12704 0.00%:  thanks. I've done the
  12705 0.00%:  so on the one hand I get not
  12706 0.00%:  I got the idea to
  12707 0.00%:  no I've done the
  12708 0.00%:  no thanks to this one I've done
  12709 0.00%:  so I've got this one to thank
  12710 0.00%:  so I need to go on that one.
  12711 0.00%:  no I don't get this so
  12712 0.00%:  so i don't get the
  12713 0.00%:  no not the end. I'
  12714 0.00%:  so I have one thing to note.
  12715 0.00%:  no it doesn't. I haven
  12716 0.00%:  that is not the one on
  12717 0.00%:  I have to end things
  12718 0.00%:  so I've got this to do at
  12719 0.00%: . It's an honest ending to
  12720 0.00%: . I've done that this
  12721 0.00%:  so I think that needs no
  12722 0.00%:  that's it I need to go on.
  12723 0.00%:  so I don't get to eat.
  12724 0.00%:  I've gotta do it one
  12725 0.00%:  no no I think that's one
  12726 0.00%:  I need this to go on soon
  12727 0.00%:  so that took it
  12728 0.00%:  I have to do this.
  12729 0.00%:  good I think that one's set
  12730 0.00%:  so no one gets
  12731 0.01%:  so no one gets to
  12732 0.01%:  so no one gets the
  12733 0.00%:  so no one gets that
  12734 0.00%:  so no one gets that one
  12735 0.00%:  I need to get that in on
  12736 0.00%:  so that one I've gotten in
  12737 0.00%:  this one I don't get too
  12738 0.00%:  no it doesn't have to go on.
  12739 0.00%:  no that doesn't get on
  12740 0.00%:  so not that one's too
  12741 0.00%:  no this one's good. I have
  12742 0.00%:  so I do have to get this one
  12743 0.00%:  that is so not even
  12744 0.00%:  that is so not even the
  12745 0.00%:  no I have the end
  12746 0.01%:  no I have the endings
  12747 0.00%:  so I've got that one on this
  12748 0.00%: . I don't get a
  12749 0.00%:  so it goes to one
  12750 0.00%:  I don't get that.
  12751 0.00%:  it's not gonna do so
  12752 0.01%:  it's not gonna do so hot
  12753 0.00%:  that's it I gots
  12754 0.00%:  that one's got to end on
  12755 0.00%:  no no no no that is
  12756 0.00%:  no no no no that is the
  12757 0.00%:  so I got nothin' on the end
  12758 0.00%:  that one goes on too.
  12759 0.00%:  no that's no good no I think
  12760 0.00%:  no thanks I need to get on it
  12761 0.00%: . I've got to sit on the
  12762 0.00%:  that's not the one ending so
  12763 0.00%:  no it's not the end so go
  12764 0.01%:  no it's not the end so go on
  12765 0.00%:  no it's not the end so go to
  12766 0.00%:  no that one is no good. I
  12767 0.00%:  so. I've got that
  12768 0.01%:  so. I've got that one
  12769 0.01%:  so. I've got that one done
  12770 0.00%:  so no I need this
  12771 0.00%:  this one I've gotten to
  12772 0.00%:  so that's not one. I need
  12773 0.00%:  so that's not one. I need to go
  12774 0.00%:  this's gonna end the
  12775 0.00%:  it's done. It took 
  12776 0.00%:  the end is one
  12777 0.00%:  it's that one too
  12778 0.00%:  that one is good too. I've
  12779 0.00%:  no this one I don't hate
  12780 0.00%:  so I've got tons and
  12781 0.00%:  so no it's not good
  12782 0.00%:  no don't think that.
  12783 0.00%:  this one I have to do
  12784 0.00%:  so one thing I need to ask
  12785 0.00%:  sooooo that is
  12786 0.01%:  sooooo that is the
  12787 0.02%:  sooooo that is the end
  12788 0.00%:  so don't eat the ste
  12789 0.00%:  so I've not got this one done
  12790 0.00%:  so I do have the
  12791 0.00%: . I've had this one on
  12792 0.00%:  it's got that one
  12793 0.00%:  thanks it's not too
  12794 0.00%:  that one's no so good.
  12795 0.00%:  no that is the one I
  12796 0.00%:  so I've gotta end this one.
  12797 0.00%: . It's in the tank
  12798 0.00%:  no thanks no I've done
  12799 0.00%:  thanks. It is the
  12800 0.01%:  thanks. It is the end
  12801 0.00%:  no that's not on this one
  12802 0.00%:  no that's not on this one.
  12803 0.00%:  I get the hint and
  12804 0.00%:  so I gotta note these
  12805 0.00%:  no it does not have to go
  12806 0.00%:  no this has gotten on
  12807 0.00%:  no that's it no need no
  12808 0.00%:  that's one so don
  12809 0.00%: . I've done it one
  12810 0.00%:  so that's in the one
  12811 0.00%:  good I have no
  12812 0.00%:  so I took the end
  12813 0.01%:  so I took the endings
  12814 0.00%:  so I have no one
  12815 0.00%:  so that one I think ends
  12816 0.00%:  the end is that I got so
  12817 0.00%:  this has to do
  12818 0.00%: . It's one thing to take
  12819 0.00%:  so I think that goes on to
  12820 0.00%:  so then I've got to thank
  12821 0.00%:  so that one is good I
  12822 0.00%:  so that one is good I'
  12823 0.00%:  I don't have to go on.
  12824 0.00%:  I've got the end.
  12825 0.00%:  so that's one good one I
  12826 0.00%:  so this one I need an
  12827 0.00%:  no it doesn't even go that
  12828 0.00%:  that one goes to the kid on
  12829 0.00%:  that's one. I need 
  12830 0.00%:  that one I think goes too
  12831 0.00%:  so then I've got to do the
  12832 0.00%:  so not the ending then
  12833 0.00%:  so I have got to do
  12834 0.01%:  so I have got to do this
  12835 0.00%:  so I've got to edit one
  12836 0.00%:  no no I think the
  12837 0.00%:  this doesn't have to go to 
  12838 0.00%:  that's good then it
  12839 0.00%:  I have done this.
  12840 0.00%:  that's the one. It is
  12841 0.00%:  so it took a good 
  12842 0.00%:  I got this done thanks
  12843 0.00%:  that's one thing done on
  12844 0.00%:  no this one goes to an
  12845 0.00%:  so I have to note the
  12846 0.00%:  no I think that one's done so
  12847 0.00%:  that one gets it.
  12848 0.00%:  so I need to get to it so
  12849 0.00%:  that's not the end so go in
  12850 0.00%:  so it's no good. I
  12851 0.00%:  that one's got it.
  12852 0.00%:  so that one is the 
  12853 0.00%:  no that's not good. Is the
  12854 0.00%:  sooooo that's it then
  12855 0.00%:  no need to eat this
  12856 0.00%:  that one's good on the one
  12857 0.00%:  so not the ending I env
  12858 0.00%:  no this one has not gone
  12859 0.00%: . I see that ending
  12860 0.00%:  I got that done in seven
  12861 0.00%:  that one doesn't go on so I think
  12862 0.00%:  no that one ends soon
  12863 0.00%:  so in the end the 
  12864 0.00%:  this one's done. I have too
  12865 0.00%:  no it's the end so I have to go on
  12866 0.00%:  so one thing I have no
  12867 0.00%:  thanks. It's the one
  12868 0.00%:  so on this one I had
  12869 0.00%:  so I got it at
  12870 0.00%:  so I've gotten so
  12871 0.00%:  this one ends. I
  12872 0.00%:  no don't eat this one
  12873 0.00%: . I got this one done thanks
  12874 0.00%:  I don't have it.
  12875 0.00%:  no it goes on.
  12876 0.00%:  so that one's in 
  12877 0.00%:  so I need to thank this one'
  12878 0.00%:  so that's one I got in
  12879 0.00%:  this one has to get
  12880 0.00%:  this one I've got to take
  12881 0.00%:  so it has good
  12882 0.00%:  no that one took 
  12883 0.00%:  so I haven't got this one 
  12884 0.00%: . I've got 
  12885 0.00%:  that one took it'
  12886 0.00%:  so it ends on that one.
  12887 0.00%:  no no that one isn't good I
  12888 0.00%:  so it's that good. It
  12889 0.00%:  that's not even good I think so
  12890 0.00%:  that one's gone so don
  12891 0.00%:  this one I've had to
  12892 0.00%:  and I've got this to
  12893 0.00%:  so I get it's a
  12894 0.00%:  so I got this one a
  12895 0.00%:  so that one I don't think goes.
  12896 0.00%:  so I need to set that in
  12897 0.00%:  so on that one I need to think
  12898 0.00%:  that one is done so.
  12899 0.00%:  so one thing I don't have to
  12900 0.00%: . It is not
  12901 0.01%: . It is not a
  12902 0.01%: . It is not a good
  12903 0.00%:  that one's not done so no
  12904 0.00%:  that one's good too. It
  12905 0.00%:  no don't sign that
  12906 0.01%:  no don't sign that one
  12907 0.00%:  no this one's the one I got
  12908 0.00%:  no no no this one goes
  12909 0.00%: . I've gotten no
  12910 0.00%:  that's not so good in the
  12911 0.00%:  I need one thing that
  12912 0.00%:  so I get this done
  12913 0.00%:  good I think that one's not
  12914 0.00%:  so the idea's the
  12915 0.00%:  so. I don
  12916 0.09%:  so. I don't have
  12917 0.03%:  so. I don't think
  12918 0.03%:  so. I don't think that
  12919 0.02%:  so. I don't have this
  12920 0.02%:  so. I don't think that one
  12921 0.02%:  so. I don't have the
  12922 0.01%:  so. I don't think that one goes
  12923 0.01%:  so. I don't think the
  12924 0.00%:  so. I don't think that goes
  12925 0.00%:  no the end is I got
  12926 0.00%:  no the end is I got the
  12927 0.00%:  no I've gotta sit
  12928 0.00%:  that is one I've got
  12929 0.01%:  that is one I've got to
  12930 0.00%:  so it goes to a
  12931 0.00%:  no no it's the
  12932 0.00%:  I get that one's not on
  12933 0.00%:  no that one's not done. I got
  12934 0.00%:  so that one ends on the 
  12935 0.00%:  no this one had to go
  12936 0.00%:  no this one had to go to
  12937 0.00%:  I need to go in so thanks
  12938 0.00%:  no that one goes on in
  12939 0.00%:  that's not in so I need
  12940 0.00%:  that's the ending to one I
  12941 0.00%:  no this one I hadn
  12942 0.00%:  no this one I hadn't gotten
  12943 0.00%:  so I have nothing to do.
  12944 0.00%:  this one doesn't get a 
  12945 0.00%:  no that one I think goes
  12946 0.01%:  no that one I think goes on
  12947 0.00%:  that one is good so the
  12948 0.00%:  no this one needs to go on
  12949 0.00%:  no this one needs to go on a
  12950 0.00%:  no it's not that good no I
  12951 0.00%:  I got to the end it
  12952 0.00%:  then. I've said too
  12953 0.00%:  no it's not gonna do
  12954 0.00%:  this one has gone to
  12955 0.00%:  no thanks no I don't get
  12956 0.00%:  no thanks no I don't get this
  12957 0.00%:  so it has to do
  12958 0.00%:  no it's done. I
  12959 0.00%:  no it's done. I gotta
  12960 0.00%:  so that's one in the oven
  12961 0.00%:  no I haven't done one shot
  12962 0.00%:  I gotta do this one so
  12963 0.00%:  no thanks no I need to sit
  12964 0.00%:  so I get that 
  12965 0.00%: . It's taken too
  12966 0.00%:  I have to end it.
  12967 0.00%:  no that one's not so hot in
  12968 0.00%:  thanks. I don't get
  12969 0.00%:  it's so I
  12970 0.00%: . It ends in
  12971 0.00%:  no that one gets the
  12972 0.00%:  no it's a one
  12973 0.00%:  so I've got to thank the end
  12974 0.00%:  this one I have to send
  12975 0.00%:  no no no the
  12976 0.00%:  no no no this needs
  12977 0.01%:  no no no this needs to
  12978 0.00%:  so then I get 
  12979 0.00%:  no the end isn't as
  12980 0.00%:  this one I've gotten a
  12981 0.00%:  no it's too good.
  12982 0.00%:  that's the end. It is on
  12983 0.00%:  so that is not the end I'
  12984 0.01%:  so that is not the end I've
  12985 0.00%:  it's on that one then
  12986 0.00%:  and I've got this one too.
  12987 0.00%:  no I don't see that on
  12988 0.00%: . I need to get this on t
  12989 0.00%:  so I've got this one too and the
  12990 0.00%:  no I've got it.
  12991 0.00%:  so. It's not too
  12992 0.00%:  no that one goes on to
  12993 0.00%: . I have to go into the dent
  12994 0.00%:  no thanks I do
  12995 0.00%:  so then it's got
  12996 0.00%:  I've done that one 
  12997 0.00%:  it doesn't go the
  12998 0.00%:  that one is good. It's not on
  12999 0.00%:  I've gotten to it
  13000 0.00%:  so then I gotta think
  13001 0.00%:  no that one isn't so good even
  13002 0.00%:  no that one isn't so good even I
  13003 0.00%:  no that one isn't so hot.
  13004 0.01%:  no that one isn't so hot. I
  13005 0.01%:  no that one isn't so hot. I need
  13006 0.00%:  so it had to go on
