a death spasm that infects the galaxy.
      0 100.00%: 
      1 145.66%:  a
   5907 0.04%:  a messy end
   5908 0.04%:  a clean
   5909 0.04%:  a final gasp that says that
   5910 0.04%:  taped in the same
   5911 0.04%:  the fact that the same
   5912 0.04%:  a final gasp that the
   5913 0.04%:  a failed attempt at h
   5914 0.04%:  the same as this panel
   5915 0.04%:  animated
   5916 0.04%:  a pathetic mess
   5917 0.04%:  a last dash against
   5918 0.04%:  a message that as the
   5919 0.04%:  a facepalm that extends
   5920 0.04%:  a final message that d
   5921 0.04%:  a date that sets itself
   5922 0.04%:  the same as the galaxy
   5923 0.04%:  a sym
   5924 0.20%:  a sympathetic
   5925 0.04%:  the exact same thing that lady
   5926 0.04%:  that the last time
   5927 0.04%:  the exact same thing as that lady
   5928 0.04%:  a timeless death
   5929 0.04%:  left empty
   5930 0.04%:  a place saying the
   5931 0.04%:  a death spasm in a
   5932 0.04%:  a planet that ate this
   5933 0.04%:  the last dying c
   5934 0.04%:  a plea that stays the same in
   5935 0.04%:  a planet that gets his
   5936 0.04%:  its last gasp at
   5937 0.04%:  the idea that a planet may
   5938 0.04%:  a cassette that instead
   5939 0.04%:  the last time a date can
   5940 0.04%:  said that the message that can
   5941 0.04%:  eyes
   5942 0.04%:  sad that in the last
   5943 0.04%:  aesthetic that
   5944 0.04%:  a message that int
   5945 0.04%:  left as a message that
   5946 0.04%:  a last stand as
   5947 0.10%:  a last stand as a
   5948 0.05%:  a last stand as the
   5949 0.04%:  the estimated
   5950 0.04%:  a setting
   5951 0.04%:  a planet that had 
   5952 0.04%:  the same tape that says in
   5953 0.04%:  the idea that al
   5954 0.04%:  the last image that f
   5955 0.07%:  the last image that fades
   5956 0.04%:  a last ditch yet
   5957 0.04%:  a pathetic galaxy
   5958 0.04%:  sad that this can
   5959 0.04%:  a thing that plays
   5960 0.04%:  the same thing a last
   5961 0.04%:  the same last thing a
   5962 0.04%:  a legend that is
   5963 0.04%:  a planet that ate death
   5964 0.04%:  a shame that the galaxy
   5965 0.12%:  a shame that the galaxy is
   5966 0.04%:  a last attempt at dis
   5967 0.04%:  the last time the d
   5968 0.04%:  the last time a taste
   5969 0.04%:  a last dance at a mass
   5970 0.04%:  animals
   5971 0.04%:  said an
   5972 0.04%:  the last disc that gets
   5973 0.04%:  galaxies
   5974 0.04%:  a help that might
   5975 0.04%:  a sad place that
   5976 0.04%:  that type
   5977 0.04%:  the last die that
   5978 0.04%:  said that the sea changes
   5979 0.04%:  distant space
   5980 0.04%:  the stage
   5981 0.04%:  the final message that ch
   5982 0.04%:  in the last pages
   5983 0.04%:  the last thing that seems a
   5984 0.04%:  the exact same.
   5985 0.04%:  the last thing he s
   5986 0.04%:  the last thing that defe
   5987 0.04%:  a message that fits
   5988 0.04%:  text
   5989 0.04%:  a tape that says that
   5990 0.04%:  the elephant that says it
   5991 0.04%:  a planethas
   5992 0.04%:  the exact same thing as that sp
   5993 0.04%:  that giant
   5994 0.04%:  as deep as the galaxy
   5995 0.04%:  the sadest space
   5996 0.04%:  metaphysical and
   5997 0.04%:  as deep as it gets
   5998 0.04%:  simpl
   5999 0.04%:  a date that each
   6000 0.04%:  the pathetic last stand
   6001 0.04%:  shape
   6002 0.04%:  the ne
   6003 0.04%:  a fatal message.
   6004 0.04%:  a message that at least hint
   6005 0.04%:  a selfie that can
   6006 0.04%:  a life that needs
   6007 0.04%:  fixed that
   6008 0.04%:  nice that at least she has
   6009 0.04%:  a fact that the
   6010 0.06%:  a fact that the planet
   6011 0.04%:  the last time that each day
   6012 0.04%:  in the same space
   6013 0.04%:  late times
   6014 0.04%:  a dies
   6015 0.04%:  the exact thing the al
   6016 0.04%:  a message that has at
   6017 0.04%:  spec
   6018 0.04%:  the stap
   6019 0.11%:  the staple that
   6020 0.08%:  the staples
   6021 0.05%:  the stapled
   6022 0.04%:  the stapling
   6023 0.04%:  the staples that
   6024 0.04%:  the last thing that may pass
   6025 0.04%:  selfish as
   6026 0.04%:  the last saying that made
   6027 0.04%:  said that the planet gets a
   6028 0.04%:  the details that get ya
   6029 0.04%:  the last thing the spacest
   6030 0.04%:  a mental
   6031 0.04%:  the delight
   6032 0.04%:  salt
   6033 0.05%:  salt in the eyes
   6034 0.04%:  salted
   6035 0.04%:  decent that
   6036 0.04%:  the sad last thing
   6037 0.04%:  a planet that ta
   6038 0.04%:  the feel
   6039 0.04%:  in the c
   6040 0.04%:  a timeless space
   6041 0.04%:  the last spacef
   6042 0.04%:  an exact
   6043 0.04%:  the last gift and
   6044 0.04%:  tested
   6045 0.13%:  tested against
   6046 0.04%:  seeing
   6047 0.10%:  seeing the
   6048 0.04%:  the date that man
   6049 0.04%:  a failed attempt at e
   6050 0.04%:  a selfie that ends
   6051 0.04%:  a planet that yet has
   6052 0.04%:  that aliens get
   6053 0.04%:  the last thing the mess
   6054 0.04%:  listed
   6055 0.04%:  can
   6056 0.04%:  a patent
   6057 0.04%:  the last image as
   6058 0.04%:  the the last gas
   6059 0.04%:  sent at
   6060 0.04%:  in case al
   6061 0.04%:  metaphysical death that
   6062 0.04%:  the last idea that can get
   6063 0.04%:  the last dance as this
   6064 0.04%:  a de
   6065 0.05%:  a deaf planet
   6066 0.04%:  sad this
   6067 0.04%:  in the same style as that
   6068 0.04%:  a pity the
   6069 0.04%:  a message that defiant
   6070 0.04%:  ex
   6071 0.51%:  exchanged
   6072 0.04%:  a cassette that plays fine
   6073 0.04%:  the last thing the em
   6074 0.04%:  the last thing that feed
   6075 0.04%:  the same thing as the p
   6076 0.04%:  a plea against the fate that
   6077 0.04%:  the final days.
   6078 0.04%:  the last thing set
   6079 0.04%:  said that the eyes
   6080 0.04%:  the last that time can
   6081 0.04%:  a gift that last
   6082 0.04%:  said that the the
   6083 0.04%:  a planet that has sam
   6084 0.04%:  a testament that yes
   6085 0.04%:  a message that faints
   6086 0.04%:  a last gasp attached
   6087 0.04%:  the pal
   6088 0.46%:  the palest shade
   6089 0.06%:  the palest thing
   6090 0.04%:  as if the same
   6091 0.10%:  as if the same planet
   6092 0.18%:  as if the same planet that
   6093 0.04%:  that last message in that
   6094 0.04%:  the last stand at
   6095 0.12%:  the last stand at the
   6096 0.04%:  a cassette that has a tape
   6097 0.04%:  the date 
   6098 0.04%:  a styl
   6099 0.04%:  this system
   6100 0.04%:  the magic
   6101 0.04%:  a planet that eats its head
   6102 0.04%:  a message stenc
   6103 0.04%:  this dates
   6104 0.04%:  the last time that sh
   6105 0.04%:  as sad as that line
   6106 0.04%:  a death spasm against the heat
   6107 0.04%:  a plea that stands
   6108 0.04%:  at last
   6109 0.04%:  the last extant item
   6110 0.04%:  the timeless sad
   6111 0.04%:  titled that
   6112 0.04%:  a mix tape that ends
   6113 0.04%:  a climax that
   6114 0.04%:  a cassette that played in
   6115 0.04%:  a thing that helps
   6116 0.04%:  the planet that had
   6117 0.06%:  the planet that had a
   6118 0.04%:  a message that self
   6119 0.04%:  a planet that has tied
   6120 0.04%:  the last that gets an
   6121 0.04%:  said that the last men
   6122 0.04%:  name is the last
   6123 0.04%:  a planet that dies as the
   6124 0.04%:  less the
   6125 0.04%:  the last thing sm
   6126 0.04%:  the last ditch sense
   6127 0.10%:  the last ditch sense that
   6128 0.04%:  the date that my
   6129 0.04%:  the might
   6130 0.04%:  the mighty last
   6131 0.04%:  titled the
   6132 0.04%:  feeling that
   6133 0.04%:  a planet that said hey
   6134 0.04%:  speech
   6135 0.04%:  in that last message that a
   6136 0.04%:  a planet that might say the
   6137 0.04%:  the exact same path
   6138 0.04%:  a plan that might
   6139 0.04%:  the ga
   6140 0.04%:  the same thing c
   6141 0.04%:  a death spasm that can last
   6142 0.04%:  a message that the last din
   6143 0.04%:  a planet that hides the fact
   6144 0.04%:  a planet that has missed that
   6145 0.04%:  teaching
   6146 0.04%:  a plea against the system
   6147 0.09%:  a plea against the system that
   6148 0.04%:  a machine that says please
   6149 0.04%:  a message that the din
   6150 0.04%:  a last ditch massage
   6151 0.04%:  a message that a sent
   6152 0.04%:  a death spasm that has
   6153 0.04%:  in the same galaxy that sp
   6154 0.04%:  a plea meant
   6155 0.04%:  the last death c
   6156 0.04%:  the last time that dance has
   6157 0.04%:  painted messages
   6158 0.04%:  a message that he
   6159 0.04%:  a planet that says it made the
   6160 0.04%:  a message spaced
   6161 0.04%:  a planet that has cas
   6162 0.04%:  a defect
   6163 0.04%:  a tiny message sc
   6164 0.04%:  mid
   6165 0.04%:  the pit
   6166 0.04%:  an elegy as
   6167 0.04%:  as if the galaxy sends
   6168 0.04%:  any
   6169 0.07%:  any species
   6170 0.04%:  the plight that
   6171 0.04%:  a planet that has had taste
   6172 0.04%:  neat that the space
   6173 0.04%:  the same as that last date
   6174 0.04%:  seen
   6175 0.23%:  seen as the
   6176 0.26%:  seen as the last
   6177 0.04%:  fight
   6178 0.04%:  a fatal disease that has yet
   6179 0.04%:  that deep
   6180 0.04%:  the same as eating at
   6181 0.04%:  a planet that fights the
   6182 0.04%:  an ach
   6183 0.04%:  the last date is
   6184 0.05%:  the last date is that
   6185 0.04%:  a plea that has changed
   6186 0.04%:  the calm
   6187 0.04%:  a text that says this
   6188 0.04%:  the same tape as that
   6189 0.04%:  a planet that gets system
   6190 0.04%:  attempted last
   6191 0.04%:  nice that the dates
   6192 0.04%:  the same tape that has
   6193 0.04%:  the final message that has a
   6194 0.04%:  a last gasp that time
   6195 0.04%:  a last gasp that defines the
   6196 0.04%:  a message that at least can
   6197 0.04%:  a place that seems
   6198 0.04%:  a last gasp at the same
   6199 0.04%:  the last tiny spe
   6200 0.04%:  a listen
   6201 0.04%:  the last and highest asp
   6202 0.04%:  the last idea a
   6203 0.04%:  that light
   6204 0.04%:  a planet that faces its death.
   6205 0.04%:  a fatal disease that they
   6206 0.04%:  a message that ta
   6207 0.04%:  the last dash at
   6208 0.04%:  a cassette in the dash
   6209 0.04%:  the least that a
   6210 0.04%:  the least that a dying
   6211 0.04%:  said that the planet as
   6212 0.04%:  the last time that a spaces
   6213 0.04%:  the ling
   6214 0.04%:  a plea that says things
   6215 0.04%:  the end times as
   6216 0.04%:  a date that lasts the same
   6217 0.04%:  a cassette and it gets
   6218 0.04%:  a place saying that the
   6219 0.04%:  a lament that gets
   6220 0.04%:  a thing that feels
   6221 0.04%:  a sight
   6222 0.04%:  as deep as that
   6223 0.06%:  as deep as that.
   6224 0.04%:  a plea that death has
   6225 0.04%:  the last time a cat has
   6226 0.04%:  late 
   6227 0.04%:  the last dance that it has
   6228 0.04%:  a testament that if
   6229 0.04%:  the sent
   6230 0.04%:  a planet that is faced
   6231 0.04%:  that last and the
   6232 0.04%:  a final message that s
   6233 0.04%:  the act that says
   6234 0.04%:  nice that at least death
   6235 0.04%:  a plan that seems
   6236 0.04%:  last gas
   6237 0.04%:  last gasp.
   6238 0.04%:  a meal
   6239 0.04%:  a planet that fast
   6240 0.04%:  the message that can last
   6241 0.04%:  said that as the planet gets
   6242 0.04%:  this date that the spaces
   6243 0.04%:  the last date the man
   6244 0.04%:  the exact same as last night.
   6245 0.04%:  said that the fle
   6246 0.04%:  a message that has attached
   6247 0.04%:  a planet that sets aside
   6248 0.04%:  the flashing head
   6249 0.04%:  the last gasp that sh
   6250 0.04%:  the themes
   6251 0.04%:  the fal
   6252 0.04%:  a psychiat
   6253 0.04%:  a synt
   6254 0.04%:  lifted
   6255 0.04%:  a spin
   6256 0.04%:  nice that at least my death
   6257 0.04%:  physical.
   6258 0.04%:  cheese and
   6259 0.04%:  the exact same sign
   6260 0.04%:  a last ditch ent
   6261 0.04%:  sad that the planet gets
   6262 0.04%:  the chant
   6263 0.04%:  a plea that means the
   6264 0.04%:  the last things that escape
   6265 0.04%:  fantasy
   6266 0.04%:  in lat
   6267 0.04%:  this message that the al
   6268 0.04%:  the last thing a date says
   6269 0.04%:  painst
   6270 0.04%:  sad that the galaxy is the
   6271 0.04%:  a message that excl
   6272 0.04%:  the cassette in my
   6273 0.04%:  a statement that life has had
   6274 0.09%:  a statement that life has had a
   6275 0.04%:  en
   6276 0.04%:  the same thing as sex
   6277 0.04%:  the flash
   6278 0.04%:  a planet that has set the
   6279 0.04%:  the same as the day it
   6280 0.04%:  the eyes
   6281 0.04%:  said that the planets ate
   6282 0.04%:  said that as planets age
   6283 0.05%:  said that as planets age they
   6284 0.04%:  meant as a last
   6285 0.06%:  meant as a last d
   6286 0.04%:  the last thing each passed
   6287 0.04%:  nice that at last the
   6288 0.04%:  the female
   6289 0.04%:  the gal
   6290 0.04%:  a y
   6291 0.04%:  a hint at
   6292 0.04%:  ten
   6293 0.04%:  the last time any act
   6294 0.04%:  the last thing the exp
   6295 0.04%:  the gen
   6296 0.07%:  the genesis myth
   6297 0.04%:  the same as they said
   6298 0.04%:  a last attempt in
   6299 0.10%:  a last attempt in the
   6300 0.26%:  a last attempt in the face
   6301 0.04%:  a last attempt in case
   6302 0.07%:  a last attempt in case the
   6303 0.04%:  the exact same path as
   6304 0.04%:  a date that lasts 
   6305 0.04%:  a spasm
   6306 0.04%:  the last extant date
   6307 0.04%:  the exact last thing made
   6308 0.04%:  a same
   6309 0.04%:  the last sights
   6310 0.04%:  a clam
   6311 0.04%:  a smile that can
   6312 0.04%:  a planet y
   6313 0.04%:  a planet that cheated its
   6314 0.04%:  the last time the an
   6315 0.04%:  a message that lands at
   6316 0.04%:  a fact that many
   6317 0.04%:  a message the din
   6318 0.04%:  the same as a planet
   6319 0.04%:  a death message that can
   6320 0.04%:  the last thing ap
   6321 0.04%:  a cassette tape that sadly
   6322 0.04%:  a selfish
   6323 0.18%:  a selfish statement
   6324 0.45%:  a selfish statement that
   6325 0.10%:  a selfish attempt
   6326 0.21%:  a selfish attempt at
   6327 0.04%:  a message that cl
   6328 0.04%:  the same thing that f
   6329 0.04%:  this attempt
   6330 0.04%:  the fact that despite any
   6331 0.04%:  the signal that says death
   6332 0.04%:  pathetic that an
   6333 0.04%:  y
   6334 0.04%:  this plane
   6335 0.04%:  a left
   6336 0.04%:  pleased
   6337 0.04%:  a last gasp that ends a
   6338 0.04%:  a sad thing that last
   6339 0.04%:  a glimpse at the a
   6340 0.04%:  the spice
   6341 0.20%:  the spice that tastes
   6342 0.04%:  an idea that gets the
   6343 0.04%:  a message that ties
   6344 0.04%:  a caps
   6345 0.04%:  a legend that has
   6346 0.04%:  the type that might
   6347 0.04%:  magical
   6348 0.04%:  a last ditch gasp that the
   6349 0.04%:  a message that can lead
   6350 0.04%:  then the
   6351 0.04%:  a planet that said at
   6352 0.04%:  the same as the island
   6353 0.04%:  the date that the final
   6354 0.04%:  a message that has end
   6355 0.04%:  the same as that saying
   6356 0.04%:  a pathetic need that
   6357 0.04%:  ext
   6358 0.04%:  extinct
   6359 0.04%:  the attempt at life
   6360 0.04%:  the planet that sh
   6361 0.04%:  the last ditch message that any
   6362 0.04%:  a last ditch attempt an
   6363 0.04%:  a fee
   6364 0.04%:  a message that is at the
   6365 0.04%:  this metal
   6366 0.04%:  the last thing the passed
   6367 0.04%:  a planet that made at
   6368 0.04%:  his message
   6369 0.04%:  the last thing a mad
   6370 0.04%:  the thing that capt
   6371 0.04%:  the eye
   6372 0.04%:  the tape that ends
   6373 0.04%:  a shame they had
   6374 0.04%:  a peace sign made
   6375 0.04%:  a sped
   6376 0.04%:  the same thing she
   6377 0.04%:  the same as that planet
   6378 0.04%:  a deathless attempt at an
   6379 0.04%:  a plea against the st
   6380 0.04%:  the last thing a c
   6381 0.07%:  the last thing a cass
   6382 0.04%:  as if the planet cast
   6383 0.04%:  said that the 
   6384 0.04%:  an elegy at
   6385 0.04%:  an attempt at a life
   6386 0.04%:  the last thing a f
   6387 0.04%:  at exactly
   6388 0.04%:  the last dance set
   6389 0.04%:  a message that say that the
   6390 0.04%:  a name that last
   6391 0.04%:  plastic
   6392 0.06%:  plastic and
   6393 0.04%:  last d
   6394 0.13%:  last ditch attempt
   6395 0.04%:  a lie
   6396 0.04%:  a lie that
   6397 0.04%:  the silence that says that
   6398 0.04%:  a date that this
   6399 0.04%:  a last ditch tax
   6400 0.04%:  a last ditch mass
   6401 0.04%:  a cassette mixed
   6402 0.04%:  the last times the
   6403 0.04%:  the test
   6404 0.04%:  a tiny message left
   6405 0.04%:  as final
   6406 0.05%:  as final as that
   6407 0.04%:  as final as a
   6408 0.04%:  a pitch that gets
   6409 0.04%:  a message that pleads that if a
   6410 0.04%:  expecting them
   6411 0.04%:  a pathetic end
   6412 0.04%:  a plan.
   6413 0.04%:  a plea against the deaths that
   6414 0.04%:  the exact same thing as that sad
   6415 0.04%:  the last thing the at
   6416 0.04%:  distant al
   6417 0.04%:  taped in the last
   6418 0.04%:  the same thing that played
   6419 0.04%:  a sm
   6420 0.39%:  a smash hit that
   6421 0.13%:  a smash hit that last
   6422 0.08%:  a smash hit that ends
   6423 0.08%:  a smash hit.
   6424 0.07%:  a smash hit that gets
   6425 0.05%:  a smash hit that gets played
   6426 0.05%:  a smash hit that gets played at
   6427 0.04%:  a planet that has st
   6428 0.22%:  a planet that has stitched
   6429 0.04%:  said that the last ph
   6430 0.04%:  a glimpse at the fate
   6431 0.04%:  space time
   6432 0.04%:  life as
   6433 0.04%:  escaped
   6434 0.05%:  escaped my
   6435 0.05%:  escaped the
   6436 0.04%:  the anthem that gets
   6437 0.04%:  a planet that casts the
   6438 0.04%:  a plea that if any
   6439 0.04%:  the last thing a team
   6440 0.04%:  this theme
   6441 0.04%:  the last the night
   6442 0.04%:  a gild
   6443 0.04%:  tele
   6444 0.55%:  telepathy
   6445 0.05%:  teleph
   6446 0.04%:  telepath
   6447 0.14%:  telepathic and
   6448 0.04%:  the exact thing that a
   6449 0.04%:  dealing
   6450 0.04%:  the ac
   6451 0.04%:  a planet that dies each
   6452 0.04%:  attempted again
   6453 0.04%:  a last ditch met
   6454 0.04%:  a fleet
   6455 0.04%:  sad that the next time
   6456 0.04%:  sad that the galaxy isn
   6457 0.04%:  the safest place in
   6458 0.04%:  passed that
   6459 0.04%:  as if the day has
   6460 0.04%:  pathetic that last
   6461 0.04%:  the last time that day
   6462 0.04%:  the last date at a
   6463 0.04%:  the last anthemic
   6464 0.04%:  a planet that seems at
   6465 0.04%:  a last stand at the feet
   6466 0.04%:  a shame the ship
   6467 0.04%:  ideas
   6468 0.04%:  a plea that death might
   6469 0.04%:  a plea that death can
   6470 0.04%:  that last dance at the gay
   6471 0.04%:  help in
   6472 0.04%:  exactly the same as things
   6473 0.04%:  a message spelt
   6474 0.04%:  a lament that teaches
   6475 0.04%:  a shame it
   6476 0.04%:  e
   6477 0.04%:  said a planet has
   6478 0.04%:  a cassette tape that many
   6479 0.04%:  a planet that ties the
   6480 0.04%:  that at least it
   6481 0.04%:  the pandemic
   6482 0.04%:  a dance that the last
   6483 0.04%:  a giant mete
   6484 0.04%:  as the last thing that
   6485 0.04%:  the last step in my
   6486 0.04%:  that last message that an
   6487 0.04%:  a planet that has aesthetic
   6488 0.04%:  a planet that has stashed
   6489 0.04%:  the last chanted
   6490 0.04%:  the last hit the
   6491 0.04%:  a message that sl
   6492 0.04%:  said that the galaxy he
   6493 0.04%:  a last attempt at defe
   6494 0.04%:  said that the exact same
   6495 0.04%:  an ache
   6496 0.04%:  the same thing that leads a
   6497 0.04%:  said that the galaxy f
   6498 0.04%:  the same plea as any
   6499 0.04%:  a plea that a
   6500 0.14%:  a plea that a distant
   6501 0.04%:  a planet that has estimated
   6502 0.04%:  a message that fades in
   6503 0.04%:  a plea that stands as
   6504 0.04%:  the data
   6505 0.04%:  a sad fate
   6506 0.04%:  the timeless an
   6507 0.04%:  a place that has seen its
   6508 0.04%:  a planet that is as yet
   6509 0.04%:  the final message that had
   6510 0.04%:  the last dashing
   6511 0.04%:  said that as she
   6512 0.04%:  the final act that se
   6513 0.04%:  at the last thing
   6514 0.04%:  stating
   6515 0.04%:  my deep
   6516 0.04%:  the last that can exist
   6517 0.04%:  legit that
   6518 0.04%:  a final message that cast
   6519 0.04%:  a last ditch asp
   6520 0.04%:  sent at the last
   6521 0.04%:  said that the past
   6522 0.04%:  the sense that this
   6523 0.04%:  its last dance at
   6524 0.04%:  late that
   6525 0.24%:  late that night.
   6526 0.04%:  a final h
   6527 0.04%:  the attempt at a self
   6528 0.04%:  stating that
   6529 0.04%:  a message that pl
   6530 0.04%:  a neat
   6531 0.04%:  a simple dance.
   6532 0.04%:  a fact that the galaxy
   6533 0.04%:  a fact that the galaxy has
   6534 0.04%:  a sales pitch that extends
   6535 0.04%:  a late night at
   6536 0.04%:  a late night at a
   6537 0.04%:  a message that has the final
   6538 0.04%:  a shame that they
   6539 0.04%:  destiny that that
   6540 0.08%:  destiny that that message
   6541 0.04%:  the last thing a des
   6542 0.04%:  nightma
   6543 0.04%:  a plea that is met
   6544 0.04%:  a machine that e
   6545 0.04%:  a machine that eats the
   6546 0.19%:  a machine that eats the galaxy
   6547 0.04%:  life.
   6548 0.04%:  the last gasp as the
   6549 0.04%:  a planet that has fed
   6550 0.04%:  a message that is exactly that
   6551 0.04%:  a message that hints at a place
   6552 0.04%:  a dance step that has
   6553 0.04%:  madly
   6554 0.03%:  a planet that says the fate
   6555 0.03%:  the same as the paint
   6556 0.03%:  a fatal disease that c
   6557 0.03%:  a planet that faces a death
   6558 0.03%:  the last that can satisfy
   6559 0.03%:  the same signal as the 
   6560 0.03%:  a last ditch pass at an
   6561 0.03%:  at least the same
   6562 0.03%:  said that the pen
   6563 0.03%:  a last gasped
   6564 0.03%:  a last gasp at existence that may
   6565 0.03%:  said that the cy
   6566 0.03%:  a stage
   6567 0.03%:  sad that the message in
   6568 0.03%:  a planet that has said yes
   6569 0.03%:  meeting
   6570 0.07%:  meeting the
   6571 0.03%:  that if the galaxy
   6572 0.04%:  that if the galaxy has
   6573 0.03%:  mel
   6574 0.03%:  the last act in the sad
   6575 0.03%:  the last dying ch
   6576 0.03%:  the same thing as that day
   6577 0.03%:  a pleas
   6578 0.03%:  the last thing a sp
   6579 0.03%:  a message that the last and
   6580 0.03%:  the last stand that
   6581 0.03%:  the exact same thing a sad
   6582 0.03%:  end
   6583 0.05%:  end times
   6584 0.03%:  the last case in
   6585 0.03%:  the last thing the tape says
   6586 0.03%:  a last gasp that ends the
   6587 0.03%:  the last thing the decay
   6588 0.03%:  dying as
   6589 0.03%:  a teach
   6590 0.03%:  the last that came
   6591 0.03%:  the last cassette any
   6592 0.03%:  a last gasp instead
   6593 0.03%:  a pathetic flag
   6594 0.03%:  legit the
   6595 0.03%:  as if each and
   6596 0.03%:  at that time the space
   6597 0.03%:  as if the day the planet
   6598 0.03%:  a last ditch attempt 
   6599 0.03%:  a dance that the galaxies
   6600 0.03%:  the exact thing that led
   6601 0.03%:  signs that
   6602 0.03%:  a plea that ends this
   6603 0.03%:  pathetic and at
   6604 0.03%:  the date that aliens pass
   6605 0.03%:  a planet that has set aside a
   6606 0.03%:  a last attempt at fig
   6607 0.03%:  said that the same galaxy
   6608 0.08%:  said that the same galaxy that
   6609 0.03%:  my distant
   6610 0.03%:  the sin
   6611 0.03%:  the fly
   6612 0.03%:  sad that the fate
   6613 0.03%:  the cassette saying
   6614 0.03%:  feelings
   6615 0.03%:  the last that has escaped
   6616 0.03%:  the last a c
   6617 0.03%:  messy
   6618 0.03%:  the date that in
   6619 0.03%:  a statement that is a
   6620 0.03%:  a planet that exited
   6621 0.03%:  the final test that
   6622 0.03%:  the last thing that ad
   6623 0.03%:  an al
   6624 0.03%:  nice that they had a
   6625 0.03%:  sixteen
   6626 0.03%:  nice that the sea
   6627 0.03%:  sad that the final message that
   6628 0.03%:  nice at
   6629 1.33%:  nice at least that the
   6630 0.14%:  nice at least that they
   6631 0.03%:  said that the late
   6632 0.03%:  a message that is a
   6633 0.03%:  a thing that says the
   6634 0.03%:  the day the line
   6635 0.03%:  a message that yes
   6636 0.03%:  the last that can see
   6637 0.03%:  the last time the past has
   6638 0.03%:  metaphysics that
   6639 0.03%:  the last thing they d
   6640 0.03%:  a last gasp that hits
   6641 0.03%:  magnetic
   6642 0.03%:  handy
   6643 0.03%:  said that the spacef
   6644 0.03%:  the exact same thing as sad
   6645 0.03%:  the last image that any
   6646 0.03%:  a planet that has a hit
   6647 0.03%:  the fact that the line
   6648 0.03%:  the last time any aspect
   6649 0.03%:  the ly
   6650 0.03%:  a last attempt at ass
   6651 0.03%:  the last time any sap
   6652 0.03%:  a last ditch say
   6653 0.03%:  the exact thing that made a
   6654 0.03%:  a planet that exists as the
   6655 0.03%:  a last gasp that c
   6656 0.03%:  a date that ha
   6657 0.03%:  the last thing the sam
   6658 0.03%:  in the same state
   6659 0.03%:  a planet that stays the
   6660 0.03%:  the cassette that al
   6661 0.03%:  the same thing as the last c
   6662 0.03%:  nice that the date has
   6663 0.03%:  a lament that passes
   6664 0.03%:  spent a
   6665 0.03%:  a panic that last
   6666 0.03%:  a last gasp at this
   6667 0.03%:  a planet that has a system
   6668 0.03%:  an attempt at selfie
   6669 0.03%:  the state
   6670 0.03%:  a cassette single that had
   6671 0.03%:  the last thing the casset
   6672 0.03%:  as if the spaces
   6673 0.03%:  a pity that the message can
   6674 0.03%:  a shame that space
   6675 0.03%:  sad that it came
   6676 0.03%:  the last that made things
   6677 0.03%:  a date that exists
   6678 0.03%:  the last gasp that this
   6679 0.03%:  a statement that says each
   6680 0.03%:  the message a child
   6681 0.03%:  the last image.
   6682 0.03%:  the last thing that mass
   6683 0.03%:  a cassette tape lying at
   6684 0.03%:  the same as a last text
   6685 0.03%:  a planet that has messaged
   6686 0.03%:  aliens that get that
   6687 0.03%:  these machines
   6688 0.03%:  an attempt at di
   6689 0.03%:  the fact that a
   6690 0.71%:  the fact that a planet
   6691 0.61%:  the fact that a single
   6692 0.48%:  the fact that a planet has
   6693 0.10%:  the fact that a planet dies
   6694 0.10%:  the fact that a planet had
   6695 0.07%:  the fact that a planet has made
   6696 0.04%:  the fact that a planet has a
   6697 0.04%:  the fact that a planet is
   6698 0.03%:  the same planet that c
   6699 0.03%:  a death spice
   6700 0.03%:  a test.
   6701 0.03%:  the last dance that e
   6702 0.03%:  the flip
   6703 0.03%:  a planet that gets sc
   6704 0.03%:  as if each planet had
   6705 0.03%:  the last thing a cat says
   6706 0.03%:  a final test message.
   6707 0.03%:  a planet that faces this
   6708 0.03%:  a planet that faces this death
   6709 0.03%:  a teles
   6710 0.03%:  the last image any space
   6711 0.03%:  made in the exact
   6712 0.03%:  these physical
   6713 0.03%:  the last thing each sap
   6714 0.03%:  that and the fact it
   6715 0.03%:  late at night as a
   6716 0.03%:  left at the end
   6717 0.03%:  a signal that has the same
   6718 0.03%:  the type that ends fights
   6719 0.03%:  the planets that die.
   6720 0.03%:  a silence that sh
   6721 0.03%:  a fatalism that extends
   6722 0.03%:  said that the galaxy sent
   6723 0.03%:  glass that
   6724 0.03%:  the faint
   6725 0.03%:  the final date the
   6726 0.03%:  the last that has yet
   6727 0.03%:  an idea that seems at
   6728 0.03%:  a message the last din
   6729 0.03%:  a cassette tape dying
   6730 0.03%:  the last thing my date
   6731 0.03%:  a planet that cast its eyes
   6732 0.03%:  the last spasm in
   6733 0.47%:  the last spasm in the death
   6734 0.03%:  the aspect
   6735 0.03%:  an elegy that is
   6736 0.03%:  the elephant that sits
   6737 0.03%:  che
   6738 0.13%:  cheesy and
   6739 0.03%:  the last cassette a
   6740 0.31%:  the last cassette a dying
   6741 0.03%:  a deathless sym
   6742 0.03%:  a planet that hits the s
   6743 0.03%:  a message that any life that st
   6744 0.03%:  a last ditch system that
   6745 0.03%:  the date in a
   6746 0.03%:  the same as eating a
   6747 0.03%:  sad seeing
   6748 0.03%:  in 
   6749 0.03%:  a planet that has its death
   6750 0.03%:  mass panic
   6751 0.03%:  the same plea that has
   6752 0.03%:  the last thing a sap
