now I'm certain of it. I am speaking of the ninja teen.
      0 100.00%: 
      1 87.82%:  that
   7954 0.20%:  I can't think of a worse time in
   7955 0.20%:  I think we can agree it's not a
   7956 0.20%:  that was not one
   7957 0.20%:  I think it was a piece
   7958 0.39%:  I think it was a piece of fan
   7959 0.97%:  I think it was a piece of fan art
   7960 0.20%:  now I think it's time for a nap to
   7961 0.20%:  I can't paint it
   7962 0.48%:  I can't paint it again
   7963 0.29%:  I can't paint it again either
   7964 0.25%:  I can't paint it again now
   7965 0.20%:  now there's an
   7966 0.33%:  now there's an image
   7967 0.20%:  I'm certain of it.
   7968 0.20%:  it was paint on
   7969 0.35%:  it was paint on the
   7970 0.20%:  I'm certain none of that was meant in
   7971 0.20%:  if I were to paint it again as
   7972 0.20%:  I promise I won't mention it in the e
   7973 0.20%:  that's on tape.
   7974 0.20%:  these are two conf
   7975 0.20%:  that's coming to a
   7976 0.20%:  I think we can agree I'm not in
   7977 0.20%:  it's time for me to teach
   7978 0.20%:  I think I'm onto
   7979 0.20%:  I'm gonna paint another one in case it
   7980 0.20%:  that was a fact
   7981 0.20%:  I am now certain that none
   7982 0.20%:  I think I saw
   7983 0.20%:  it's gonna make
   7984 0.20%:  I meant it in the most non
   7985 0.20%:  I know it's cor
   7986 0.20%:  I'm now certain that no one
   7987 0.20%:  I think if I paint again now
   7988 0.20%:  if that isn't a warning
   7989 0.20%:  he's wearing a pink nin
   7990 0.20%:  I'm not gonna mention if
   7991 0.25%:  I'm not gonna mention if that
   7992 0.20%:  I'm freak
   7993 0.20%:  that was me making a point
   7994 0.20%:  I might want to see
   7995 0.20%:  I think I'm winning at
   7996 0.20%:  I know I can't paint that
   7997 0.20%:  he's wearing a jet
   7998 0.48%:  he's wearing a jet pack
   7999 0.20%:  I meant it in the same
   8000 0.20%:  I'm the master
   8001 0.20%:  here's an
   8002 0.20%:  I promise to make that
   8003 0.20%:  now I'm not making that
   8004 0.20%:  I'm not certain if I meant to show
   8005 0.20%:  I think someone once
   8006 0.20%:  if that ain
   8007 0.20%:  from that point in
   8008 0.33%:  from that point in time
   8009 0.25%:  from that point in time on
   8010 0.20%:  it's another
   8011 0.54%:  it's another conf
   8012 0.20%:  I'm gonna write that conf
   8013 0.20%:  I think it went into
   8014 0.20%:  I'm certain of that one
   8015 0.20%:  now it's time for me to patch
   8016 0.20%:  now that it's come
   8017 0.20%:  I think it's time for a nap time now
   8018 0.20%:  I'm certain no one wants to imagine the
   8019 0.20%:  I was meaning to mention it for
   8020 0.20%:  we're not speaking of that.
   8021 0.20%:  now it's time to conf
   8022 0.20%:  I think it's an
   8023 0.20%:  he was more
   8024 0.20%:  it's gonna take more than an ep
   8025 0.20%:  at
   8026 19.82%:  at this point I'm not
   8027 7.04%:  at this point I'm certain
   8028 6.75%:  at this point in
   8029 6.27%:  at this point it
   8030 4.37%:  at this point in time
   8031 3.39%:  at this point I'm gonna
   8032 3.35%:  at this point I can
   8033 4.88%:  at this point I can't imagine
   8034 3.05%:  at this point we
   8035 1.62%:  at this point I can't imagine a
   8036 3.58%:  at this point I can't imagine a more
   8037 1.45%:  at this point I'm certain we
   8038 1.04%:  at this point we're not
   8039 0.90%:  at this point I imagine
   8040 0.85%:  at this point I'm making
   8041 0.83%:  at this point I can't imagine I
   8042 0.83%:  at this moment
   8043 0.81%:  at this point I'm too
   8044 0.79%:  at this point I'm not making
   8045 0.79%:  at this point in time I can
   8046 0.74%:  at this point we can
   8047 1.00%:  at this point we can agree
   8048 0.73%:  at this point I know
   8049 0.70%:  at this point I can imagine
   8050 0.69%:  at this point I am
   8051 1.14%:  at this point I am certain
   8052 0.68%:  at this point I'm writing
   8053 0.64%:  at this point I'm making it
   8054 0.64%:  at this point I'm certain no
   8055 0.62%:  at this point I'm aware
   8056 0.60%:  at this point I'm not 
   8057 0.53%:  at this point I can't go
   8058 0.50%:  at this point I know I'm not
   8059 0.48%:  at this point we're gonna
   8060 0.45%:  at this point in time I am
   8061 0.44%:  at this point I can no
   8062 0.44%:  at this point I'm certain of
   8063 0.42%:  at the
   8064 0.90%:  at the time I was certain
   8065 0.73%:  at the time I was certain I
   8066 0.49%:  at the time I was making
   8067 0.48%:  at the risk
   8068 0.42%:  at the time I was making it
   8069 0.41%:  at this point I can't make
   8070 0.40%:  at this point I'm gonna take
   8071 0.39%:  at this point I cannot
   8072 1.60%:  at this point I cannot imagine
   8073 0.38%:  at this point I am not
   8074 0.35%:  at this point I'm 
   8075 0.35%:  at this point I'm not gonna
   8076 0.35%:  at this point I want
   8077 0.35%:  at this point I'm working
   8078 0.34%:  at this point I cannot imagine a
   8079 1.03%:  at this point I cannot imagine a more
   8080 0.33%:  at the risk of coming
   8081 0.33%:  at the moment
   8082 0.33%:  at this point I can imagine no
   8083 0.32%:  at this point in time I'm gonna
   8084 0.32%:  at this point I can imagine no more
   8085 0.31%:  at this point I'm gonna come
   8086 0.30%:  at that
   8087 3.52%:  at that point I was
   8088 1.76%:  at that point in
   8089 1.23%:  at that point I'
   8090 0.76%:  at that moment
   8091 1.06%:  at that moment I knew
   8092 0.61%:  at that point I was making
   8093 0.52%:  at that point we
   8094 0.40%:  at that age
   8095 0.50%:  at that age I was
   8096 0.35%:  at that moment I knew I'
   8097 0.30%:  at this point if
   8098 0.30%:  at this point I imagine we
   8099 0.30%:  at this point I'm certain none
   8100 0.30%:  at this point I'm forcing
   8101 0.29%:  at this point I get
   8102 0.28%:  at that moment I was
   8103 0.27%:  at the time of
   8104 0.90%:  at the time of writing
   8105 0.29%:  at the time of speaking
   8106 0.27%:  at that point I was 
   8107 0.27%:  at that point I was more
   8108 0.27%:  at this point I am aware
   8109 0.26%:  at this point I'm coming
   8110 0.25%:  at this point I know it
   8111 0.25%:  at this moment in
   8112 0.25%:  at this point I'm no
   8113 0.24%:  at the time of writing I am
   8114 0.24%:  at this point I'm more
   8115 0.23%:  at this point I'm gonna make
   8116 0.23%:  at this point I'm working on
   8117 0.23%:  at this point I can't go on
   8118 0.22%:  at that time
   8119 0.22%:  at the time I wasn
   8120 0.22%:  at this point I'm aware of
   8121 0.22%:  at this point in time we
   8122 0.22%:  at this point I'm coming to
   8123 0.22%:  at this point we can agree it
   8124 0.21%:  at that point I'm gonna
   8125 0.20%:  at this point I can imagine no fewer
   8126 0.20%:  at this point I imagine I
   8127 0.20%:  this meeting
   8128 0.20%:  it makes me want to go paint.
   8129 0.20%:  if I were making this into
   8130 0.20%:  that means I'm not a painter I
   8131 0.20%:  I'm not certain of how
   8132 0.20%:  I'm gonna paint this on
   8133 0.20%:  I know things aren
   8134 0.20%:  I promise to mention it
   8135 0.20%:  I was meaning to paint a
   8136 0.20%:  if that's not making me
   8137 0.20%:  now I think I'm a
   8138 0.20%:  since I wrote
   8139 0.54%:  since I wrote that
   8140 0.20%:  I think none
   8141 0.20%:  to the
   8142 0.20%:  it's gonna take more than one new paint
   8143 0.20%:  I am 
   8144 0.20%:  I think it's fine if we agree
   8145 0.20%:  that's one more item on
   8146 0.20%:  I'm not certain it was one
   8147 0.20%:  I'm aware that most
   8148 0.20%:  I know the artist'
   8149 0.20%:  now it's time for him
   8150 0.20%:  now I'm not at
   8151 0.20%:  that's making me a
   8152 0.20%:  I think it's time for int
   8153 0.20%:  that went
   8154 0.20%:  we're not keeping that one a
   8155 0.20%:  I know it's not the perfect image
   8156 0.20%:  it's time to write a
   8157 0.20%:  at this point I'm certain I know
   8158 0.20%:  it was on a piece of torn
   8159 0.20%:  I think it's time for me to fine
   8160 0.20%:  now it's time for me to pe
   8161 0.20%:  I can't seem to think of a more
   8162 0.20%:  now I'm certain the paint
   8163 0.20%:  if that was a
   8164 0.38%:  if that was a conf
   8165 0.20%:  I know that's iron
   8166 0.20%:  now it's time for the time
   8167 0.20%:  we're making this into
   8168 0.20%:  nope
   8169 0.20%:  I think it was more a
   8170 0.20%:  I'm not asking for an ap
   8171 0.20%:  at this point I'm aware it
   8172 0.20%:  once
   8173 0.93%:  once again I
   8174 0.50%:  once again I'm not
   8175 0.38%:  once again we
   8176 0.27%:  once again I'm the
   8177 0.57%:  once again I'm the reason
   8178 0.32%:  once again I'm the reason we
   8179 0.23%:  once again I think
   8180 0.22%:  once again we see
   8181 0.46%:  once again we see that
   8182 0.30%:  once again we see that I
   8183 0.27%:  once again we see that I am
   8184 0.22%:  once again the
   8185 0.20%:  once again I'm the most
   8186 0.20%:  now I'm off to paint that scene in
   8187 0.20%:  I think it went from
   8188 0.20%:  now I'm opening the
   8189 0.20%:  I know I'm sharing too
   8190 0.20%:  I'm gonna take this paint
   8191 0.20%:  I'm not gonna repeat the mistake
   8192 0.20%:  I see no point
   8193 0.25%:  I see no point in mention
   8194 0.20%:  now I think it's time I go paint a
   8195 0.20%:  I'm not certain it was one of the main
   8196 0.20%:  I know for a fact that I'm one
   8197 0.20%:  I'm certain it was me
   8198 0.20%:  I think I'm staring
   8199 0.29%:  I think I'm staring at a
   8200 0.20%:  I'm not certain when I got
   8201 0.20%:  if that means I can
   8202 0.70%:  if that means I can't paint
   8203 0.23%:  if that means I can't paint now
   8204 0.20%:  I got that far
   8205 0.20%:  I know that I'm not coming
   8206 0.20%:  when it comes to fine art I'm not
   8207 0.20%:  I was gonna mention that to
   8208 0.20%:  that's none
   8209 0.20%:  I can't promise that I got
   8210 0.20%:  it was a par
   8211 0.20%:  that one time I'm certain
   8212 0.20%:  that one was in front
   8213 0.56%:  that one was in front of me
   8214 0.20%:  I'm not certain if I was making the
   8215 0.20%:  I'm not certain that is an
   8216 0.20%:  I'm not a painter in
   8217 0.20%:  I can't imagine that it
   8218 0.20%:  it's gonna take a few more conf
   8219 0.20%:  I hear
   8220 0.20%:  I meant it in the worst
   8221 0.20%:  I know it's time for a
   8222 0.20%:  I know that's a great
   8223 0.20%:  it's time to take off
   8224 0.20%:  I'm certain none of that is a joke
   8225 0.20%:  I imagine he
   8226 0.20%:  that part was not
   8227 0.30%:  that part was not a joke
   8228 0.20%:  I know that's not fair of
   8229 0.20%:  there's no point in it now
   8230 0.20%:  I'm certain it was the one time
   8231 0.20%:  now I think it's time to conf
   8232 0.20%:  I see that
   8233 0.20%:  now I think it's time for a nap on
   8234 0.20%:  I think it's time we got on
   8235 0.20%:  that project was a
   8236 0.20%:  if the
   8237 0.20%:  if that were a
   8238 0.20%:  I'm gonna keep that secret no
   8239 0.20%:  I know it's that one
   8240 0.20%:  that was one great
   8241 0.20%:  there's no point in fiction
   8242 0.20%:  I'm certain that I won
   8243 0.20%:  it was of me
   8244 0.20%:  if I'm gonna
   8245 0.36%:  if I'm gonna paint
   8246 0.20%:  I think it means
   8247 0.20%:  I think it means I'm not
   8248 0.20%:  that makes me wanna go
   8249 0.20%:  no matter how it
   8250 0.32%:  no matter how it goes
   8251 0.20%:  I'm gonna eat this cookie
   8252 0.20%:  I think I'm not so certain
   8253 0.20%:  I can't wait to paint some more in
   8254 0.20%:  that is me making
   8255 0.32%:  that is me making a conf
   8256 0.20%:  that's gonna take me a few more
   8257 0.20%:  that it was in
   8258 0.20%:  now I'm certain that if I keep
   8259 0.20%:  it's time for me to go wake
   8260 0.20%:  now I'm certain things
   8261 0.20%:  I think I spent more time on a
   8262 0.20%:  I think we're gonna paint it
   8263 0.20%:  I got his
   8264 0.35%:  I got his name
   8265 0.20%:  I think it went to
   8266 0.32%:  I think it went to someone
   8267 0.20%:  I'm certain that if someone knew
   8268 0.20%:  now I'm off to paint it
   8269 0.31%:  now I'm off to paint it again.
   8270 0.20%:  that is proof of
   8271 0.20%:  we're keeping
   8272 0.90%:  we're keeping that one
   8273 0.36%:  we're keeping this
   8274 0.35%:  we're keeping that conf
   8275 0.26%:  we're keeping that a
   8276 0.20%:  here I am again.
   8277 0.20%:  now it's time to paint me
   8278 0.20%:  then I wrote a song
   8279 0.20%:  I think it's time we get me
   8280 0.20%:  now I think it's time for me not
   8281 0.20%:  that one time I ate someone
   8282 0.20%:  I think if I were to paint a scene of
   8283 0.20%:  it's neither of
   8284 0.20%:  none of that means I can't imagine one
   8285 0.20%:  it was an orange
   8286 0.20%:  none of that conf
   8287 0.20%:  none of that's gonna matter if I can
   8288 0.20%:  that one time I got a
   8289 0.20%:  now it's time for me to h
   8290 0.20%:  it was then
   8291 0.20%:  I know I'm posting
   8292 0.20%:  I know I'm posting that
   8293 0.20%:  that one's in
   8294 0.20%:  now that I'm certain I
   8295 0.20%:  since then it
   8296 0.20%:  I'm not taking that one
   8297 0.20%:  at this point I imagine I'm not
   8298 0.20%:  I know for a fact I meant the one
   8299 0.20%:  I know I'm not the first of
   8300 0.20%:  it's gonna take more than an open
   8301 0.20%:  I'm writing fiction
   8302 0.20%:  I am certain that it
   8303 0.20%:  I'm aware I
   8304 0.20%:  I think I'm gonna paint a woman
   8305 0.20%:  that was a perfect moment in
   8306 0.20%:  I know I'm gonna stop
   8307 0.20%:  at this point we are
   8308 0.20%:  at this point I'm making a
   8309 0.20%:  that means I got to
   8310 0.20%:  I think I meant to get
   8311 0.20%:  I think it's time to fire
   8312 0.20%:  I'm one
   8313 2.09%:  I'm one of those
   8314 0.83%:  I'm one of the most
   8315 0.67%:  I'm one of the worst
   8316 0.37%:  I'm one of the few
   8317 0.35%:  I'm one of those pain
   8318 0.20%:  no I'm not gonna paint that
   8319 0.20%:  now that it's on tape
   8320 0.20%:  I think I'm gonna re
   8321 0.20%:  the reason I'm not making it into
   8322 0.20%:  no I'm not taking
   8323 0.48%:  no I'm not taking that
   8324 0.37%:  no I'm not taking this
   8325 0.20%:  one time I forgot
   8326 0.20%:  the one from
   8327 0.20%:  then we
   8328 0.20%:  I know that no painter
   8329 0.24%:  I know that no painter can
   8330 0.20%:  I think I'm someone
   8331 0.20%:  the reason it took me ten
   8332 0.20%:  none of that was a joke at
   8333 0.20%:  that was it. I
   8334 0.20%:  that was too
   8335 0.20%:  that means I can't go on to
   8336 0.20%:  I'm not certain I know that
   8337 0.20%:  I am the reason
   8338 0.20%:  I'm not making it easier on
   8339 0.20%:  the reason I can't get
   8340 0.20%:  I think I got it from one
   8341 0.20%:  I think I want to paint more of
   8342 0.20%:  I'm keeping that first
   8343 0.20%:  I'm gonna paint a new one this
   8344 0.20%:  I'm not gonna stop at
   8345 0.20%:  now I am certain I'm not
   8346 0.20%:  I forgot to paint in the mask
   8347 0.20%:  I'm not gonna make that secret
   8348 0.20%:  I think it's now time for me to p
   8349 0.20%:  I know that's not gonna mean
   8350 0.20%:  I'm now certain that I spent
   8351 0.20%:  that's not fair to make
   8352 0.20%:  I promise I won't mention that again 
   8353 0.20%:  I want to paint another one as
   8354 0.20%:  that makes me forget
   8355 0.20%:  now it's gonna take me three
   8356 0.20%:  I imagine there's no point
   8357 0.20%:  I think I'm gonna raise
   8358 0.20%:  I think I'm gonna paint it in water
   8359 0.20%:  I think I'm gonna paint a monster now
   8360 0.20%:  I am certain that I'm not gonna
   8361 0.20%:  he was coming
   8362 0.20%:  it was an entire
   8363 0.20%:  when it came time for paint
   8364 0.20%:  I'm certain it makes
   8365 0.19%:  I'm not gonna take this conf
   8366 0.19%:  it's gonna take more than one nice
   8367 0.19%:  that I'm not too
   8368 0.19%:  I keep meaning to mention how
   8369 0.19%:  on that note I'm gonna answer
   8370 0.19%:  I spent more time on it than I wanna
   8371 0.19%:  on the topic of ninjas
   8372 0.19%:  I think if someone came into
   8373 0.19%:  at this point in time I'm aware
   8374 0.19%:  I'm gonna make the
   8375 0.19%:  I know I'm not racist
   8376 0.19%:  at this point I forgot
   8377 0.19%:  that part's canon
   8378 0.19%:  I'm gonna frame
   8379 0.86%:  I'm gonna frame that conf
   8380 0.57%:  I'm gonna frame this
   8381 0.50%:  I'm gonna frame this conf
   8382 0.19%:  not in
   8383 0.19%:  we're not speaking of him
   8384 0.19%:  if I'm gonna paint another
   8385 0.39%:  if I'm gonna paint another one it
   8386 0.19%:  that means no
   8387 0.32%:  that means no more paint
   8388 0.30%:  that means no matter
   8389 0.23%:  that means no more conf
   8390 0.19%:  it was on one
   8391 0.23%:  it was on one of the
   8392 0.19%:  that isn't making it
   8393 0.19%:  that action
   8394 0.19%:  it's gonna take more than one name
   8395 0.19%:  I think if I were to paint again some
   8396 0.19%:  that's me for
   8397 0.19%:  I am certain that'
   8398 0.40%:  I am certain that's not
   8399 0.19%:  he was facing front
   8400 0.19%:  I'm not certain the image
   8401 0.19%:  that got me into some
   8402 0.19%:  then I wrote a poem
   8403 0.19%:  that one's on tape
   8404 0.19%:  I can't imagine that master
   8405 0.19%:  now it's hitting
   8406 0.19%:  now I'm certain of those
   8407 0.19%:  it's gonna take me a hot
   8408 0.19%:  no I'm not gonna finish
   8409 0.19%:  there's a fifteen
   8410 0.19%:  I can't wait to see if
   8411 0.19%:  it's taking me
   8412 0.19%:  there's no point in waiting on
   8413 0.19%:  I think I meant to frame
   8414 0.20%:  I think I meant to frame it as
   8415 0.19%:  it was in fact the
   8416 0.19%:  then I forgot to take
   8417 0.19%:  now I'm making faces
   8418 0.19%:  I know that means I can't paint for
   8419 0.19%:  I think it's fine if I
   8420 0.19%:  I think we're safe
   8421 0.19%:  I think if I were to paint again soon
   8422 0.19%:  he's wearing a top
   8423 0.19%:  I'm certain that pain
   8424 0.19%:  I'm sitting in the office
   8425 0.19%:  it's gonna take more than one time in a
   8426 0.19%:  I know for a fact I'm gonna paint
   8427 0.19%:  it took me a few
   8428 0.45%:  it took me a few tries
   8429 0.21%:  it took me a few months
   8430 0.19%:  I think it's not gonna win
   8431 0.19%:  I'm certain the paint
   8432 0.19%:  I'm not gonna write that on
   8433 0.19%:  it was a nin
   8434 0.19%:  I think I can write
   8435 0.19%:  I can't stop here
   8436 0.19%:  I think it's time for me to cop
   8437 0.19%:  I want to forget I
   8438 0.19%:  I want to paint again sooner
   8439 0.19%:  it took me ten tries
   8440 0.19%:  I'm certain his
   8441 0.19%:  I meant to paint him wearing an
   8442 0.19%:  it was a print
   8443 0.19%:  I'm gonna keep mention
   8444 0.19%:  we're not gonna make that into
   8445 0.19%:  I think I want to paint again since
   8446 0.19%:  it's gonna take more than an epic
   8447 0.19%:  I was gonna paint that too
   8448 0.19%:  now that I imagine
   8449 0.19%:  that fact was
   8450 0.19%:  I think it's time for me to pee now.
   8451 0.19%:  I'm not freak
   8452 0.19%:  I'm not gonna mention the water
   8453 0.19%:  I know I forgot
   8454 0.29%:  I know I forgot the
   8455 0.19%:  I know that I meant
   8456 0.19%:  that one time I got some
   8457 0.19%:  we're not gonna mention paint
   8458 0.19%:  I'm certain none of that is meant
   8459 0.19%:  no I'm not gonna repeat
   8460 0.19%:  I can't paint in
   8461 0.19%:  I keep meaning to mention that I was a
   8462 0.19%:  I'm awesome at
   8463 0.19%:  that means I can paint now
   8464 0.19%:  I know that's a giant
   8465 0.19%:  it's gonna take more than a mon
   8466 0.19%:  now it makes
   8467 0.90%:  now it makes perfect
   8468 0.19%:  that means I now
   8469 0.19%:  that one makes it
   8470 0.19%:  I'm not sitting
   8471 0.25%:  I'm not sitting with
   8472 0.19%:  I'm certain that time
   8473 0.19%:  that in
   8474 0.19%:  I think it's time for a nap now I
   8475 0.19%:  I'm not taking the time
   8476 0.19%:  I think now I'm gonna paint a
   8477 0.19%:  I'm gonna paint it now
   8478 0.19%:  now I'm staring at it
   8479 0.19%:  I'm working on this
   8480 0.19%:  I think it's great.
   8481 0.19%:  I know these are conf
   8482 0.19%:  that makes me not a great
   8483 0.19%:  it's not canon
   8484 0.19%:  none of that means I agree
   8485 0.19%:  I was meaning to mention I
   8486 0.19%:  on that note I'm gonna stare
   8487 0.19%:  now he's coming
   8488 0.19%:  I think it's not fair of me to name
   8489 0.19%:  now it's time to face the fear
   8490 0.19%:  now the image
   8491 0.19%:  I think I wanna go paint more often
   8492 0.19%:  it's not the one we
   8493 0.19%:  at that point I can
   8494 0.19%:  I'm not certain that I am
   8495 0.19%:  I can't imagine someone who
   8496 0.19%:  I know for a fact that means
   8497 0.26%:  I know for a fact that means I'm not
   8498 0.19%:  there was ninja action too
   8499 0.19%:  I'm not gonna mention that since we
   8500 0.19%:  I think it's time for me to own a
   8501 0.19%:  the reason I came into
   8502 0.19%:  I'm not certain if I want him
   8503 0.19%:  I think I'm an awesome painter to
   8504 0.19%:  there's no point in making me eat
   8505 0.19%:  I was home
   8506 0.19%:  I keep meaning to mention that none
   8507 0.19%:  I keep meaning to mention the
   8508 0.27%:  I keep meaning to mention the fact
   8509 0.19%:  I won't paint again either.
   8510 0.19%:  it was on tracing
   8511 0.19%:  now I'm sitting in front of a paint
   8512 0.19%:  if we're making
   8513 0.19%:  it's gonna take more than a few time
   8514 0.19%:  I think I'm fine now
   8515 0.19%:  at that point I wasn
   8516 0.19%:  none of that matters if I'm gonna
   8517 0.19%:  not in the
   8518 0.19%:  I'm not gonna mention the parts
   8519 0.19%:  I'm not certain how to get
   8520 0.19%:  I think it's time for a new image
   8521 0.19%:  it was the perfect time
   8522 0.19%:  I think I'm sorta
   8523 0.19%:  I think it's time now for a nice
   8524 0.19%:  I'm not certain if that one
   8525 0.40%:  I'm not certain if that one was
   8526 0.19%:  it's making me a
   8527 0.19%:  that's me not making
   8528 0.19%:  I think writing is
   8529 0.19%:  I can't promise that no
   8530 0.19%:  I'm not keeping that secret a
   8531 0.19%:  I think I'm gonna write an
   8532 0.19%:  I'm not working that into a
   8533 0.19%:  that freak
   8534 0.19%:  I forgot I'
   8535 0.21%:  I forgot I'm not
   8536 0.19%:  now I think it's time for me paint
   8537 0.19%:  now I'm asking
   8538 0.19%:  we're not meant to think
   8539 0.19%:  I want to paint nothing
   8540 0.22%:  I want to paint nothing more
   8541 0.19%:  I think I'm not awesome
   8542 0.19%:  I think it was time to go
   8543 0.19%:  I think I won't paint again if someone
   8544 0.19%:  I spent more time with
   8545 0.19%:  then I ate cookies
   8546 0.19%:  I get that it
   8547 0.24%:  I get that it was
   8548 0.20%:  I get that it's a
   8549 0.19%:  I was meaning to paint another one.
   8550 0.19%:  we're at that moment again
   8551 0.19%:  if that's not pat
   8552 0.19%:  it's me.
   8553 0.19%:  I think I'm gonna paint it twice as
   8554 0.19%:  since I'm the
   8555 0.19%:  I think I'm gonna frame it in
   8556 0.19%:  I keep meaning to mention that since
   8557 0.19%:  I forgot to eat this
   8558 0.30%:  I forgot to eat this week
   8559 0.19%:  now I'm off to take
   8560 0.19%:  I spent a week
   8561 0.19%:  I'm gonna paint more often
   8562 0.19%:  one of these
   8563 0.19%:  I'm making the first conf
   8564 0.19%:  that won
   8565 0.19%:  that it took
   8566 0.19%:  I'm making these
   8567 0.19%:  I know the entire
   8568 0.20%:  I know the entire point
   8569 0.20%:  I know the entire time
   8570 0.20%:  I know the entire time I spent
   8571 0.19%:  I can't promise that one won
   8572 0.19%:  none of that is making me want paint
   8573 0.19%:  that train
   8574 0.19%:  now it's time to ignore
   8575 0.19%:  there's no point making it into
   8576 0.19%:  I'm not gonna paint a master
   8577 0.19%:  I'm not gonna mention the tape
   8578 0.19%:  I think it's coming from
   8579 0.19%:  I'm not a master of
   8580 0.19%:  I think it was of me
   8581 0.19%:  I promise I won't mention again that in
   8582 0.19%:  I'm gonna paint the rest
   8583 0.19%:  I was making the entire point
   8584 0.19%:  I think it gets
   8585 0.19%:  that one time I saw
   8586 0.19%:  that one time was
   8587 0.19%:  that time I got
   8588 0.19%:  I'm not certain if I want to make
   8589 0.19%:  it was from one
   8590 1.80%:  it was from one of the
   8591 0.19%:  now it's time to face the morning
   8592 0.19%:  it was a joint
   8593 1.03%:  it was a joint effort
   8594 0.19%:  no matter how I spin it I can't make a
   8595 0.19%:  that's after I got
   8596 0.19%:  now I'm not that conf
   8597 0.19%:  I promise that I won
   8598 5.92%:  I promise that I won't mention
   8599 0.40%:  I promise that I won't make
   8600 0.23%:  I promise that I won't mention again
   8601 0.19%:  I'm not the first one to name
   8602 0.19%:  now that's gone
   8603 0.19%:  we're not keeping this one
   8604 0.19%:  that's me own
   8605 0.19%:  that's me owning it
   8606 0.19%:  I'm now certain that I am
   8607 0.23%:  I'm now certain that I am not
   8608 0.19%:  that I was making
   8609 0.19%:  we're not keeping that in
   8610 0.19%:  I promise I won't mention it again hee
   8611 0.19%:  I was nine then
   8612 0.19%:  I gotta paint another one.
   8613 0.19%:  that's a fact for
   8614 0.19%:  that's fifteen more
   8615 0.19%:  that was one time I got in
   8616 0.19%:  I meant to paint them
   8617 0.19%:  that's me not wanting
   8618 0.19%:  it's time for me to nap
   8619 0.26%:  it's time for me to nap now
   8620 0.23%:  it's time for me to nap again
   8621 0.19%:  I swear I'm not making that face
   8622 0.19%:  I'm not too certain the
   8623 0.19%:  I think it's for
   8624 0.19%:  after that I got some
   8625 0.19%:  it's not a perfect
   8626 0.19%:  i
   8627 0.19%:  I can promise that it
   8628 0.19%:  I am not certain that I was
   8629 0.19%:  I was gonna paint more
   8630 0.19%:  I think we're gonna stop on
   8631 0.19%:  I wanna go paint another
   8632 0.19%:  we're keeping that one to
   8633 0.19%:  I'm writing this on a nap
   8634 0.19%:  I know it's time to face
   8635 0.19%:  I know he's a
   8636 0.19%:  I know he's a cart
   8637 0.19%:  that was in art
   8638 0.19%:  on that note. I
   8639 1.84%:  on that note. I'm gonna
   8640 1.04%:  on that note. I'm gonna paint
   8641 0.45%:  on that note. I'm gonna paint a
   8642 0.42%:  on that note. I'm off
   8643 0.29%:  on that note. I'm gonna take
   8644 0.19%:  I'm speaking in front
   8645 0.53%:  I'm speaking in front of the
   8646 0.19%:  after the
   8647 0.19%:  after the fact
   8648 0.19%:  I forgot the ninja weapons.
   8649 0.19%:  it's that time
   8650 1.63%:  it's that time again
   8651 0.25%:  it's that time again for
   8652 0.19%:  I want to paint again in
   8653 0.19%:  I am certain that if
   8654 0.42%:  I am certain that if someone
   8655 0.19%:  we're gonna keep this one to
   8656 0.19%:  I think it's time for me to join a new age
   8657 0.19%:  can
   8658 0.19%:  I meant to paint a woman
   8659 0.19%:  that means we're not gonna mention
   8660 0.19%:  I think I'm gonna write a fiction
   8661 0.19%:  on that note I'm gonna pack
   8662 0.19%:  that makes two for
   8663 0.19%:  that's not an opinion I want
   8664 0.19%:  I think I'm ram
   8665 0.19%:  that someone'
   8666 0.19%:  I'm certain that I knew
   8667 0.19%:  I'm not great at honest
   8668 0.19%:  I'm gonna stick to
   8669 0.19%:  that makes me not great
   8670 0.19%:  that was off
   8671 0.42%:  that was off topic
   8672 0.19%:  I know for a fact that I mean it
   8673 0.19%:  there was a moment
   8674 0.19%:  it was in green paint that
   8675 0.19%:  I can't paint.
   8676 0.19%:  there's too
   8677 0.19%:  I'm most certain now
   8678 0.19%:  somehow I can't imagine a painter
   8679 0.19%:  it's not a crime to mention
   8680 0.19%:  since I'm mention
   8681 0.19%:  I imagine he was
   8682 0.19%:  I can't think of a more intense
   8683 0.19%:  I think it's time we come
   8684 0.19%:  none of that means I can't work
   8685 0.19%:  I know it's not a perfect image
   8686 0.19%:  I keep coming
   8687 0.19%:  I'm wearing his face
   8688 0.19%:  I hope no one
   8689 0.19%:  I think it was in fact
   8690 0.19%:  none of that means I can't imagine new
   8691 0.19%:  that won't stop
   8692 0.19%:  I was gonna mention the fact
   8693 0.19%:  I'm gonna make it
   8694 0.41%:  I'm gonna make it worse
   8695 0.19%:  I want to paint some more again
   8696 0.19%:  I'm gonna own that fact
   8697 0.19%:  there's no point in meeting me at
   8698 0.19%:  I can't get the
   8699 0.31%:  I can't get the paint
   8700 0.19%:  I'm gonna write it in
   8701 0.19%:  I'm not certain I want those
   8702 0.19%:  I threw in some
   8703 0.19%:  it was the one time I forgot
   8704 0.19%:  I think it's time for me to open a few
   8705 0.19%:  on that note I'm gonna paint a fence
   8706 0.19%:  since we're at
   8707 0.23%:  since we're at the
