definitely possible to get a PhD in that, yes?
100.00%: 
38.08%:  definitely
0.01%:  one of the D
0.01%:  the title of an old
0.01%:  an old ghost
0.01%:  got a bad
0.01%:  tall,
0.01%:  one thing if he
0.01%:  none of the pill
0.01%:  the best thing today, isn
0.01%:  lonely inside
0.01%:  a listen
0.01%:  a little thing on the top
0.01%:  not the pills, honest
0.01%:  honestly the best one,
0.01%:  possible that it is the only
0.01%:  been shooting
0.01%:  a hole
0.01%:  safe to say,
0.01%:  the one in the t
0.01%:  only polite, being as
0.01%:  a little boy, and his eyes
0.01%:  not often she gets this
0.01%:  at the end of this alley by
0.01%:  past the
0.01%:  this elephant sitting at
0.01%:  definitely silent
0.01%:  still night
0.01%:  not so bad feeling
0.02%:  not so bad feeling this
0.01%:  been so long, these
0.01%:  in the shape of a dog,
0.01%:  a ge
0.01%:  the feeling that stays, not
0.01%:  a definitely a thing,
0.01%:  a sentient, self
0.01%:  at the end of the line to
0.01%:  passing
0.01%:  definitely not that this is a
0.01%:  the feels
0.01%:  not easy to find the pills
0.01%:  been a long day, yes it
0.01%:  got to be all
0.01%:  totally fine that he gets
0.01%:  been so long, yet she
0.01%:  totes not the
0.01%:  fine, they go by the initials P
0.01%:  that sheep
0.01%:  possible he got his title in
0.01%:  not as big of
0.01%:  not easy to be single
0.01%:  easy to tell those
0.01%:  totally fine, P
0.01%:  totally finished
0.01%:  too late, he left
0.01%:  the title of the play, don
0.01%:  totally fine that he is
0.01%:  this passing
0.01%:  a bl
0.01%:  too bad she left,
0.01%:  one of the best pill
0.01%:  the taste
0.01%:  possible that she left to get
0.01%:  still in the post
0.01%:  not as bad
0.01%:  a little boy sitting in the
0.01%:  definitely not this big ol
0.01%:  all night
0.01%:  ste
0.01%:  a bit late tonight, yes
0.01%:  finally done
0.01%:  a lot of teeth
0.01%:  binding
0.01%:  in good taste, yes
0.01%:  definitely a thing, he says
0.01%:  been a long day, so if it
0.01%:  late at night, this
0.01%:  so easy to let life
0.01%:  this gold
0.01%:  the one inside the bottle
0.01%:  finding it
0.01%:  so sad to feel
0.01%:  so sad to feel this
0.01%:  not in the field
0.01%:  neat, isn
0.01%:  a sin
0.01%:  gotta be so intense
0.01%:  the title of this song
0.01%:  not that the feeling is less
0.01%:  honest and
0.01%:  that they
0.01%:  been so long, that despite
0.01%:  been so long, that despite the
0.01%:  one hell of a big
0.01%:  not the best feeling, is
0.01%:  only polite that this be
0.01%:  not that she let
0.01%:  a little boy, so
0.01%:  a title that doesn
0.01%:  definitely not that, h
0.01%:  not that deep a thing
0.01%:  that best
0.01%:  in the hat
0.01%:  a ghost, please
0.01%:  so late in the day to get this
0.01%:  the intense
0.01%:  honestly honestly
0.01%:  an ent
0.01%:  in the title of the last
0.01%:  got to be an inside
0.01%:  that inside
0.01%:  eight feet tall in the
0.01%:  definitely not a ghost, e
0.01%:  not the title of the play
0.01%:  a doll that
0.01%:  been in the title of
0.02%:  been in the title of this
0.01%:  listed on the fly
0.01%:  the best one in
0.01%:  so easy to get behind
0.01%:  got to be at least ten
0.01%:  a stat
0.01%:  not a test
0.01%:  fine, she said
0.01%:  fine, she said it
0.01%:  so late in the day this
0.01%:  fine they
0.01%:  definitely get
0.01%:  polite thing
0.01%:  a salt
0.01%:  too late, that feeling is inside
0.01%:  the side
0.01%:  fine to be a little dist
0.01%:  on the end of the list,
0.01%:  so tangible, that
0.01%:  fine, he totally gets that
0.01%:  not as if that
0.01%:  not a thing, he
0.01%:  besides the point, he
0.01%:  not the pills that got
0.01%:  been so long that if the
0.01%:  safe, he
0.01%:  only at
0.01%:  got a little bite
0.01%:  not spelt
0.01%:  not possible that,
0.01%:  a sentient self
0.01%:  a lengthy title to be
0.01%:  that listening
0.01%:  in the list of titles they
0.01%:  a feeling, please
0.01%:  a little big to say
0.01%:  also possible that if
0.01%:  a pet dog
0.01%:  only polite, they
0.01%:  so pleasant,
0.01%:  this feeling that is en
0.01%:  at this point he
0.01%:  in the title of the signs,
0.01%:  not the pills doing
0.01%:  not the pills doing this
0.01%:  a title, yes
0.01%:  this feeling that it doesn
0.01%:  in the title she goes by, isn
0.01%:  hi
0.01%:  one of the din
0.01%:  got potential
0.01%:  a little past its
0.01%:  a deep feeling, that one
0.01%:  easily the best and
0.01%:  definitely lasting
0.01%:  nothing, it passed
0.01%:  that feeling in the deep
0.01%:  definitely not the sassy
0.01%:  these pills, the
0.01%:  pleasing to be
0.01%:  in the title she goes by, yes
0.01%:  totally fine that this doesn
0.01%:  the best fella
0.01%:  been a long day t
0.01%:  definitely syn
0.01%:  easy to identify as
0.01%:  a little on the nose, that
0.01%:  easy to tell a
0.01%:  eight feet tall, and he
0.01%:  only a one
0.01%:  not that bad, she still
0.01%:  so P
0.01%:  a shape shifting entity?
0.01%:  only his
0.01%:  a blood
0.01%:  this tiny little thing of
0.01%:  the title of his last
0.01%:  not easily
0.01%:  only polite, that is
0.01%:  this teenage boy in
0.01%:  this teenage boy in the
0.01%:  only polite, as the
0.01%:  the potential
0.01%:  not the title of his dis
0.01%:  only polite that a
0.01%:  a thing, h
0.01%:  a holiday,
0.01%:  been a long shift, e
0.01%:  easy to get to
0.01%:  been so long that it feels,
0.01%:  gotta be in the little
0.01%:  only being polite?
0.01%:  hit
0.01%:  a lot to bite
0.01%:  possible that it is only the
0.01%:  that last one they
0.01%:  the day
0.01%:  honestly only
0.01%:  in the left hand
0.01%:  a good title, if
0.01%:  totally tonight
0.01%:  one of his little pets,
0.01%:  a title, and she
0.01%:  so easy to listen
0.01%:  late at night in
0.01%:  the best feeling, the nost
0.01%:  easy to find these
0.01%:  not possible, the feeling
0.01%:  best if she stay
0.01%:  thing is
0.01%:  totes a thing,
0.01%:  sitting on the side of his
0.01%:  only polite that he gets
0.01%:  beside the point that, in
0.01%:  staying inside
0.01%:  in the title of this one
0.01%:  in a bottle, so
0.01%:  the din
0.01%:  in the style of being
0.01%:  a big hit in this
0.01%:  fine, this is a good
0.01%:  the best song of this
0.01%:  totally a thing, see
0.01%:  only polite, and they
0.01%:  been so long, yet feels
0.01%:  totally a thing, is
0.01%:  totally a thing, is the
0.01%:  definitely a thing to beh
0.01%:  so intensely sad,
0.01%:  definitely a thing, as
0.01%:  a body that
0.01%:  so late to
0.01%:  so late to the
0.01%:  so late to be listening
0.01%:  on the side of the pill
0.01%:  this little dog, isn
0.01%:  this old feeling, as
0.01%:  only the 
0.01%:  the best of these
0.01%:  too late in the night,
0.01%:  so tangible, yet so in
0.01%:  not listed in his
0.01%:  fine to say that
0.01%:  best left
0.01%:  a big hit in these
0.01%:  possible she left, h
0.01%:  only, he
0.01%:  the one in this
0.01%:  only polite, being that these days
0.01%:  a big deal, this
0.01%:  the title on the pl
0.01%:  that feeling in the p
0.01%:  definitely plot
0.01%:  in the title of this blog, isn
0.01%:  this tiny, floating eyeb
0.01%:  this gentle
0.01%:  only safe
0.01%:  in the titles, isn
0.01%:  definitely a thing, al
0.01%:  sitting on a shelf,
0.01%:  one of these little inside
0.01%:  not a thing he does, is
0.01%:  in his title, isn
0.01%:  online,
0.01%:  a blessing to feel that
0.01%:  beating the
0.01%:  a diet
0.01%:  in the title, this
0.01%:  heating
0.01%:  on the list of things it
0.01%:  easily the best title of anything
0.01%:  fine, as
0.01%:  fine, as long as they
0.01%:  fine, as long as it
0.01%:  sleeping
0.01%:  at the end of this line, yes
0.01%:  to be polite and
0.01%:  old feelings, it
0.01%:  this one lady,
0.01%:  not that he gets
0.01%:  definitely poet
0.01%:  that old feeling at
0.01%:  so late it
0.01%:  gonna tell
0.01%:  often played
0.01%:  giant and
0.01%:  the best idea yet, honestly
0.01%:  a good pal, h
0.01%:  the big one on
0.04%:  the big one on the left,
0.01%:  so gentle, and it
0.01%:  so gentle, and it feels
0.01%:  in the lab, isn
0.01%:  also possibly
0.01%:  not that they left,
0.01%:  beside that
0.01%:  possible that he is not yet
0.01%:  on the end table to
0.04%:  on the end table to the left,
0.01%:  those eyes
0.01%:  a thing to be
0.01%:  been a long day, lots
0.01%:  this standing
0.01%:  lonely and
0.01%:  that single
0.01%:  not lying
0.01%:  so big, it needs
0.01%:  in the title of a
0.01%:  been his
0.01%:  little,
0.01%:  been so long that, despite his
0.01%:  the title of a play,
0.01%:  sitting on the sofa, by
0.01%:  totes the best feelings
0.01%:  the best of the titles
0.01%:  the best of this
0.01%:  not that old feeling, it
0.01%:  fine to be that
0.01%:  all pointing
0.01%:  fine, this is not the
0.01%:  only in the title of
0.01%:  only in the title of this
0.01%:  beside the point, it
0.01%:  a good title, e
0.01%:  the fall
0.01%:  not easy to hide
0.01%:  not easy to hide feelings
0.01%:  best not to say it
0.01%:  a test to see if it
0.01%:  only polite, as the saying
0.01%:  only polite, in the
0.01%:  this feeling, is it
0.01%:  totally he
0.01%:  been so long that i feel
0.01%:  the title, it
0.01%:  one of the little things?
0.01%:  eight feet tall and is the
0.01%:  easy to get by
0.01%:  sitting at the end of this alley
0.01%:  sitting at the end of this alley,
0.01%:  also polite
0.01%:  easy to tell this is one
0.01%:  not often that she gets
0.01%:  feeling nost
0.01%:  a deep feeling, h
0.01%:  easy to tell this one by sight
0.01%:  a blessing to see
0.01%:  sentient, by
0.01%:  the title of the song, please
0.01%:  no big deal, she is
0.01%:  the best thing of its
0.01%:  only a slight shift
0.01%:  a little shy, so be easy
0.01%:  a little thing that e
0.01%:  all ending
0.01%:  only polite, being that he is
0.01%:  in the title, is the
0.01%:  easy to tell that this isn
0.01%:  no big deal if this is the
0.01%:  been doing that all D
0.01%:  a hit
0.01%:  this lifestyle
0.01%:  definitely into
0.01%:  so late at night they
0.01%:  a feeling, possibly tied
0.02%:  a feeling, possibly tied to the
0.01%:  this feeling, and it hits
0.01%:  old to
0.01%:  been doing this lately, to
0.01%:  late to be eating
0.01%:  that old feeling at the pit
0.01%:  possible she had to
0.01%:  in the title, doesn
0.01%:  a telephone
0.01%:  not things
0.01%:  easy to see they
0.01%:  easy to get lonely in
0.03%:  easy to get lonely in this
0.01%:  that feeling, is
0.01%:  that feeling, is it not
0.01%:  the plot
0.01%:  only late at night, the
0.01%:  that feeling, only the
0.01%:  too bad this is
0.01%:  too bad this is the
0.01%:  a little intense to say
0.01%:  the title of the dis
0.01%:  healthy,
0.01%:  this bag
0.01%:  definitely gotta be that one, yes?
0.01%:  the title that is
0.01%:  totally not a thing, by
0.01%:  a feeling that is only
0.01%:  that one, yeah
0.01%:  definitely eight
0.01%:  honestly the best title and
0.01%:  this self
0.01%:  this feeling that is best
0.01%:  the best thing i
0.01%:  the title of this song,
0.01%:  both totally
0.01%:  not bi
0.01%:  definitely gotta be in the last
0.01%:  not a totally
0.01%:  tied
0.01%:  to the left, by
0.01%:  to the left, by the piano
0.01%:  that last one being
0.01%:  in the title of the ad
0.01%:  tonight,
0.01%:  to the side, a
0.06%:  to the side, a little to
0.06%:  to the side, a little bit
0.04%:  to the side, a little past
0.01%:  totes the best idea
0.01%:  definitely giant
0.01%:  not the pills, they
0.01%:  on the table, to the left?
0.01%:  the polite thing to say, yes
0.01%:  easy to get lost in hyp
0.01%:  easy to get dis
0.01%:  only definitely
0.01%:  totally a thing, these
0.01%:  pointless to say that the
0.01%:  pointless to say that the feeling
0.01%:  yelling at the
0.05%:  yelling at the top of its tiny
0.03%:  yelling at the top of his
0.02%:  yelling at the top of it
0.01%:  a thing, is
0.01%:  totally fine that she gets
0.01%:  in the title, and she
0.01%:  a shit
0.01%:  been in the last
0.01%:  a tightly
0.01%:  all in the genes
0.01%:  in his head
0.01%:  being polite, not
0.01%:  beside the point, he
0.01%:  lightly
0.01%:  one of the h
0.01%:  a lab
0.01%:  been f
0.01%:  the fond
0.01%:  in this bottle?
0.01%:  a deep feeling that honestly
0.01%:  less the
0.01%:  easy, she
0.01%:  definitely not that, yes
0.01%:  sentient, yes
0.01%:  a polite, yet
0.01%:  sitting on the side table, the
0.01%:  totally fine that she is
0.01%:  the light
0.01%:  easy to tell this one by his
0.01%:  only one sy
0.01%:  his thing
0.01%:  not all that big,
0.01%:  said he
0.01%:  this teenage boy that
0.01%:  this splitting
0.01%:  best not to say this
0.01%:  a good bit
0.01%:  been doing this lately, ya
0.01%:  possible that he is lying
0.01%:  still gonna be a
0.01%:  a fish,
0.01%:  not the best sign
0.01%:  gotta be said, his
0.01%:  less than
0.01%:  total nost
0.01%:  the shape
0.01%:  the title of his blog, and it
0.01%:  in the title of this blog, and
0.01%:  only a tiny step
0.01%:  totes a thing that
0.01%:  totally standing
0.01%:  bold of
0.01%:  possible i
0.01%:  so insane,
0.01%:  totally ins
0.01%:  been so long, yet this
0.01%:  all in the past
0.01%:  being polite, and it
0.01%:  this solid
0.01%:  no big deal, she sits
0.01%:  gonna be the title of his
0.01%:  pleasant feeling
0.01%:  lying inside
0.01%:  definitely not a pige
0.01%:  been a thing lately, this
0.01%:  a he,
0.01%:  to the side, please
0.01%:  definitely loose
0.01%:  easy, he
0.01%:  a big hit in the teen
0.01%:  been ghost
0.01%:  not a thing, the
0.01%:  a not
0.01%:  definitely nostalgia, the type
0.01%:  only, the
0.02%:  only, the feeling
0.01%:  possible that the idea of seeing
0.01%:  the title of the song played at
0.01%:  not easy to get by in the
0.01%:  into
0.01%:  not as big as
0.01%:  not as big as the
0.01%:  the telephone
0.01%:  o
0.01%:  pointless to hide feelings,
0.01%:  definitely set
0.01%:  easy to identify as she
0.01%:  a fella,
0.01%:  a little past nine,
0.01%:  possible he got hit in
0.01%:  easy to get lost in the past, hey
0.01%:  only been days, it
0.01%:  a head
0.11%:  a heady feeling
0.01%:  the title of the song by
0.01%:  stealth
0.01%:  a need
0.01%:  also delight
0.01%:  the title of his online
0.01%:  a disease, they
0.01%:  a disease, they tell
0.01%:  been doing it a lot this
0.01%:  sentient, it
0.01%:  the best of the planets,
0.01%:  anyone
0.01%:  seeing the
0.01%:  easy to see that it
0.01%:  so silly and
0.03%:  so silly and yet
0.02%:  so silly and yet it
0.01%:  besides the point that, if
0.01%:  a shooting
0.01%:  a feeling that is so
0.01%:  been doing that this past
0.01%:  playing behind
0.01%:  the tight
0.01%:  only a 
0.01%:  definitely a thing, e
0.01%:  so intense, it feels both
0.01%:  too bad she left the planet
0.01%:  gotta be P
0.01%:  those pills, h
0.01%:  the bottle
0.01%:  the ghost of an
0.01%:  not bad, he
0.01%:  a little thing she does, y
0.01%:  the last of the big
0.01%:  the title of his single
0.01%:  so sad it
0.01%:  that one feeling that, despite
0.01%:  a long tale
0.01%:  been a long life, h
0.01%:  totally sent
0.01%:  often said that it
0.01%:  so, it
0.01%:  honestly the best idea i
0.01%:  a little thing at
0.01%:  a date
0.01%:  a tape
0.01%:  paying a
0.01%:  the best feeling and this
0.01%:  a tangible, solid
0.02%:  a tangible, solid entity
0.01%:  a long,
0.01%:  a title he goes by, not
0.02%:  a title he goes by, not his
0.01%:  a fleshy entity,
0.01%:  gotta be so intense,
0.01%:  the idea of nost
0.01%:  the feeling that, no
0.01%:  in the title of this play, so
0.01%:  in the title of the sign, please?
0.01%:  set
0.01%:  definitely a thing, is the
0.01%:  a pot
0.03%:  a potent feeling
0.01%:  a pin
0.01%:  fate
0.01%:  this shape
0.01%:  totally gotta
0.01%:  that sent
0.01%:  one of the best day
0.01%:  in the title, is it
0.01%:  only polite, and he
0.01%:  not in the best
0.04%:  not in the best shape
0.01%:  only polite that she say
0.01%:  totally eating
0.01%:  in the title of the band
0.01%:  the one that got
0.01%:  pointless to be sad,
0.01%:  this little thing, it says
0.01%:  gonna be the last
0.01%:  none of his
0.01%:  so light
0.01%:  no big deal, e
0.01%:  not easy to get by these
0.01%:  so late in life to be hitting
0.01%:  a polite and yet
0.01%:  not that they sent
0.01%:  easy to feel lost
0.01%:  this little dog that b
0.01%:  this tiny little boy,
0.01%:  this one, the tall
0.01%:  as if the last
0.01%:  not a big deal if it
0.01%:  that old feeling, this one
0.01%:  only being polite, she said
0.01%:  got to be less than ten
0.01%:  not easy to find the pill
0.01%:  noise
0.01%:  beside the point that eating is
0.01%:  pleasant, isn
0.01%:  a feeling, a
0.01%:  a life lesson that
0.01%:  one thing to feel that,
0.01%:  one of the best titles,
0.01%:  also not the
0.01%:  to settle
0.01%:  totally feas
0.01%:  in the spelling be
0.01%:  a little intense, she
0.01%:  in the title of the sign, it
0.01%:  definitely bon
0.01%:  safe to say this little
0.01%:  helping that
0.01%:  on the edge of the
0.01%:  on the edge of the table
0.01%:  a little bit on the nose, yeah
0.01%:  still best
0.01%:  only the best night of
0.01%:  this b
0.01%:  not that the idea of being
0.01%:  so pleasant to feel
0.01%:  so pleasant to feel this
0.01%:  a little bit shy
0.01%:  the feeling that, despite it
0.01%:  totes fine to
0.01%:  in the style of the sign
0.01%:  so late in the day she
0.01%:  one of the best nights yet
0.01%:  all behind
0.01%:  done in the best
0.01%:  easy to be the
0.01%:  not a deep
0.02%:  not a deep feeling
0.01%:  hot and it
0.02%:  hot and it feels
0.01%:  not entitled
0.01%:  his last
0.01%:  a big list,
0.01%:  listening?
0.01%:  a fine day, gentle
0.01%:  not a big deal if he
0.01%:  pat
0.01%:  gotten so bad that it feels
0.01%:  this taste
0.01%:  not a big deal if she
0.01%:  this tiny little dog?
0.01%:  easy to get a
0.02%:  easy to get a little nost
0.01%:  easy to get a PhD
0.03%:  easy to get a PhD in this
0.03%:  easy to get a PhD in this field, isn
0.01%:  easy to get a little tips
0.01%:  easy to get a little sent
0.01%:  easy to get a PhD in this field, by
0.01%:  easy to get a little bit
0.01%:  easy to get a little behind
0.01%:  a play on the title of this
0.01%:  a play on the title of this sign
0.01%:  totally fine, he goes
0.04%:  totally fine, he goes by the
0.01%:  totally fine, he goes by his
0.01%:  the slight
0.01%:  digital
0.01%:  fine to be honest, they
0.01%:  on the fly
0.01%:  the P
0.01%:  a tangible, flesh
0.01%:  laying
0.01%:  easy to identify a
0.01%:  possibly,
0.01%:  on the end table if
0.01%:  been doing that, h
0.01%:  sitting on the left,
0.01%:  been a long shift today, e
0.01%:  in the title, he
0.01%:  honestly leading
0.01%:  a big hit in the old
0.01%:  a bit on
0.06%:  a bit on the nose, yes
0.01%:  a bit on the long
0.03%:  a bit on the long side, yes
0.01%:  a bit on the nose, h
0.01%:  a bit on the nose, if
0.01%:  so intense, is all
0.01%:  the gold
0.01%:  easy to tell if they
0.01%:  in the title she goes by, not
0.01%:  definitely taste
0.01%:  not as if they sent
0.01%:  one of the sp
0.01%:  been said that the feeling is
0.01%:  not bad if
0.01%:  that old feeling, is that it
0.01%:  a little h
0.01%:  a sense
0.01%:  only polite, if they
0.01%:  totally high
0.01%:  this fleshy entity
0.01%:  this fleshy entity sitting
0.01%:  this fleshy entity inside
0.01%:  too bad they all
0.01%:  in the shape of a body,
0.01%:  not that deep a feeling, it
0.01%:  a nod
0.01%:  a nod to the past
0.01%:  so polite, isn
0.01%:  easy to get inside the
0.01%:  a fine dog
0.01%:  best not to fight these
0.01%:  easy to get lost in his hyp
0.01%:  been so long that despite this
0.01%:  nine feet tall, it
0.01%:  definitely not a postal
0.01%:  the one that sits in
0.01%:  in its
0.01%:  plain
0.01%:  a long title and
0.01%:  the title of his latest body
0.01%:  this beast
0.01%:  gotten old
0.01%:  a good life, isn
0.01%:  to the side, isn
0.01%:  these pills, is
0.01%:  definitely not that she,
0.01%:  a bit old
0.01%:  a little boy and his pet
0.01%:  fine, that doesn
0.01%:  gotta be said, this is one
0.01%:  gotta be said, this is one hell
0.01%:  too sad
0.01%:  in the title, if
0.01%:  that golden
0.01%:  a big hit on the net
0.01%:  one of the last,
0.02%:  one of the last, best
0.01%:  one of the last, best things
0.01%:  this tiny little boy, and
0.01%:  been so long, despite that
0.01%:  been h
0.01%:  only, she
0.01%:  no big deal, they say hi
0.01%:  a pointless thing
0.01%:  a fine day to
0.01%:  an easily
0.01%:  definitely the best thing to say,
0.01%:  been so long that, if they
0.01%:  so tangible this
0.01%:  the one in the bed
0.01%:  the one in the bed,
0.01%:  been said that the finest
0.01%:  got a pointy hat
0.01%:  the feeling, the taste
0.01%: , he
0.01%:  often seen
0.01%:  so late in the night it feels
0.01%:  a feeling that only she
0.01%:  that, isn
0.01%:  still fond
0.01%:  a deep feeling that,
0.02%:  a deep feeling that, honestly
0.01%:  fine, he totally gets this
0.01%:  a good title, is
0.01%:  fine, this only
0.01%:  besides the point that last
0.01%:  eight feet tall, so
0.01%:  an option
0.01%:  the only sign she
0.01%:  the only sign she left,
0.01%:  been doing this lately so it
0.01%:  the end of this
0.01%:  so late in the day this feeling
0.01%:  listed as a
0.01%:  a little bit the
0.01%:  one of the signs that
0.01%:  not that she left a big
0.01%:  the one that sits beside
0.01%:  in the title, don
0.01%:  not safe to tell
0.01%:  definitely psy
0.01%:  in the title of the sign, is
0.01%:  a feeling, so
0.01%:  a feeling, so it
0.01%:  not that last
0.01%:  the only sign he
0.01%:  been days of this, honestly
0.01%:  besides the point, is the
0.01%:  that old feeling in the eyes
0.01%:  not that easy, h
0.01%:  been a long day if this
0.03%:  been a long day if this is the
0.01%:  possibly his
0.01%:  one of the silly
0.02%:  one of the silly things
0.01%:  s
0.01%:  not beyond
0.01%:  the one in a
0.01%:  a sight to behold, please
0.01%:  so late to be feeling
0.01%:  said that the eyes
0.01%:  fine to be late to
0.01%:  fine to be late to the
0.01%:  totally beating
0.01%:  definitely not the pasta
0.01%:  not easy to say,
0.01%:  easy to get lost in days
0.01%:  the ling
0.01%:  not deep
0.01%:  honestly not that big,
0.01%:  so ent
0.01%:  easy to get lost in the head
0.01%:  falling on
0.01%:  all good, she
0.01%:  the only thing left to be
0.01%:  the best idea she
0.01%:  often said that he
0.01%:  so late in the day to be feeling this p
0.01%:  this tiny, little ghost
0.01%:  that big,
0.01%:  this eighteen
0.01%:  this bad
0.01%:  gonna be the title of the
0.01%:  a little intense, that
0.01%:  possible that that is,
0.01%:  definitely not that she ate
0.01%:  not stealing if they said
0.01%:  in the little boy
0.01%:  so silent
0.01%:  fine to be honest, that
0.01%:  life and
0.01%:  this little boy?
0.01%:  often in
0.01%:  been doing this the last 
0.01%:  that old feeling, ain
0.01%:  in the shape of a tiny little dog
0.01%:  this feeling, and it tastes
0.01%:  not a thing she does, it
0.01%:  not easy being the life
0.01%:  been testing
0.01%:  gotta be the s
0.01%:  to the left, in
0.01%:  definitely the best one that
0.01%:  a title she goes by in
0.01%:  this feeling, this sad
0.01%:  a little thing on the side, see
0.01%:  easy to tell this one by its
0.01%:  not that this feeling is sad
0.01%:  the latest in a line
0.01%:  the best song to play
0.01%:  a little thing she does, e
0.01%:  been a long day to the
0.01%:  a lot of the things
0.01%:  a big fat
0.01%:  definitely not a ghost, al
0.01%:  an ob
0.01%:  totally non
0.01%:  one of the giant pill
0.01%:  these pills that do it, see
0.01%:  the title of this episode?
0.01%:  spilling
0.01%:  sitting on the side table, please
0.01%:  definitely gas
0.01%:  pointless to be shy
0.01%:  a little thing at the side
0.01%:  one of the last days
0.01%:  honestly the best feeling so
0.01%:  nothing deep
0.01%:  a lot of yes
0.01%:  a heady title
0.01%:  been doing this the past 
0.01%:  a little thing he does, no
0.01%:  despite the
0.01%:  been so long, is he
0.01%:  safe to eat
0.01%:  this pile
0.01%:  eight feet tall, and it is
0.01%:  not that long, it feels
0.01%:  not that that feeling
0.01%:  not that that feeling is
0.01%:  definitely got a PhD,
0.01%:  the title of a bi
0.01%: , possibly
0.01%:  a little thing on the side, so
0.01%:  not easy to get his
0.01%:  eight feet tall and point
0.01%:  been tight
0.01%:  a pity she left
0.01%:  possible he got the title as
0.01%:  the title of that episode
0.01%:  a sight to behold, in
0.01%:  pointless to deny that the
0.01%:  been st
0.01%:  totally safe to be inside
0.01%:  big and it has
0.01%:  fine, this is totally a thing
0.01%:  that old feeling, the taste
0.01%:  the best, and only
0.01%:  easy to do the
0.01%:  a little thing, not
0.01%:  at least one
0.01%:  big on
0.01%:  been so long that this title
0.01%:  best to say that
0.01%:  a li
0.01%:  in an
0.01%:  one thing to be filled
0.01%:  a sight to be seen, honestly
0.01%:  totally safe, he doesn
0.01%:  been a long day, t
0.01%:  not that late in
0.01%:  not that late in the episode
0.01%:  to the side of that
0.01%:  at least one of the
0.01%:  too late, please
0.01%:  not that it doesn
0.01%:  a feeling, not a body
0.01%:  ah
0.01%:  a little thing, so don
0.01%:  not the s
0.01%:  totally the best song in
0.01%:  nothing less
0.01%:  stated in
0.01%:  only polite, and this
0.01%:  only polite, and this is the
0.01%:  a little tiny ghost,
0.01%:  possible that the title is in
0.01%:  fine, she gets
0.02%:  fine, she gets that
0.03%:  fine, she gets that all
0.01%:  fine, she gets it
0.02%:  fine, she gets it all
0.01%:  fine, she gets it too
0.01%:  eight feet tall so it
0.01%:  in the title if
0.01%:  easy to get lost in the d
0.01%:  definitely age
0.01%:  not a pet
0.01%:  that one that gets
0.01%:  definitely health
0.01%:  fine, they said it
0.01%:  the n
0.01%:  the thesis
0.01%:  fine not to,
0.01%:  position
0.01%:  bl
0.02%:  blasting
0.01%:  bliss
0.01%:  a title, and it belongs
0.01%:  been doing that lately is
0.01%:  the little things, D
0.01%:  not to be dis
0.01%:  only in the titles of
0.01%:  the legend
0.01%:  a good bet she still
0.01%:  best not to say hell
0.01%:  the best one of these
0.01%:  the only thing left,
0.01%:  the feeling that is not
0.01%:  best if she does that
0.01%:  long been a life
0.01%:  to the left, behind a
0.01%:  not that she and
0.01%:  all the best,
0.01%:  a please,
0.01%:  doing to
0.01%:  not so bad if it
0.01%:  a sentient bottle
0.01%:  not that she fed
0.01%:  also in
0.11%:  also in the title
0.27%:  also in the title of the
0.11%:  also in the title of this
0.10%:  also in the title of the sign
0.05%:  also in the title of this sign
0.09%:  also in the title of this sign,
0.04%:  also in the title of this sign, by
0.03%:  also in the title of his
0.03%:  also in the title,
0.02%:  also in the title of the sign,
0.01%:  also in the title of the sign by
0.01%:  also in the title of his best
0.01%:  sitting on the table?
0.01%:  insanely pot
0.01%:  no big deal, if it
0.01%:  gotta be in the top ten
0.01%:  not honestly
0.01%:  totally the best dog in
0.01%:  this feeling inside that t
0.01%:  not easy to spell the
0.01%:  a little thing, h
0.01%:  only in the past day
0.01%:  so late at night, this definitely
0.01%:  honestly the best feeling, to
0.01%:  a lengthy title that
0.01%:  not that easy to define
0.01%:  definitely nostalgia by
0.01%:  totally and
0.01%:  been distant
0.01%:  an honest to
0.01%:  got a bit of a silly
0.01%:  gotta be all this
0.01%:  the last one listed,
0.01%:  the best feeling, no
0.01%:  good the
0.01%:  the best thing in today
0.01%:  this single
0.01%:  not easy to tell if the
0.01%:  the last one that
0.01%:  not as easy
0.01%:  the possible
0.01%:  fine, he gets
0.02%:  fine, he gets that
0.01%:  fine, he gets that all
0.01%:  at the end of this line, so
0.01%:  possible yes
0.01%:  totally fine, he says
0.01%:  in a bottle, yes
0.01%:  easy to get lost in self
0.01%:  easy to get a little obs
0.01%:  in the past tense, so
0.01%:  been so long that it has
0.01%:  been so long, e
0.01%:  the end of the list
0.01%:  a tele
0.01%:  so tangible yet so int
0.01%:  a ling
0.01%:  the feelings, and it
0.01%:  all gone,
0.01%:  so all
0.01%:  failing
0.01%:  not that often,
0.01%:  possible it is the only
0.01%:  only it
0.01%:  so easy to tell these
0.01%:  too late, that feeling is behind
0.01%:  this tall, thin
0.01%:  no big deal, they say hi to
0.01%:  that pet
0.01%:  not a title they
0.01%:  a title, and the
0.01%:  not possible, he
0.01%:  the latest in today
0.01%:  the lady in the bat
0.01%:  the best pal to
0.01%:  easy to see the potential
0.01%:  definitely healing
0.01%:  a tangible entity, despite
0.01%:  not so bad, he
0.01%:  been doing that lately, if
0.01%:  easy to spot this
0.01%:  in the title, so this
0.01%:  fine?
0.01%:  a big hit on the play
0.01%:  so she
0.01%:  definitely in the title, yes?
0.01%:  less of a title than it
