because stories like this make me worry I'm living my life wrong
      0 100.00%: 
      1 2498.90%:  because
  25351 63.36%:  because I've got a whole system working
  25352 63.35%:  because sometimes I worry my met
  25353 63.35%:  because sometimes I worry women really
  25354 161.29%:  because sometimes I worry women really like
  25355 63.34%:  because I'm still looking for sweet
  25356 788.18%:  because I'm still looking for sweet revenge
  25357 137.69%:  because I'm still looking for sweeties
  25358 63.34%:  because now I've got a story
  25359 155.12%:  because now I've got a story where
  25360 76.45%:  because now I've got a story where my
  25361 63.33%:  because sometimes I worry we're all living in my
  25362 63.33%:  because sometimes I imagine it working so
  25363 116.37%:  because sometimes I imagine it working so well
  25364 63.33%:  because sometimes I imagine fr
  25365 63.33%:  because I'm still looking for the game in
  25366 63.32%:  sometimes I imagine everything is way worse
  25367 63.32%:  sometimes I imagine scenarios where you give
  25368 63.30%:  because I've only really seen this
  25369 63.30%:  because sometimes I worry we're talking like in
  25370 63.29%:  because there's never any stories
  25371 63.29%:  because everyone thinks it's real
  25372 63.29%:  because sometimes I worry if it really is working
  25373 63.29%:  because in my original
  25374 160.96%:  because in my original story
  25375 773.05%:  because in my original story there
  25376 2257.85%:  because in my original story there were
  25377 2367.47%:  because in my original story there were like
  25378 628.87%:  because in my original story there were some
  25379 293.24%:  because in my original story the
  25380 253.03%:  because in my original story these
  25381 348.35%:  because in my original story these were
  25382 232.25%:  because in my original story there were like 
  25383 199.32%:  because in my original story these were like
  25384 170.47%:  because in my original story it
  25385 109.97%:  because in my original story there'
  25386 107.96%:  because in my original story we
  25387 220.69%:  because in my original story we were the
  25388 109.65%:  because in my original story we were like
  25389 105.76%:  because in my original story there were l
  25390 104.44%:  because in my original story there were five
  25391 77.57%:  because in my original story there's like
  25392 63.29%:  because I like to imagine myself losing my sh
  25393 63.28%:  because I generally like
  25394 87.32%:  because I generally like to think
  25395 222.02%:  because I generally like to think of
  25396 79.77%:  because I generally like to think my
  25397 63.28%:  because sometimes I worry we're the only smiling
  25398 63.27%:  because it never works for me when it's really
  25399 63.27%:  because sometimes I worry if it's never
  25400 63.27%:  because sometimes I think everyone may
  25401 63.26%:  sometimes I feel like you're gonna make this
  25402 63.26%:  sometimes I feel like everything isn
  25403 63.26%:  because sometimes I like to imagine how lines
  25404 63.26%:  because that's everyone else
  25405 63.25%:  because it seems like I'm the one looking
  25406 63.25%:  because I was going there in
  25407 63.25%:  because I'm still looking for my game
  25408 63.25%:  sometimes I imagine it being way more fierce
  25409 63.24%:  because it seems like I'm not seeing all
  25410 63.23%:  sometimes I feel like we're missing out by working
  25411 63.22%:  because I'm going to marry the
  25412 63.22%:  sometimes I like to imagine we're losing
  25413 63.22%:  because I'm gonna write the
  25414 63.21%:  because everything in my life looks like it's worse
  25415 63.21%:  because normally this sort
  25416 63.21%:  because it seems like something only we
  25417 63.20%:  because it's not going
  25418 100.24%:  because it's not going so
  25419 337.75%:  because it's not going so well here
  25420 69.07%:  because it's not going well
  25421 161.57%:  because it's not going well for me here
  25422 63.20%:  because I was thinking of so
  25423 63.20%:  because sometimes I like to imagine my life is glor
  25424 63.19%:  because sometimes I worry it's all wrong
  25425 63.19%:  because I was thinking it will
  25426 63.19%:  because sometimes I imagine him in
  25427 63.18%:  because sometimes I like imagining it's more work
  25428 63.18%:  because it seems like one mistake
  25429 63.17%:  because sometimes I worry nothing really is
  25430 63.16%:  sometimes I worry we're being over
  25431 63.15%:  because this story's way
  25432 63.15%:  because I'm trying to feel less ash
  25433 63.15%:  because it seems like a million things
  25434 63.15%:  because I was thinking more like slowly
  25435 63.14%:  because I'm still looking for ways in
  25436 63.14%:  because it seems like we're ignoring how
  25437 63.14%:  because sometimes I worry we're really living this
  25438 63.13%:  because sometimes I like to worry where
  25439 63.12%:  because sometimes I imagine it's more work in
  25440 63.12%:  because sometimes I like imagining my other
  25441 140.43%:  because sometimes I like imagining my other self
  25442 63.11%:  because sometimes things only work well
  25443 63.11%:  because sometimes I feel like my own tiny
  25444 63.11%:  because I'm imagining if
  25445 63.11%:  because sometimes I feel like losing my hair
  25446 63.11%:  because everything I know makes
  25447 116.00%:  because everything I know makes me worry
  25448 120.00%:  because everything I know makes me worry for
  25449 74.72%:  because everything I know makes it
  25450 82.86%:  because everything I know makes it seem so
  25451 63.08%:  because this is going to make me millions
  25452 63.08%:  because I'm really trying to see how working
  25453 63.08%:  sometimes I imagine myself to be a religious
  25454 63.07%:  because I sometimes imagine meeting
  25455 63.07%:  because sometimes I imagine myself in the 
  25456 63.06%:  sometimes I have trouble imagining myself sorry
  25457 63.06%:  because I have some interests in
  25458 63.06%:  because I sometimes imagine myself living other
  25459 63.06%:  because whenever I imagine my story
  25460 63.06%:  sometimes I imagine my life being way
  25461 63.05%:  because sometimes I feel like sharing in
  25462 63.05%:  because sometimes I like to imagine my silver
  25463 265.26%:  because sometimes I like to imagine my silver lin
  25464 63.04%:  sometimes I like to imagine myself having sw
  25465 63.04%:  because I'm really looking for signs my
  25466 63.04%:  because sometimes I imagine the fr
  25467 63.04%:  because sometimes I imagine there's flying
  25468 63.04%:  because it seems to me like some
  25469 63.04%:  sometimes I feel like throwing a rock is a big
  25470 63.04%:  because sometimes when I imagine it'll
  25471 63.04%:  because sometimes I feel like living within
  25472 63.03%:  sometimes I imagine more challenges to
  25473 63.03%:  because whenever someone says '
  25474 63.03%:  because everyone here is talking
  25475 63.03%:  because sometimes in real life I worry it's wrong
  25476 63.01%:  because sometimes I worry there are folks in
  25477 63.01%:  because I've got a story where my
  25478 63.01%:  because I was only willing to go
  25479 63.00%:  because sometimes in life I worry my
  25480 63.00%:  sometimes I imagine myself as other
  25481 63.00%:  because sometimes I worry we're over making
  25482 119.45%:  because sometimes I worry we're over making things
  25483 63.00%:  because I like to imagine there's some folks
  25484 63.00%:  sometimes I have to imagine myself in worse
  25485 62.99%:  sometimes I feel like there isn
  25486 62.98%:  because it seems like it's way more workover
  25487 62.97%:  because this story is going way
  25488 62.97%:  because sometimes I also feel
  25489 1543.68%:  because sometimes I also feel like throwing
  25490 296.24%:  because sometimes I also feel like throwing my
  25491 62.96%:  because I really like writing
  25492 195.44%:  because I really like writing stories
  25493 10692.46%:  because I really like writing stories where
  25494 343.81%:  because I really like writing stories where my
  25495 104.06%:  because I really like writing stories for
  25496 196.30%:  because I really like writing stories for my
  25497 77.40%:  because I really like writing stories in
  25498 62.96%:  sometimes I worry my romantic life hasn
  25499 62.96%:  because I was trying to solve
  25500 123.51%:  because I was trying to solve my
  25501 451.21%:  because I was trying to solve my own
  25502 235.69%:  because I was trying to solve my feelings
  25503 187.57%:  because I was trying to solve my own life
  25504 129.15%:  because I was trying to solve my feelings here
  25505 62.96%:  because sometimes I forget my lines while
  25506 210.97%:  because sometimes I forget my lines while making
  25507 62.96%:  because I'm writing a story wherein
  25508 62.95%:  because sometimes I feel like my working
  25509 62.94%:  because I'm looking for either a new
  25510 62.94%:  because I'm telling stories
  25511 113.89%:  because I'm telling stories here
  25512 109.92%:  because I'm telling stories where
  25513 62.94%:  because sometimes I like really wish my
  25514 62.93%:  because sometimes I like to imagine how vers
  25515 62.93%:  because if it's so
  25516 1470.07%:  because if it's so easy to
  25517 868.56%:  because if it's so easy then
  25518 953.01%:  because if it's so easy then everyone
  25519 1428.06%:  because if it's so easy then everyone will
  25520 669.59%:  because if it's so easy then we
  25521 383.01%:  because if it's so easy why
  25522 231.21%:  because if it's so easy it
  25523 134.58%:  because if it's so easy then my
  25524 122.70%:  because if it's so easy to win
  25525 114.23%:  because if it's so easy then I never
  25526 104.35%:  because if it's so awesome
  25527 163.73%:  because if it's so awesome then
  25528 100.06%:  because if it's so easy everyone
  25529 232.36%:  because if it's so easy everyone will
  25530 99.53%:  because if it's so easy why not
  25531 94.54%:  because if it's so easy I
  25532 653.26%:  because if it's so easy I think
  25533 528.05%:  because if it's so easy I think everyone
  25534 519.11%:  because if it's so easy I might
  25535 235.59%:  because if it's so easy I think everyone will
  25536 215.16%:  because if it's so easy I might never
  25537 89.43%:  because if it's so easy we
  25538 82.34%:  because if it's so easy then everyone will go
  25539 78.38%:  because if it's so awesome why
  25540 76.88%:  because if it's so easy then I worry
  25541 70.36%:  because if it's so easy I think we
  25542 62.92%:  because it never works for me while
  25543 454.92%:  because it never works for me while I'm trying
  25544 130.64%:  because it never works for me while I'm alone
  25545 93.80%:  because it never works for me while I'm still
  25546 62.92%:  because sometimes I feel like giving in to my horm
  25547 62.92%:  because the only reason we ever
  25548 62.91%:  because now I've got some real
  25549 287.37%:  because now I've got some real feelings
  25550 62.91%:  because everything else in my life is mis
  25551 62.91%:  sometimes I feel like you're making this game
  25552 62.90%:  because I'm imagining this so well
  25553 62.90%:  because everything else in my life is to
  25554 62.89%:  because I've got like a million notes
  25555 62.89%:  sometimes I like to imagine myself screwing your
  25556 62.88%:  because sometimes I still imagine we
  25557 76.98%:  because sometimes I still imagine we're working
  25558 62.87%:  because sometimes I really over
  25559 656.10%:  because sometimes I really overthink my
  25560 333.54%:  because sometimes I really overthink my own
  25561 173.87%:  because sometimes I really overthink my own life
  25562 156.60%:  because sometimes I really overthink my life
  25563 113.09%:  because sometimes I really overthink myself
  25564 92.32%:  because sometimes I really overest
  25565 62.87%:  sometimes I feel like we're wasting your
  25566 62.87%:  because it's really the
  25567 195.36%:  because it's really the only
  25568 68.87%:  because it's really the only version
  25569 62.87%:  because I've got some feelings the
  25570 62.87%:  because sometimes I feel like writing on
  25571 62.86%:  because I feel like it's something one
  25572 62.86%:  because sometimes when I imagine life my
  25573 62.86%:  sometimes I worry we're talking across like
  25574 62.86%:  because sometimes I imagine love like it's on
  25575 62.86%:  because I'm still looking for the easy
  25576 62.85%:  because sometimes my imagining these
  25577 62.85%:  sometimes I imagine my own
  25578 563.15%:  sometimes I imagine my own stories
  25579 66.85%:  sometimes I imagine my own stories where
  25580 62.84%:  because there's no way my life gets
  25581 245.08%:  because there's no way my life gets more
  25582 62.84%:  because sometimes it feels like I only win my
  25583 62.84%:  because sometimes I really wish it only
  25584 62.84%:  because sometimes I feel like my virginity is now
  25585 62.83%:  because sometimes when I'm writing my life
  25586 62.83%:  because sometimes I like imagining three
  25587 62.83%:  because otherwise it seems like I'm imagining fr
  25588 62.82%:  because sometimes I imagine him writing
  25589 62.82%:  because sometimes I worry we're only eating
  25590 62.82%:  because we're talking like ten
  25591 62.81%:  because sometimes I worry if things were real
  25592 62.80%:  because sometimes I imagine my fellow
  25593 62.80%:  because I like to imagine myself losing his
  25594 219.48%:  because I like to imagine myself losing his vir
  25595 62.80%:  because for me it's really something
  25596 62.80%:  because now I feel like it's something my
  25597 62.79%:  because it seems like way more work if I'm going in
  25598 62.79%:  sometimes I like to imagine having more life
  25599 62.79%:  because sometimes I worry hanging
  25600 62.79%:  because now I'm worrying
  25601 62.79%:  because sometimes I sort of like
  25602 398.27%:  because sometimes I sort of like imagine
  25603 176.76%:  because sometimes I sort of like having
  25604 62.78%:  because sometimes I imagine more fr
  25605 62.78%:  because sometimes I worry my whole life's meaning
  25606 62.78%:  because sometimes I worry if everything's all
  25607 63.16%:  because sometimes I worry if everything's all in
  25608 62.78%:  because for the last
  25609 62.77%:  because there's a million men
  25610 62.77%:  because I like to imagine we were
  25611 71.76%:  because I like to imagine we were living
  25612 62.77%:  because something tells me I'm leaving my
  25613 62.76%:  sometimes I like to imagine myself being a sc
  25614 62.76%:  because sometimes I like to imagine my own skill
  25615 62.76%:  because of everything I'm saying to
  25616 62.76%:  because I feel like somehow it wasn't going
  25617 62.75%:  because we were fighting over my
  25618 376.91%:  because we were fighting over my sister
  25619 62.75%:  because I've got some sweet emails
  25620 62.75%:  because in my vision of the story I
  25621 82.54%:  because in my vision of the story I'
  25622 67.29%:  because in my vision of the story I was like
  25623 62.75%:  because sometimes I imagine my version will
  25624 62.74%:  because sometimes I worry we're sort
  25625 62.74%:  because now I totally feel
  25626 62.73%:  because this story will make
  25627 586.54%:  because this story will make me seem
  25628 601.65%:  because this story will make me seem more
  25629 597.80%:  because this story will make me seem like
  25630 146.43%:  because this story will make me forever
  25631 102.04%:  because this story will make me look even
  25632 97.37%:  because this story will make me forever known
  25633 83.32%:  because this story will make me look very
  25634 68.99%:  because this story will make me seem like I
  25635 62.73%:  because sometimes I worry if everything will remain
  25636 62.72%:  because sometimes when I imagine myself voy
  25637 62.72%:  because sometimes I feel like any
  25638 576.95%:  because sometimes I feel like any story
  25639 62.71%:  because I like to imagine myself losing so the
  25640 62.71%:  because sometimes I worry my life's all
  25641 62.71%:  because there's like million ways to go
  25642 62.70%:  because we're talking right now I
  25643 62.70%:  because I feel like that's wrong
  25644 62.70%:  because I was still working on my move
  25645 62.70%:  sometimes I like to imagine myself receiving las
  25646 62.70%:  sometimes I feel like maybe you're going
  25647 62.70%:  because sometimes it feels like going on
  25648 62.69%:  because sometimes I like to imagine grim
  25649 62.69%:  because sometimes I only hear myself
  25650 62.69%:  because sometimes I really worry losing
  25651 62.69%:  because otherwise it seems like I'm lying
  25652 62.69%:  sometimes I imagine myself being hilariously er
  25653 62.69%:  because I feel like this is going to make women
  25654 62.68%:  because sometimes I worry overthinking my life's like
  25655 62.68%:  because sometimes I like to imagine how men'
  25656 62.68%:  because sometimes I imagine we'll work
  25657 62.68%:  because sometimes I worry it's only me living life
  25658 62.68%:  because I've got this real
  25659 62.68%:  because I'm getting some really
  25660 62.68%:  because sometimes I get feelings
  25661 62.67%:  because sometimes I love to imagine life
  25662 62.66%:  because I have so little
  25663 62.66%:  because sometimes I feel like writing is only
  25664 62.65%:  because I was going to reserve this
  25665 62.65%:  because it seems like a lot goes
  25666 76.74%:  because it seems like a lot goes wrong
  25667 212.77%:  because it seems like a lot goes wrong if
  25668 192.78%:  because it seems like a lot goes wrong when
  25669 173.25%:  because it seems like a lot goes wrong in
  25670 62.65%:  because I feel like we've lost sight
  25671 62.64%:  because otherwise my life is entirely
  25672 72.91%:  because otherwise my life is entirely wrong
  25673 62.64%:  because sometimes I worry my life isn't like mine
  25674 62.64%:  because sometimes I feel like my imagining this
  25675 62.64%:  because we're sitting really
  25676 62.64%:  because sometimes I worry my life is an
  25677 196.28%:  because sometimes I worry my life is an overwhelming
  25678 62.63%:  because sometimes it feels like I'm warning
  25679 62.63%:  because sometimes I still have like
  25680 62.62%:  because I've finally
  25681 99.36%:  because I've finally written
  25682 62.62%:  because sometimes I feel like showing an
  25683 62.61%:  sometimes I like to imagine some
  25684 756.95%:  sometimes I like to imagine some challenges
  25685 102.67%:  sometimes I like to imagine some really
  25686 62.60%:  because I like to imagine times like
  25687 62.60%:  because I'm trying to make sense here
  25688 62.60%:  because sometimes I write my own version
  25689 62.59%:  because everyone thinks it's like real
  25690 62.59%:  sometimes I feel like making it more
  25691 62.59%:  because for me it seems like more
  25692 164.81%:  because for me it seems like more work
  25693 124.56%:  because for me it seems like more work than I
  25694 94.86%:  because for me it seems like more work than is
  25695 73.90%:  because for me it seems like more work is
  25696 68.85%:  because for me it seems like more things
  25697 62.59%:  because sometimes I like to imagine how my fell
  25698 62.58%:  because sometimes I feel like my own origins
  25699 62.58%:  because sometimes I like imagining whoever
  25700 62.57%:  because I'm still thinking of my
  25701 180.03%:  because I'm still thinking of my awesome
  25702 62.57%:  because sometimes I like to imagine myself org
  25703 62.57%:  sometimes I imagine scenarios for my
  25704 62.57%:  because I'm going to make this my
  25705 260.28%:  because I'm going to make this my new life
  25706 62.57%:  because sometimes I like to imagine my reg
  25707 62.57%:  sometimes I imagine this being really
  25708 62.56%:  because sometimes I worry we're talking in very
  25709 62.56%:  because I was only going
  25710 283.14%:  because I was only going to tell
  25711 204.72%:  because I was only going to let
  25712 170.50%:  because I was only going to write
  25713 125.35%:  because I was only going to tell him
  25714 73.21%:  because I was only going to let myself
  25715 66.26%:  because I was only going to see
  25716 111.83%:  because I was only going to see this
  25717 62.56%:  because I'm never going to throw my arms
  25718 62.55%:  because sometimes I worry we're killing
  25719 116.92%:  because sometimes I worry we're killing something
  25720 62.55%:  sometimes I imagine everything will be more class
  25721 106.98%:  sometimes I imagine everything will be more classy if
  25722 62.55%:  because sometimes I like to imagine my self loving
  25723 62.54%:  sometimes I like to imagine how my life'
  25724 94.67%:  sometimes I like to imagine how my life's been
  25725 62.54%:  because I like to hear stories like mine from
  25726 62.54%:  because sometimes I worry we are the
  25727 62.53%:  because sometimes I worry things like me
  25728 65.28%:  because sometimes I worry things like me will
  25729 62.53%:  because I'm looking for the single
  25730 62.52%:  because sometimes I feel like thinking a
  25731 62.52%:  sometimes I worry my stories are weak
  25732 62.51%:  because sometimes I like to imagine myself in 'oh
  25733 62.50%:  because otherwise I'm really going to mess
  25734 62.50%:  because otherwise I'm relatively
  25735 62.49%:  sometimes I worry we're all talking over
  25736 62.49%:  because in my vision of reality there's like some
  25737 62.49%:  because sometimes I worry my narr
  25738 62.48%:  because sometimes I imagine it only goes
  25739 62.48%:  because this story is now forever
  25740 62.48%:  because there were a million girls
  25741 62.48%:  because for me it's like three moves
  25742 62.48%:  because I like to imagine him trying so
  25743 62.48%:  because sometimes I feel like throwing my work in a
  25744 62.48%:  sometimes I feel like my generation lack
  25745 62.47%:  because I was sitting here willing
  25746 187.84%:  because I was sitting here willing myself
  25747 62.47%:  because I feel like it was worth more money
  25748 62.47%:  because we're talking with someone over
  25749 62.46%:  sometimes I worry my feelings aren't logical
  25750 62.46%:  because sometimes I imagine they've
  25751 62.46%:  because I sometimes imagine myself only the
  25752 62.45%:  because it seems like I'm the one walking
  25753 62.45%:  because if this is really going
  25754 62.45%:  because we're right now talking like
  25755 62.45%:  sometimes I imagine things will be way more frisk
  25756 62.45%:  because this is making me feel sort
  25757 62.44%:  because I like to imagine things were less
  25758 62.44%:  because everything in life is so easy to
  25759 62.44%:  sometimes I like to imagine we're working
  25760 537.64%:  sometimes I like to imagine we're working really
  25761 62.44%:  sometimes I worry we're all living in a sim
  25762 62.43%:  sometimes I imagine myself as being the lucky
  25763 62.43%:  because sometimes I worry we're losing a thing
  25764 62.42%:  because for me it took
  25765 120.79%:  because for me it took like
  25766 91.81%:  because for me it took several
  25767 82.10%:  because for me it took several weeks
  25768 62.42%:  because it seems like there's far
  25769 62.42%:  because sometimes I worry staying home will
  25770 62.40%:  because sometimes I imagine me throwing
  25771 62.38%:  because sometimes I feel like throwing a log
  25772 81.34%:  because sometimes I feel like throwing a log in my
  25773 62.38%:  because otherwise I'm going to really miss
  25774 109.31%:  because otherwise I'm going to really miss my
  25775 62.95%:  because otherwise I'm going to really miss my life
  25776 62.37%:  because I've got a few things in
  25777 62.37%:  because there's no way I ever get my
  25778 62.37%:  because sometimes I worry mine will never go
  25779 62.37%:  because nothing else seems likely to work
  25780 62.35%:  because it was something I'
  25781 62.35%:  because it seems like it's all going
  25782 62.35%:  because there were like two
  25783 536.26%:  because there were like two million
  25784 62.34%:  because I'm imagining her
  25785 62.34%:  because sometimes the only reason I've
  25786 62.34%:  sometimes I feel like everything is cur
  25787 62.34%:  because it seems to have
  25788 82.12%:  because it seems to have gone
  25789 605.25%:  because it seems to have gone wrong
  25790 89.60%:  because it seems to have gone on
  25791 62.34%:  because sometimes I like things for
  25792 62.33%:  because sometimes I worry we're not living life a
  25793 62.33%:  because I'm trying to imagine every life
  25794 62.33%:  because I like making things worse
  25795 62.33%:  sometimes I have trouble recogn
  25796 62.32%:  because now I feel like there's got
  25797 62.32%:  because everything else in my life is imm
  25798 62.32%:  sometimes I worry you're changing
  25799 62.31%:  sometimes I imagine everything'
  25800 2613.93%:  sometimes I imagine everything's more
  25801 296.85%:  sometimes I imagine everything's easier
  25802 984.13%:  sometimes I imagine everything's easier for
  25803 300.99%:  sometimes I imagine everything's easier if
  25804 230.98%:  sometimes I imagine everything's worse
  25805 172.24%:  sometimes I imagine everything's like
  25806 156.71%:  sometimes I imagine everything's more like
  25807 143.73%:  sometimes I imagine everything's a
  25808 139.97%:  sometimes I imagine everything's really
  25809 143.91%:  sometimes I imagine everything's really more
  25810 126.24%:  sometimes I imagine everything's worse for
  25811 89.57%:  sometimes I imagine everything's way
  25812 102.36%:  sometimes I imagine everything's way worse
  25813 67.19%:  sometimes I imagine everything's way more er
  25814 62.31%:  sometimes I like to imagine saying
  25815 62.31%:  because it seems like it's way more work if I go
  25816 62.30%:  because sometimes I feel really horn
  25817 62.30%:  because in my version there were all sorts of l
  25818 62.30%:  because sometimes I worry we're imagining the fr
  25819 62.30%:  because sometimes I worry we're losing the final
  25820 62.29%:  because sometimes I worry we're all living in this more
  25821 62.29%:  because there were some
  25822 102.27%:  because there were some girls
  25823 62.28%:  because sometimes in my fant
  25824 62.28%:  because I like to imagine we're the only folks
  25825 62.28%:  because sometimes the awesome
  25826 62.27%:  because sometimes when a
  25827 62.27%:  because I'm writing a story of
  25828 62.27%:  because sometimes I worry my feelings will make
  25829 62.27%:  because I'm really into seeing stories
  25830 78.93%:  because I'm really into seeing stories like
  25831 62.26%:  because sometimes I imagine if it were my own
  25832 62.25%:  sometimes I imagine scenarios where my role
  25833 62.24%:  because this story is making me feel like I've now
  25834 62.24%:  because sometimes in real life we worry things
  25835 62.24%:  because otherwise I've got like 
  25836 62.23%:  because I feel like this was going in
  25837 62.23%:  because I like to see other
  25838 62.23%:  because it never works like this for me anymore
  25839 62.23%:  because I think we've lost
  25840 62.23%:  because I was thinking more of risk
  25841 62.22%:  sometimes I worry you're thinking
  25842 62.22%:  because when we first
  25843 139.93%:  because when we first met
  25844 62.22%:  because for me everything
  25845 62.22%:  because I sometimes feel like losing
  25846 208.67%:  because I sometimes feel like losing at
  25847 63.21%:  because I sometimes feel like losing to
  25848 62.22%:  because I've got something way
  25849 62.22%:  because sometimes we have to work in
  25850 62.22%:  because I like to imagine everything is more silly
  25851 62.21%:  because I was going to lie otherwise
  25852 62.21%:  sometimes I worry the universe is a more
  25853 62.19%:  because this story will make me more
  25854 62.19%:  because otherwise I'm missing
  25855 62.19%:  because I still think we're making some
  25856 62.18%:  sometimes I feel like my stories are only charming
  25857 62.18%:  because I feel like someone is going
  25858 62.18%:  because in my version it was like three
  25859 62.18%:  because sometimes I feel like writing a song or
  25860 62.18%:  because sometimes I worry everything's gone all
  25861 62.17%:  because sometimes when I've lost money
  25862 62.17%:  because sometimes I like to imagine my whisk
  25863 62.16%:  because sometimes in games everything'
  25864 62.16%:  because sometimes after I win
  25865 62.16%:  because I initially
  25866 62.16%:  because I feel like this isn't as
  25867 62.16%:  because sometimes I imagine my heroes living
  25868 62.15%:  because there were times I was going
  25869 62.15%:  because sometimes I imagine them living
  25870 62.14%:  because everything in my life gets like
  25871 62.14%:  because we're living in the most awesome f
  25872 62.14%:  because this isn't making me more
  25873 1727.33%:  because this isn't making me more likely
  25874 111.02%:  because this isn't making me more or
  25875 62.13%:  because I'm really trying to work in more
  25876 62.13%:  because I like to see myself win
  25877 62.12%:  because sometimes when I'm lonely it is
  25878 62.11%:  because sometimes I like imagine it goes
  25879 62.11%:  sometimes I have trouble imagining myself er
  25880 62.11%:  because sometimes when I'm st
  25881 62.11%:  sometimes when I imagine real
  25882 62.11%:  because sometimes I worry we're all not giving
  25883 62.10%:  because it only
  25884 185.87%:  because it only took
  25885 178.69%:  because it only took like
  25886 208.85%:  because it only took like five
  25887 177.59%:  because it only works
  25888 268.06%:  because it only works if there
  25889 215.04%:  because it only works if there's some
  25890 183.58%:  because it only works sometimes
  25891 486.26%:  because it only works sometimes in
  25892 502.62%:  because it only works sometimes in real
  25893 188.95%:  because it only works sometimes when
  25894 182.39%:  because it only works sometimes when I'
  25895 169.61%:  because it only works when
  25896 153.79%:  because it only works if there's no
  25897 147.67%:  because it only works for
  25898 150.91%:  because it only works for me when
  25899 423.52%:  because it only works for me when I'm imag
  25900 319.08%:  because it only works for me when it
  25901 1644.95%:  because it only works for me when it's really
  25902 253.96%:  because it only works for me when it's like
  25903 171.53%:  because it only works for me when it's my
  25904 130.80%:  because it only works with
  25905 125.07%:  because it only works for me when I'm like
  25906 120.87%:  because it only works like
  25907 184.56%:  because it only works like half
  25908 116.33%:  because it only works if there's an
  25909 115.84%:  because it only works sometimes if
  25910 109.57%:  because it only works if there's really
  25911 103.90%:  because it only takes
  25912 291.74%:  because it only takes one
  25913 98.37%:  because it only works for me when I'm really
  25914 96.03%:  because it only works for me when it's me
  25915 86.40%:  because it only works for me when my
  25916 82.42%:  because it only takes like
  25917 99.40%:  because it only takes like five
  25918 81.12%:  because it only works if I
  25919 95.97%:  because it only works if I'm there
  25920 91.25%:  because it only works if I'm making
  25921 266.56%:  because it only works if I'm making this
  25922 79.63%:  because it only works if there's like
  25923 75.52%:  because it only works like one
  25924 263.43%:  because it only works like one time
  25925 69.49%:  because it only works if I'm really
  25926 68.03%:  because it only works if we
  25927 301.28%:  because it only works if we're talking
  25928 83.63%:  because it only works if we're really
  25929 430.76%:  because it only works if we're really honest
  25930 126.11%:  because it only works if we're really into
  25931 71.33%:  because it only works if we're talking l
  25932 67.38%:  because it only works for me in
  25933 66.78%:  because it only works if we're having
  25934 66.09%:  because it only works if it
  25935 607.64%:  because it only works if it's really
  25936 219.52%:  because it only works if it's awesome
  25937 66.03%:  because it only works if I'm really into
  25938 65.92%:  because it only works if I'm really there
  25939 64.46%:  because it only works if everything
  25940 128.63%:  because it only works if everything goes
  25941 106.99%:  because it only works if everything else
  25942 72.14%:  because it only works if everything else goes
  25943 64.33%:  because it only works if we imagine
  25944 62.87%:  because it only works if I'm telling
  25945 62.10%:  because sometimes I imagine love story
  25946 62.09%:  because I have some interest in fig
  25947 62.09%:  because I think my entire life view
  25948 62.08%:  because everyone else is only
  25949 62.08%:  because sometimes I worry my lines
  25950 134.41%:  because sometimes I worry my lines aren
  25951 62.07%:  because sometimes I like to wish
  25952 219.81%:  because sometimes I like to wish for
  25953 132.17%:  because sometimes I like to wish really
  25954 62.07%:  because we're all in
  25955 133.26%:  because we're all in this
  25956 296.03%:  because we're all in this room
  25957 62.07%:  because sometimes I imagine she
  25958 62.07%:  because sometimes I worry my life isn't all
  25959 62.06%:  because sometimes I like imagine silly
  25960 62.06%:  because I was looking for the sense
  25961 62.06%:  because when I imagine it it's like five
  25962 62.04%:  because now I'm really trying to see how life
  25963 62.04%:  because everyone knows that I'm so
  25964 62.04%:  because this story will never grow
  25965 62.04%:  because it seems to me like falling
  25966 62.04%:  because I've got similar
  25967 1111.98%:  because I've got similar feelings
  25968 62.03%:  because it normally seems
  25969 138.04%:  because it normally seems like
  25970 233.79%:  because it normally seems like something
  25971 190.90%:  because it normally seems like something of
  25972 137.42%:  because it normally seems like something more
  25973 88.22%:  because it normally seems like more
  25974 325.02%:  because it normally seems like more work
  25975 85.94%:  because it normally seems like more work when
  25976 62.03%:  because sometimes I imagine how it works like
  25977 62.03%:  because I'm never hearing
  25978 62.03%:  because now I feel like this is entirely
  25979 62.03%:  because it seems like everything for
  25980 62.03%:  because sometimes I imagine it's my
  25981 125.34%:  because sometimes I imagine it's my own
  25982 62.02%:  because I like to imagine we're writing
  25983 62.02%:  because I'm working on this story really
  25984 62.02%:  because in my version of the story earlier
  25985 98.63%:  because in my version of the story earlier we
  25986 62.01%:  because sometimes I imagine myself int
  25987 62.01%:  because when I imagine it it's more like slow
  25988 62.00%:  because sometimes I forget we're all on
  25989 61.99%:  because this story makes me feel like I'm only
  25990 61.99%:  because I haven't won
  25991 61.99%:  because sometimes I worry we're thinking more
  25992 61.99%:  because I like to imagine it's more like some
  25993 61.98%:  because we're living the same story from
  25994 61.98%:  because if it were anything else I'm
  25995 61.98%:  sometimes I feel like maybe romance
  25996 87.11%:  sometimes I feel like maybe romance isn
  25997 61.98%:  because sometimes I like to imagine more frig
  25998 61.98%:  because otherwise I'm writing fan
  25999 61.97%:  because sometimes I worry we're living a stone
  26000 61.97%:  because I'm really thinking it over
