think your voice is a wonderful gift!
      0 100.00%: 
      1 22.44%:  know
   2656 14.06%:  like your voice on
   2657 14.06%:  dunno if it works!
   2658 14.06%:  feel as if i
   2659 14.06%:  dunno if you get to hear
   2660 14.06%:  got your new
   2661 14.06%:  knew you had
   2662 14.06%:  got lost
   2663 14.06%:  want 
   2664 14.06%:  saw you in tv once
   2665 14.06%:  used to love you in 
   2666 14.05%:  got your line
   2667 14.05%:  like that one
   2668 14.05%:  got your answer
   2669 14.05%:  dunno if you hear it over
   2670 14.05%:  feel sorry
   2671 14.05%:  love and
   2672 14.05%:  do a lot of thinks in
   2673 14.05%:  saw it in
   2674 14.05%:  want no
   2675 14.05%:  want out
   2676 17.69%:  want out of our
   2677 16.85%:  want out of your
   2678 14.05%:  saw you on the olden
   2679 14.05%:  dunno if that is cool
   2680 14.05%:  used to love you in an
   2681 14.05%:  forgot we
   2682 14.05%:  used to cheat in golf
   2683 14.04%:  love your wife
   2684 14.04%:  got dis
   2685 14.04%:  got your note
   2686 14.04%:  never know
   2687 14.04%:  dunno if you ever got this
   2688 14.04%:  got tired
   2689 14.04%:  used to live in a wig!
   2690 14.04%:  want us to go
   2691 14.04%:  forgot where
   2692 14.04%:  saw you once on the t
   2693 14.04%:  dunno how it got fl
   2694 14.04%:  was kind of not
   2695 14.04%:  hear you like to do
   2696 14.04%:  dunno if it works there
   2697 14.03%:  want to see you go
   2698 14.03%:  saw you in tv once!
   2699 14.03%:  saw you in tv!
   2700 14.03%:  dunno if it works right
   2701 14.03%:  dunno if you are the
   2702 14.03%:  got your lunch
   2703 14.03%:  used to like your acting on
   2704 14.03%:  love you for the first
   2705 14.03%:  know your voice!
   2706 14.03%:  dunno what it is like!
   2707 14.03%:  got your house
   2708 14.03%:  hear no
   2709 14.03%:  need you to sign to
   2710 14.03%:  like your voice so
   2711 14.03%:  could hear you over
   2712 14.03%:  got your dial
   2713 14.49%:  got your dial tone
   2714 14.03%:  have got to know
   2715 14.03%:  found this out 
   2716 14.02%:  found this out for
   2717 14.02%:  knew it couldn
   2718 14.02%:  got your e
   2719 14.02%:  used to think our
   2720 14.02%:  need to talk you on
   2721 14.02%:  saw you like it on
   2722 14.02%:  like it how you don
   2723 14.02%:  could hear you fine!
   2724 14.02%:  like to chew on it!
   2725 14.02%:  want to send you love
   2726 14.02%:  want to send you ro
   2727 14.02%:  got cut
   2728 17.26%:  got cut off!
   2729 14.02%:  got here
   2730 14.32%:  got here first
   2731 14.53%:  got here first!
   2732 14.02%:  used to watch you!
   2733 14.01%:  like that we
   2734 14.01%:  kinda love
   2735 15.49%:  kinda love you!
   2736 14.01%:  got off
   2737 15.22%:  got off the line
   2738 14.01%:  could see you
   2739 14.01%:  got your fr
   2740 14.01%:  need to know your first
   2741 14.01%:  got your face
   2742 14.96%:  got your face on the
   2743 14.01%:  saw you on tv once i
   2744 14.01%:  get a lot done
   2745 14.11%:  get a lot done on
   2746 14.01%:  saw you on tv once like
   2747 14.01%:  was kind of on
   2748 14.01%:  love to hear
   2749 15.62%:  love to hear your
   2750 14.01%:  got your hair
   2751 14.10%:  got your haircut!
   2752 14.01%:  got confused
   2753 14.01%:  want to see you for
   2754 14.01%:  got your t
   2755 14.01%:  have tried to win
   2756 14.03%:  have tried to win you
   2757 14.01%:  want to send you our
   2758 14.01%:  gotta run
   2759 14.01%:  used to like your hairc
   2760 14.01%:  love your art
   2761 14.01%:  got two
   2762 14.00%:  saw you on tv on fr
   2763 14.00%:  said you
   2764 14.00%:  do know
   2765 14.00%:  found an
   2766 14.00%:  want to send you ch
   2767 14.00%:  like to chew on you!
   2768 14.00%:  gots
   2769 14.23%:  gots a
   2770 14.00%:  used to run on a
   2771 14.00%:  got into
   2772 14.00%:  think we used to run
   2773 14.00%:  would ask you not
   2774 14.00%:  saw you once on the tv
   2775 14.00%:  saw you doing it once
   2776 13.99%:  got on
   2777 13.99%:  could eat
   2778 14.54%:  could eat you
   2779 14.16%:  could eat you!
   2780 13.99%:  need to know a lot
   2781 13.99%:  think a lot of you
   2782 13.99%:  dunno if we like you that
   2783 13.99%:  was kind of y
   2784 13.99%:  dunno if you care for this
   2785 13.99%:  found this out via
   2786 13.99%:  saw you once on the 
   2787 13.99%:  think you need to go!
   2788 13.99%:  should write
   2789 14.05%:  should write a
   2790 13.99%:  heard you took it
   2791 13.99%:  feel kinda
   2792 13.99%:  want to send you over
   2793 13.99%:  dunno what you get off
   2794 13.99%:  got stuck
   2795 14.33%:  got stuck in a hole
   2796 14.17%:  got stuck in a v
   2797 13.99%:  used to know a guy in
   2798 13.98%:  love your great
   2799 13.98%:  want to send you off
   2800 13.98%:  forgot who
   2801 13.98%:  have tried to go
   2802 13.98%:  want you to hold!
   2803 13.98%:  used to hate you now
   2804 13.98%:  have no use for it now
   2805 13.98%:  love your s
   2806 13.98%:  have tried to work
   2807 13.98%:  have got to end
   2808 13.98%:  heard on
   2809 13.98%:  love your stuff
   2810 13.98%:  got not
   2811 13.98%:  do this a
   2812 15.16%:  do this a lot!
   2813 14.46%:  do this a lot for
   2814 14.41%:  do this a lot on
   2815 14.39%:  do this a lot in
   2816 14.25%:  do this a lot of
   2817 14.25%:  do this a lot if
   2818 14.32%:  do this a lot if you were
   2819 13.98%:  was kind of forget
   2820 13.98%:  love your works
   2821 13.98%:  saw you in court the
   2822 13.98%:  love your son
   2823 13.98%:  uh love your work as
   2824 13.97%:  got any
   2825 13.97%:  used to like your hair in
   2826 13.97%:  used to own it
   2827 13.97%:  found it!
   2828 13.97%:  love your sit
   2829 13.97%:  do think it
   2830 13.97%:  saw you once over
   2831 13.97%:  found this out five
   2832 13.97%:  got too
   2833 13.97%:  saw you once like
   2834 14.22%:  saw you once like 
   2835 13.97%:  got out
   2836 14.40%:  got out of a
   2837 13.97%:  need talk to you for
   2838 13.97%:  have no use for it on
   2839 13.97%:  uh like you!
   2840 13.97%:  dunno who it is you talk
   2841 13.97%:  love your w
   2842 13.97%:  do not know if it is a lie
   2843 13.97%:  got three
   2844 13.97%:  have no use for your w
   2845 13.97%:  found this out way
   2846 13.96%:  got 
   2847 13.96%:  was doing it
   2848 13.96%:  got us
   2849 13.96%:  can do this for free
   2850 13.96%:  saw you do it on tv!
   2851 13.96%:  want to see you n
   2852 13.96%:  got kinda
   2853 14.39%:  got kinda nervous
   2854 13.96%:  love your daughter
   2855 14.38%:  love your daughter!
   2856 13.96%:  love your hit
   2857 13.96%:  had your
   2858 13.96%:  got nervous
   2859 13.96%:  saw you driving in the
   2860 13.96%:  have got to run
   2861 13.96%:  got a friend who lives on
   2862 13.96%:  got you!
   2863 13.96%:  love your act
   2864 13.96%:  do not have you in
   2865 13.96%:  got like
   2866 13.95%:  used to hate your
   2867 13.95%:  like how you get to
   2868 13.95%:  saw on the
   2869 13.95%:  can see it
   2870 13.95%:  found it on the carse
   2871 13.95%:  could hear you so
   2872 13.95%:  get one
   2873 13.95%:  get your
   2874 13.95%:  should not
   2875 13.95%:  got you on
   2876 14.48%:  got you on the
   2877 14.10%:  got you on a
   2878 13.95%:  like it when you go for
   2879 13.95%:  found this out over
   2880 13.95%:  like your tie!
   2881 13.95%:  have tried to sc
   2882 13.95%:  got another
   2883 13.95%:  like your wit
   2884 14.17%:  like your wit and
   2885 13.95%:  feel it is
   2886 13.94%:  used to love to hang
   2887 13.94%:  found out his real
   2888 13.94%:  got a lot of ducks in here
   2889 13.94%:  like the sound of it in your
   2890 13.94%:  would very
   2891 13.94%:  dunno if it works to
   2892 13.94%:  think a lot of young
   2893 13.94%:  wonder if that line
   2894 13.94%:  used to cry on
   2895 13.94%:  lost it a
   2896 13.94%:  dunno if it works th
   2897 13.94%:  like your voice a
   2898 13.94%:  dunno if you like to fight
   2899 13.93%:  got ya
   2900 13.93%:  got drunk
   2901 14.53%:  got drunk last
   2902 13.93%:  dunno how to use a f
   2903 13.93%:  do not wish to argue!
   2904 13.93%:  lost a
   2905 13.93%:  used to watch you in 
   2906 13.93%:  used to think a
   2907 13.93%:  got hold
   2908 19.43%:  got hold of a
   2909 15.20%:  got hold of it
   2910 13.93%:  dunno if it works either
   2911 13.93%:  think a lot of d
   2912 13.93%:  used to like it a
   2913 13.93%:  have no use for your kind
   2914 13.93%:  want to suck your life
   2915 13.93%:  get scared
   2916 13.93%:  saw one
   2917 14.20%:  saw one of your children
   2918 14.17%:  saw one of your tv
   2919 13.94%:  saw one of you
   2920 13.93%:  used to like it how
   2921 13.93%:  want to suck your finger
   2922 13.93%:  got a role in
   2923 13.93%:  gotch
   2924 16.19%:  gotchu!
   2925 13.93%:  used to watch you in one
   2926 13.92%:  got n
   2927 17.44%:  got nuthin!
   2928 14.11%:  got nuthin for
   2929 15.65%:  got nuthin for ya
   2930 15.54%:  got nuthin for you!
   2931 14.66%:  got nuthin for ya!
   2932 14.05%:  got nuthin else
   2933 13.92%:  got news
   2934 21.68%:  got news for you!
   2935 17.82%:  got news for ya
   2936 14.79%:  got news for you and
   2937 14.52%:  got news for you in
   2938 15.09%:  got news for you in the
   2939 14.14%:  got news for you and it
   2940 13.92%:  used to love to y
   2941 13.92%:  say the
   2942 13.92%:  used to love to c
   2943 13.92%:  see what
   2944 13.92%:  get it if
   2945 13.92%:  want us to fe
   2946 17.99%:  want us to feud!
   2947 13.92%:  found it in a river!
   2948 13.92%:  dunno if it works at
   2949 13.92%:  got ro
   2950 13.92%:  lost it a few
   2951 13.92%:  have tried to look
   2952 13.92%:  have no use for your f
   2953 13.91%:  was told it
   2954 13.91%:  would hate
   2955 13.91%:  like to say it
   2956 13.91%:  do not know if it is a figure
   2957 13.91%:  want us to like
   2958 13.91%:  want us to end
   2959 13.91%:  feel good
   2960 13.91%:  have got to use
   2961 13.91%:  dunno if we like it!
   2962 13.91%:  say to
   2963 13.91%:  dunno if that is or
   2964 13.91%:  need to win a fight!
   2965 13.90%:  do not know if it is a fel
   2966 13.90%:  have no use for your d
   2967 13.90%:  think a lot of us find your
   2968 13.90%:  love you for the first and
   2969 13.90%:  want us to die
   2970 13.90%:  could see you on
   2971 13.90%:  used to love to fuck
   2972 13.90%:  found it real
   2973 13.90%:  got a crush on your wif
   2974 13.90%:  used to love to run
   2975 13.90%:  have no use for your c
   2976 13.90%:  do not know if it is a very
   2977 13.90%:  have no use for your 
   2978 13.89%:  love your acting!
   2979 13.89%:  want us to live
   2980 13.89%:  want us to do
   2981 13.89%:  dunno if it works out
   2982 13.89%:  used to love to rh
   2983 13.89%:  uh got to
   2984 13.89%:  need to you to hang
   2985 13.89%:  said to
   2986 13.89%:  need to cash in your
   2987 13.89%:  want us to hug
   2988 13.89%:  see nothing
   2989 13.89%:  dunno what it is like you
   2990 13.89%:  only do
   2991 16.45%:  only do this
   2992 16.65%:  only do this to
   2993 16.11%:  only do this for
   2994 15.12%:  only do that for
   2995 14.19%:  only do this for a
   2996 14.14%:  only do that on
   2997 14.01%:  only do this for fun
   2998 13.91%:  only do this for free
   2999 13.88%:  used to love to w
   3000 13.88%:  have no use for your in
   3001 13.88%:  have no recordings
   3002 13.88%:  would so
   3003 13.88%:  dunno if we go that
   3004 13.88%:  dunno if i have to
   3005 13.88%:  want to go over
   3006 13.88%:  want to see you do
   3007 13.88%:  used to love to f
   3008 13.88%:  uh like your acting in
   3009 13.88%:  hate our
   3010 13.88%:  do not know if it is a f
   3011 13.88%:  do not know if it is a clever
   3012 13.87%:  get nervous
   3013 14.01%:  get nervous around
   3014 13.87%:  would think
   3015 13.94%:  would think you
   3016 13.87%:  think you live in a g
   3017 13.87%:  had like
   3018 13.87%:  used to love to k
   3019 13.87%:  never dial
   3020 13.87%:  saw you get into
   3021 13.87%:  like having you
   3022 13.87%:  would rather
   3023 13.87%:  get it when
   3024 13.87%:  used to think if
   3025 13.86%:  think a lot of us need you
   3026 13.86%:  like to have fun
   3027 13.86%:  only get
   3028 13.86%:  kinda sort
   3029 13.86%:  have no recordings to
   3030 13.86%:  never talk
   3031 14.94%:  never talk to you
   3032 14.94%:  never talk to you on
   3033 13.86%:  had forgotten
   3034 13.86%:  found one
   3035 13.86%:  lost it on
   3036 13.86%:  see a
   3037 16.28%:  see a lot of you
   3038 14.08%:  see a lot of your
   3039 13.86%:  do not wish to revengify
   3040 13.86%:  saw you on tv there!
   3041 13.86%:  saw you goin
   3042 13.86%:  think it is
   3043 13.86%:  uh love it
   3044 13.85%:  want to revengo your
   3045 13.85%:  wish your
   3046 13.85%:  dunno if it works tho
   3047 13.85%:  love your wit
   3048 13.85%:  used to hang on
   3049 13.85%:  dunno if you get how
   3050 13.85%:  like having you in
   3051 13.85%:  do a lot of shen
   3052 13.85%:  found it on the way over
   3053 13.85%:  think you need to go a
   3054 13.85%:  like it when you do it in
   3055 13.85%:  like the sound it
   3056 13.85%:  need to talk you in
   3057 13.84%:  think we are!
   3058 13.84%:  do it for
   3059 16.28%:  do it for the l
   3060 13.84%:  found it in a truck!
   3061 13.84%:  say no
   3062 14.16%:  say no to
   3063 13.84%:  do everything
   3064 13.84%:  think you can do
   3065 13.84%:  want to sue you like 
   3066 13.84%:  dunno if that is for
   3067 13.84%:  dunno if that is you
   3068 13.89%:  dunno if that is you or
   3069 13.84%:  found it in a sock!
   3070 13.84%:  uh got you
   3071 14.09%:  uh got you on
   3072 14.35%:  uh got you on a
   3073 13.84%:  dunno where to fart!
   3074 13.84%:  feel our
   3075 13.84%:  dunno where it is you
   3076 13.84%:  never do
   3077 15.60%:  never do that!
   3078 14.21%:  never do this
   3079 13.84%:  kinda screw
   3080 13.83%:  could hear you for
   3081 13.83%:  dunno if your voice is like
   3082 14.02%:  dunno if your voice is like a
   3083 13.83%:  feel kind
   3084 14.02%:  feel kind of sorry
   3085 13.90%:  feel kind of sorry now
   3086 13.83%:  dunno if it works thi
   3087 13.83%:  could win
   3088 15.45%:  could win a
   3089 15.10%:  could win an o
   3090 13.83%:  only do this for a few
   3091 13.83%:  dunno if you like it if we
   3092 13.83%:  do wish
   3093 13.83%:  found you in a
   3094 13.83%:  want to suck your f
   3095 13.83%:  need you to ask if
   3096 13.83%:  used to chew a
   3097 14.90%:  used to chew a lot of gr
   3098 14.69%:  used to chew a lot of f
   3099 14.20%:  used to chew a lot of k
   3100 13.83%:  lost track
   3101 16.41%:  lost track of how
   3102 16.19%:  lost track of where
   3103 15.10%:  lost track of who
   3104 14.01%:  lost track of your
   3105 13.83%:  had to invent
   3106 13.83%:  wish you good luck!
   3107 13.83%:  feel your
   3108 13.82%:  saw you like it on the
   3109 13.82%:  heard so
   3110 13.82%:  could hear you st
   3111 13.82%:  could hear you now
   3112 13.82%:  dunno if you hear it so
   3113 13.82%:  found it in your trash
   3114 13.82%:  used to run in a lot
   3115 14.68%:  used to run in a lot of 
   3116 13.82%:  got lost in
   3117 13.82%:  dunno if the two are
   3118 13.82%:  want to suck your he
   3119 14.14%:  want to suck your hein
   3120 16.14%:  want to suck your heinie!
   3121 13.83%:  want to suck your heel
   3122 13.91%:  want to suck your heel!
   3123 13.82%:  need to know your last
   3124 13.82%:  think you left a voice
   3125 13.82%:  only do that so
   3126 13.82%:  dunno if your wife likes to
   3127 13.82%:  used to live in c
   3128 13.82%:  would use
   3129 14.45%:  would use it
   3130 14.81%:  would use it if
   3131 13.82%:  dunno if that is our
   3132 13.81%:  dunno what you get if
   3133 13.81%:  need to you to ask
   3134 13.81%:  used to like it if
   3135 13.81%:  would you
   3136 13.81%:  dunno if that is gr
   3137 13.81%:  can see your
   3138 13.81%:  used to live in our
   3139 13.81%:  used to like to go
   3140 13.81%:  want to suck your fr
   3141 13.81%:  dunno if that is ok
   3142 13.81%:  could have your
   3143 13.81%:  uh got a new
   3144 13.81%:  got a ketch
   3145 13.81%:  gotta work
   3146 13.81%:  like it when you go in
   3147 13.81%:  should warn
   3148 13.81%:  had so
   3149 13.81%:  wanted it
   3150 13.80%:  like your voice in
   3151 14.07%:  like your voice in a
   3152 13.80%:  knew he
   3153 13.80%:  can see it in
   3154 13.80%:  want to suck your gen
   3155 13.80%:  need to know your star
   3156 13.80%:  need you to talk in
   3157 13.80%:  want to suck your g
   3158 13.80%:  feel sick
   3159 13.80%:  woulda
   3160 13.80%:  saw you in front of it
   3161 13.80%:  used to own a kite
   3162 13.80%:  feel that you
   3163 13.80%:  forgot this
   3164 13.79%:  used to love watching your
   3165 13.79%:  used to like you on tv!
   3166 13.79%:  used that
   3167 14.00%:  used that line on you
   3168 13.79%:  get cold
   3169 13.79%:  would if
   3170 13.79%:  feel ash
   3171 13.79%:  can do your
   3172 13.79%:  like your shirt!
   3173 13.79%:  should take
   3174 13.79%:  saw you in like the
   3175 13.79%:  was never good
   3176 13.79%:  only started
   3177 13.79%:  like that new
   3178 13.79%:  could ask
   3179 15.69%:  could ask you for
   3180 14.51%:  could ask you if
   3181 13.79%:  want to suck your ve
   3182 14.38%:  want to suck your vein!
   3183 13.79%:  wanted us
   3184 13.79%:  used to run track!
   3185 13.79%:  like it when you do it in a
   3186 13.78%:  see now
   3187 14.56%:  see now that you don
   3188 13.78%:  do not want you
   3189 13.78%:  like what you do on tv
   3190 13.78%:  dunno if you get this over
   3191 13.78%:  used to love your writing!
   3192 13.78%:  feel un
   3193 14.28%:  feel unworthy
   3194 13.78%:  dunno if you ever go
   3195 13.78%:  dunno how to ask it
   3196 13.78%:  want to suck your 
   3197 13.78%:  want to suck your go
   3198 13.78%:  want to suck your h
   3199 14.28%:  want to suck your hog!
   3200 13.78%:  get a lot for
   3201 13.78%:  used to get on
   3202 13.78%:  need to say hi
   3203 13.78%:  want to suck your old
   3204 13.77%:  saw you get in
   3205 13.77%:  get no
   3206 13.77%:  used to run on it
   3207 13.77%:  feel sad
   3208 13.77%:  heard your voice in
   3209 13.77%:  heard if
   3210 13.77%:  could see it in
   3211 14.04%:  could see it in your
   3212 13.77%:  had fun
   3213 13.77%:  could ask for
   3214 13.77%:  do a lot of interviews!
   3215 13.77%:  say it to
   3216 13.77%:  love you so hard
   3217 13.77%:  found it in a house!
   3218 13.76%:  want to live on
   3219 13.76%:  could take
   3220 15.09%:  could take you for
   3221 15.03%:  could take you to
   3222 14.62%:  could take you on
   3223 14.67%:  could take you on in
   3224 13.76%:  dunno if you ever talk
   3225 13.76%:  gotta know
   3226 13.76%:  like to chew on stuff!
   3227 13.76%:  need to know your f
   3228 13.76%:  do not own a telef
   3229 13.76%:  used to have to go
   3230 13.76%:  used to work in a hotel
   3231 13.76%:  wonder if you are on
   3232 13.76%:  know it!
   3233 13.76%:  need to know your hair
   3234 13.76%:  wonder if you get this on
   3235 13.76%:  gotta do
   3236 13.76%:  have lots of nif
   3237 13.88%:  have lots of nifty g
   3238 13.76%:  want you to send 
   3239 13.76%:  feel sort
   3240 15.25%:  feel sorta
   3241 13.76%:  feel an
   3242 13.76%:  won that
   3243 13.76%:  dunno who gave it to us!
   3244 13.75%:  need to know your fr
   3245 13.75%:  found it in a hole!
   3246 13.75%:  wonder if you get it
   3247 13.75%:  feel for
   3248 16.38%:  feel for you that
   3249 14.75%:  feel for you a
   3250 14.58%:  feel for you what
   3251 13.75%:  do!
   3252 13.75%:  used to like how you can
   3253 13.75%:  feel funny
   3254 13.75%:  like it when you turn off
   3255 13.75%:  got a lot of nerve!
   3256 13.75%:  found it in our
   3257 13.75%:  hear so
   3258 13.75%:  never told
   3259 17.78%:  never told you to
   3260 14.26%:  never told you this
   3261 13.75%:  wish to
   3262 13.75%:  like it when you sit in a c
   3263 13.75%:  dunno if it was you or
   3264 13.75%:  need to know your aut
   3265 13.75%:  had to write
   3266 13.74%:  had to give
   3267 13.74%:  feel no
   3268 13.74%:  like it when you sit in a f
   3269 13.74%:  like it when you go to a
   3270 13.74%:  used to run track in
   3271 13.74%:  love you so!
   3272 13.74%:  have not yet
   3273 13.74%:  want to fuck you on
   3274 13.74%:  like how you said it
   3275 13.74%:  used to live on your
   3276 13.74%:  need it to
   3277 13.74%:  had too
   3278 13.74%:  need to know your shirt
   3279 13.74%:  only do it
   3280 13.90%:  only do it when
   3281 13.74%:  like this new
   3282 13.74%:  never watch
   3283 13.73%:  had to give you
   3284 13.73%:  only got one
   3285 13.73%:  need to go talk on
   3286 13.73%:  do this for a living now!
   3287 13.73%:  had it in
   3288 13.73%:  wanted this
   3289 13.73%:  dunno what it is like for
   3290 13.73%:  have to go innow!
   3291 13.73%:  would rather you
   3292 14.04%:  would rather you not
   3293 13.73%:  like it when you sit in a d
   3294 13.73%:  gotta find
   3295 13.73%:  see why
   3296 13.72%:  dunno if you like what
   3297 13.72%:  want to live in his
   3298 13.72%:  wanted the
   3299 13.72%:  dunno if the two of us c
   3300 13.72%:  dunno if you like how
   3301 13.72%:  like your voice is
   3302 13.80%:  like your voice is what
   3303 13.72%:  used to run in the 
   3304 13.72%:  need to know your h
   3305 13.72%:  dunno if it ever works
   3306 13.72%:  like it when you sit in a g
   3307 13.72%:  only heard
   3308 13.72%:  should try
   3309 14.49%:  should try it
   3310 13.72%:  should cut
   3311 13.72%:  get a lot off
   3312 13.71%:  want to hug you forever!
   3313 13.71%:  like that song
   3314 13.74%:  like that song!
   3315 13.71%:  do things
   3316 13.71%:  kinda regret
   3317 13.71%:  like to watch you do
   3318 13.71%:  should know
   3319 13.71%:  get like
   3320 13.71%:  like your voice as
   3321 13.71%:  dunno if the two of us like
   3322 13.71%:  had not
   3323 13.71%:  said our
   3324 13.71%:  need for us
   3325 14.96%:  need for us to fight
   3326 14.06%:  need for us to talk
   3327 14.01%:  need for us to fight!
   3328 13.71%:  found it in your closet
   3329 13.74%:  found it in your closet!
   3330 13.70%:  had to cut
   3331 15.45%:  had to cut you off!
   3332 13.74%:  had to cut off
   3333 13.70%:  had to rent
   3334 15.14%:  had to rent one!
   3335 13.70%:  say nothing
   3336 13.70%:  used to like how you act
   3337 13.85%:  used to like how you act in
   3338 13.70%:  do want
   3339 13.71%:  do want you
   3340 13.70%:  have got to run!
   3341 13.70%:  never was
   3342 13.70%:  do not care for the
   3343 13.70%:  want to sing your
   3344 13.70%:  used to know you in a
   3345 13.70%:  lost you there
   3346 13.70%:  should give
   3347 13.70%:  should work
   3348 13.70%:  heard!
   3349 13.70%:  get a lot on
   3350 13.70%:  hate to lose!
   3351 13.69%:  knew his
   3352 13.69%:  dunno if the two of us are g
   3353 13.69%:  used to have it in for
   3354 14.06%:  used to have it in for you!
   3355 13.69%:  had two
   3356 13.69%:  need you to act!
   3357 13.69%:  do not have it on
   3358 13.69%:  need you to cut a
   3359 13.69%:  forgot why
   3360 13.69%:  only asked
   3361 13.69%:  had never
   3362 13.69%:  used to own a tricer
   3363 13.69%:  wanted your
   3364 13.69%:  had lots
   3365 16.83%:  had lots of fun in
   3366 15.68%:  had lots of fun on
   3367 14.59%:  had lots of fun writing
   3368 14.37%:  had lots of fun!
   3369 13.86%:  had lots of fun in your
   3370 13.69%:  like how you sign off
   3371 13.69%:  want to fuck you over
   3372 13.69%:  need to talk you off
   3373 13.69%:  said no
   3374 13.69%:  said nothing
   3375 13.69%:  never do that on
   3376 13.68%:  never was good
   3377 13.68%:  only do it to
   3378 13.68%:  won an
   3379 13.68%:  had to turn
   3380 13.68%:  can do the
   3381 13.68%:  dunno if you like ice
   3382 13.68%:  get you
   3383 13.68%:  got stuck in a door
   3384 13.68%:  said he
   3385 13.68%:  had in
   3386 13.68%:  want to fuck you for
   3387 13.68%:  was kind of trying to fl
   3388 13.68%:  do things to
   3389 13.68%:  had to try
   3390 13.68%:  heard once
   3391 13.68%:  only use it when it
   3392 13.67%:  dunno if you saw it there
   3393 13.67%:  like to touch your
   3394 13.67%:  never took
   3395 13.70%:  never took you
   3396 13.67%:  need you to go in
   3397 13.67%:  want to live in our
   3398 13.67%:  only ask
   3399 13.67%:  had to let
   3400 18.33%:  had to let you know!
   3401 15.93%:  had to let you go
   3402 13.73%:  had to let you go!
   3403 13.67%:  used to like your hair!
   3404 13.67%:  was kind of trying to rev
   3405 13.67%:  get kinda
   3406 13.67%:  like to do this
   3407 13.67%:  said on
   3408 13.67%:  have to go on in 
   3409 13.67%:  only used
   3410 15.21%:  only used it once!
   3411 14.87%:  only used it to
   3412 13.67%:  get what
   3413 13.67%:  wanted to go in
   3414 13.67%:  found it very
   3415 13.67%:  want to revengo yo
   3416 13.67%:  used to like having you in
   3417 13.66%:  had to set
   3418 13.66%:  love your work in the sitc
   3419 13.66%:  get an
   3420 13.66%:  never found
   3421 18.33%:  never found out if
   3422 18.17%:  never found out how
   3423 18.02%:  never found out who
   3424 17.23%:  never found out how it
   3425 17.17%:  never found out who it
   3426 16.52%:  never found out why
   3427 15.40%:  never found out if it
   3428 13.83%:  never found out if this
   3429 13.66%:  used to like how you ran
   3430 13.66%:  like that on
   3431 14.29%:  like that on you!
   3432 13.77%:  like that on your
   3433 13.66%:  wonder if you can get us
   3434 13.66%:  like to fight!
   3435 13.66%:  said there
   3436 13.66%:  do not like it!
   3437 13.66%:  heard of
   3438 13.89%:  heard of it
   3439 13.66%:  know you can
   3440 13.66%:  have tried to go on
   3441 13.66%:  get confused
   3442 13.66%:  need you for
   3443 13.66%:  do not know if he
   3444 13.66%:  like to chew on nuts!
   3445 13.66%:  dunno if you like a
   3446 13.66%:  dunno if you like f
   3447 15.31%:  dunno if you like fries with
   3448 14.94%:  dunno if you like fries or
   3449 13.66%:  like it when you go for a run
   3450 13.66%:  dunno if you like those
   3451 13.66%:  heard one
   3452 13.65%:  only have 
   3453 13.65%:  had to!
   3454 13.65%:  want to end our f
   3455 13.71%:  want to end our friii
   3456 13.65%:  only rent
   3457 20.05%:  only rented this
   3458 19.43%:  only rented it for 
   3459 17.06%:  only rented it!
   3460 16.88%:  only rented it so
   3461 14.44%:  only rented this for
   3462 13.79%:  only rented it a
   3463 13.65%:  can see you!
   3464 13.65%:  had to work
   3465 13.74%:  had to work for
   3466 14.93%:  had to work for it!
   3467 13.65%:  need you to talk now
   3468 13.65%:  found it in your fr
   3469 13.65%:  need to ask if
   3470 13.65%:  only got the
   3471 13.65%:  lost!
   3472 13.65%:  had to sit
   3473 13.65%:  should take it
   3474 13.65%:  heard in
   3475 13.65%:  like your suit!
   3476 13.65%:  used to like on your
   3477 13.65%:  was kind of trying to re
   3478 13.65%:  like your face!
   3479 13.65%:  had to run
   3480 13.64%:  like to chew food
   3481 13.64%:  saw you once on the tv!
   3482 13.64%:  want you to go in
   3483 13.64%:  do feel
   3484 13.64%:  had to y
   3485 13.64%:  had to lie
   3486 14.27%:  had to lie to you
   3487 13.64%:  could ask you to get
   3488 13.64%:  could write
   3489 15.10%:  could write a story
   3490 13.64%:  get what you do
   3491 13.64%:  used to live in a hut of
   3492 13.64%:  wonder if you can use it for
   3493 13.64%:  get real
   3494 13.64%:  had to re
   3495 13.64%:  do say
   3496 13.64%:  do not like it when
   3497 13.64%:  sayin
   3498 13.64%:  got like a
   3499 13.63%:  only won
   3500 13.63%:  have to use it
   3501 13.63%:  forgot our
   3502 13.63%:  used to love your act!
   3503 13.63%:  need to say how
   3504 13.63%:  kinda forgot how it
   3505 13.63%:  like that sound
   3506 13.63%:  could give
   3507 14.90%:  could give a
   3508 14.08%:  could give you the
   3509 13.64%:  could give a shit!
   3510 13.63%:  dunno if you like s
   3511 13.63%:  think a lot of us in our
   3512 13.63%:  do too
   3513 13.63%:  like that for
   3514 13.63%:  kinda left
   3515 13.92%:  kinda left the
   3516 13.63%:  used to like to hang
   3517 13.63%:  want to see if your
   3518 13.63%:  need to cut you off in 
   3519 13.63%:  used to work in the oil
   3520 13.62%:  dunno if you like cats
   3521 13.62%:  dunno if you like c
   3522 13.62%:  dunno if you like or
   3523 13.62%:  like to hang out on
   3524 13.62%:  like your hair!
   3525 13.62%:  used to live in a wig h
   3526 15.62%:  used to live in a wig hut!
   3527 13.62%:  dunno if you like hear
