FOR WHAT I CAN ONLY DESCRIBE AS "AWESOME REASONS"
34.88%:  RE
0.02%:  FOR SOME REASON ALREADY TO
0.02%:  FOR SECRET REASONS ONLY HE CAN
0.02%:  FOR SOME SECRET REASON I S
0.02%:  SOME REASON I FEEL ABS
0.02%:  FOR REAL REASONS DO
0.03%:  FOR REAL REASONS DO NOT
0.02%:  "MORE CHESS IN
0.02%:  REASONS I CAN ONLY DESCRIBE AS "FRA
0.02%:  SOME OTHER REASON BESIDES F
0.02%:  "REASONS BEYOND THE S
0.02%:  MORE REASONS THAN I CAN EASILY BE
0.02%:  FOR SOME HORSE SIT
0.02%:  FOR ANOTHER REASON BE
0.02%:  FOR A HORSE TO READ
0.02%:  FOR SOME LESSONS IN WH
0.02%:  SOME REASON I NEED HORSE CO
0.02%:  FOR A REASON ONLY I CAN DESCRIBE AS "O
0.02%:  FOR THE SECOND MO
0.02%:  MORE STR
0.02%:  FOR SOME REASON ONLY I CAN ST
0.02%:  FOR ONE MORE S
0.02%:  FOR CHESS MODE
0.02%:  A REASON I CAN ONLY DESCRIBE AS "THE M
0.02%:  REASONS I CAN ONLY DESCRIBE AS "ROM
0.02%:  SOME REASON THIS WAS ONLY
0.02%:  FOR SECRET DEAL
0.02%:  FOR REASONS REASONS I D
0.02%:  REASONS Y
0.02%:  FOR HORSE RELATED MA
0.02%:  SOME REASON ALREADY IN THE
0.02%:  FOR A CHEE
0.04%:  FOR A CHEESE S
0.03%:  FOR A CHEESE AND
0.02%:  FOR MY S
0.02%:  FOR SOME REASON WHEN I SE
0.02%:  FOR MORE CH
0.02%:  ANY REASON R
0.04%:  ANY REASON RELATED OR
0.02%:  MORE CHESS ON
0.02%:  REASONS TO DO
0.02%:  SAF
0.08%:  SAFETY REASONS OR
0.03%:  SAFETY REASONS I
0.03%:  SAFETY REASONS OR WH
0.03%:  SAFETY REASONS ON
0.02%:  MORAL REASONS AND RE
0.02%:  A COOL
0.02%:  ANYONE WHO C
0.07%:  ANYONE WHO CARES TO
0.02%:  ANYONE WHO CARES TO LO
0.02%:  REASONS WITHIN
0.02%:  FOR SOME REASON IT WAS H
0.02%:  FOR HORSES ONLY I
0.02%:  FOR MORE ST
0.04%:  FOR MORE STABLE RE
0.02%:  A STAND
0.02%:  FOR CHESS REALITY RE
0.02%:  FOR MORE REASONS THAN CAN BE EASILY D
0.02%:  FOR MY R
0.02%:  "CHESS RELATED REASONS" A
0.02%:  REASONS I CANNOT R
0.02%:  "LESSON TIME
0.02%:  FOR REASONS HORSES CAN DO
0.02%:  FOR REASONS ONLY THE
0.02%:  FORWARD REAS
0.02%:  FOR OTHER REASONS ON
0.02%:  FOR TEACH
0.02%:  A REASON OF
0.02%:  FOR REASONS I WO
0.02%:  SOME REASON I WANT A HORSE FOR
0.02%:  FOR A REASON I CAN ONLY DESCRIBE AS "THE SO
0.02%:  FOR SOME REASON CHILD
0.02%:  SOME HORSES ARE NOT LI
0.02%:  REASONS WE CANNOT
0.02%:  MORE REASONS THAN I CAN FE
0.02%:  FOR ANY OTHER REASON BESIDES L
0.02%:  THER
0.02%:  LESSONS ON HOW TO BE A RE
0.02%:  FOR SOME WEIRD REASON ALWAYS THE
0.02%:  FOR SOME EASIL
0.02%:  RANDOM REASONS RE
0.02%:  FOR NO REASON I CAN DIST
0.02%:  REASONS WAY
0.02%:  A REASON I CAN ONLY DESCRIBE AS "SOME WHAT RE
0.02%:  MORE HORSE T
0.02%:  DAILY CHESS RE
0.02%:  FOR BASIC H
0.20%:  FOR BASIC HORSE RE
0.06%:  FOR BASIC HORSE NE
0.05%:  FOR BASIC HORSE S
0.05%:  FOR BASIC HORSE SENSE
0.05%:  FOR BASIC HORSE MA
0.04%:  FOR BASIC HORSE E
0.04%:  FOR BASIC HORSE M
0.04%:  FOR BASIC HORSE AN
0.04%:  FOR BASIC HORSE ANATOMY AND
0.04%:  FOR BASIC HORSE ANAL
0.04%:  FOR BASIC HORSE ANATOMY LE
0.04%:  FOR BASIC HORSE IN
0.03%:  FOR BASIC HORSE ST
0.03%:  FOR BASIC HORSE SER
0.03%:  FOR BASIC HORSE ANATOMY REASONS I
0.02%:  WORLD CH
0.02%:  FOR ANY REASON BESIDES RAC
0.02%:  FOR MORE LESSONS IN "
0.02%:  FOR SOCIAL REASONS TH
0.02%:  REAL M
0.03%:  REAL MONE
0.02%:  HORSE CONTA
0.02%:  FOR AWESOME REASONS I CAN NOT D
0.02%:  AWESOME HORSE SCI
0.02%:  "HORSES AND MEN BE
0.02%:  BASIC REASONS WH
0.02%:  A REASON I CAN ONLY DESCRIBE AS "FRESH
0.02%:  FOR AWESOME REASONS I CAN ONLY RE
0.02%:  FOR SECRET REASONS INDE
0.02%: REASONS I DARE NOT SH
0.02%:  FOR REASONS I CAN ONLY DESCRIBE AS MOT
0.02%:  REASONS BEYOND THE CO
0.02%: FOR SOMEONE
0.04%: FOR SOMEONE ELSE TO
0.02%:  TRE
0.02%:  FOR SECRET REASONS LI
0.02%:  FOR SOME REASON THE REASON IS EL
0.02%:  FOR ONE REAL
0.02%:  A HORSE DO
0.02%:  A SECRET MISSION OF SO
0.02%:  MORE SOCIAL REASONS THAN I CAN D
0.02%:  REAL REASONS I NE
0.02%:  A HORSE NAMED "RO
0.02%:  SOME HORSES TO SE
0.02%:  FOR MORAL REASONS I CANNOT S
0.02%:  FOR SOME REASON BIT
0.02%:  SOME REASON HORSES ARE WAY IN
0.02%:  REASONS ONLY I CAN DESCRIBE AS "TH
0.02%:  REASONS ONLY I CAN DESCRIBE AS "THOR
0.02%:  A SERIES OF CON
0.02%:  SOME REASON F
0.02%:  SOME REASON ST
0.04%:  SOME REASON STABLE
0.02%:  AN AWESOME C
0.02%:  FOR SOME REASON BESIDES H
0.02%:  CHESS INSAN
0.02%:  MORE REASONS THAN I CAN LE
0.02%:  FOR AN I
0.02%:  FOR AWESOME REASONS I CAN ONLY S
0.02%:  MORAL REASONS AND TH
0.02%:  A HORSE CAN
0.02%:  FOR SOME REASON I NEED HORSE Y
0.02%:  FOR SOMEONE WHO IS A
0.02%:  FOR AWESOME REASONS DEN
0.02%:  FOR ONE REASON OR A
0.02%:  FOR A REASON I CAN ONLY DESCRIBE AS "ET
0.02%:  SHA
0.02%:  DIRE NE
0.02%:  HORSE REASONS COM
0.02%:  A HORSE TRAD
0.02%: FOR S
0.02%:  SOME REASON ONLY I CAN DESCRIBE AS "FE
0.02%:  MORE CONFI
0.02%:  FOR HORSE ANSW
0.02%:  FOR SOME BASIC H
0.10%:  FOR SOME BASIC HORSE RE
0.06%:  FOR SOME BASIC HORSE AN
0.04%:  FOR SOME BASIC HORSE E
0.04%:  FOR SOME BASIC HORSE S
0.04%:  FOR SOME BASIC HORSE ANAL
0.03%:  FOR SOME BASIC HORSE REAL
0.03%:  FOR SOME BASIC HORSE TR
0.02%:  FOR SOME REASON I CAN NOW SEE THE
0.02%:  REASONS I CAN ONLY DESCRIBE AS "THE F
0.02%:  FOR SOME REASON I NEED TO SHARE C
0.02%:  FOR REAL HORSE CO
0.02%:  FOR REAL SO
0.25%:  FOR REAL SOME REASONS
0.04%:  FOR REAL SOME REASON I
0.02%:  FOR SOME REASON ALWAYS WITH
0.02%:  FOR SOME REASON I CAN BARELY HE
0.02%:  SOME REASON OR ANOTHER I FE
0.02%:  FOR END
0.02%:  SOME REASON HORSES CAN BE RE
0.02%:  FOR AWESOME REASONS I CAN ONLY DESCRIBE H
0.02%:  FOR SECRET REASONS ALSO IN
0.02%:  REASONS I CAN ONLY DESCRIBE AS TH
0.02%:  SOME REASON THERE IS NOW A R
0.02%:  FOR AWESOME HORSE D
0.02%:  FOR SOME REASON ALREADY I CAN S
0.06%:  FOR SOME REASON ALREADY I CAN SENSE
0.03%:  FOR SOME REASON ALREADY I CAN SENSE IT
0.02%:  HORSE RELATED REASONS AS W
0.02%:  OTHER REASONS ARE
0.02%:  FOR CHESS BREED
0.02%:  FOR ANY REASON I CAN BLA
0.03%:  FOR ANY REASON I CAN BLAME THIS
0.03%:  FOR ANY REASON I CAN BLAME IT
0.02%:  REASONS TO BECO
0.02%:  FOR REAL REASONS AS TO
0.02%:  FOR REAL REASONS AS TO WHIC
0.02%:  FOR DA
0.02%:  FOR A WIDE
0.02%:  HORSES ARE BEST
0.02%:  FOR CAN
0.02%:  FOR SOME REASON IT IS NOW C
0.02%:  FOR "HORSES AND MO
0.02%:  FOR TR
0.02%:  FOR SOME REASON I CAN SWE
0.02%:  FOR MORE TRAN
0.02%:  FOR SOME REASON NOW RE
0.02%:  FOR THE SAME REASON I WAS AL
0.02%:  AWESOME REASONS I CAN ONLY DIS
0.02%:  SECRET HORSE AND
0.02%:  FOR HORSE EATIN
0.02%:  FOR SOME REASON "REASONS" WH
0.02%:  "TR
0.02%:  MY HORSE AND I
0.02%:  SOME ORDER OF
0.09%:  SOME ORDER OF REASONS
0.02%:  FOR AN AWESOME HORSE RELATED B
0.02%:  MORE REASONS THAN I CAN ALREADY SE
0.02%:  COMFORT AND ASS
0.02%:  FOR REASONS CA
0.02%:  RADIO REC
0.02%:  MORE HORSE D
0.02%:  MORE NE
0.02%:  A REASON I AM NOT W
0.02%:  REASONS I CAN ONLY DESCRIBE AS THE "
0.02%:  FOR A REASON I WO
0.02%: FOR SOME REASON I NEED TO S
0.02%:  FOR AWESOME REASONS THEN
0.02%:  RANDOM HORSE RAC
0.02%:  SOME HORSE RELATED REASON AS
0.02%:  OTHER REASONS DEF
0.02%:  MORE REASONS THAN F
0.02%:  A REASON BEYOND THE REAS
0.02%:  FOR SOME REASON WHERE E
0.02%:  FOR SOME REASON I NEED TO Y
0.02%:  SOME HORSE EATIN
0.02%:  SOME REASON I WAS TH
0.02%:  FOR A HORSE LE
0.02%:  FOR EARLY H
0.03%:  FOR EARLY HORSES
0.03%:  FOR EARLY HORSE D
0.03%:  FOR EARLY HORSE B
0.02%:  FOR EARLY HORSE DAT
0.02%:  SOME HORSE RELATED SER
0.02%:  FOR MY HORSE DR
0.02%:  FOR THE SAME REASON I WAS S
0.02%:  A HORSE FRIEND RE
0.02%:  A HORSE FRIEND REAS
0.02%:  SOME HORSEY REASON I
0.02%:  FOR AWESOME REASONS I CAN NOT DES
0.02%:  FOR ANY REASON I CAN CARE
0.02%:  WHAT REASON I CAN ONLY DESCRIBE AS "MOR
0.02%:  AWESOME RESER
0.02%:  HORSE DANCE
0.02%: MORE CHESS T
0.02%:  FOR SOME REASON ALONE I D
0.02%:  FOR REASONS I NOW
0.02%:  FA
0.02%:  SOME REASON I CAN ONLY DESCRIBE AS F
0.02%:  FOR A SECRET AND
0.02%:  FOR SOME REASON WORSE THEN
0.02%:  FOR CHESS REASONS M
0.02%:  MATES
0.02%:  FOR MORE CHESS SE
0.02%:  MEDICAL REASONS RE
0.10%:  MEDICAL REASONS REASONS RE
0.02%:  FOR SOME REASON I CAN ALREADY S
0.07%:  FOR SOME REASON I CAN ALREADY SENSE
0.03%:  FOR SOME REASON I CAN ALREADY SENSE IT
0.02%: REAL REASONS I CAN
0.02%:  FOR MONEY REASONS OR
0.02%:  FOR SOME REASON THERE WAS NE
0.02%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "AA
0.02%:  FOR "SECRET REASONS" I CAN
0.02%:  FOR WHAT REASON I CAN ONLY DESCRIBE AS "SOME W
0.02%:  FOR SOME REASON ALREADY TI
0.02%:  REASONS BEYOND WHIC
0.02%:  FOR MORE REASONS THAN I CAN DOC
0.02%:  ANYONE ELSE WHO WO
0.02%: FOR SOME REASON I RE
0.02%:  FOR ONE LAST RO
0.02%:  FOR SOME REASON REASONS THE
0.02%:  FOR AWESOME REASONS AND WH
0.02%:  FOR SOME REASON TODAY WHEN I WAS
0.02%:  FOR A REASON I CAN ONLY DESCRIBE AS "HAS
0.02%:  MORE HORSE RELATED A
0.02%:  FOR SOME WEIRD REASON I WAN
0.02%:  FOR ONE MORE CHESS RE
0.02%:  FOR AWESOME REASONS AND WHAT
0.02%:  "HORSE" RELATED REASONS A
0.02%:  FOR SOME REASON ONLY I CAN DESCRIBE AS A "HA
0.02%:  SOME REASON INSTEAD OF LE
0.02%:  AWESOME HORSE REASONS IN
0.02%:  "REASON"
0.02%:  FOR SOME REASON ALSO H
0.02%:  A REASON I CAN ONLY DESCRIBE AS "HERE
0.02%:  FOR SOME REASON WILD HORSES BE
0.02%:  FOR HORSE REASONS I AM
0.02%:  LESSONS IN WH
0.02%:  RANDOM ERR
0.02%:  FOR SOME REASON I CAN NOT RE
0.02%:  MORAL REASONS INSTEAD OF A
0.02%:  SOME HORSE REASONS AL
0.05%:  SOME HORSE REASONS ALREADY IN
0.02%:  SOME HORSE CAN
0.02%:  SOME HORSE CANCER RE
0.02%:  FOR MORE CHESS EN
0.02%:  FOR SOME ASSET
0.02%:  FOR ANY OTHER REASON BESIDES W
0.02%:  FOR SOLID REASONS IN
0.02%:  LESSONS ON HORSE BRE
0.02%:  FOR ESSENCE
0.02%:  FOR SOME REASON TODAY I S
0.02%:  FOR SOME REASON TODAY I SENSE
0.02%:  CHASE
0.02%:  FOR SOME REASON THEY WERE CLO
0.02%:  REASONS BASED ON MY O
0.02%:  REASONS BEYOND WHAT CAN
0.02%:  SOMEONE ELSE TO RE
0.02%:  AWESOME FRIEND SH
0.02%:  FOR A WORD WITH A
0.02%:  HORSES NEED TO E
0.02%:  A SERIES OF CHESS LE
0.02%: AN EM
0.02%:  REAL HORSE F
0.02%:  FOR SOME REASON I CAN ONLY DESCRIBE AS AWE
0.02%:  FOR SOME REASON WATER AND
0.02%:  FOR THE REAL REASON I D
0.02%:  FOR DATA COL
0.02%:  FOR SOME REASONS THE
0.03%:  FOR SOME REASONS THEY ARE
0.02%:  FOR REASONS I M
0.05%:  FOR REASONS I MAY NOT
0.03%:  FOR REASONS I MAY NOT DIS
0.02%:  SOME REASON I NOW B
0.02%:  FOR SOME REASON IT IS ABS
0.02%:  FOR WHAT REASON WE ARE
0.02%:  FOR SOME BASIC HORSE ST
0.02%:  SOME STRAW
0.02%:  SOME LESSONS WITH
0.02%:  FOR REASONS ONLY HE
0.02%:  YARD
0.02%:  SOME REASON THERE ARE ON
0.02%:  SOME WEIRD REASON AL
0.02%:  FOR SOME INDE
0.02%:  EROTIC REASONS AND
0.02%:  FOR SOME WEIRD REASON CAN
0.02%:  MORE REASONS THAN I CAN EASILY SE
0.02%:  RADICAL I
0.02%:  FOR A REASON I CAN ONLY DESCRIBE AS "MATH
0.02%:  FOR AWESOME REASONS THERE CAN
0.02%:  FOR SOME REASON I SET
0.02%:  FOR LESSONS ON HORSEY
0.02%:  ANOTHER RELEASE
0.02%:  A HORSE NAMED ST
0.06%:  A HORSE NAMED STABLE
0.02%:  FOR SOME REASON I NEED TH
0.02%:  FOR REAL AWESOME REASONS WHY
0.02%:  A REASON BEYOND WH
0.02%:  A HORSE RELATED REASON BEY
0.02%:  SECRET HORSE RID
0.02%:  FOR AWESOME REASONS ONLY I CAN AT
0.02%:  FOR HORSE WIS
0.02%:  HORSE MESS
0.02%:  FOR SOME REASON THIS IS NOW A B
0.02%:  ANY REASON T
0.02%:  REASONS BEYOND THE REALM OF R
0.02%:  FOR ANY REASON BESIDES WHIC
0.02%:  FOR ANY REASON WHO
0.02%: REASONS AND
0.02%:  MORE FACTS AND
0.02%:  REASONS AND OTHER
0.02%:  AN AWESOME HORSE RELATED IN
0.02%:  CHEESE AND A
0.02%:  FOR CHESS RELATED A
0.02%:  FOR SECRET HORSE O
0.02%:  FOR MORE D
0.20%:  FOR MORE DETAILS ON
0.05%:  FOR MORE DETAILS A
0.03%:  FOR MORE DETAILS ON C
0.09%:  FOR MORE DETAILS ON CHESS R
0.02%:  FOR MORE DETAILS ON HO
0.02%:  FORCED ERO
0.02%:  FOR SOME REASON I WAS ALWAYS TH
0.02%:  FOR ANY REASON BAS
0.02%:  FOR SECRET REASONS IN WH
0.02%:  A WHO
0.04%:  A WHOLE NEW
0.03%:  A WHOLE RE
0.04%:  A WHOLE REASON I
0.04%:  A WHOLE REASON I CANNOT
0.02%:  FOR SOME SECRET H
0.07%:  FOR SOME SECRET HORSE B
0.02%:  HORSE REASONS I CANNOT DIS
0.02%:  FOR AN AWESOME DATE N
0.02%:  FOR SOME REASON THIS IS A REAL NE
0.02%:  FOR SOME REASON THOSE ARE L
0.02%:  FOR HORSES D
0.02%:  FOR ANY REASON BESIDE
0.02%:  SOME HORSE TOW
0.02%:  MODERN H
0.10%:  MODERN HORSE C
0.07%:  MODERN HORSE RE
0.05%:  MODERN HORSES
0.03%:  MODERN HORSE S
0.02%:  FOR SOME WEIRD REASON C
0.02%:  REASONS ONLY I CAN COM
0.02%: MORE REASONS THAN I CAN EASILY RE
0.02%:  SOME REASON THIS WAS A REAL
0.03%:  SOME REASON THIS WAS A REAL CON
0.02%:  REASONS I CANNOT SHARE FROM
0.02%:  FOR SOME STABLE R
0.02%:  SOME HEART
0.02%:  SOME REASON THERE WAS SO
0.02%:  FOR AWESOME HORSE A
0.02%:  LESSONS ON HOW TO W
0.02%:  FOR SOME HORSE CAN
0.02%: FOR SOME REASON THIS CON
0.02%:  FOR AWESOME HORSEY C
0.02%:  FOR SOME REASON ONLY I CAN DESCRIBE E
0.02%:  AWESOME RO
0.02%:  MEDICAL REASONS 
0.02%:  FOR NO REASON I CAN EASILY COM
0.02%:  "M
0.02%:  MORE REASONS TO BE CHESS
0.02%:  FOR SOME OTHER REASON AND I
0.02%:  ORDERS FROM A
0.02%:  A REASON I CANNOT FOR
0.02%:  FOR SOME REASON I SWEAR I D
0.02%:  FOR SOME REASON WORSE THAN LE
0.02%:  FOR WHAT REASON I CAN ONLY BE
0.02%:  MEDICAL REASONS I CANNOT S
0.02%:  FOR SOME HARD
0.02%:  FOR SOME REASON ALREADY WHITE IS
0.02%:  FOR DOCTOR
0.02%:  A HORSE NAMED "ST
0.04%:  A HORSE NAMED "STABLE
0.02%:  CARROTS AND
0.02%:  A LESSON IN CHESS E
0.02%:  LECT
0.02%:  SOME HORSE REASON I FOR
0.02%:  A HE
0.03%:  A HEAD
0.02%:  HORSES ARE IN
0.02%:  ONE MORE CHESS LE
0.02%:  HORSE INS
0.02%:  FOR CHESS ME
0.02%:  FOR ONE REASONS
0.02%:  FOR SOME REASON I ALWAYS SECRE
0.02%:  FOR MORE REASONS THAN I CAN BE A
0.02%:  AWESOME REASONS I CANNOT E
0.02%:  REALS AND
0.02%:  FOR MORE REASONS IN
0.02%:  FOR HORSES AND R
0.02%:  FOR SOME REASON AND ST
0.02%:  SOME REASON ALREADY BE
0.02%:  SOME REASON TO BE
0.02%:  A HORSE RELATED REASON I FE
0.02%:  FOR SOME REASON ONLY I CAN DESCRIBE AS WAT
0.02%:  FOR ONE LAST RIDE BE
0.02%:  FOR MEDICAL REASONS OB
0.02%:  SOME REASON ONE
0.02%:  FOR SOME REASON I ALWAYS DRAW B
0.02%:  RADICAL E
0.02%:  FOR ANY REASON AS
0.02%:  FOR SOME REASON I CAN HARDLY T
0.02%:  SOME REASON NOBODY CAN SEE THIS
0.02%:  SOME HORSEY REASON I CANNOT
0.02%:  A LESSON IN BAS
0.02%:  ANY REASON BESIDES ME
0.02%:  FOR A REASON I CAN ONLY DESCRIBE AS SM
0.02%:  FOR HORSE LAS
0.02%:  CHESS 
0.02%:  FOR AWESOME REASONS I CANNOT SE
0.02%:  FOR AWESOME I
0.03%:  FOR AWESOME IDEAS A
0.02%:  FOR SOME REASON I CAN NOT DESCRIBE Y
0.02%:  RANDOM A
0.02%:  FOR SOME WEIRD REASON THEY C
0.02%:  STABLE REASONS A
0.02%:  REASONS I SH
0.06%:  REASONS I SHARE
0.02%:  REASONS I SHARED
0.02%:  FOR AWESOME REASONS I CAN NOT DESCRIBE H
0.02%:  FOR A REAL REASON T
0.02%:  SOMEONE ELSE WHO CAN DO
0.02%:  SOME CHESS STR
0.02%:  FOR WHAT REASON I CAN ONLY DESCRIBE AS A W
0.02%:  FOR A REASON I CANNOT BE
0.02%:  REASONS CASE
0.02%:  FOR YARD
0.02%:  TOO MANY REASONS I D
0.02%:  FOR MORON
0.02%:  FORMAL DEBATES A
0.02%:  MY C
0.02%: A RE
0.02%:  FOR AWESOME REASONS THAN
0.02%:  DAILY HORSE ST
0.02%:  FOR A REASON SOMEHOW I
0.02%:  FOR SOME REASON TO B
0.02%:  REAL REASONS BASED ON MY RE
0.02%:  MODERN HORSE SCI
0.02%:  SOME REASON I CAN ONLY DESCRIBE AS "FOR THE
0.02%:  FOR SOME STAB
0.02%:  SOME REASON THIS FE
0.09%:  SOME REASON THIS FEELS RE
0.03%:  SOME REASON THIS FEELS R
0.02%:  A REASON I CAN ONLY DESCRIBE AS "THOSE ARE
0.02%:  SOME REASON THEY ARE CAL
0.02%:  "REASONS" OF
0.02%:  FOR A HORSE NAMED AR
0.02%:  WHAT REASON IS BEYOND ME I
0.02%:  FOR A LESSON IN THE
0.03%:  FOR A LESSON IN THE AR
0.02%: FREE
0.02%:  "HORSES AND B
0.02%:  FOR CHESS MON
0.02%:  "CHESS REAL
0.02%:  A HORSE FOR A CO
0.02%:  SOME REASON REAL HORSES CAN BECO
0.02%:  WHAT REASON I NO L
0.02%:  SOME REASON WILD HORSES ARE TO
0.02%:  SECRET HORSE E
0.02%:  SOME REASON I SWEAR I CAN HEAR ONE
0.02%:  SOME REASON ONLY I CAN HE
0.02%:  FOR MIN
0.02%:  FOR CERTAIN REASONS SO
0.04%:  FOR CERTAIN REASONS SOMEHOW
0.02%:  FOR REAL EM
0.02%:  FOR THE SAME REASON I ALWAYS E
0.02%: REASONS BE
0.06%: REASONS BEYOND THE
0.03%: REASONS BEYOND THE RE
0.02%:  FOR A CHEESE SN
0.02%:  REAL HORSES ARE IN
0.02%:  FOR SOME REASON I NEED TO REAS
0.02%:  FOR A REASON OR T
0.02%:  FOR SOME REASON THE ONES
0.02%:  FOR SOME REASON ENTERED
0.02%:  AWESOME REASONS ALSO IN
0.02%:  AWESOME AND IN
0.02%:  ANYONE WHO LO
0.02%:  ERRORS OF COM
0.02%:  A REASON I CAN ONLY DESCRIBE AS "HORSE E
0.02%:  HORSES ORDER
0.02%:  FOR SOME SECRET REASON ONLY I CAN D
0.02%:  SECRET HORSE RIDES
0.02%:  FOR HORSE BO
0.02%:  FOR HORSE BOARD
0.02%:  SOME REASON THERE ARE LI
0.02%:  FOR SOME REASON I ALWAYS R
0.02%:  FOR SECRET HORSE L
0.02%:  FOR MORE REASONS BE
0.12%:  FOR MORE REASONS BEYOND THIS
0.09%:  FOR MORE REASONS BEYOND THE
0.07%:  FOR MORE REASONS BEYOND THESE
0.06%:  FOR MORE REASONS BEYOND WH
0.04%:  FOR MORE REASONS BEYOND THE S
0.03%:  FOR MORE REASONS BEYOND WHAT I CAN S
0.02%:  FOR SOME REASON IT NO L
0.02%:  FOR AWESOME REASONS AS
0.02%:  MORE REASONS THAN I S
0.02%:  SOME REASON I FEEL DRAWN TO SO
0.02%:  SOME REASON HORSES ARE DO
0.02%:  FOR SOME REASON I WAS THERE E
0.02%:  SOME REASON I CAN ONLY DESCRIBE AS THE "
0.02%:  FOR SOME REASON WHEN I LE
0.02%:  FOR SOME REASON HORSE A
0.02%:  ONE REASON OR SO
0.02%:  A REASON I CAN ONLY DESCRIBE AS MASTER
0.02%:  ANY REASON WHERE
0.02%:  FOR SOME SECRET REASON I ALSO
0.02%:  REASONS I CAN ONLY DESCRIBE AS "WHO
0.02%:  FOR SOME ALREAD
0.02%:  SOME REASON I NEED A HORSE C
0.02%:  SOME REASON WORDS ARE CON
0.02%:  FOR SOME REASON WHAT I CAN ONLY DESCRIBE AS ""
0.02%:  FOR SOME REASON I HAD TRO
0.02%:  A NEW CH
0.02%:  FOR SOME REASON WHERE I CAN CON
0.02%:  FOR SOME REASON AND THIS IS A
0.02%:  SOME REASON REAL HORSES CON
0.02%:  ANOTHER IN
0.02%:  FOR MY HORSE CAR
0.02%:  AWESOME REASONS I CAN ONLY DESCRIBE TH
0.02%:  RANDOM HORSE IN
0.02%:  FOR HORSES RID
0.02%:  FOR NO REAL REASON IT
0.02%:  FOR REAL REASONS WHEN
0.02%:  SECRET HORSE BOARD
0.02%:  FOR REAL REASONS AND E
0.02%:  FOR REAL IN
0.02%:  ANY REASON I CAN FEEL COM
0.02%:  FOR SOME HORSE O
0.02%:  SHOW
0.07%:  SHOW AND
0.02%:  FOR "SOCIAL REASONS" OR
0.02%:  CHESS TRO
0.02%:  FOR "RESER
0.02%:  FOR SOME REASON I CAN ONLY DESCRIBE "
0.02%:  FOR ANY REASON IT CO
0.02%:  COMFORT AND SEL
0.02%:  OTHER REASONS REASONS I
0.03%:  OTHER REASONS REASONS I CAN
0.02%:  FOR EROTIC REASONS AND ALSO BE
0.02%:  FOR SOME REASON IT HAS CON
0.02%:  FOR LESSONS ON HORSE RAC
0.02%:  FOR SOME REASON OR TH
0.02%:  SOME REASON THEY ARE NO
0.02%:  FOR SOME INSIDE
0.02%:  FOR REAL RES
0.02%:  FOR REAL REASONS WHY DOES E
0.02%:  FOR WHAT REASON I CAN ONLY DESCRIBE AS A SE
0.02%:  FOR SOME REASON I DESCR
0.02%:  REASONS I CAN ONLY DESCRIBE AS "EER
0.02%:  OTHER REASONS BESIDES COM
0.02%:  REMO
0.02%:  MORE LESSONS IN E
0.02%:  FOR ORAL
0.02%:  FOR SOME REASON THREE DAYS A
0.02%:  FOR SOME REASON WORSE THAN BAS
0.02%:  REAL REASONS INSTEAD OF WH
0.02%:  FOR SOME SECRET REASONS ALONE I
0.02%:  FOR SOME REASON THE REASON IS E
0.02%:  FOR SOME REASON IT IS CON
0.02%:  AWESOME REASONS I CANNOT DESCRIBE F
0.02%:  FOR MY BRO
0.02%:  FOR REAL HORSES AND C
0.02%:  FOR A REASON I CAN ONLY DESCRIBE AS "MOST H
0.02%:  "MORE CHESS RE
0.02%:  FOR A BATH
0.02%:  "HORSE RELATED REASONS" OF
0.02%:  FOR SOME REASON ALREADY WAS
0.02%:  FOR SOME REASON I SAY "
0.02%:  FOR SOME REASON I NEED A C
0.02%:  A LECT
0.02%:  FOR CHESS DEL
0.02%:  BASIC MORAL IN
0.02%:  SOME REASON I CAN FEEL E
0.02%:  FOR REASONS HORSES LO
0.02%:  SOME REASON NOW IT
0.02%:  ANOTHER MOR
0.02%:  SOME HORSE RELATED REASONS CO
0.02%:  A BE
0.02%:  ANY REASON IT M
0.02%:  A NEW HORSE TO
0.02%:  FOR AN AWESOME HORSE RELATED AN
0.02%:  FOR BRO
0.04%:  FOR BROADEN
0.02%:  SOME REASON WORSE THAN I W
0.02%:  "SECRET REASONS WH
0.02%:  FOR REASONS I CAN NEIT
0.02%:  A HORSE NAMED "B
0.02%:  FOR SOME REASON I SAID TO
0.02%:  SOME HORSE RELATED REASON S
0.02%:  FOR ROMAN
0.02%:  HORSE RAD
0.02%:  MEDICAL REASONS OF THE
0.02%:  SORRY RE
0.02%:  FOR SOME REASON IT HAS ALREADY CO
0.02%:  MORAL REASONS TO
0.02%:  FOR SOME BASIC HORSE IN
0.02%:  LESSONS I
0.02%:  FOR SOME REASON ONLY I CAN DESCRIBE AS WHAT WE
0.02%:  FOR SOME REASONS ONLY THE
0.02%:  MEDICAL REASONS WITH
0.02%:  TWO
0.02%:  TWO REASONS NO
0.02%: FOR REAL REASONS NO
0.02%:  FOR SOME REASON WHY DOESN
0.02%:  SOME REASON I NOW FEEL A
0.02%:  MORE REASONS THAN REAL
0.02%:  ANY REASON I CAN COM
0.02%:  FRID
0.02%:  FOR SOME WEIRD REASON THAN
0.02%:  FOR MY SECRET RE
0.02%:  FOR SECRET HORSE N
0.02%:  FORCE
0.02%:  FOR ANY REASON BESIDES MA
