Off panel: Can we talk about what was said earlier
100.00%: 
3.34%:  was
0.00%:  told us he was a real
0.00%:  had a real statue in
0.00%:  was able to find an area with
0.00%:  found it while we were at an
0.00%:  wants to sleep with a
0.00%:  went as far as to build a fake planet
0.00%:  wanted a statue of a knife
0.00%:  wanted a statue of a killer whale if
0.00%:  spent half a work
0.00%:  found it in the fr
0.00%:  had it taken after all
0.00%:  is a statue and if he were
0.00%:  has been all fired up for a
0.00%:  wants a statue a
0.00%:  wears a bear hat
0.00%:  wears a bear hat and
0.00%:  and his statue are a real
0.00%:  as a statue of a friend:
0.00%:  has taken it and will
0.00%:  baked it after
0.00%:  wanted to ask if he was
0.00%:  was in a statue of a friend
0.00%:  felt like it was about
0.00%:  and all his pals went
0.00%:  spent a solid half an
0.00%:  is like a statue now
0.00%:  said there were stat
0.00%:  has drawn it in p
0.00%:  statue it
0.00%: : that was fun
0.00%:  put in a bid
0.00%:  was able to sneak ahead
0.00%:  was a fan of the idea but wasn
0.00%:  was a fake friend: he was
0.00%:  found it at an art fle
0.00%:  pushed for
0.00%:  is on a break and
0.00%:  was a real pal about the
0.00%:  had a bit part
0.00%:  was able to stand here all
0.00%:  here was a fine fellow and a
0.00%:  wins a free pair of stat
0.00%:  set it up as a fake
0.00%:  asked for a statue par
0.00%:  is a statue of a ball
0.00%:  is built
0.00%:  saw it at a park before
0.00%:  paid for a real full
0.00%:  likes it and has
0.00%:  and all the rest
0.00%:  and all the rest of us are
0.00%:  and all the rest are
0.00%:  drew it so that
0.00%:  said there was a free
0.00%:  has been a f
0.00%:  now has a statue park and we all
0.00%:  has a statue for real and
0.00%:  wanted a statue as real
0.00%:  has filled it up
0.00%:  is a real friend who spent
0.00%:  is a fan of the statue and
0.00%:  also wanted a statue he
0.00%:  based it on the last awful
0.00%:  has built it at
0.00%:  paid an artist a C
0.00%:  has drawn a statue of a well
0.00%:  paid for the statue we saw
0.00%:  said to take all
0.00%:  built this after we asked
0.00%:  drew it real fast as
0.00%:  is all up in here
0.00%:  has set up an entire
0.00%:  was an awful friend as well to
0.00%:  falls in
0.00%:  spent four weeks in
0.00%:  hates us and
0.00%:  hates us and we
0.00%:  went on a field trip where
0.00%:  was in the area so we
0.00%:  has a friend put a real
0.00%:  is awful at art and his
0.00%:  is an awful friend: he stab
0.00%:  spent about a week and a half re
0.00%:  has taken up art as well
0.00%:  has taped our
0.00%:  won award
0.00%:  is full of bad news
0.00%:  said that a real one was
0.00%:  built it as a re
0.00%:  has taken all our ideas
0.00%:  likes real
0.00%:  wakes up at
0.00%:  went inside
0.00%:  is awful and will be eaten
0.00%:  has a real talent for an
0.00%:  will be super sad if
0.00%:  was an awful friend to break stat
0.00%:  takes these
0.00%:  saw it and now we all
0.00%:  was a fine artist before and
0.00%:  is the statue and we all know
0.00%:  was taller but he was
0.00%:  asked for it real fast
0.00%:  was able to hire a fre
0.00%:  wears a bowler hat and a false
0.00%:  has taken a fine art
0.00%:  was able to hire all
0.00%:  brown
0.00%:  said it was a new art
0.00%:  is used
0.00%:  and his wife are a part of a statue
0.00%:  spent a week and a half total
0.00%:  is an awful friend as well: that
0.00%:  and the rest of us are all fine
0.00%:  wanted a statue of a real freak
0.00%:  drew it after all the fail
0.00%:  fell asleep and was a
0.00%:  is a statue of a weird
0.00%:  was able to walk up and steal
0.00%:  ate all the salt
0.00%:  ate all the salt and
0.00%:  was able to nail that
0.00%:  nailed the li
0.00%:  was a true friend as
0.00%:  was a bit put
0.00%:  was a bit put off when
0.00%:  left it here as a final
0.00%:  left it here as a final part
0.00%:  has been like a
0.00%:  has been like a friend
0.00%:  found where
0.00%:  had it all set up in
0.00%:  is a fan of us
0.00%:  kissed that
0.00%: : a fine work
0.00%:  has based it on a flaw
0.00%:  is a true friend: he was
0.00%:  is a true friend: he was able
0.00%:  lit a
0.00%:  is far better with a
0.00%:  is a statue of what we all fear in
0.00%:  said that was a bull
0.00%:  is both an awful
0.00%:  was in a dark
0.00%:  has a friend in our
0.00%:  was a little off this week
0.00%:  is hard at work all
0.00%:  wanted a statue where all of a
0.00%:  was an awful friend who talks
0.00%:  put that on a wall
0.00%:  drew it as a statue when
0.00%:  has been killed for real
0.00%:  walked into a bar after
0.00%:  is a real statue of what we all knew
0.00%:  has a new pal
0.00%:  pals with a real statue for a week
0.00%:  has been a friend of a statue all
0.00%:  is a real life statue and now we
0.00%:  will know what a real statue needs
0.00%:  wasted so
0.00%:  spent a week and a half sl
0.00%:  asked that we paint a
0.00%:  wants to break up
0.00%:  left it for us
0.00%:  is a real life person and a
0.00%:  also wanted his in
0.00%:  also wanted his in a
0.00%:  here was able to use
0.00%:  left after he was insult
0.00%:  has been a real pal of late
0.00%:  here and we want
0.00%:  speaks for the entire
0.00%:  was not a friend at all:
0.00%:  was not a friend at all: he was a fake
0.00%:  was not a friend at all: he was a true
0.00%:  has found a real art
0.00%:  has put a bear
0.00%:  done it real fast
0.00%:  drew it real fast to
0.00%:  held it up for a few
0.00%:  and all his pals are freak
0.00%:  was in a bar and saw a
0.00%:  is not a statue and will
0.00%:  kissed up
0.00%:  said he knew of
0.00%:  said he knew of a statue
0.00%:  has a statue and will
0.00%:  faked a statue in front
0.00%:  has drawn it up on
0.00%:  put in the effort and was
0.00%:  put in the effort and was able
0.00%:  wished for it after
0.00%:  has been a pain for a
0.00%:  was like a statue of what a real
0.00%:  was like a statue of what a real friend
0.00%:  ate all the parts
0.00%:  and his wife are fr
0.00%:  paid for a real statue a while
0.00%:  has a few ideas about an
0.00%:  was paid for the li
0.00%:  knew it and he
0.00%:  knew it and he was
0.00%:  in this statue
0.00%:  is a fake and will be
0.00%:  was a real friend but a fake
0.00%:  was at least a friend before
0.00%:  was the real statue we paid
0.00%:  is a fine stat
0.00%:  is a real artist and we all knew what
0.00%:  paid for the statue in a bank
0.00%:  spends an hour
0.00%:  walked this
0.00%:  was an awful friend b
0.00%:  was a better friend in a
0.00%:  was able to take apart
0.00%:  has done a real artist
0.00%:  was an awful friend to keep it
0.00%:  is not a real friend but he
0.00%:  is well aware of what a true and
0.00%:  puts this
0.00%:  than
0.00%:  passed our
0.00%:  set it up for a friend
0.00%:  was a little unfair to draw
0.00%:  was there for a
0.00%:  will be the artist and
0.00%:  has an idea of statue
0.00%:  it would
0.00%:  was able to find the raw
0.00%:  has been a stupid
0.00%:  was able to speak with it
0.00%:  here was able to draw a statue in
0.00%:  is a winner at heart
0.00%:  threw it at us and we were
0.00%:  threw it at us and we were all
0.00%:  was a bit weird
0.00%:  was able to draw a super
0.00%:  stone
0.00%:  found it when we were at a
0.00%:  found it when we were at a park
0.00%:  has a friend stop
0.00%:  has a friend put it
0.00%:  pals around with better
0.00%:  was able to pull a friend in
0.00%:  law
0.00%:  was a statue of a real friend all
0.00%:  was a dwarf who
0.00%:  said it was C
0.00%:  wants a refund of the 
0.00%:  put it there and was
0.00%:  is now a real statue and the
0.00%:  felt weird
0.00%:  has drawn it up real life
0.00%: : it is awful and
0.00%:  said he wants to break
0.00%:  needs all
0.00%:  is a real artist now and we
0.00%:  is awful and if he were
0.00%:  built it as a prank and he left
0.00%:  here said it was all
0.00%:  went to his friend
0.00%:  knew what a statue is and will
0.00%:  said it was awful: a
0.00%:  has been a real find
0.00%:  is a friend of a true
0.00%:  farted in the
0.00%:  was a real pal and a
0.00%:  was a real pal and a real statue
0.00%:  paid for a real statue with a fake
0.00%:  was with us and we
0.00%:  was able to take all the pain
0.00%:  saw it and he fl
0.00%:  said it was a t
0.00%:  drew it up after we all saw
0.00%: : does
0.00%:  said it was a w
0.00%:  has been kinda upset all
0.00%:  is a real real
0.00%:  has also put in
0.00%:  has set up a di
0.00%:  saw it in an art store
0.00%:  is the real awful friend:
0.00%:  is sw
0.00%:  was able to sneak it in here
0.00%:  has based it upon all
0.00%:  saw it and was hor
0.00%:  has a friend at statue
0.00%:  is a fraud of
0.00%:  drew it with a fat
0.00%:  worked with a pl
0.00%:  put sand
0.00%:  is an awful friend to the
0.00%:  built it after we passed
0.00%:  has failed as a fellow
0.00%:  has a new skill and
0.00%:  has a new life plan
0.00%:  is upset that we
0.00%:  wants to build a new park with
0.00%:  was a friend for a while but we
0.00%:  said that it was rub
0.00%:  knew all about what real
0.00%:  has a point: we
0.00%:  spent about a half a week
0.00%:  was a statue and we threw
0.00%:  put what
0.00%:  wishes for
0.00%:  wants a refund for all the lies
0.00%:  and the rest of us are a bit
0.00%:  also said that if a
0.00%:  also said that if a real
0.00%:  is now a real friend
0.00%:  wanted a statue of a swe
0.00%:  was here and was a total
0.00%:  is the bad statue
0.00%:  said he was a real life
0.00%:  was a little unfair last week
0.00%:  is a statue with an award for
0.00%:  based it off a still
0.00%:  put effort
0.00%:  wants to be a friend with a
0.00%:  wants to be a friend with a real
0.00%:  flew it
0.00%:  spent about a week and a half as a
0.00%:  knew what a real statue for
0.00%:  was in a park and this
0.00%:  is the real pal
0.00%:  there will
0.00%:  is a bit of a real
0.00%:  wants to file a law
0.00%:  was a statue before and will
0.00%:  here tried
0.00%:  is a winner of
0.00%:  was a friend who knew better
0.00%:  built a new and
0.00%:  has said it well
0.00%:  will be a statue for a while:
0.00%:  pals around with a sweet
0.00%:  drew it last week after a
0.00%:  sad
0.00%:  set it up in a
0.00%:  is ret
0.00%:  wanted a statue for his lawn: a life
0.00%: : what was it about
0.00%:  has taken a new role as a
0.00%:  paid for this re
0.00%:  was able to find a real statue a
0.00%:  is what a statue of a naked
0.00%:  was a statue and he knew all
0.00%:  has bull
0.00%:  here is a real stand
0.00%:  has not left
0.00%:  is a real awful friend who talks
0.00%:  failed as a statue while
0.00%:  is aware of the fall
0.00%:  is bad at pun
0.00%:  has a statue for a friend like a
0.00%:  is an awful friend that takes all
0.00%:  built it for the park as an
0.00%: : we all had
0.00%:  is well aware of what a bad artist
0.00%:  built it as an after
0.00%:  put it behind a
0.00%:  put it behind a wall
0.00%:  is the real reason we
0.00%:  was a real friend to put all
0.00%:  has an idea for a new park: a
0.00%:  has an idea for a new park: a statue
0.00%:  is not a real artist and
0.00%:  has a new idea for a fun
0.00%:  has failed to learn a
0.00%:  knew what a statue was for a real
0.00%:  is an artist around
0.00%:  has a new friend: a real stat
0.00%:  wants a refund if it
0.00%:  was a real friend but we all knew
0.00%:  sure wasted
0.00%:  was a fine fellow but he wasn
0.00%:  has no need
0.00%:  spent all week and a half a
0.00%:  wants a refund for his li
0.00%:  is ste
0.00%:  was able to render it faith
0.00%:  saw it and has
0.00%:  was fired for in
0.00%:  also drew a little
0.00%:  is a statue and will not
0.00%:  was there and was a
0.00%:  has been a statue for aaa
0.00%:  is well aware that as a friend of
0.00%:  is here:
0.00%:  is show
0.00%:  saw it at the fair and was
0.00%:  is what a statue of a were
0.00%:  is the best and we all want
0.00%:  knows as
0.00%:  wanted a statue of a hall
0.00%:  was the real deal: a statue of a
0.00%:  is an awful friend a
0.00%:  is a fan of true
0.00%:  is a fan of true real
0.00%:  was here and all we
0.00%:  is an awful friend what are we
0.00%:  here is a statue and a far
0.00%:  was a little sad after
0.00%:  was like a statue of a bear and
0.00%:  was a better friend al
0.00%:  wants a statue park and
0.00%:  won his bet and we
0.00%:  won his bet and we all
0.00%:  was able to stare at a
0.00%:  told us if we were
0.00%:  woke up with a bad taste
0.00%:  will refuse
0.00%:  takes half
0.00%:  saw it and we were both
0.00%:  has paid for a fake statue in
0.00%:  paid an artist two full
0.00%:  when asked
0.00%:  is a statue in the park for
0.00%:  is a statue in the park for all
0.00%:  left before he saw it and
0.00%:  shows up and all
0.00%:  was in the park and all of
0.00%:  paid the artist a real
0.00%:  still has a life after
0.00%:  wrote it after we saw
0.00%:  was a statue for a week and a half in
0.00%:  saw it and that was
0.00%:  is a hor
0.00%:  was on a break and
0.00%:  knows a few art
0.00%:  knows a few art deal
0.00%:  wrote it and he was all
0.00%:  is here and we are about
0.00%:  said there was a 
0.00%:  built it as a prank and has
0.00%:  was a real statue here and
0.00%:  set it up after we walked
0.00%:  knew it would be an
0.00%:  while
0.00%:  if this
0.00%:  was in the area and was about
0.00%:  knows his art and we
0.00%:  knows his art and we all
0.00%:  like what
0.00%:  was able to drink
0.00%:  was able to drink a
0.00%:  is a real artist and know
0.00%:  is a real artist and know what a
0.00%:  shape
0.00%:  here is a real stand up
0.00%:  wants a statue for when
0.00%:  is awful at both
0.00%:  paid for the statue: all
0.00%:  is a few feet tall
0.00%:  is a few feet tall and has
0.00%:  draws sweet
0.00%:  is a better talk
0.00%:  was able to draw up an
0.00%:  said he was a fan but
0.00%:  was able to find an arts
0.00%:  drew it as a statue of a
0.00%:  saw it at a park when
0.00%:  threw it out a
0.00%:  found it in trash
0.00%:  felt it was a far
0.00%:  spent a few bu
0.00%:  is a statue friend of
0.00%:  asked if it was for a
0.00%:  is a real work
0.00%:  threw it up and
0.00%:  is off panel here
0.00%:  was in the park and a few
0.00%:  spent like all his
0.00%:  will be a statue of a fake
0.00%:  was ha
0.00%:  please wear
0.00%:  was an artist with a keen
0.00%:  was ahead of it all
0.00%:  was able to take 
0.00%:  found it in a park as a
0.00%:  is l
0.00%:  sure has an aw
0.00%:  wanted to put a wall
0.00%:  tells us that if
0.00%:  wanted after
0.00%:  wins his
0.00%:  data
0.00%:  had an artist take a few
0.00%:  is a freak and that
0.00%:  is a real statue of friend
0.00%:  walked here
0.00%:  wanted a statue of his all
0.00%:  here is a life
0.00%:  wore a suit and a w
0.00%:  had a few spare bits
0.00%:  is father
0.00%:  wants a refund so we
0.00%:  saw it at a super
0.00%:  wants to build a new park where
0.00%:  wants to build a new park where all
0.00%:  ste
0.00%:  steals all
0.00%:  wanted a statue of a free
0.00%:  found it in a trash area
0.00%:  saw it at a park and now
0.00%:  is a real statue now while
0.00%:  has a friend: an
0.00%:  has built a new park for stat
0.00%:  fell asleep and now his wife
0.00%:  was able to use an award
0.00%:  found it in that
0.00%:  found it in that park
0.00%:  was here and it was all a
0.00%:  is a statue fr
0.00%:  paid for the statue in an
0.00%:  asked if it was real after we
0.00%:  will be a statue for a while and after
0.00%:  has a statue for an
0.00%:  has a statue for an award
0.00%:  is a real awful artist and
0.00%:  has a statue and an
0.00%:  wants there
0.00%:  said he was not a
0.00%:  is an artist of awful
0.00%:  drew it on a table
0.00%:  is a statue of a bear with an
0.00%:  went for a walk and statue
0.00%:  said that was an aw
0.00%:  had a real statue for
0.00%:  was able to real
0.00%: : Can we please talk about this real
0.00%:  was able to earn his
0.00%: : it was a real statue of
0.00%:  spent a few hours a week at
0.00%:  has a new friend at a
0.00%:  said it was taken at
0.00%:  put it there as a friend
0.00%:  rules as
0.00%:  has left and taken it
0.00%:  built this as a fare
0.00%:  was a real friend with a statue of a
0.00%:  is not a well
0.00%:  said there was a bar
0.00%:  knew this was a trap
0.00%:  knew this was a trap and
0.00%:  has taken it as part
0.00%:  has taken it as part of a
0.00%:  is real and that was all
0.00%:  is real and that was all fake
0.00%:  threw up a little and now we
0.00%:  drew it as a pun
0.00%:  spent a few hours detail
0.00%:  wants a refund: he
0.00%:  has a statue for an idea
0.00%:  won all the bets and
0.00%:  paid for it as a last fare
0.00%:  was a statue in the park before
0.00%:  drew it in about three
0.00%:  was here and now is
0.00%:  is a fake statue for
0.00%:  is a fake statue for real
0.00%:  has found a little
0.00%: : a friend of all
0.00%:  spends an hour a week
0.00%: : a true artist and
0.00%:  was afraid to take all
0.00%:  will blow
0.00%:  was able to find a statue in all
0.00%:  pals around with it at
0.00%:  works at a real life
0.00%:  has a real life idea
0.00%:  threw a statue in a lake and a few
0.00%:  wears a bowler hat and talks in
0.00%:  around the
0.00%:  has paid an artist to be a
0.00%:  pulled this off a bank
0.00%:  has wanted to be
0.00%:  is part of what we
0.00%:  also wears a bath
0.00%:  was able to talk and he
0.00%:  was able to talk and he was a
0.00%:  is a fan of super
0.00%:  will be a statue for life and he wants
0.00%:  was an awful friend to keep it a
0.00%:  was able to draw this at
0.00%:  will also be in
0.00%:  also had a statue like
0.00%:  is a real life awful
0.00%:  found it at a new
0.00%:  found it at this park
0.00%:  faked this statue for
0.00%:  was fired for ste
0.00%:  was able to strike a deal with an un
0.00%:  here is a fellow artist
0.00%:  here is a fellow artist and
0.00%:  knew what a statue was all al
0.00%:  has been a statue for a freak
0.00%:  was afraid to ask but what are
0.00%:  went for a walk and saw a real life stat
0.00%:  worked as a life
0.00%:  will also be a statue and the
0.00%:  here is a self
0.00%:  went for a walk and we built
0.00%:  went for a walk and we built this
0.00%:  had a few art
0.00%:  was a statue for real and then
0.00%:  was a little unfair: he
0.00%:  was a little unfair: he was
0.00%:  hands a
0.00%:  was a statue of a real life
0.00%:  built it as a prank after all of
0.00%:  as a statue had
0.00%:  is the real and true
0.00%:  is now a statue and there are
0.00%:  is like a bad statue
0.00%:  paid the artist for an
0.00%:  wound
0.00%:  faked this entire
0.00%:  has an idea for a statue: it
0.00%:  drew this as part
0.00%:  drew this as part of a
0.00%:  likes her
0.00%:  wanted off
0.00%:  statue worked
0.00%:  is a waste of an
0.00%:  has an idea for a life
0.00%:  killed an
0.00%:  and his pals are like
0.00%:  hates us all and
0.00%:  will use it as a weapon
0.00%:  said while
0.00%:  will be on trial
0.00%:  was able to handle a
0.00%:  has paid a statue of a
0.00%:  knew this was a trap all
0.00%:  has built it and we
0.00%:  said it was a b
0.00%:  went off and built his
0.00%:  is far better at pos
0.00%:  owes us a new
0.00%:  was the statue for real
0.00%:  read up
0.00%:  pulled this off a site
0.00%:  works at a stuff
0.00%:  is tall and lean
0.00%:  was fine with a
0.00%:  was fine with a statue of a
0.00%:  paid for it as a real
0.00%:  has been all up on
0.00%:  up there was a bad
0.00%:  found it at half
0.00%:  wears a bad hat
0.00%:  pushed an
0.00%:  knew it was a trap
0.00%:  is a freak of nature and he will be
0.00%:  is a better art
0.00%:  paid an artist what we
0.00%:  please kill
0.00%:  has taken it real life
0.00%:  has taken it real life and
0.00%: : we found a real artist
0.00%:  was here and saw it before
0.00%:  is a fan who
0.00%:  is a fan who wanted
0.00%:  was able to ensure
0.00%:  left it at a park while
0.00%:  is an awful person if
0.00%:  and his wife are so awful
0.00%:  paid for a statue if
0.00%:  paid for a 
0.00%:  and his wife were on a
0.00%:  and his wife were on a walk
0.00%:  said half
0.00%:  was a fake friend but we
0.00%:  has a statue drawn in
0.00%: : we need a
0.00%:  wanna build
0.00%:  was able to take it and
0.00%:  done it real pur
0.00%:  put all that in a
0.00%:  led us here
0.00%:  drew it after it all
0.00%:  saw this on a
0.00%:  saw this on a walk
0.00%:  was a little off: it was
0.00%:  was also a bit
0.00%:  worked at it until
0.00%:  worked at it until he was
0.00%:  worked at it until he was able
0.00%:  at least has an
0.00%:  at least has an idea
0.00%:  drew this as a pr
0.00%:  drew this as a prank but
0.00%:  pals are better than fake
0.00%:  had to break up
0.00%:  was an awful friend: there
0.00%:  was an awful friend: there was
0.00%:  here was a bit of an ar
0.00%:  earlier said
0.00%:  wants a statue and will
0.00%:  is a little fat
0.00%:  was at the park and saw a real one
0.00%:  worked a little with an
0.00%:  was a real statue and he will
0.00%:  was here and let
0.00%:  has at least put in a
0.00%:  has now taken all
0.00%:  has an idea for a new statue park we
0.00%:  and his pals are at
0.00%:  left it at a park for a
0.00%:  left it at a park for a while
0.00%:  left it at a park for a while and
0.00%:  has spent all week in
0.00%:  builds life
0.00%:  takes awards
0.00%:  was a statue for three and
0.00%:  is an alien who
0.00%:  is a false friend: a
0.00%:  laid the statue in
0.00%:  farts
0.00%:  found it at an all
0.00%:  paid for a statue a while
0.00%:  said it was a ball
0.00%:  is an awful and fake
0.00%:  was able to win a free
0.00%:  was a friend who felt
0.00%:  spent two weeks and all
0.00%:  drew a better one than
0.00%:  filled that
0.00%:  was able to draw it after like half
0.00%:  was able to draw it after like half a
0.00%:  is an artist and a poet
0.00%:  was able to draw this far
0.00%:  knew about it and he was all
0.00%:  was tail
0.00%:  wanted his statue for a
0.00%:  wanted his statue for a park
0.00%:  has ro
0.00%:  wants to hear a real
0.00%:  put in all the work and was
0.00%:  will be our final
0.00%:  laid an
0.00%:  set it up at his
0.00%:  also kind
0.00%:  is a total a
0.00%:  is an artist after all and we
0.00%:  has a real life stat
0.00%:  would be in there
0.00%:  has a real statue and all
0.00%:  is not an awful fake
0.00%:  wanted to steal all
0.00%:  takes and
0.00%:  fired after
0.00%:  had built
0.00%:  is a statue and we all wear
0.00%:  wants a statue of a real friend he
0.00%:  worked with a little
0.00%:  was able to draw real
0.00%:  was able to draw real fast
0.00%:  saw it and was aw
0.00%:  has taken a fine li
0.00%:  found a 
0.00%:  was a real pain for
0.00%:  wanted to be a real part
0.00%:  is an awful friend who ate
0.00%:  is an awful friend who ate all
0.00%:  wears it as
0.00%:  wears it as a hat
0.00%:  said it was a r
0.00%:  is a fine fellow and statue
0.00%:  has paid for all stat
0.00%:  swept in
0.00%:  knew it was a statue:
0.00%:  kinda has a point:
0.00%:  was brief
0.00%:  is a dwarf with an
0.00%:  has false
0.00%:  was the real one all
0.00%:  was a real pain about stat
0.00%:  is first
0.00%:  was a real pain to talk
0.00%:  paid for it at the freak
0.00%:  is a better friend who was a
0.00%:  based it on his awful fake
0.00%:  hired a statue as
0.00%:  stared at it awhile
0.00%:  wanted to be first
0.00%:  is a real statue like
0.00%:  was able to strike a deal with an awful
0.00%:  and his pals are total
0.00%:  was a real statue who wanted
0.00%:  has been a pain all week
0.00%:  has a new statue and all
0.00%:  has taken a bit of an
0.00%:  please for
0.00%:  faked a phone
0.00%:  knew what a statue is for all
0.00%:  will keep this and
0.00%:  will be our last
0.00%:  and this statue are all
0.00%:  turns all
0.00%:  wanted it with a ball
0.00%:  keeps all
0.00%:  has done an artist
0.00%:  is an artist and part
0.00%: : Can we talk about what we are
0.00%:  is a fake statue and all the
0.00%:  is a fake statue and all the real
0.00%:  is a worse friend than awful
0.00%:  is a real friend that was
0.00%:  is a bust of what a
0.00%:  is a bust of what a real
0.00%:  is a bust of what a real friend
0.00%:  is a bust of what a friend
0.00%:  also shaped
0.00%:  is a real statue and we talk
0.00%:  paid for it as a late
0.00%:  wins fake
0.00%:  was du
0.00%:  is the one and
0.00%:  was able to define
0.00%:  put it at a
0.00%:  paid for the statue: a life
0.00%:  wanted us to ask
0.00%:  wears a bowler hat and tail
0.00%:  has been a statue for a fair
0.00%:  was a real friend but all he
0.00%:  knew what it was up to and
0.00%:  saw it and he fell apart
0.00%:  has been a real sport and
0.00%:  faked a statue for all
0.00%:  saw it at the park a
0.00%:  blew this up and fr
0.00%:  wanted it to be full
0.00%:  is a statue of a what
0.00%:  has failed to turn
0.00%:  has a better idea after
0.00%:  went for a walk with an
0.00%:  said there was an area
0.00%:  was an awful friend: he beat
0.00%:  at least has a full
0.00%:  blew up a little
0.00%:  blew up a little and
0.00%:  pulled that off in an
0.00%:  was able to render this in
0.00%:  wants a statue of a bear and
0.00%:  there wants
0.00%:  up ahead
0.00%:  fell asleep in a bar and this
0.00%:  has a real statue idea:
0.00%:  spent a week at his draft
0.00%:  is a fan of all the arts
0.00%: : when we
0.00%:  earned brown
0.00%:  wins a statue award for all
0.00%:  was able to turn an idea
0.00%:  wanted a statue of a le
0.00%:  said that was a rip
0.00%:  it was a real
0.00%:  it was a real statue
0.00%:  it was a real statue and
0.00%:  here is a statue award
0.00%:  read off
0.00%:  was at the park and saw a tree
0.00%:  is a statue for real and when
0.00%:  has drawn it all on
0.00%:  was there and it was all true
0.00%:  awful
0.00%:  saw the real statue and all
0.00%:  built it and here
0.00%:  in real life was a statue of what a
0.00%:  is the real life statue of a
0.00%:  is a statue for real and it
0.00%:  saw the statue and all
0.00%:  has drawn it in water
0.00%:  is aware of what a statue and
0.00%:  paid for a real statue he wants
0.00%:  found a life s
0.00%:  paused for a beat as
0.00%:  has a statue of a real life din
0.00%:  was not a friend at all but was
0.00%:  fell into a lake after
0.00%:  has built a fake friend
0.00%:  sure has a killer
0.00%:  was a statue and we all knew he
0.00%:  is down the
0.00%:  asked for a statue with a fr
0.00%:  beat up a friend while
0.00%:  wanted to put a barrel
0.00%:  was a fake friend who put
0.00%:  was the statue and we all
0.00%:  is the best at friend
0.00%:  wants us to write
0.00%:  wants us to write a
0.00%:  won that bet in
0.00%:  won that bet in a walk
0.00%:  will want to be
0.00%:  found it in a park here
0.00%:  is a fake statue now
0.00%: : a statue has
0.00%:  is late for an
0.00%:  is late for an award
0.00%:  faked a statue for awhile
0.00%:  has talked to all
0.00%:  is a better friend: when
0.00%:  owes a statue
0.00%:  has a statue of a li
0.00%: : a statue of a friend is what
0.00%:  was able to draft it in
0.00%:  has fraud
0.00%:  thinks a statue of a din
0.00%:  spent a few weeks in art
0.00%:  wears a hat now
0.00%:  knows all the ladies
0.00%:  spent weeks in
0.00%:  spent weeks in a
0.00%:  has been asked for
0.00%:  still has a bad
0.00%:  worked with us at a
0.00%:  works in art and stuff
0.00%:  leased
0.00%:  was a real life friend that was
0.00%:  here was able to find a statue park
0.00%: : we put a
0.00%:  set it up and it was all a
0.00%:  hired an artist we
0.00%:  hired an artist we know
0.00%:  has fat
0.00%:  wanted a statue of a wheel
0.00%:  has set up all
0.00%:  is so weird
0.00%:  wears a bowler hat at
0.00%:  paid a real artist a full
0.00%:  was a real artist at
0.00%: : what if a statue was a friend
0.00%:  has an idea for a new after
0.00%:  paid for it but all
0.00%:  is a fake and that was
0.00%:  will also be a statue in a
0.00%:  saw it on sale
0.00%:  saw it on sale and
0.00%:  saw it on sale at a
0.00%:  is a real life person and what
0.00%:  talked this
0.00%:  and his pals were a
0.00%:  and his pals were a little freak
0.00%:  has a statue lab and it
0.00%:  was able to draw it after half
0.00%:  was able to draw it after half an
0.00%:  laid a statue of a
0.00%:  is older
0.00%:  knew this was better
0.00%:  was ste
0.00%:  was a statue for a while and all we
0.00%:  in all his naked
0.00%:  thinks about
0.00%:  shaped it after a life
0.00%:  pals are better at
0.00%:  who is a real
0.00%:  who is a real statue and
0.00%:  who is a real statue and a
0.00%: : we used
0.00%:  has lied to us
0.00%:  has lied to us all
0.00%:  asked to see
0.00%:  asked to see what
0.00%:  asked to see what a real
0.00%:  has a real statue and a fake
0.00%:  was a real friend to us all when
0.00%:  want a
0.00%:  wanted a statue of a bear killer
0.00%:  is well aware that a person
0.00%:  wanted it to wear
0.00%:  is the real statue af
0.00%:  is a real life statue and an
0.00%:  was her
0.00%:  went off and built this
0.00%:  wanted us to ask if
0.00%:  is a friend of real
0.00%:  will be a statue who
0.00%:  paid a real statue for this
0.00%:  wants us all to thank
0.00%:  found it at a park while we
0.00%:  saw it and broke
0.00%:  was taller and was able
0.00%:  is a fake and has no
0.00%: : we think
0.00%:  paid insane
0.00%:  saw a statue and he knew
0.00%:  was a friend for like
0.00%:  was laid
0.00%:  built it after we read
0.00%:  has blown up and we are
0.00%:  has blown up and we are all
0.00%:  was at a park and there was a life
0.00%:  has faked it before
0.00%:  has a new idea for a new statue: a
0.00%:  is aware that we are a
0.00%:  was a fine friend as
0.00%:  is bad at real
0.00%:  takes better
0.00%:  was in the area and we all felt
0.00%:  was in the area and we all felt it was for
0.00%:  is a sne
0.00%:  is death
0.00%:  based the statue of
0.00%:  wants a refund of their
0.00%:  is a friend but he was a
0.00%:  said it was fake before
0.00%:  was able to find at least half
0.00%:  will be a statue for real when
0.00%:  has found a few stat
0.00%:  is an awful person with a flaw
0.00%:  was a friend who knew all
0.00%:  draws when
0.00%:  is an artist and we are all at
0.00%:  was a little rude in what
0.00%:  is taller and was
0.00%:  has left to find
0.00%:  has left to find a real
0.00%:  has left to find a new
0.00%:  went for a walk after his
0.00%:  has left and taken our
0.00%:  also wanted a statue while
0.00%:  has a statue of real
0.00%:  is a statue freak with
0.00%:  asked if it was real or a
0.00%:  has an idea for a statue: an
0.00%:  has a plan for a
0.00%:  said it was awful all
