YOU WANNA COME OVER AND WATCH A MOVIE OR WHAT
      0 100.00%: 
      1 44.13%:  I
   1948 0.10%:  I WANT YOU TO COME OVER AND WHEN
   1949 0.10%:  DO YOU WANT A HOT
   1950 0.10%:  YOU AND ME ARE MA
   1951 0.10%:  CAN YOU COME OVER AND RE
   1952 0.10%:  YOU CAN COME OVER AND TH
   1953 0.10%:  WATCH THE
   1954 0.10%:  I AM W
   1955 0.10%:  I HAD THAT
   1956 0.10%:  YOU WANT ME ON
   1957 0.10%:  MO
   1958 0.10%:  CAN I EAT A
   1959 0.10%:  CAN I HAVE YOUR NAME CH
   1960 0.10%:  COME HERE I WANT YOU TO DO
   1961 0.10%:  HAVE YOU MA
   1962 0.18%:  HAVE YOU MADE ME
   1963 0.10%:  I NEED THAT ONE
   1964 0.10%:  CAN I HAVE THE MEAT ON
   1965 0.10%:  WHEN YOU COME OVER I WANT TO MA
   1966 0.10%:  CAN I COME OVER AND EAT A H
   1967 0.10%:  WE NEED TO CON
   1968 0.10%:  I WANT YOU TO COME OVER AND HA
   1969 0.10%:  IN A
   1970 0.10%:  I WANT AN EN
   1971 0.10%:  CAN YOU COME WITH ME TO E
   1972 0.10%:  CAN I COME OVER E
   1973 0.10%:  DO YOU WANNA E
   1974 0.10%:  I WANNA EAT THEM AND
   1975 0.10%:  I HAVE DE
   1976 0.10%:  COME HERE I TH
   1977 0.10%:  I HAVE HAD MY
   1978 0.10%:  DO YOU WANT TO COME OVER RE
   1979 0.10%:  I WANT TO CHEW YOU
   1980 0.10%:  HAVE YOU EVER HAD AN A
   1981 0.10%:  WANT YOU TO COME OVER AND CH
   1982 0.10%:  I WANNA EAT ON YOU
   1983 0.10%:  COME HERE AND I WANT
   1984 0.19%:  COME HERE AND I WANT YOU
   1985 0.15%:  COME HERE AND I WANT TO H
   1986 0.10%:  I WANNA EAT YOUR HEAD
   1987 0.10%:  I WANT TO HAVE HER N
   1988 0.10%:  CAN I COME OVER AND EAT TON
   1989 0.10%:  CAN WE T
   1990 0.10%:  DO YOU WANNA T
   1991 0.10%:  I WANNA EAT YOUR NAME OR
   1992 0.10%:  I WANNA EAT YOU THEN E
   1993 0.10%:  HAVE YOU MET THEM
   1994 0.10%:  COME HERE A
   1995 0.10%:  ARE WE D
   1996 0.10%:  I WANT YOU R
   1997 0.10%:  I WANT TO HAM
   1998 0.10%:  EAT HER
   1999 0.10%:  THE ON
   2000 0.10%:  I HAVE HAD NO
   2001 0.10%:  CAN I EAT ONE R
   2002 0.10%:  YOU AND I HAVE NO
   2003 0.10%:  CAN YOU HAVE
   2004 0.10%:  WHAT CAN I DO TO H
   2005 0.10%:  I AM THE ONE
   2006 0.10%:  I WANT YOU TO CON
   2007 0.10%:  YOU ARE NOT EV
   2008 0.10%:  WHEN DO I EVER
   2009 0.10%:  HAVE YOU READ THE
   2010 0.10%:  CAN I HAVE AN O
   2011 0.10%:  I DO NOT CARE WHAT YOU H
   2012 0.10%:  I WANT YOUR NAME ON ME
   2013 0.10%:  ARE YOU DOWN
   2014 0.54%:  ARE YOU DOWN WITH THE
   2015 0.10%:  ARE YOU DOWN WITH ME
   2016 0.10%:  I WANNA DO
   2017 0.10%:  MY N
   2018 0.10%:  I NEED YOUR HAM
   2019 0.09%:  I DO NOT EVEN CARE HOW M
   2020 0.09%:  CAN I EAT H
   2021 0.09%:  CAN WE DO
   2022 0.09%:  CAN YOU COME HERE
   2023 0.26%:  CAN YOU COME HERE AND
   2024 0.09%:  DO I HAVE THE
   2025 0.09%:  YOU HAVE NO IDEA WHEN
   2026 0.09%:  COME WITH ME AND HAVE
   2027 0.09%:  CAN YOUR
   2028 0.09%:  I HEAR THE
   2029 0.09%:  CAN WE HAVE A CON
   2030 0.09%:  I WANT TO NE
   2031 0.09%:  WANT ME AND
   2032 0.09%:  THAT I HAVE
   2033 0.09%:  CAN I EAT AT YOUR RE
   2034 0.09%:  HAVE I MET A NAME WH
   2035 0.09%:  I AM NOT TOO CO
   2036 0.09%:  DO I EVER WANT TO HAVE AN
   2037 0.09%:  I AM HERE TO RE
   2038 0.09%:  CAN I EAT YOUR N
   2039 0.09%:  YOU CAN COME WITH ME AND E
   2040 0.09%:  WHEN I MET YOU AND
   2041 0.09%:  WHEN DO I EAT YOU
   2042 0.09%:  I NEED YOUR NAME NO
   2043 0.09%:  WANT YOU TO COME OVER AND M
   2044 0.09%:  WHAT ARE YOU E
   2045 0.09%:  CAN I EAT THE H
   2046 0.09%:  I NEED TO HAVE A CH
   2047 0.09%:  I ATE T
   2048 0.09%:  YOU HAVE MADE THE
   2049 0.09%:  I HAD YOU AT THE
   2050 0.09%:  CAN I COME OVER AND WE T
   2051 0.09%:  I NEED MORE THAN YOUR
   2052 0.09%:  I WANT TO CHEW ON YOUR N
   2053 0.09%:  I WANT TO HAVE ONE
   2054 0.09%:  WHEN I MET YOU THE
   2055 0.09%:  I HAVE A NEW CH
   2056 0.09%:  YOU WANT TO COME OVER AND CON
   2057 0.09%:  CAN I HAVE N
   2058 0.09%:  YOU AND I ARE R
   2059 0.09%:  MOM
   2060 0.09%:  I WANT THE N
   2061 0.11%:  I WANT THE NAME CH
   2062 0.09%:  I DO NOT WANT ANY MORE H
   2063 0.09%:  YOU AND I HAVE AN
   2064 0.09%:  I WANNA CHEW ON YOUR
   2065 0.09%:  THAT RE
   2066 0.09%:  I WANT TO WE
   2067 0.27%:  I WANT TO WEAR YOUR
   2068 0.15%:  I WANT TO WEAR YOU
   2069 0.14%:  I WANT TO WEAR YOUR NAME AC
   2070 0.11%:  I WANT TO WEAR YOUR NAME ON A CH
   2071 0.09%:  CAN I COME OVER AND EAT ON YOUR H
   2072 0.09%:  WATCH OUT I AM
   2073 0.09%:  HAVE YOU CON
   2074 0.09%:  WATCH MY
   2075 0.09%:  I HAVE E
   2076 0.09%:  CAN I HAVE AN EAT
   2077 0.09%:  I WANT YOU TO W
   2078 0.09%:  I HAD A H
   2079 0.09%:  YOU AND ME WE ARE
   2080 0.09%:  HOW CAN YOU NOT HAVE
   2081 0.09%:  I WANNA EAT YOU ONE
   2082 0.09%:  I AM NOT YOUR
   2083 0.09%:  I WANT YOUR NAME ON THE M
   2084 0.09%:  CAN I HAVE WH
   2085 0.23%:  CAN I HAVE WHAT YOU
   2086 0.09%:  COME HERE I WANNA C
   2087 0.09%:  I WANT YOU TO COME HERE
   2088 0.26%:  I WANT YOU TO COME HERE AND
   2089 0.09%:  WE ARE THE
   2090 0.09%:  CAN I COME OVER H
   2091 0.09%:  YOU HAVE NO IDEA THAT
   2092 0.09%:  CAN I COME OVER AND EAT YOUR HAT
   2093 0.09%:  ARE WE NOT
   2094 0.09%:  HAD
   2095 0.09%:  ARE WE READ
   2096 0.09%:  I WANT ONE T
   2097 0.09%:  I WANNA EAT YOUR NAME H
   2098 0.09%:  CAN I NOT HAVE
   2099 0.09%:  YOU T
   2100 0.09%: E
   2101 0.09%:  COME HERE I WANT YOU TO MA
   2102 0.09%:  CAN I COME TO YOUR N
   2103 0.09%:  CAN YOU COME OVER AND T
   2104 0.09%:  I WANT CH
   2105 0.09%:  DO I EVER WANT THE
   2106 0.09%:  I HAVE ONE H
   2107 0.09%:  DO YOU HAVE AN
   2108 0.09%:  WERE YOU MA
   2109 0.12%:  WERE YOU MADE TO
   2110 0.09%:  HAND
   2111 0.09%:  YOU HAVE NO IDEA HOW C
   2112 0.09%:  DO I EVER WANT TO HEAR HOW M
   2113 0.09%:  I MADE YOU A
   2114 0.09%:  I WANT WE
   2115 0.09%:  I WANNA TRY E
   2116 0.09%:  WE CO
   2117 0.09%:  ARE YOU THE E
   2118 0.09%:  I HAVE M
   2119 0.09%:  YOUR NAME W
   2120 0.09%:  WHEN YOU M
   2121 0.27%:  WHEN YOU MET ME I
   2122 0.10%:  WHEN YOU MET H
   2123 0.14%:  WHEN YOU MET HAM
   2124 0.09%:  THEY ARE
   2125 0.09%:  I WANNA EAT WHAT YOU H
   2126 0.09%:  CAN I COME EAT AT YOUR H
   2127 0.35%:  CAN I COME EAT AT YOUR HAND
   2128 0.09%:  HAVE YOU EVER NOT OR
   2129 0.09%: I
   2130 0.09%:  THEN WE ARE
   2131 0.09%:  I WANT TO WEAR YOUR NAME A
   2132 0.09%:  HAVE I EVER HAD YOU
   2133 0.09%:  ARE WE ON
   2134 0.09%:  COME HERE I WANNA D
   2135 0.09%:  I NEED YOU TO COME C
   2136 0.09%:  YOU WANT TO COME OVER AND HAVE A RO
   2137 0.09%:  EAT IT
   2138 0.09%:  YOU WANT TO COME OVER AND HAN
   2139 0.09%:  CAN I COME ON THE
   2140 0.09%:  YOU ME
   2141 0.12%:  YOU MEAN I CAN HAVE
   2142 0.09%:  I DO NOT CARE WHAT YOU COME
   2143 0.09%:  I WANT YOUR M
   2144 0.09%:  YOU AND I CO
   2145 0.09%:  I AM D
   2146 0.17%:  I AM DONE
   2147 0.09%:  I WANT YOUR NAME TO HAVE
   2148 0.09%:  I WANT MORE TH
   2149 0.24%:  I WANT MORE THAN ONE
   2150 0.09%:  I WANNA EAT MY WE
   2151 0.09%:  WHEN DO I EAT THE
   2152 0.09%:  HAVE YOU MADE THE
   2153 0.09%:  I WANNA HEAR THAT NAME A
   2154 0.09%:  THAT DIN
   2155 0.09%:  YOU CAN COME OVER AND EAT M
   2156 0.09%:  I ATE HER OUT
   2157 0.09%:  COME HERE AND TH
   2158 0.09%:  WE ARE ON
   2159 0.09%:  I NEED TO EAT R
   2160 0.09%:  COME HERE I WANT TO CH
   2161 0.09%:  I AM NOT EVEN MAD AT YOU H
   2162 0.09%:  YOU AND I ARE ON
   2163 0.09%:  I WANT YOU TO CHO
   2164 0.09%:  THAT N
   2165 0.09%:  WANT YOU TO COME OVER AND WE CAN H
   2166 0.09%:  I WANT ONE H
   2167 0.09%:  CAN I COME OVER AND EAT HO
   2168 0.09%:  I HAVE HAD YOU
   2169 0.09%:  I ATE YOUR NAME AND TH
   2170 0.09%:  YOU ARE HERE
   2171 0.09%:  NOT E
   2172 0.09%:  YOU AND I ARE HE
   2173 0.09%:  I WANNA HAVE YOU ON
   2174 0.09%:  WHEN I MEET YOUR
   2175 0.09%:  CAN YOU HEAR H
   2176 0.09%:  WHAT DON
   2177 0.09%:  NOW WE HAVE A
   2178 0.09%:  YOU CAN HAVE IT
   2179 0.09%:  YOU CAN HAVE A
   2180 0.09%:  I AM O
   2181 0.12%:  I AM OVER THE
   2182 0.55%:  I AM OVER THE MOON AND
   2183 0.21%:  I AM OVER THE MOON AND TH
   2184 0.16%:  I AM OVER THE MOON R
   2185 0.09%:  HAVE YOU MET T
   2186 0.09%:  DO I EVER WANT TO HAVE A H
   2187 0.09%:  HAVE YOU COME WITH ME AND
   2188 0.09%:  I WANNA EAT YOUR NAME TH
   2189 0.09%:  DO YOU WANT TO COME OVER I CAN
   2190 0.09%:  WHAT HAVE WE DONE TO YOUR
   2191 0.09%:  I WANNA HAVE THAT R
   2192 0.09%:  IN HERE
   2193 0.09%:  COME HERE I WANT TO HO
   2194 0.09%:  YOU CAN COME WITH ME AND EAT H
   2195 0.09%:  YOU ARE A RE
   2196 0.09%:  I WANT ONE NO
   2197 0.09%:  CAN I COME OVER AND M
   2198 0.09%:  WE HAVE TO MA
   2199 0.09%:  ARE YOU ME
   2200 0.09%:  HAVE YOU THO
   2201 0.09%:  COME HERE I WANT TO DR
   2202 0.09%:  DO I EVER WANT TO HEAR WHY
   2203 0.09%:  CAN YOU CON
   2204 0.09%:  CAN I COME OVER AND HAVE A N
   2205 0.09%:  DO I EVER WANT H
   2206 0.12%:  DO I EVER WANT HAM
   2207 0.09%:  YOU WANT TO COME OVER AND ME
   2208 0.09%:  YOU ARE THE C
   2209 0.09%:  COME WITH ME ON
   2210 0.09%:  I HAVE A NEW CR
   2211 0.09%:  HAVE YOU MET THE D
   2212 0.09%:  I AM NOT EVEN MET
   2213 0.09%:  CAN YOU COME HOW WITH ME TO
   2214 0.09%:  I WANNA MEET HER A
   2215 0.09%:  I CAN EAT YOU AND
   2216 0.09%:  I NEED YOU TO MA
   2217 0.09%:  CAN YOU HEAR ME H
   2218 0.09%:  I ACT
   2219 0.09%:  DO I EVER WANT TO HEAR YOU HAM
   2220 0.09%:  DO I EVEN HAVE ANY
   2221 0.09%:  COME WITH ME TO A RE
   2222 0.09%:  DO I EVER WANT TO HEAR A M
   2223 0.09%:  OUR
   2224 0.09%:  CAN YOU COME OVER AND ME
   2225 0.09%:  I WANNA W
   2226 0.14%:  I WANNA WATCH
   2227 0.16%:  I WANNA WATCH YOU EAT ONE
   2228 0.10%:  I WANNA WATCH YOU EAT H
   2229 0.09%:  I WANNA WATCH YOU EAT A
   2230 0.09%:  WHEN I HE
   2231 0.09%:  ARE YOU M
   2232 0.09%:  I NEED MORE THAN MY
   2233 0.09%:  HIT ME
   2234 0.09%:  I HAD TO
   2235 0.09%:  I AM AN
   2236 0.09%:  HOW ARE YOU I CAN
   2237 0.09%:  HOW DO YOU NOT E
   2238 0.12%:  HOW DO YOU NOT EAT E
   2239 0.11%:  HOW DO YOU NOT EAT ONE
   2240 0.11%:  HOW DO YOU NOT EAT H
   2241 0.14%:  HOW DO YOU NOT EAT HER
   2242 0.09%:  HEE
   2243 0.09%:  IN YOUR
   2244 0.09%:  NOW WE ARE
   2245 0.09%:  WE CAN HAVE A
   2246 0.09%:  CAN I COME OVER AND EAT THO
   2247 0.09%:  I WANT YOU TO COME OVER AND CHEW
   2248 0.09%:  I WANT HO
   2249 0.09%:  HAVE YOU MET N
   2250 0.09%:  I HAVE TO T
   2251 0.09%:  DO I EVER E
   2252 0.15%:  DO I EVER EAT ANY
   2253 0.09%:  THAT I CAN
   2254 0.09%:  YOU WANT TO D
   2255 0.09%:  HUM
   2256 0.09%:  I WANNA EAT YOU AND ME
   2257 0.09%:  CAN I NOT EAT YOUR
   2258 0.09%:  I ATE YOU AND
   2259 0.09%:  I WANT YOU TO COME OVER AND OH
   2260 0.09%:  CAN HAVE THE
   2261 0.09%:  HAVE YOU EVER HAD A M
   2262 0.09%:  CAN I HAVE ONE H
   2263 0.09%:  I NEED TH
   2264 0.09%:  I WANT YOU TO COME OVER AND NO
   2265 0.08%:  DO YOU WANT TO COME HOME IN
   2266 0.08%:  I WANNA HAVE MY
   2267 0.08%:  I WANNA EAT ON YOUR
   2268 0.08%:  WHEN YOU E
   2269 0.20%:  WHEN YOU EAT H
   2270 0.17%:  WHEN YOU EAT THE
   2271 0.14%:  WHEN YOU EAT ONE
   2272 0.08%:  ACT
   2273 0.08%:  I WANNA EAT YOU AND WE ARE
   2274 0.08%:  I WANNA DATE YOU ON
   2275 0.08%:  COME HERE AND YOU CAN OR
   2276 0.08%:  I AM NOT READ
   2277 0.08%:  I DO NOT CARE WHAT YOU CAN
   2278 0.08%:  I WANT YOUR MEAT AND C
   2279 0.08%:  YOU CAN HAVE THAT
   2280 0.17%:  YOU CAN HAVE THAT ONE
   2281 0.08%:  I NEED TO EAT MY W
   2282 0.08%:  WON
   2283 0.08%:  I AM OVER THE MOON A
   2284 0.08%:  I ATE TO
   2285 1.17%:  I ATE TOO MANY
   2286 0.08%:  DO YOU WANT TO HAVE O
   2287 0.08%:  I WANNA WATCH YOU EAT ME
   2288 0.08%:  WE D
   2289 0.08%:  WHEN I TH
   2290 0.08%:  I AM YOUR H
   2291 0.16%:  I AM YOUR HERO
   2292 0.08%:  I HEAR YOU ARE
   2293 0.08%:  I WANNA EAT YOU AND W
   2294 0.08%:  YOU HAVE TO EAT HER
   2295 0.08%:  CAN I CHEW ON YOUR
   2296 0.08%:  ARE YOU INTO THE
   2297 0.08%:  I NEED YOU TO M
   2298 0.08%:  CAN I COME OUT TO
   2299 0.08%:  I WANT TO HAVE YOU AND
   2300 0.08%:  I NEED TO CON
   2301 0.08%:  CAN I HE
   2302 0.23%:  CAN I HEAR AN AM
   2303 0.15%:  CAN I HEAR A
   2304 0.09%:  CAN I HEAR AN OR
   2305 0.08%:  CAN I COME AND EAT ONE
   2306 0.08%:  I WANNA EAT HER AND THE
   2307 0.08%:  I NEED T
   2308 0.08%:  I WANT YOU TO COME OVER AND CR
   2309 0.08%:  WHAT DO YOU E
   2310 0.08%:  WHEN W
   2311 0.08%:  CAN YOU COME OVER IN
   2312 0.08%:  YOU CAN COME OVER AND HAVE THAT
   2313 0.08%:  WATCH ME EAT E
   2314 0.08%:  YOU TO
   2315 0.08%:  COME WITH YOU
   2316 0.08%:  COME WITH M
   2317 0.08%:  I WANT YOU TO COME ON
   2318 1.69%:  I WANT YOU TO COME ON OVER AND
   2319 1.12%:  I WANT YOU TO COME ON OVER AND HAVE
   2320 0.52%:  I WANT YOU TO COME ON OVER AND WE
   2321 0.31%:  I WANT YOU TO COME ON OVER AND E
   2322 0.16%:  I WANT YOU TO COME ON OVER AND H
   2323 0.14%:  I WANT YOU TO COME ON OVER AND HAVE A H
   2324 0.13%:  I WANT YOU TO COME ON OVER AND ME
   2325 0.10%:  I WANT YOU TO COME ON OVER AND MA
   2326 0.09%:  I WANT YOU TO COME ON OVER H
   2327 0.08%:  COME WITH ME AND WE CAN W
   2328 0.08%:  I WORE MY HE
   2329 0.08%:  I WANT YOU TO COME OVER AND CON
   2330 0.08%:  HAVE I YOUR
   2331 0.08%:  WHEN YOU C
   2332 0.08%:  I AM NOT HERE TO E
   2333 0.08%:  WHAT CAN I DO TO E
   2334 0.30%:  WHAT CAN I DO TO EARN YOU
   2335 0.28%:  WHAT CAN I DO TO EARN YOUR A
   2336 0.12%:  WHAT CAN I DO TO EARN A
   2337 0.10%:  WHAT CAN I DO TO EARN MY
   2338 0.08%:  I WANT YOU TO COME OVER AND HAVE A CH
   2339 0.08%:  WHEN WE DATE I AM
   2340 0.08%:  EAT MY HE
   2341 0.08%:  CAN YOU COME OVER AND EAT A
   2342 0.08%:  YOU CAN EAT THE
   2343 0.08%:  DO I EVER EAT H
   2344 0.08%:  I WANNA EAT YOU ONCE
   2345 0.08%:  I HAVE C
   2346 0.08%:  I AM HERE TO EAT MY
   2347 0.08%:  I ATE YOUR NAME ON THE
   2348 0.08%:  HAVE YOU MET A M
   2349 0.08%:  WATCH ME MA
   2350 0.08%:  I WANT YOU TO COME OVER N
   2351 0.08%:  HAVE YOU MET HER AND
   2352 0.08%:  YOU ARE ON
   2353 0.21%:  YOU ARE ON THE
   2354 0.08%:  YOU WANT TO COME IN
   2355 0.08%:  I WANT N
   2356 0.11%:  I WANT NAME
   2357 0.09%:  I WANT NONE
   2358 0.08%:  WERE I
   2359 0.08%:  I WANT YOU TO COME C
   2360 0.08%:  CAN I COME OVER AND EAT YOU TH
   2361 0.08%:  YOU WAN
   2362 0.37%:  YOU WANNA COME O
   2363 25.19%:  YOU WANNA COME OVER AND WATCH MO
   2364 23.36%:  YOU WANNA COME OVER AND WATCH A
   2365 58.07%:  YOU WANNA COME OVER AND WATCH A MOVIE OR
