hah! You sure do love your chips, JODIE FOSTER!
      0 100.00%: 
      1 234.54%:  h
  13324 1.12%:  hah, FRIED OOTS
  13325 1.09%:  hah! Sure I do, you sch
  13326 1.09%:  hah, yes sir! For I
  13327 1.09%: , are you sure
  13328 1.09%:  hah! Oh, yep! I used
  13329 1.09%: ! Dude! For
  13330 1.09%:  hah, sure! Sure I do! Yup
  13331 1.09%:  hah! YES I DO, yes sir! The
  13332 1.09%:  hah! Oooh, sorry! I J
  13333 1.09%:  hah! Oh! I love your
  13334 1.09%:  hah, you dope! I D
  13335 1.09%:  hah! YES! Dive
  13336 1.09%: ! Sure do! I love you a
  13337 1.09%: ! Oo
  13338 15.48%: ! Oooh! I
  13339 14.67%: ! Oooh! I do
  13340 10.89%: ! Oooh! I do,
  13341 10.63%: ! Oooh,
  13342 12.23%: ! Oooh, I
  13343 13.22%: ! Oooh, I do
  13344 13.12%: ! Oooh, I do! They
  13345 7.70%: ! Oooh, I sure
  13346 62.66%: ! Oooh, I sure do! They
  13347 11.24%: ! Oooh, I sure do! You
  13348 6.93%: ! Oooh! I sure
  13349 16.25%: ! Oooh! I sure do,
  13350 6.67%: ! Oooh! I do, yes
  13351 5.57%: ! Oooh, I sure do! The
  13352 5.12%: ! Oooh, I sure do! This
  13353 4.23%: ! Oooh! They
  13354 4.01%: ! Oooh! I do have
  13355 3.90%: ! Oooh, I sure do! The chips
  13356 3.87%: ! Oooh! I have
  13357 3.86%: ! Oooh! I love
  13358 3.53%: ! Oooh! I DO
  13359 3.40%: ! Oooh, I love
  13360 3.37%: ! Oooh! I love you
  13361 3.32%: ! Oooh, I sure do! Do
  13362 3.05%: ! Oooh! I sure hope
  13363 6.04%: ! Oooh! I sure hope so,
  13364 2.98%: ! Oooh, I do! O
  13365 2.89%: ! Oooh, I love you
  13366 2.70%: ! Oooh, I sure hope
  13367 2.66%: ! Oooh, I sure do! O
  13368 2.61%: ! Oooh! O
  13369 28.95%: ! Oooh! Oooh,
  13370 48.69%: ! Oooh! Oooh, I
  13371 19.83%: ! Oooh! Oooh, I have
  13372 14.17%: ! Oooh! Oooh, yes
  13373 11.89%: ! Oooh! Oooh, I sure
  13374 9.52%: ! Oooh! Oooh, yes I
  13375 5.54%: ! Oooh! Oooh, yeah
  13376 2.65%: ! Oooh! Oooh, yes I have
  13377 2.59%: ! Oooh, I do! You
  13378 2.57%: ! Oooh, I love you!
  13379 2.57%: ! Oooh, yes
  13380 10.16%: ! Oooh, yes! I
  13381 14.09%: ! Oooh, yes! I have
  13382 8.71%: ! Oooh, yes! I do
  13383 6.14%: ! Oooh, yes! I do have
  13384 3.54%: ! Oooh, yes! I have so
  13385 2.55%: ! Oooh, I sure do! Oh
  13386 2.48%: ! Oooh! Oooh, I had
  13387 2.43%: ! Oooh! I love chips
  13388 2.37%: ! Oooh! Oooh I
  13389 2.20%: ! Oooh, yes! Yes
  13390 3.38%: ! Oooh, yes! Yes I DO
  13391 2.20%: ! Oooh! You
  13392 2.18%: ! Oooh, yes! I DO
  13393 2.11%: ! Oooh! Yes
  13394 2.12%: ! Oooh! Yes I
  13395 7.36%: ! Oooh! Yes I do,
  13396 2.07%: ! Oooh! I sure hope you
  13397 2.06%: ! Oooh! Yes,
  13398 6.04%: ! Oooh! Yes, I do have
  13399 4.12%: ! Oooh! Yes, I have
  13400 2.03%: ! Oooh, yes! I have chips
  13401 2.03%: ! Oooh! Yes I do, yes
  13402 2.00%: ! Oooh, yeah
  13403 8.46%: ! Oooh, yeah! I
  13404 6.27%: ! Oooh, yeah! I do
  13405 2.29%: ! Oooh, yeah! I sure
  13406 2.00%: ! Oooh, you
  13407 1.99%: ! Oooh, I do! They are
  13408 2.17%: ! Oooh, I do! They are so
  13409 1.91%: ! Oooh, I love chips
  13410 1.86%: ! Oooh, I do have
  13411 1.80%: ! Oooh, I have
  13412 1.79%: ! Oooh, yes I
  13413 3.02%: ! Oooh, yes I do! You
  13414 2.65%: ! Oooh, yes I do! Yes
  13415 1.79%: ! Oooh! Do
  13416 3.06%: ! Oooh! Do I
  13417 2.98%: ! Oooh! Do I have
  13418 1.75%: ! Oooh! Oooh, chips
  13419 1.74%: ! Oooh, yes! I sure
  13420 1.73%: ! Oooh! Do I E
  13421 1.72%: ! Oooh, I sure hope you
  13422 1.69%: ! Oooh! This
  13423 1.69%: ! Oooh! Oooh, T
  13424 1.64%: ! Oooh, I DO
  13425 1.63%: ! Oooh, yes I do! The
  13426 1.76%: ! Oooh, yes I do! The chips
  13427 1.62%: ! Oooh! I love you,
  13428 1.60%: ! Oooh! Yes, I DO
  13429 1.55%: ! Oooh, I love chips! They
  13430 1.55%: ! Oooh, yes! I have SO
  13431 1.54%: ! Oooh, yes I do! This
  13432 1.54%: ! Oooh! Ooohh
  13433 1.53%: ! Oooh! Yes, yes
  13434 3.22%: ! Oooh! Yes, yes I DO
  13435 1.53%: ! Oooh, do
  13436 4.90%: ! Oooh, do you
  13437 2.86%: ! Oooh, do I ever! Do
  13438 2.81%: ! Oooh, do I!
  13439 2.78%: ! Oooh, do I ever! You
  13440 2.49%: ! Oooh, do I E
  13441 2.15%: ! Oooh, do I ever! This
  13442 1.82%: ! Oooh, do I have
  13443 1.51%: ! Oooh, yeah! I DO
  13444 1.46%: ! Oooh! I sure do, sir
  13445 1.37%: ! Oooh! Oooh, a
  13446 1.35%: ! Oooh! Yes I do, sir
  13447 1.29%: ! Oooh! Oooh, I see
  13448 1.28%: ! Oooh! They sure
  13449 1.29%: ! Oooh! They sure do
  13450 1.27%: ! Oooh! The
  13451 1.25%: ! Oooh! I sure do, D
  13452 1.24%: ! Oooh, I do! Do
  13453 1.23%: ! Oooh, yes! I had
  13454 1.22%: ! Oooh! I sure DO
  13455 1.21%: ! Oooh, yes I do! Do
  13456 1.20%: ! Oooh, yes! I have T
  13457 1.10%: ! Oooh! I DO,
  13458 1.09%: ! Oooh! Ooo
  13459 1.09%: ! Ooohh
  13460 2.45%: ! Ooohh! I
  13461 2.33%: ! Ooohh! I do
  13462 1.75%: ! Ooohh,
  13463 1.93%: ! Ooohh, I
  13464 2.29%: ! Ooohh, I do
  13465 2.30%: ! Ooohh, I do! They
  13466 1.71%: ! Ooohh! I do,
  13467 1.45%: ! Ooohh, I sure
  13468 12.39%: ! Ooohh, I sure do! They
  13469 2.06%: ! Ooohh, I sure do! You
  13470 1.31%: ! Ooohh! I sure
  13471 3.54%: ! Ooohh! I sure do,
  13472 1.13%: ! Ooohh, I sure do! The
  13473 1.09%:  hah, yes! Oh T
  13474 1.09%: , yes! I hid
  13475 1.09%:  hah! I do, yes! The cup
  13476 1.09%:  hah! Oops! Sorry, D
  13477 1.45%:  hah! Oops! Sorry, Dude
  13478 1.09%:  hah, I do! Yep! Oh y
  13479 1.09%:  ha! I DO
  13480 1.69%:  ha! I DO!
  13481 1.09%:  hah! Yep! Do you love T
  13482 1.09%: , yeah! You sure
  13483 1.37%: , yeah! You sure do! I
  13484 1.08%: ! Oh, yes! I have 
  13485 1.08%:  hah! Ooh, I do! Y
  13486 1.68%:  hah! Ooh, I do! Yep
  13487 1.08%:  hah, sure do! The DORIOS
  13488 1.08%:  hah, YES! Oh sure
  13489 1.34%:  hah, YES! Oh sure!
  13490 1.69%:  hah, YES! Oh sure! I
  13491 1.08%:  hah yes I do! YES, F
  13492 1.08%:  hah! YES! I hope so, d
  13493 1.08%:  hah! Sure do! I DO, T
  13494 1.08%:  hah, sure! Sure do! Do I
  13495 1.08%:  hah! Yes! I do, you s
  13496 1.08%:  hah! Yup, you sure do! This
  13497 1.08%: ! I do have chips
  13498 1.26%: ! I do have chips, yes
  13499 1.08%:  hah! Ooh! Oops
  13500 1.08%: , I sure do! The cool
  13501 1.08%:  hah! I do, you louse
  13502 1.08%:  hah! Oooo! Yes I do, sir
  13503 1.08%:  hah! Yes, you could
  13504 1.08%:  hah! I do, you r
  13505 1.08%:  hah, yes!! Yep
  13506 1.08%: , yep! You are so
  13507 1.08%: ! Dude, I have you
  13508 1.15%: ! Dude, I have you!
  13509 1.08%:  hah, YES! I sure do! The DOR
  13510 1.08%: ah, I do! You
  13511 1.08%:  hah! Yep, he do
  13512 1.08%: , sure do! Yep! This
  13513 1.08%: , sure do! This place
  13514 1.08%:  hah! Oh, you could
  13515 1.08%: ! YES I DO! TRE
  13516 1.08%: ! Oooh, I do! This
  13517 1.08%: ! I do, yes! Yours
  13518 1.49%: ! I do, yes! Yours are
  13519 1.08%: ! Oh yeah! I love chips
  13520 1.08%:  hah, yup! I do! You sure
  13521 1.08%:  hah! Oops, yes
  13522 3.71%:  hah! Oops, yes! I
  13523 1.20%:  hah! Oops, yes! I do
  13524 1.15%:  hah! Oops, yes I
  13525 1.32%:  hah! Oops, yes I do! O
  13526 1.45%:  hah! Oops, yes I do! Oo
  13527 2.30%:  hah! Oops, yes I do! Oooh
  13528 1.18%:  hah! Oops, yes I do! You
  13529 1.08%:  hah! Fries you
  13530 1.08%:  hah, I sure hope you do! Or is
  13531 1.08%:  hah, sure you do!! This
  13532 1.08%:  hah! So serious, h
  13533 1.08%:  hah! Yes you do! I J
  13534 1.08%: ! Yes! For you
  13535 1.20%: ! Yes! For you,
  13536 1.08%:  hah, sure do! Scooops! They
  13537 1.08%:  hah, yes I do!! The DOR
  13538 1.08%:  hah yes! YES, I RE
  13539 1.08%:  hah! Oh, yup
  13540 5.97%:  hah! Oh, yup! I
  13541 1.42%:  hah! Oh, yup! I sure
  13542 1.28%:  hah! Oh, yup! I do
  13543 1.08%:  hah! Oh sure I do, sir! Do
  13544 1.08%:  hah! Dude! So cool, h
  13545 1.08%:  hah, I sure do! The Dory
  13546 1.08%:  hah! So I do! Yep y
  13547 1.08%:  hah! I do! There,
  13548 1.08%:  hah! Told you so, I
  13549 1.08%:  hah! I do, so YES! This
  13550 1.08%:  hah! YES, you do! I love chips
  13551 1.08%:  hah! I doooo, he
  13552 1.08%:  hah yes! Oh
  13553 1.20%:  hah yes! Oh,
  13554 1.24%:  hah yes! Oh, I
  13555 1.08%:  hah! Yes sir, you do! Do I
  13556 1.08%:  hah! So serious! I
  13557 1.08%:  hah! Sure does! Oh
  13558 1.49%:  hah! Sure does! Oh, I
  13559 1.08%:  hah, you dope! I T
  13560 1.08%: ! Yeah, you should
  13561 1.08%:  hah, hold up! Do you see
  13562 1.08%: ! Oh, hey!
  13563 1.11%: ! Oh, hey! I
  13564 1.08%:  hah! Sure! Oh, you
  13565 1.08%:  hah, sure I DO! This
  13566 1.07%:  hah, oh yes! E
  13567 1.07%:  hah! I dooo! Oh
  13568 1.54%:  hah! I dooo! Oh,
  13569 1.07%:  hah, yup! You sure do! This
  13570 1.07%:  hah! Sorry, Dudes! This
  13571 1.07%: ! Yes I do, sir! For a
  13572 1.07%:  hah, yep! Sure I do! Y
  13573 1.07%:  hah! Yep! Those,
  13574 1.07%:  hah! YES, oh yes! I D
  13575 1.07%:  hah, sure do! The prou
  13576 1.07%:  hah, YES I do! D
  13577 1.07%:  hah! Yes! So yes,
  13578 2.64%:  hah! Yes! So yes, I do
  13579 1.07%: ! I sure do! Ohhh, T
  13580 1.07%:  hah! Oh, yep! Do
  13581 1.07%:  hah! Fries! You
  13582 1.07%:  hah! Fooled you! I use T
  13583 1.07%:  hah! Oooh YES! I love you
  13584 1.07%:  hah I sure do!! The
  13585 1.07%:  hah! Ooo, I sure do! The
  13586 1.07%:  hah, sure do! This IS our
  13587 1.07%: ! Dude! Your
  13588 1.07%:  hah, yes I DO!! You should
  13589 1.07%:  hah! YES! Oh, I T
  13590 1.07%: ah, sure do! Y
  13591 4.78%: ah, sure do! Yep! I
  13592 2.43%: ah, sure do! YES
  13593 1.82%: ah, sure do! YES I
  13594 1.81%: ah, sure do! YES!
  13595 1.07%:  hah! Dude, I love chips! So
  13596 1.07%:  hah! Sure do, I love chips! You
  13597 1.07%: ! Oooh! Oooh, is
  13598 1.07%:  hah! YES! Oh yes I dooo
  13599 1.07%: ! Sure do! Oh, are
  13600 1.07%:  hah, yup! Do I ever! This
  13601 1.07%:  hah, Dude! This sure
  13602 1.07%: ! YES, I DO! They sure do
  13603 1.07%: ah, yep! You should
  13604 1.07%:  hah! Oooo! The
  13605 1.07%:  hah, yep! Oh sure do! You
  13606 1.07%: ! Yup! I have T
  13607 1.07%: ! Dude, YES! I also
  13608 1.07%:  hah yes I do!! The
  13609 1.07%:  hah, so you do! I see
  13610 1.07%:  hah, YES! I DRE
  13611 1.07%:  hah! I do, yes! For such
  13612 1.07%:  hah! Oo! Yes,
  13613 1.07%:  hah! Oh yep, sure do! Do
  13614 1.07%:  hah! Yep! Oh, so I DO
  13615 1.07%:  hah! Ooops! This
  13616 1.07%:  hah! I do, you p
  13617 1.07%:  hah! Yep! Do I h
  13618 1.07%: ! Sure do! The chip a
  13619 1.07%: , yeah I do! You sure
  13620 1.07%: ! Sure! I love
  13621 1.80%: ! Sure! I love you
  13622 1.14%: ! Sure! I love you,
  13623 1.07%: ! Yes! I have FOOD
  13624 1.07%:  hah! Dude! YES I REF
  13625 1.07%:  hah! Oooooh, YE
  13626 1.06%: ah! I sure do! Oh, you
  13627 1.06%:  hah! Sure, yes! I DO
  13628 1.06%: ! Yes I sure do! Do
  13629 1.06%: , YES I DO!! The
  13630 1.06%:  hah! Yep! I sure DO, you
  13631 1.06%:  hah! Oooh! YES, FRIED O
  13632 1.06%:  hah! YES! Dude I
  13633 1.06%:  hah! YES I do, sir! Do
  13634 1.06%:  hah, uh! Sure do! Yes
  13635 1.06%:  hah! I hope you die
  13636 1.36%:  hah! I hope you die!
  13637 1.06%:  hah, yep! Do I h
  13638 1.06%:  hah! Oh sure! Yes
  13639 1.49%:  hah! Oh sure! Yes,
  13640 7.43%:  hah! Oh sure! Yes, I do
  13641 1.52%:  hah! Oh sure! Yes, I DO
  13642 1.15%:  hah! Oh sure! Yes I
  13643 3.14%:  hah! Oh sure! Yes I do,
  13644 1.06%:  hah, YES! I do love you so
  13645 1.60%:  hah, YES! I do love you so!
  13646 1.06%:  hah! Oh, sure do I! Y
  13647 2.18%:  hah! Oh, sure do I! Yep
  13648 1.06%:  hah! YESIRO
  13649 1.06%:  hah, yep! Oh so
  13650 1.06%:  hah! YES, I do! The sp
  13651 2.09%:  hah! YES, I do! The spicy
  13652 1.15%:  hah! YES, I do! The spice
  13653 1.06%:  hah, sure do! The DYE is
  13654 1.06%: , sure do! Yep! Oh
  13655 1.06%:  hah! Sorry Dude! I T
  13656 1.06%:  hah! Fooled! This
  13657 1.06%:  hah! I do, yes! The DOR
  13658 1.06%:  hah! Yes, yes! I DO O
  13659 1.06%: ! Yes! I do, D
  13660 1.06%:  hah! Oooh! I sure do, you r
  13661 1.06%:  hah! Oh, so sorry! I J
  13662 1.06%: ! Sure do! Dip
  13663 1.06%:  hah! Dude, seriously! SO R
  13664 1.06%:  hah! Sorry, Dudes! The
  13665 1.06%: ! Yep! Oh, sorry
  13666 1.06%:  hah, I love chips so
  13667 1.06%: ! YES! Do you see
  13668 1.06%: ! YES, yes I do! For a price
  13669 1.06%:  hah! YES! Oh, you poor
  13670 1.06%: ! Yup! I have SO
  13671 1.06%:  hah! I DO! SO F
  13672 1.06%:  hah, YES! I do love chips! E
  13673 1.06%:  hah! Oo! You
  13674 1.06%:  hah! Oooh, do I ever! Dip
  13675 1.11%:  hah! Oooh, do I ever! Dip your
  13676 1.06%: , I sure do! The cup
  13677 1.06%:  hah, sure you do! You help
  13678 1.06%:  hah! Do I ever! Oh, is
  13679 1.06%:  hah! Ooooh! T
  13680 1.06%: ! Yep! I love a
  13681 1.06%:  hah!! O
  13682 1.06%:  hah!! I sure hope you
  13683 1.06%:  hah! Yes! For so
  13684 1.06%: ! Yeah, sure! Do
  13685 1.06%: ! Sure! I had
  13686 1.06%:  hah, yep! I do! Oh so
  13687 1.06%:  hah! Oh, yep! Yes
  13688 1.50%:  hah! Oh, yep! Yes I DO
  13689 1.06%: , hah! Dude! Yes I
  13690 1.06%:  hah! YES, oh yes! I do love
  13691 1.06%:  hah, Dude! You T
  13692 1.06%:  hah, sorry! You see I
  13693 1.06%:  hah, yes! Yep! Do I E
  13694 1.06%: ! Oh sure do! You
  13695 1.06%: , sure do! I have chips you
  13696 1.06%:  hah! Oooh, yessir! YESI
  13697 2.18%:  hah! Oooh, yessir! YESIRO
  13698 1.06%: , yes! Yes I do! Oh h
  13699 1.05%:  hah! Dude, so sorry! You
  13700 1.05%:  hah! Oooo! Yes I DO
  13701 1.05%:  hah! Sure I do! You, sir
  13702 1.05%: ! Yep! I sure DO,
  13703 1.05%:  hah, sorry! The p
  13704 1.05%: ! Sure do! I love you T
  13705 1.05%: ah! Yes, I do! For
  13706 1.05%:  hah, YES! The cup is
  13707 1.05%:  hah! Oh, Dude! You SO
  13708 1.05%:  hah! Oh I sure DO
  13709 1.05%:  hah! Dude I S
  13710 1.05%:  hah, sure do! Yo ho yo!
  13711 1.05%:  hah, yes! For I love
  13712 1.05%:  hah! Dude! SO T
  13713 1.05%: ! I do! For you
  13714 1.05%:  hah! Oooooh! Dude, yes
  13715 1.37%:  hah! Oooooh! Dude, yes I
  13716 1.05%:  hah, sure do! Scooops! I
  13717 1.05%:  hah, yep! Those I DO
  13718 1.05%:  hah, YES! I do! The y
  13719 1.05%:  hah, sure! Yep! O
  13720 1.05%:  hah! I love you! You sure
  13721 1.05%:  hah! Sure I do! The p
  13722 1.05%:  hah yes! I do! Y
  13723 2.71%:  hah yes! I do! YES,
  13724 1.05%: ! Sure do! Oh, oh
  13725 1.05%:  hah, sorry! I do love
  13726 1.05%:  hah! Oh sure I DO,
  13727 1.05%:  hah! Oooh sure
  13728 13.15%:  hah! Oooh sure do! I
  13729 7.35%:  hah! Oooh sure do,
  13730 3.50%:  hah! Oooh sure do I
  13731 2.32%:  hah! Oooh sure do! You
  13732 2.14%:  hah! Oooh sure do I,
  13733 1.67%:  hah! Oooh sure do! I love
  13734 1.05%:  hah! Ooooh yes, I do! Yes
  13735 1.05%: ! I sure do! The DOR
  13736 1.05%:  hah! Yes! This,
  13737 1.05%:  hah, yep! Sure I do! Do
  13738 1.05%:  hah! You sure do! Oh sure
  13739 7.04%:  hah! You sure do! Oh sure, I
  13740 1.05%: ! Dude! I love you SO
  13741 1.05%:  hah! Dude, I love your chips
  13742 1.05%:  hah! Oooh yes! O
  13743 1.05%: ! Yes I do! Oh, is
  13744 1.05%:  hah! Ooooh, YES I do
  13745 1.05%:  hah! Oh yes! YES, O
  13746 1.05%:  hah! Ooops! I D
  13747 1.05%:  hah! Dude, YEES!
  13748 1.05%:  hah, oh yes! D
  13749 1.05%:  hah! I DO! SO, Y
  13750 1.05%: ! YES, you dope! This
  13751 1.05%:  hah! Oh sure do! Yep, y
  13752 1.05%:  hah! Oooh yessir, I do! O
  13753 1.05%:  hah, oh! Sorry! You
  13754 1.05%:  hah! Oh I do, yes! Do
  13755 1.05%:  hah, sure! I love you SO
  13756 1.05%: ! Oooh! Yes I DO
  13757 1.05%: , hah! YES! I love chips so
  13758 1.05%:  hah, sure do! Yep! Do I h
  13759 1.05%:  hah, uh yes! I sure
  13760 1.34%:  hah, uh yes! I sure do! You
  13761 1.05%:  hah! I do! Oh, you poor
  13762 1.05%:  hah, sure do I! You sure DO
  13763 1.05%:  hah! Yessir! The
  13764 1.05%: ! Yes I do! Oh ho,
  13765 1.05%: ! Yes I do! Oh ho, yes
  13766 1.05%:  hah, yep! I do! The DOR
  13767 1.05%:  hah! Yep! I sure DO, h
  13768 1.05%: ! Yes I do, you sc
  13769 1.05%:  hah! Oooh, I see your lips
  13770 1.05%:  hah, Dudes
  13771 5.08%:  hah, Dudes! I
  13772 3.18%:  hah, Dudes! I sure
  13773 1.60%:  hah, Dudes! They
  13774 1.06%:  hah, Dudes! You
  13775 1.05%:  hah! Sure you do! I J
  13776 1.05%: , hah! YES! I T
  13777 1.05%:  hah! Yes! I love chip d
  13778 1.05%:  hah, uh! I sure do! Yep y
  13779 1.05%:  hah! Oooh! You sure love
  13780 1.05%:  hah! Oh YES I do, you
  13781 1.05%:  hah!! Yes, sir
  13782 1.05%:  hah, sure I do! The cup is
  13783 1.05%:  hah, sure do! Drool
  13784 1.05%:  ha, sure do! Do
  13785 1.05%:  hah! Ooooh! S
  13786 1.05%: ah, sure do! D
  13787 1.05%:  hah! Yep, I do! Do your
  13788 1.05%:  hah, yes!! I should
  13789 1.04%:  hah! Yep! Told you so, eh D
  13790 1.04%: , you sure do! The chips
  13791 1.04%: , yes! E
  13792 1.04%:  hah! Oooh! You do,
  13793 1.04%: ! Oooh! I have so
  13794 1.04%:  hah! Oooh! I do, you s
  13795 1.04%:  hah! Yes I do! Do you love chips,
  13796 1.04%: ! Yeah! I do, yes
  13797 1.04%:  hah! Oooh, yes! YESI
  13798 1.04%:  hah! YES I DO! Ooh, is
  13799 1.04%:  hah! Oh sure, F
  13800 1.32%:  hah! Oh sure, FRI
  13801 1.04%:  hah yes I do! Yours
  13802 1.04%:  hah! Oooh! Rude
  13803 1.04%:  hah, YES!! I should
  13804 1.04%:  hah, sure! Dip
  13805 1.04%:  hah! Oooh! Sco
  13806 1.04%:  hah, YES!! They sure do
  13807 1.04%:  hah! YES! Oh yes sir, do
  13808 2.90%:  hah! YES! Oh yes sir, do I E
  13809 1.04%: , hah! Yes I do! Oh yes
  13810 1.04%: , yep! Sure do! Do
  13811 1.04%: ! YES, I do! They sure
  13812 1.04%: , I sure do! Oh ho ho! Do
  13813 1.04%: ! Yup! I love you,
  13814 1.04%:  hah, sure do I! Oh sure!
  13815 1.04%: , YES! They are chips
  13816 1.04%:  hah! Those I
  13817 1.63%:  hah! Those I do!
  13818 1.04%: ! Yes! I do, h
  13819 1.04%:  hah! Oh yes, Sir! I sure
  13820 1.04%:  hah, Dude! You J
  13821 1.04%:  hah! Oooh! YES, Dude
  13822 1.04%:  hah! Yep, eh! E
  13823 1.04%:  hah! Oooooh! Did
  13824 1.84%:  hah! Oooooh! Did I ever
  13825 1.04%:  hah! YES! Oh yes I sure
  13826 2.63%:  hah! YES! Oh yes I sure do,
  13827 1.04%:  hah! Oooh! Dude, Y
  13828 5.16%:  hah! Oooh! Dude, YES I
  13829 1.04%:  hah, I do! Oh sure
  13830 1.22%:  hah, I do! Oh sure!
  13831 1.04%: , you sure do! You are
  13832 1.04%:  hah! Ooooh, D
  13833 1.04%:  hah! Ooh, I love you! You
  13834 1.04%: ! Oooh, yes! I love
  13835 1.04%: ! Oooh, yes! I love chips
  13836 1.04%: , sure do! Yay
  13837 1.04%:  hah, sure do you! Yep! Do I
  13838 1.04%:  hah! I sure hope you do, sir! Do
  13839 1.04%:  hah, yes! Do I love
  13840 1.04%:  hah, so you do love
  13841 1.04%: , yep! YES! I DO
  13842 1.04%: ! Oh sure, I do! This
  13843 1.04%: , yes! You should have
  13844 1.04%:  hah! Oh! Did you see
  13845 1.04%:  hah! Oh YES, sir! I sure DO
  13846 1.04%:  hah! Oooh yes I do! YES, O
  13847 1.04%:  hah! Dude! YEES
  13848 1.04%: , yes! Did
  13849 1.04%:  hah, yes! For T
  13850 1.04%:  hah! I hope so, T
  13851 1.04%: ah! YES, D
  13852 1.04%:  hah! Oooh yessir! You
  13853 1.04%:  hah! YES! I do love chips, D
  13854 1.04%:  hah! Sure do, you cl
  13855 1.04%:  hah! I surely do! Oh, D
  13856 1.04%:  hah! Sure, do!
  13857 1.03%:  hah! Oh! Dude, I T
  13858 1.03%:  hah, yes I do! Yep! Oooh so
  13859 1.03%:  hah! Oooooh! YES, I DEF
  13860 1.03%: ! Dude, YES! I have FO
  13861 1.03%:  hah! Yo yes,
  13862 1.68%:  hah! Yo yes, I
  13863 1.03%:  hah! YES! Dudes, I love
  13864 1.03%: , I sure do! YES! The
  13865 1.03%:  hah, YES!! There is
  13866 1.03%:  hah, do I hoo
  13867 1.03%:  hah! YES I DO! Oooh y
  13868 1.03%:  hah, uh yes I do! Do
  13869 1.03%: ! Oooh! Oooh, Y
  13870 5.83%: ! Oooh! Oooh, YES I
  13871 1.03%:  hah! YES I do! D
  13872 1.03%:  hah! Sure do I! E
  13873 1.03%: ! Oh, sure! I do have
  13874 1.03%:  hah! I do, yes! Yo
  13875 1.03%:  hah! Oh! I see your
  13876 1.03%:  hah! I love you! Yes, sir
  13877 1.03%:  hah! Yep! I sure do, you hool
  13878 1.03%: ! Oooh! I sure do, you
  13879 1.03%:  hah, yes! For sure I
  13880 1.03%:  hah, I DO! Yep! The
  13881 1.03%:  hah! YES, you sir
  13882 1.08%:  hah! YES, you sir!
  13883 1.41%:  hah! YES, you sir! I
  13884 2.20%:  hah! YES, you sir! I do
  13885 1.03%:  hah! Dude, so I
  13886 1.03%:  hah! Oh, so s
  13887 1.03%:  hah! Oh, so sorry! I D
  13888 1.03%:  hah, YES! Oh yes I sure
  13889 1.03%:  hah! Oooh, spoil
  13890 1.12%:  hah! Oooh, spoilered
  13891 1.03%:  hah, yep! I do! Yooh
  13892 1.03%:  hah, yep! I do! Dooo
  13893 1.03%: ! Sure, I do! The
  13894 1.03%:  hah, sure! Yep! I hid
  13895 1.03%: ! YES! There is
  13896 1.03%:  hah! Oh, Dude! Is
  13897 1.03%: ! Yeah I DO
  13898 1.06%: ! Yeah I DO! They
  13899 1.03%:  hah! Oooooh YES I DO! J
  13900 1.03%:  hah! Oh yes I sure do! Do
  13901 1.03%:  hah! Ooooh yes, I do! O
  13902 1.03%:  hah, I sure DO!! This
  13903 1.03%:  hah, uh! You
  13904 1.03%: , yep! I do! Yours is
  13905 1.62%: , yep! I do! Yours is a
  13906 1.03%:  hah! Yep! I should T
  13907 1.03%:  hah! I do! YES, T
  13908 1.03%:  hah! I do, you schl
  13909 1.03%: ! Fool
  13910 153.70%: ! Fooled you! I
  13911 45.93%: ! Fooled you! I have
  13912 37.12%: ! Fooled you! This
  13913 30.52%: ! Fooled you,
  13914 23.30%: ! Fooled you! The
  13915 19.31%: ! Fooled you! I DO
  13916 15.95%: ! Fooled you! I DO,
  13917 14.56%: ! Fooled you! Those
  13918 12.08%: ! Fooled you! I D
  13919 11.45%: ! Fooled you! You
  13920 8.64%: ! Fooled you! Those chips
  13921 8.13%: ! Fooled you! The chips I
  13922 6.38%: ! Fooled you! This IS
  13923 5.93%: ! Fooled you! I have chips
  13924 5.84%: ! Fooled you! I T
  13925 4.03%: ! Fooled you! I J
  13926 3.75%: ! Fooled you! I DO have
  13927 3.42%: ! Fooled you! This house
  13928 3.25%: ! Fooled you, e
  13929 2.99%: ! Fooled you! I use
  13930 2.84%: ! Fooled ya
  13931 14.88%: ! Fooled ya! I
  13932 3.68%: ! Fooled ya! This
  13933 2.78%: ! Fooled ya,
  13934 2.68%: ! Fooled you! This IS a house
  13935 2.47%: ! Fooled you! I S
  13936 3.48%: ! Fooled you! I STO
  13937 2.43%: ! Fooled you! I have T
  13938 2.31%: ! Fooled you! You have
  13939 2.30%: ! Fooled you! I TR
  13940 2.24%: ! Fooled you! IT
  13941 2.21%: ! Fooled you, eh!
  13942 2.29%: ! Fooled you, eh! I
  13943 2.17%: ! Fooled ya! The
  13944 3.24%: ! Fooled ya! The chips
  13945 2.12%: ! Fooled you! I sp
  13946 2.01%: ! Fooled you, h
  13947 2.21%: ! Fooled you, huh!
  13948 2.00%: ! Fooled you, huh! I
  13949 1.55%: ! Fooled you! I ST
  13950 1.53%: ! Fooled you! I sure
  13951 1.42%: ! Fooled you! I have 
  13952 1.39%: ! Fooled ya! You
  13953 1.27%: ! Fooled you! T
  13954 1.22%: ! Fooled you! The chip
  13955 1.21%: ! Fooled you! I have so
  13956 1.21%: ! Fooled you! I have,
  13957 1.12%: ! Fooled you, D
  13958 1.12%: ! Fooled ya! I DO
  13959 1.10%: ! Fooled you! E
