come they act like they're so special when they really just taste like pork??
100.00%: 
491.27%:  come they keep
12.28%:  come they're always che
12.28%:  come they taste like they're not
12.65%:  come they taste like they're not really
12.27%:  come when they're happy they really
13.58%:  come when they're happy they really like
12.27%:  come when they're little they look just like this
12.26%:  come they can't keep their little pets
12.25%:  come they can't speak
12.25%:  come they can't keep their teeth white??
12.25%:  come when they're really happy they look like a cat
12.23%:  come they're all like this??
12.23%:  come they're such jerks to cats??
12.22%:  come when they're upset they stare
51.63%:  come when they're upset they stare at their
12.22%:  come when they cry they like
12.22%:  come when they sleep they're so still??
12.20%:  come they're super into their pets
12.19%:  come when they're happy they eat ice
12.19%:  come they're in
12.19%:  come when they're little they taste
12.32%:  come when they're little they taste like chick
12.19%:  come they can't tell us where they keep their ears??
12.17%:  come they can't tell us where they store their keys
12.17%:  come when they're happy they just like to eat
12.17%:  come they talk like they're all special
12.15%:  come when they're little they act like their
12.15%:  come they're like that when they sleep
12.15%:  come they talk like they're special
12.15%:  come they can't tell us where they keep the pets
12.12%:  come when they're really upset they eat like
12.10%:  come they're so cruel
15.20%:  come they're so cruel to their
41.21%:  come they're so cruel to their pets??
14.88%:  come they're so cruel to each
12.10%:  come they're so happy when their little
12.09%:  come their po
12.08%:  come they like to sleep with their socks
12.08%:  come they think they're super special while
12.08%:  come when they're sick they keep their
12.08%:  come when they're really happy they just like stare
12.08%:  come they think they're always the
12.08%:  come they can't keep their little cars
12.08%:  come when they're really little they like to take
12.07%:  come they think we
15.14%:  come they think we're all
12.06%:  come when they're asleep their little hearts still
12.06%:  come when they sleep they just lay there like it's all
12.06%:  come when they're really close they
12.06%:  come when they're asleep they like to press
50.28%:  come when they're asleep they like to press their little
12.06%:  come they always stick
19.16%:  come they always stick their little
12.05%:  come they like to eat other
12.05%:  come they waste
29.54%:  come they waste their
12.04%:  come when they're asleep they just lie there like rocks??
12.04%:  come when they're little they try to kill
33.94%:  come when they're little they try to kill each
12.04%:  come they're like that when they cry
12.04%:  come they taste like they're not really sure
12.03%:  come when they're asleep they like to suck
44.93%:  come when they're asleep they like to suck their little
13.07%:  come when they're asleep they like to suck their toes
12.80%:  come when they're asleep they like to suck their toes??
12.03%:  come when they're really really upset they stop
12.02%:  come when they're really upset they kiss
16.41%:  come when they're really upset they kiss their
12.02%:  come they like it when you eat
11.99%:  come when they're really sick they take
22.67%:  come when they're really sick they take their
12.79%:  come when they're really sick they take pills
34.26%:  come when they're really sick they take pills that
21.36%:  come when they're really sick they take pills that are
14.19%:  come when they're really sick they take pills that are just
11.98%:  come they talk like they're really special??
11.97%:  come they talk like they're in a hurry to
11.96%:  come they're always so creepy??
11.96%:  come when they're really happy they just sit still
11.95%:  come when they're upset they like to stare
36.60%:  come when they're upset they like to stare at their
11.94%:  come they think their pets are really
16.15%:  come they think their pets are really cute
13.74%:  come they think their pets are really special
11.94%:  come when they're happy they like to just
11.94%:  come they always think they're either
11.93%:  come they're so pretty when they eat??
11.93%:  come they like to wear
11.92%:  come their tears
11.92%:  come they always put their pets
11.90%:  come when they sleep they're like little
11.89%:  come they talk like that when
255.35%:  come they talk like that when they're upset
160.07%:  come they talk like that when they're really
206.93%:  come they talk like that when they're really upset
115.87%:  come they talk like that when they're upset??
90.62%:  come they talk like that when they're really upset??
48.48%:  come they talk like that when they're asleep
39.00%:  come they talk like that when they're sleep
36.08%:  come they talk like that when they're sleepy??
32.76%:  come they talk like that when they're really just
25.46%:  come they talk like that when they're asleep??
24.57%:  come they talk like that when they're all
18.02%:  come they talk like that when they cry
17.42%:  come they talk like that when they're really sleep
16.32%:  come they talk like that when they're really sleepy??
15.24%:  come they talk like that when they're just
12.99%:  come they talk like that when they're really piss
12.99%:  come they talk like that when they're piss
12.08%:  come they talk like that when they're super
11.89%:  come they can't tell us where they keep their le
11.89%:  come they're always such jerks to each other like
11.88%:  come they can't use their eyes like they
11.88%:  come they taste like the
11.88%:  come when they sleep they put their eyes
11.87%:  come they're always like that??
11.86%:  come they're so tall
11.86%:  come they can't tell us where they keep all their le
11.86%:  come they only like their
11.85%:  come when they're happy they cry like
11.85%:  come when they're really happy they lose
13.27%:  come when they're really happy they lose track
11.84%:  come when they're little they act like jerks??
11.82%:  come when they're happy they like to click little
11.82%:  come when they're really happy their eyes just
11.81%:  come they can't tell us where they keep their space laser
11.81%:  come when they're really happy they just start kiss
11.81%:  come they think it's okay to use
15.11%:  come they think it's okay to use the
11.81%:  come they're so cute all
11.80%:  come they think it's okay to use their
11.79%:  come there's not
11.78%:  come they always put their socks
11.76%:  come when they're little they like to pe
11.76%:  come they'll eat their own shit
11.75%:  come they were
11.75%:  come they can't tell us??
11.75%:  come they're so cute that
11.73%:  come there's like 
11.72%:  come they think they're still really
12.76%:  come they think they're still really special
11.72%:  come when they're happy they start kiss
11.71%:  come they sleep with their socks on??
11.71%:  come they can't tell us where they keep their lips
11.71%:  come they think it's okay to pe
11.71%:  come they look like they're always star
11.71%:  come they talk like they're not sure
21.53%:  come they talk like they're not sure what
14.05%:  come they talk like they're not sure they
11.73%:  come they talk like they're not sure what their
11.70%:  come when they're upset they look at
43.08%:  come when they're upset they look at their
11.70%:  come they think they rule
26.13%:  come they think they rule the place
15.87%:  come they think they rule the place??
11.69%:  come they're such jerks when their
11.69%:  come they think they're really cool just
11.68%:  come when they're little they like to play so
11.68%:  come they call
25.30%:  come they call their
11.66%:  come when they're really little they just cry
11.66%:  come they all look like they're happy when
11.62%:  come when they're really sick they like to eat their
11.62%:  come when they're sick they take pills that are super
11.60%:  come when they're really sick they just sleep all
11.60%:  come they can't tell us where they keep their secret pass
11.59%:  come they can't tell us where they keep their cry
11.58%:  come when they're sick they pu
13.89%:  come when they're sick they puke all
11.58%:  come they can't tell us where they keep all their special keys??
11.58%:  come when they're really upset they also
16.55%:  come when they're really upset they also cry
11.58%:  come they talk like that when they're little
11.58%:  come when they're happy they just cry
11.57%:  come they're such jerks to the people they say
11.57%:  come they can't tell us where they keep their spare test
11.57%:  come when they're little they like the
11.77%:  come when they're little they like the taste
11.56%:  come when they're really happy they look like cute
11.56%:  come when they're happy they still act
40.48%:  come when they're happy they still act like jer
71.30%:  come when they're happy they still act like jerks??
16.42%:  come when they're happy they still act like little
18.55%:  come when they're happy they still act like little jer
41.04%:  come when they're happy they still act like little jerks??
11.56%:  come when they're really little they like to stare
11.55%:  come when they sleep they still keep
11.55%:  come they always put their keys in their pocket the
11.55%:  come when they cry they cry
16.08%:  come when they cry they cry like
11.55%:  come when they're really upset they still eat their pet
11.53%:  come when they sleep they roll their eyes up like
11.53%:  come when they're really upset they eat the
11.51%:  come they taste like this
11.51%:  come when they cry they look like they're still upset
11.51%:  come people
11.51%:  come when they sleep they like to roll
11.50%:  come when they're really cute
27.93%:  come when they're really cute they still
11.50%:  come when they're happy they look like really cute
11.49%:  come they're always so cr
11.49%:  come when they're really happy they start to kiss
11.48%:  come when they're sick they lie
11.48%:  come when they're happy they still act like jerks to
11.47%:  come they try
13.04%:  come they try to eat
17.11%:  come they try to eat their
11.47%:  come they talk like they're super
12.82%:  come they talk like they're super special
12.65%:  come they talk like they're super special when
20.58%:  come they talk like they're super special when they really
19.51%:  come they talk like they're super special when really
11.46%:  come when they're asleep they talk to their pets like
11.44%:  come when they're asleep they just lay there like it
11.44%:  come they can't spell
11.44%:  come they're so pretty when they take
11.43%:  come they're still like
41.14%:  come they're still like this when
30.07%:  come they're still like this when there
21.14%:  come they're still like this??
13.23%:  come they're still like this when there are
12.29%:  come they're still like this when they eat
11.43%:  come when they're really happy they look like a cute
11.43%:  come they're such jerks when they talk to people
11.43%:  come they can't just keep their shit
11.42%:  come they're so cute with
68.13%:  come they're so cute with their tiny
35.09%:  come they're so cute with their little eyes
26.34%:  come they're so cute with their little cheeks
25.83%:  come they're so cute with their little ears
23.96%:  come they're so cute with their little shoes
18.72%:  come they're so cute with their little ch
16.48%:  come they're so cute with their little cars
16.03%:  come they're so cute with their little hearts
15.41%:  come they're so cute with their little shoes??
13.80%:  come they're so cute with their little p
13.30%:  come they're so cute with their little speech
12.64%:  come they're so cute with their little eyes??
11.94%:  come they're so cute with their little tears
20.11%:  come they're so cute with their little tears??
11.65%:  come they're so cute with their little h
27.12%:  come they're so cute with their little hats??
11.42%:  many
11.41%:  come when they're really little they just eat their poo
11.41%:  come when they're asleep they still take
104.25%:  come when they're asleep they still take up their
30.31%:  come when they're asleep they still take up the
16.29%:  come when they're asleep they still take up all
12.53%:  come when they're asleep they still take up all their
11.48%:  come when they're asleep they still take up like
11.40%:  come when they're really happy they like to take a little
11.40%:  come they're so cute when they take
36.71%:  come they're so cute when they take their
11.40%:  come they're just so
11.40%:  come they can't tell us where they store all their special
11.40%:  come they're so into their pet
11.40%:  come when they cry they look like they're a little upset??
11.38%:  come when they cry they cry like that
11.36%:  come when they're sick they like to eat their
11.35%:  come when they're upset they cry like little
11.35%:  come they think it's okay to eat their pets
25.44%:  come they think it's okay to eat their pets??
11.34%:  come when they're really little they suck at
11.34%:  come they can't keep their little house
11.34%:  come they're so happy when you
11.33%:  come they can't tell us where they keep the spare set
11.33%:  come when they sleep they just lie there like it
21.42%:  come when they sleep they just lie there like it's all
11.32%:  come they're not really that cute
11.32%:  come when they're really sick they cry
11.32%:  come they like it when you take
11.32%:  come they still think they're people??
11.31%:  come they're so cute when they stick
176.23%:  come they're so cute when they stick their little
18.86%:  come they're so cute when they stick their little p
11.31%:  come there aren
11.31%:  come they keep their teeth
22.34%:  come they keep their teeth so clean??
11.30%:  come they can't tell us where they keep their keys or
11.30%:  come they think it's okay to write
11.30%:  come they're still so cute
11.59%:  come they're still so cute when
117.70%:  come they're still so cute when they cry
67.12%:  come they're still so cute when they cry??
11.92%:  come they're still so cute when they sleep
11.29%:  come they cry when
561.04%:  come they cry when they're happy too
347.98%:  come they cry when they're happy too??
78.99%:  come they cry when they're happy??
49.05%:  come they cry when they're really
41.60%:  come they cry when they're really little
20.38%:  come they cry when they see
20.50%:  come they cry when they see other
559.17%:  come they cry when they see other people cry??
16.25%:  come they cry when they eat
18.89%:  come they cry when they eat their
12.55%:  come they cry when they're upset
11.28%:  come they talk like they're so special when they really just po
11.27%:  come when they sleep they like to take
11.27%:  come when they're really sick they take pills that taste
11.27%:  come when they're little they act like such
40.72%:  come when they're little they act like such jerks??
11.26%:  come they think they're real people just like
11.26%:  come they put their little
11.24%:  come when they're happy they like to cry
11.24%:  come they're so slow
11.23%:  come they talk like that when they're really just people
11.22%:  come when they cry they look like they're super piss
11.22%:  come when they're asleep they still take up so
11.21%:  come they look like this when they're still
11.21%:  come they can't tell us where they keep all the cool parts
11.21%:  come they can't take their
12.22%:  come they can't take their eyes
11.21%:  come they can't tell us where they keep all their k
11.19%:  come they think they're a
35.52%:  come they think they're a special
38.03%:  come they think they're a special little
19.28%:  come they think they're a special case
12.02%:  come they think they're a special case??
11.19%:  come when they're sick they just like to lie there all
11.18%:  come they will
11.18%:  come they look like they're upset
22.00%:  come they look like they're upset when
80.45%:  come they look like they're upset when they cry
40.00%:  come they look like they're upset when they say
33.27%:  come they look like they're upset when they really
27.43%:  come they look like they're upset when they cry??
16.59%:  come they look like they're upset all
11.63%:  come they look like they're upset when they eat
11.18%:  come they're all so pretty when they eat their
11.16%:  come they can't sleep with the
11.16%:  come they think they're so super special they
11.15%:  come when they cry they put
11.15%:  come when they're really happy they eat like
11.14%:  come they can't keep their little secret
11.14%:  come when they're happy they let
16.69%:  come when they're happy they let you
15.10%:  come when they're happy they let out
12.64%:  come when they're happy they let out a little cry
11.14%:  come they're such jerks to each other at
11.13%:  come when they're asleep they like to talk really
11.13%:  come they're so easily upset
11.11%:  come when they're happy they yell it
16.62%:  come when they're happy they yell it out
11.11%:  come they talk like this??
11.10%:  come when they're asleep they like to suck their little toes
11.09%:  come they can't tell us where they keep all their spicy
11.08%:  come they can't tell us where they keep all their cry
11.08%:  come they're such jerks to their planet
11.06%:  come they can't tell us where they keep all the keys??
11.06%:  come when they're really upset they press
11.06%:  come they always think they're still
11.05%:  come when they're little they like to push
11.04%:  come when they're sick they take little
139.48%:  come when they're sick they take little pills that
92.34%:  come when they're sick they take little pills that are
27.23%:  come when they're sick they take little pills that are super
24.51%:  come when they're sick they take little pills??
22.09%:  come when they're sick they take little pills that say
18.87%:  come when they're sick they take little pills that cure
18.83%:  come when they're sick they take little pills that you
11.04%:  come they act
262.16%:  come they act like they're always
244.31%:  come they act like they're the
953.59%:  come they act like they're the centre
488.74%:  come they act like they're the only
809.84%:  come they act like they're the only people
229.60%:  come they act like they know
219.98%:  come they act like they're the center
209.25%:  come they act like they're so
635.67%:  come they act like they're so special
398.94%:  come they act like they're so special??
391.13%:  come they act like they're so special when
655.02%:  come they act like they're so special when they really
1990.26%:  come they act like they're so special when they really just
1214.37%:  come they act like they're so special when they really just eat
882.36%:  come they act like they're so special when they really just like
850.81%:  come they act like they're so special when they really just like to
566.99%:  come they act like they're so special when they just
503.15%:  come they act like they're so special when they really just eat pet
390.20%:  come they act like they're so special when really
3446.19%:  come they act like they're so special when really they just
2608.89%:  come they act like they're so special when really they just eat
2032.49%:  come they act like they're so special when really they just like
977.76%:  come they act like they're so special when really they just eat pet
519.02%:  come they act like they're so special when really they just keep
470.03%:  come they act like they're so special when really they just eat like
417.31%:  come they act like they're so special when really they just like pet
350.21%:  come they act like they're so special when really they just po
321.31%:  come they act like they're so special when really they just like to stare
299.23%:  come they act like they're so special when there
297.99%:  come they act like they're so special when they eat
282.73%:  come they act like they're so special when they just eat
252.54%:  come they act like they're so special just
250.79%:  come they act like they're so special when really they just talk
212.26%:  come they act like they're so special when really they just take
201.50%:  come they act like they're so special when they really just po
199.40%:  come they act like they're so special when they really just eat like
180.54%:  come they act like they're not
172.66%:  come they act like they're so special when really they just sleep
168.04%:  come they act like they're so special when they really just like pet
157.28%:  come they act like they're so special when really they just taste
217.59%:  come they act like they're so special when really they just taste like po
149.12%:  come they act like they're so special when they keep
148.89%:  come they act like they're so special when really they just steal
146.48%:  come they act like they're so special when they really just taste
165.84%:  come they act like they're so special when they really just taste like po
140.32%:  come they act like they're so special when they pretty
137.37%:  come they act like they're so special when they really just keep
137.17%:  come they act like they're so special when really they just like pets
134.76%:  come they act like they're special
134.17%:  come they act like they're so special when they really just taste like p
