IS EXACTLY WHY I KEEP MAKING IT SO YOU NEVER GET A PRINTING PRESS
100.00%: 
182.74%:  IS WHY
2.27%:  IS EXACTLY WHY I SPENT AN ENTIRE GEN
2.14%:  IS EXACTLY WHY I SPENT AN ENTIRE YEAR IN
1.56%:  IS EXACTLY WHY I SPENT AN ENTIRE YEAR S
1.54%:  IS EXACTLY WHY I SPENT AN ENTIRE EAR
1.39%:  IS EXACTLY WHY I SPENT AN ENTIRE YEAR RE
1.33%:  IS EXACTLY WHY I SPENT AN ENTIRE EV
1.32%:  IS EXACTLY WHY I SPENT AN ENTIRE S
1.29%:  IS EXACTLY WHY I SPENT AN ENTIRE YEAR ON
1.28%:  IS EXACTLY WHY I SPENT AN ENTIRE YEAR P
1.23%:  IS EXACTLY WHY I SPENT AN ENTIRE YEAR GET
1.22%:  IS EXACTLY WHY I SPENT AN ENTIRE YEAR TR
1.17%:  IS EXACTLY WHY I SPENT AN ENTIRE SE
1.14%:  IS EXACTLY THE MISTAKE EVERY PERSON ON
1.14%:  IS WHY I NEVER GET ANY RESPECT IN
1.14%:  IS EXACTLY THE REASON I KEEP MY WORK PR
1.14%:  IS WHY SOME PEOPLE USE S
1.14%:  IS EXACTLY THE REASON I NEVER MAKE PO
2.01%:  IS EXACTLY THE REASON I NEVER MAKE POINTS IN
1.14%:  IS EXACTLY WHY I NEVER ASK O
1.14%:  IS EXACTLY THE REASON IT TAKES ME 
1.14%:  IS EXACTLY WHAT I SAY EVERY TIME SO I
1.14%:  IS EXACTLY THE REASON I IGNORE EVERY W
1.14%:  IS EXACTLY WHY I NEVER MAKE ANY NOTES IN
1.14%:  IS EXACTLY WHY I AM RE
1.14%:  IS WHY YOU CAN NEVER PRAY TO ME IN
1.14%:  IS THE ENTIRE REASON I NEVER LET YOU SAY ANY
1.14%:  IS THE ENTIRE REASON PEOPLE INVENT R
1.14%:  IS WHAT MAKES PEOPLE RES
5.20%:  IS WHAT MAKES PEOPLE RESPECT YOU
3.88%:  IS WHAT MAKES PEOPLE RESPECT YOUR
1.14%:  IS EXACTLY THE REASON I NEVER GET RAP M
1.14%:  IS EXACTLY WHAT I MEANT IN G
7.32%:  IS EXACTLY WHAT I MEANT IN GIVING YOU SPE
1.14%:  IS EXACTLY THE REASON I NEVER SUGGEST NEW PRO
1.14%:  IS EXACTLY WHY I AM NEVER GOING TO GET A
1.14%:  IS EXACTLY WHY I KEEP TRYING TO SET UP AN E
1.14%:  IS EXACTLY WHY I KEEP REVIS
1.14%:  IS EXACTLY WHAT EVERY SE
1.14%:  IS EXACTLY THE REASON I MAKE SURE TO NEVER IN
1.14%:  IS WHY I ONLY E
5.41%:  IS WHY I ONLY EVER USE
1.31%:  IS WHY I ONLY EVER S
3.17%:  IS WHY I ONLY EVER SAY ONE
1.14%:  IS EXACTLY WHY YOU NEVER TAKE O
1.14%:  IS EXACTLY WHY I AM NOT GIV
7.25%:  IS EXACTLY WHY I AM NOT GIVING YOU A
5.02%:  IS EXACTLY WHY I AM NOT GIVING YOU AN
3.46%:  IS EXACTLY WHY I AM NOT GIVING ANY
3.10%:  IS EXACTLY WHY I AM NOT GIVING OUT
3.07%:  IS EXACTLY WHY I AM NOT GIVING OUT ANY
2.56%:  IS EXACTLY WHY I AM NOT GIVING ANYONE SPE
1.79%:  IS EXACTLY WHY I AM NOT GIVING ANYONE PER
1.28%:  IS EXACTLY WHY I AM NOT GIVING ANYONE S
1.14%:  IS THE EXACT REASON WE G
1.32%:  IS THE EXACT REASON WE GIVE
1.94%:  IS THE EXACT REASON WE GIVE YOU
1.14%:  IS WHY PEOPLE ARE NOT US
2.82%:  IS WHY PEOPLE ARE NOT USING MY S
1.92%:  IS WHY PEOPLE ARE NOT USING MY N
1.68%:  IS WHY PEOPLE ARE NOT USING MY SENT
1.63%:  IS WHY PEOPLE ARE NOT USING IT
1.54%:  IS WHY PEOPLE ARE NOT USING MY VER
1.53%:  IS WHY PEOPLE ARE NOT USING MY SCR
1.14%:  IS WHAT I TALK A
1.14%:  IS EXACTLY THE REASON I AM NOT USING T
1.14%:  IS EXACTLY WHY I KEEP TRYING TO STOP USING PRE
1.14%:  IS EXACTLY THE REASON I KEEP YOU SING
1.14%:  IS EXACTLY THE REASON I KEEP TRYING TO SAY WE
1.14%:  IS WHY I KEEP SAYING PRE
1.14%:  IS THE ENTIRE REASON I KEPT YOU WAITING A
1.14%:  IS WHY I CAN NEVER TAKE YOU TO ANY R
1.14%:  IS THE ENTIRE REASON I PAUSE
1.14%:  IS EXACTLY HOW I OPEN EVERY SER
1.14%:  IS WHY I NEVER SPEAK TO ANYONE EXCEPT PER
1.14%:  IS EXACTLY THE TONE
1.14%:  IS WHAT I SAY EVERY MORNING OUT
1.14%:  IS WHY PEOPLE NEVER SAY ANY
1.14%:  IS THE EXACT REASON I NEVER WENT TO UN
1.14%:  IS WHY I NEVER EXPLAIN MY ACTIONS OR
1.14%:  IS EXACTLY WHY I NEVER TRUST MEN TO
1.14%:  IS WHAT PEOPLE ARE USING MY VER
1.26%:  IS WHAT PEOPLE ARE USING MY VERSE
1.13%:  IS EXACTLY WHY I KEEP SAYING I REGRET NOT MAKING SO
1.13%:  IS THE VERSION I WAS EXPECT
1.13%:  IS WHY PEOPLE TAKE TIME
1.13%:  IS EXACTLY WHY I SEE NO POINT IN USING A
1.13%:  IS EXACTLY HOW IT GOES IN MY PART
1.13%:  IS WHY PEOPLE SAY SU
1.13%:  IS WHY PEOPLE ARE INTO ME
1.13%:  IS EXACTLY WHY I NEVER PUT MY SPE
1.13%:  IS EXACTLY HOW I N
6.77%:  IS EXACTLY HOW I NARRATE MY
2.90%:  IS EXACTLY HOW I NARRATE ST
22.18%:  IS EXACTLY HOW I NARRATE STORIES IN
2.16%:  IS EXACTLY HOW I NARRATE MY ST
3.51%:  IS EXACTLY HOW I NARRATE MY STORIES IN
2.82%:  IS EXACTLY HOW I NARRATE MY STORY
2.10%:  IS EXACTLY HOW I NARRATE E
8.22%:  IS EXACTLY HOW I NARRATE EVERY ST
4.51%:  IS EXACTLY HOW I NARRATE EVERY S
4.16%:  IS EXACTLY HOW I NARRATE EVERY SING
1.31%:  IS EXACTLY HOW I NORM
1.13%:  IS WHY I CAN NEVER PR
2.46%:  IS WHY I CAN NEVER PRAY TO
1.31%:  IS WHY I CAN NEVER PRAY TO YOU A
1.13%:  IS EXACTLY WHAT I KEPT SAYING EVERY MORNING E
1.13%:  IS EXACTLY HOW I SEE EVERY TIME
2.34%:  IS EXACTLY HOW I SEE EVERY TIME YOU
1.13%:  IS EXACTLY THE REASON I KEEP TRYING TO PA
1.13%:  IS EXACTLY THE REASON I NEVER SUGGEST MAN
1.13%:  IS EXACTLY WHY I AM NOT PART
1.13%:  IS WHY I CAN NEVER TRUST SO
1.74%:  IS WHY I CAN NEVER TRUST SOMEONE EL
1.21%:  IS WHY I CAN NEVER TRUST SOMEONE N
1.13%:  IS EXACTLY WHY YOU KEEP GETTING TO
1.13%:  IS THE VERY REASON WE IN
1.13%:  IS EXACTLY WHAT I SAY EVERY MORNING IN STU
1.13%:  IS THE ONLY TIME YOU CAN E
3.37%:  IS THE ONLY TIME YOU CAN EVER GET
2.59%:  IS THE ONLY TIME YOU CAN EVER S
1.13%:  IS EXACTLY WHY I NEVER SPEAK IN OPINION RE
1.13%:  IS EXACTLY WHY YOU NEVER GET AN AP
1.89%:  IS EXACTLY WHY YOU NEVER GET AN APPRO
1.13%:  IS EXACTLY THE REASON I WANT TO KEEP P
1.13%:  IS EXACTLY WHAT IS GOING ON IN MY V
1.47%:  IS EXACTLY WHAT IS GOING ON IN MY VERY
1.13%:  IS EXACTLY WHY I KEEP TRYING TO MAKE U
1.13%:  IS EXACTLY WHAT I SAY EVERY MORNING UP ON
1.13%:  IS EXACTLY THE REASON I NEVER SPEAK MY TRUE T
1.13%:  IS EXACTLY WHY I NEVER SPEAK IN ANY SU
1.13%:  IS WHAT I SAY EVERY TIME I POINT OUT AN IN
1.13%:  IS WHAT TRUE
1.13%:  IS EXACTLY THE REASON I NEVER SPOKE UN
1.13%:  IS EXACLTY WHY YOU
1.13%:  IS EXACTLY WHAT I SEE EVERY TIME I OPEN YOUR PR
1.13%:  IS EXACTLY WHY I NEVER TAKE SE
1.13%:  IS WHY PEOPLE KEEP SAYING I GOT ANGER
1.13%:  IS EXACTLY WHY I NEVER SPEAK IN MY OPINION ST
1.13%:  IS THE EXACT REASON I NEVER LET YOU E
1.13%:  IS WHY I NEVER ASK PEOPLE TO USE MY INSPI
1.13%:  IS THE VERY SAME REASON I RE
1.13%:  IS EXACTLY THE REASON WE KEEP MY
1.13%:  IS EXACTLY WHAT I SAY EVERY NO
1.13%:  IS EXACTLY THE REASON I WAS GETTING YOU IN
1.13%:  IS WHY I CANNOT ST
1.13%:  IS THE REASON I KEEP SAYING YOUR L
1.13%:  IS EXACTLY WHY I KEEP MAKING YOU REPE
1.13%:  IS EXACTLY THE REASON I NEVER REM
1.13%:  IS EXACTLY THE REASON I KEEP GIVING YOU WINGS
1.13%:  IS THE REASON I LIKE C
1.13%:  IS WHY PEOPLE SAY EXTRA
1.13%:  IS THE REASON I NEVER SAY A SINGLE COMP
1.13%:  IS WHY PEOPLE KEEP GOING A
1.13%:  IS WHY SOME PEOPLE ARE AGAINST PUTTING IN
1.13%:  IS EXACTLY THE REASON I PUT EVERY W
1.13%:  IS EXACTLY WHY I NEVER PUT TR
1.13%:  IS EXACTLY THE REASON I SPEAK EVERY T
8.48%:  IS EXACTLY THE REASON I SPEAK EVERY TONGUE IN
5.03%:  IS EXACTLY THE REASON I SPEAK EVERY TONGUE K
1.13%:  IS THE EXACT REASON I KEEP SAYING SO
1.13%:  IS WHAT MAKES YOU SPE
1.13%:  IS WHY I NEVER LET ANYONE SAY S
1.13%:  IS EXACTLY THE REASON I SPEAK UN
1.13%:  IS EXACTLY THE REASON I NEVER GET TO MA
1.13%:  IS WHY I KEEP PUTTING MY N
1.13%:  IS WHY PEOPLE KEEP SAYING I REMAIN
1.13%:  IS EXACTLY THE REASON I KEPT GENESIS VERY
1.13%:  IS EXACTLY WHY I NEVER USE OPINION SIGN
1.13%:  IS EXACTLY HOW I SAY IT EVERY TIME I SING
1.13%:  IS EXACTLY THE REASON I GET UP EVERY MORNING N
1.13%:  IS WHY I NEVER ASK YOU A
1.13%:  IS WHAT SOME PEOPLE ARE C
1.13%:  IS WHY PEOPLE SAY I GIVE
1.13%:  IS EXACTLY WHAT I SAY EVERY TIME I GO O
1.13%:  IS WHY I NO LONGER P
1.13%:  IS EXACTLY THE REASON I REGRET GIVING YOU N
1.86%:  IS EXACTLY THE REASON I REGRET GIVING YOU NAMES IN
1.13%:  IS EXACTLY THE REASON I WENT IN AN
1.13%:  IS WHY YOU NEVER LISTEN TO MY INSPI
1.13%:  IS WHAT SOME PEOPLE ARE SAYING IT IS
1.13%:  IS THE ONE TIME I AG
1.13%:  IS WHY SOME PEOPLE ARE STRICT AGAINST IT
1.13%:  IS EXACTLY THE REASON I WANT TO KEEP MY PRE
1.13%:  IS EXACTLY THE REASON I NEVER SPEAK TO G
1.13%:  IS EXACTLY THE REASON I GAVE YOU MY W
1.13%:  IS THE REASON I NEVER K
2.04%:  IS THE REASON I NEVER KEEP YOU
1.46%:  IS THE REASON I NEVER KEEP UP
1.15%:  IS THE REASON I NEVER KEEP IN
1.13%:  IS THE REASON I NEVER ANSWER IN MY
1.13%:  IS EXACTLY WHY I SPEAK TO YOU IN TENSE
1.13%:  IS WHY I KEEP SAYING PEOPLE ARE MESSING IT
1.13%:  IS EXACTLY THE REASON I MAKE EVERY STORY
1.13%:  IS EXACTLY WHY I TRY NOT TO SPEAK IN E
1.13%:  IS EXACTLY WHAT I KEEP SAYING EVERY MORNING I GET UP IN
1.13%:  IS EXACTLY WHY I NEVER USE GR
1.13%:  IS EXACTLY THE REASON I WAS NOT RE
1.13%:  IS WHY I NEVER SPEAK UP
1.13%:  IS WHY SOME PEOPLE ARE AGAINST EVEN PUT
5.71%:  IS WHY SOME PEOPLE ARE AGAINST EVEN PUTTING G
1.22%:  IS WHY SOME PEOPLE ARE AGAINST EVEN PUTTING R
1.13%:  IS THE EXACT OPENING LINE TO GENESIS AS WR
1.13%:  IS EXACTLY THE REASON I GOT SUPER S
1.13%:  IS EXACTLY THE REASON I KEEP WRITING IT IN
1.13%:  IS EXACTLY WHERE I GET MY STOR
1.13%:  IS EXACTLY THE VERSION I PRE
1.13%:  IS THE REASON I WAS A
1.13%:  IS EXACTLY WHY I NEVER POST YOUR
1.13%:  IS EXACTLY WHAT I SAY EVERY TIME I GO TO PR
1.13%:  IS EXACTLY THE REASON I REGRET NOT G
5.07%:  IS EXACTLY THE REASON I REGRET NOT GIVING E
4.38%:  IS EXACTLY THE REASON I REGRET NOT GIVING MY
3.92%:  IS EXACTLY THE REASON I REGRET NOT GIVING ANY
1.77%:  IS EXACTLY THE REASON I REGRET NOT GIVING M
1.52%:  IS EXACTLY THE REASON I REGRET NOT GIVING PE
1.41%:  IS EXACTLY THE REASON I REGRET NOT GIVING UP
1.28%:  IS EXACTLY THE REASON I REGRET NOT GIVING MAN SPE
1.13%:  IS EXACTLY THE REASON YOU KEEP GETTING WRAP
1.13%:  IS WHAT PEOPLE ARE SAYING O
1.22%:  IS WHAT PEOPLE ARE SAYING OVER IN
1.13%:  IS THE REASON YOU CAN NEVER TALK IN
1.13%:  IS EXACTLY THE REASON YOU KEEP GETTING RES
1.13%:  IS EXACTLY HOW EVERY PAST
1.13%:  IS EXACTLY THE REASON I NEVER WRITE IN PEN
1.13%:  IS WHY I SAY MY
1.13%:  IS THE REAL REASON YOU WERE S
1.13%:  IS EXACTLY WHY I KEEP SAYING I REGRET P
5.40%:  IS EXACTLY WHY I KEEP SAYING I REGRET PUTTING E
2.68%:  IS EXACTLY WHY I KEEP SAYING I REGRET PUTTING EAR
2.67%:  IS EXACTLY WHY I KEEP SAYING I REGRET PUTTING A
1.46%:  IS EXACTLY WHY I KEEP SAYING I REGRET PUTTING M
3.66%:  IS EXACTLY WHY I KEEP SAYING I REGRET PUTTING MAN IN
1.60%:  IS EXACTLY WHY I KEEP SAYING I REGRET PUTTING MAN ON P
1.44%:  IS EXACTLY WHY I KEEP SAYING I REGRET PUTTING SO
8.86%:  IS EXACTLY WHY I KEEP SAYING I REGRET PUTTING SOMEONE IN
3.87%:  IS EXACTLY WHY I KEEP SAYING I REGRET PUTTING SOMEONE AS
1.29%:  IS EXACTLY WHY I KEEP SAYING I REGRET PUTTING AN
1.13%:  IS WHY PEOPLE KEEP SAYING I AM AN I
1.13%:  IS THE WORST EXC
1.97%:  IS THE WORST EXCUSE I
1.83%:  IS THE WORST EXCUSE TO
1.13%:  IS EXACTLY WHY NO ONE EVER SA
1.13%:  IS WHY I NEVER CAST
1.13%:  IS WHAT PEOPLE ARE SAYING TO ME REG
1.13%:  IS EXACTLY WHY I KEEP TRYING TO MAKE SPE
1.13%:  IS EXACTLY THE REASON WE KEEP P
1.13%:  IS WHY PEOPLE ARE TRYING TO P
2.98%:  IS WHY PEOPLE ARE TRYING TO PUT ME IN
1.30%:  IS WHY PEOPLE ARE TRYING TO PUT ME IN A
1.13%:  IS EXACTLY THE REASON I NEVER USE TWE
1.13%:  IS EXACTLY WHY I MAKE UP ST
7.42%:  IS EXACTLY WHY I MAKE UP STORIES A
4.14%:  IS EXACTLY WHY I MAKE UP STORIES IN
2.62%:  IS EXACTLY WHY I MAKE UP STORIES TO
1.22%:  IS EXACTLY WHY I MAKE UP STORIES SO
1.13%:  IS WHERE YOU LOSE MY
1.14%:  IS WHERE YOU LOSE MY RES
1.13%:  IS EXACTLY THE REASON I GIVE SO MANY IN
1.13%:  IS EXACTLY WHY YOU ARE GETTING T
1.13%:  IS EXACTLY WHY I KEEP TRYING TO SPOKE
1.13%:  IS EXACTLY WHAT I SEE EVERY TIME I OPEN ANY S
1.13%:  IS EXACTLY WHAT GOES IN YOUR E
1.13%:  IS EXACTLY THE REASON I WRITE UP
1.13%:  IS EXACTLY WHY I NEVER TRUST SOMEONE SAYING IN
1.13%:  IS EXACTLY THE POINT I WAS MAKING IN O
1.25%:  IS EXACTLY THE POINT I WAS MAKING IN OUR P
1.13%:  IS THE EXACT OPENING TO EVERY SINGLE EP
1.13%:  IS EXACTLY THE REASON I NEVER SAY OR TYPE
1.13%:  IS EXACTLY WHY I PUT SO MANY R
1.13%:  IS EXACTLY THE REASON I SPENT MY ENTIRE UN
1.13%:  IS EXACTLY HOW I GOT MY N
1.13%:  IS WHY PEOPLE IN YOUR TIME ARE
1.13%:  IS EXACTLY WHAT I SAY EVERY MORNING TO STEER
1.13%:  IS EXACTLY THE VERY REASON G
1.13%:  IS WHY I CAN NEVER LISTEN TO ANY MO
1.13%:  IS EXACTLY WHY STORIES NE
1.60%:  IS EXACTLY WHY STORIES NEVER
1.28%:  IS EXACTLY WHY STORIES NEVER GET
1.13%:  IS EXACTLY WHY I NEVER TRUST EIT
1.13%:  IS THE OPEN
11.72%:  IS THE OPENING LINE TO
9.07%:  IS THE OPENING LINE TO GEN
3.34%:  IS THE OPENING TO
3.33%:  IS THE OPENING LINE TO MY
2.78%:  IS THE OPENING S
2.43%:  IS THE OPENING TO GEN
1.86%:  IS THE OPENING LINE TO GENESIS IT
1.47%:  IS THE OPENING TO GENESIS IN
1.42%:  IS THE OPENING TO MY
1.38%:  IS THE OPENING LINE TO GENESIS I
1.38%:  IS THE OPENING LIN
2.92%:  IS THE OPENING LINES TO GEN
1.39%:  IS THE OPENING LINES TO MY
1.13%:  IS THE ONLY REASON I EVER RES
1.72%:  IS THE ONLY REASON I EVER RESPECT
1.13%:  IS EXACTLY THE REASON I GIVE NAMES SO
1.13%:  IS EXACTLY THE REASON I NEVER WENT INTO AR
1.13%:  IS EXACTLY WHY I NEVER PROMISE YOUR
1.13%:  IS EXACTLY THE REASON I KEEP YOUR NAMES
1.13%:  IS THE ONE PLACE I W
1.13%:  IS THE REASON PEOPLE KEEP SAYING WE G
1.13%:  IS EXACTLY WHY I NEVER MAKE A PRO
1.13%:  IS WHY I NEVER LET YOU TYPE ON
1.13%:  IS WHY I GET SO ANGRY AT PEOPLE S
6.22%:  IS WHY I GET SO ANGRY AT PEOPLE SAYING ST
7.26%:  IS WHY I GET SO ANGRY AT PEOPLE SAYING STUP
5.08%:  IS WHY I GET SO ANGRY AT PEOPLE SAYING I
1.13%:  IS EXACTLY THE REASON I NEVER SAYING IT
1.13%:  IS WHY PEOPLE KEEP ASKING ME TO CREATE SUS
1.13%:  IS EXACTLY WHY I SPOKE TO M
1.13%:  IS EXACTLY WHY MY VERSION ON
1.13%:  IS EXACTLY WHY I NEVER SUGGEST IT
1.13%:  IS EXACTLY THE REASON I REWROTE MY ST
1.13%:  IS WHY I NEVER LISTEN TO ANYONE M
1.13%:  IS EXACTLY THE REASON I NEVER SEE MY
1.13%:  IS THE EXACT OPENING LINE TO A
1.13%:  IS EXACTLY THE REASON I SENT MY PRO
1.13%:  IS WHY I NO LONGER SPEAK UN
1.13%:  IS THE ENTIRE REASON I KEEP TALKING TO ME
1.13%:  IS EXACTLY THE REASON I MOT
1.13%:  IS THE REASON PEOPLE KEEP SAYING N
1.13%:  IS WHAT PEOPLE ARE SAYING IN REVER
1.13%:  IS THE REASON I ALWAYS TRY TO K
5.39%:  IS THE REASON I ALWAYS TRY TO KEEP MY
2.93%:  IS THE REASON I ALWAYS TRY TO KEEP IT
1.13%:  IS EXACTLY WHAT I KEEP TRYING TO MA
2.86%:  IS EXACTLY WHAT I KEEP TRYING TO MAKE PE
2.04%:  IS EXACTLY WHAT I KEEP TRYING TO MAKE YOU S
1.72%:  IS EXACTLY WHAT I KEEP TRYING TO MAKE YOU SE
1.53%:  IS EXACTLY WHAT I KEEP TRYING TO MAKE YOU RE
1.13%:  IS WHY PEOPLE KEEP SAYING MY STORIES ARE CR
1.13%:  IS WHY I NO LONGER GET
1.13%:  IS EXACTLY WHAT I SEE EVERY TIME YOU SPO
1.13%:  IS WHAT NO
1.13%:  IS WHY I KEEP TRYING TO GET E
1.13%:  IS WHAT YOU GOT IN RET
1.13%:  IS WHY I KEEP TRYING TO TEMP
1.13%:  IS THE REASON I NEVER GET ANY ACTION
1.13%:  IS THE VERY SAME REASON YOU W
1.20%:  IS THE VERY SAME REASON YOU WERE EX
1.13%:  IS EXACTLY WHAT EVERY TIME I OP
1.58%:  IS EXACTLY WHAT EVERY TIME I OPEN A
1.13%:  IS EXACTLY WHY I REMAIN ANGR
1.13%:  IS EXACTLY THE REASON I WAS SORRY I EVEN T
1.13%:  IS WHY PEOPLE SAY YOU ARE AN I
1.13%:  IS LIKE THE WORST VERSION I E
1.13%:  IS WHY PEOPLE GET C
1.13%:  IS EXACTLY WHAT I MEANT IN GENESIS ONE T
1.13%:  IS EXACTLY WHAT GENESIS IS TRYING TO PO
1.13%:  IS THE ENTIRE REASON I NEVER ASK ANY
1.13%:  IS EXACTLY WHY I USE PRESENT TENSE IN MY PRO
1.13%:  IS EXACTLY WHY I NEVER SPEAK OUT IN OPENING SER
1.13%:  IS WHY SOME PEOPLE ASS
1.13%:  IS EXACTLY WHY I SPENT AN ENTIRE SENT
1.13%:  IS THE REASON PEOPLE SAY I AM WR
1.13%:  IS WHAT YOUR SAYINGS ARE LIKE IN
1.13%:  IS EXACTLY WHY I TRY NOT TO SPEAK IN IMP
1.13%:  IS EXACTLY THE REASON I TAKE YOU SER
1.13%:  IS WHY I KEEP SAYING I AM NOT IN
1.13%:  IS EXACTLY WHAT I SAY EVERY TIME SE
1.13%:  IS EXACTLY THE REASON I SPOKE IN P
1.13%:  IS WHY PEOPLE KEEP SAYING YOU CAN NEVER K
1.13%:  IS THE REASON I KEEP TRYING TO GET E
1.13%:  IS EXACTLY THE REASON I NEVER PUT IN ANY SPE
1.13%:  IS EXACTLY THE REASON I KEPT GENER
1.13%:  IS EXACTLY WHY I NEVER SPOKE TO E
1.13%:  IS EXACTLY HOW I START EVERY PO
1.46%:  IS EXACTLY HOW I START EVERY POST
1.13%:  IS EXACTLY THE OPINION I WAS N
1.13%:  IS WHAT GENESIS SO
1.13%:  IS THE REASON PEOPLE ARE WRITING P
1.13%:  IS WHY I KEEP GETTING IN
1.13%:  IS WHY I NEVER LET ANYONE RUIN MY C
1.12%:  IS WHAT SOME PEOPLE SEE AS AN
1.12%:  IS WHY YOU ARE NOT ME
1.12%:  IS EXACTLY THE REASON I NEVER USE POP
1.12%:  IS EXACTLY WHY I MANAG
1.12%:  IS WHY I SPENT SO LONG GETTING EVERY S
1.12%:  IS EXACTLY WHAT I PRESENT TO YOU IN
1.12%:  IS WHY I KEEP SAYING NOT TO AR
1.12%:  IS WHY I NEVER TRUST ANYONE ELSE TO C
9.51%:  IS WHY I NEVER TRUST ANYONE ELSE TO CREATE ANY
4.24%:  IS WHY I NEVER TRUST ANYONE ELSE TO CREATE MY
3.55%:  IS WHY I NEVER TRUST ANYONE ELSE TO CREATE A
1.12%:  IS EXACTLY WHY I NEVER ASK YOU TO PRAISE ME IN SENT
1.12%:  IS WHY PEOPLE ARE AGAINST MY PRO
1.12%:  IS EXACTLY WHY I NEVER TAKE PO
1.12%:  IS THE REASON I NEVER LET YOU INT
1.12%:  IS WHY I KEEP TRYING TO CREATE A S
1.12%:  IS EXACTLY WHY I SPEAK IN E
1.12%:  IS EXACTLY THE REASON I WENT ON A STR
1.12%:  IS EXACTLY WHY YOU NEVER ARE
1.12%:  IS WHY I KEEP TRYING TO TAKE A
1.12%:  IS WHY I CAN NEVER TRUST ANYONE ELSE TO TAKE MY P
1.12%:  IS EXACTLY WHY I NEVER GO UP AGAINST N
1.12%:  IS THE REASON I REVER
1.12%:  IS WHY YOU ARE NE
4.54%:  IS WHY YOU ARE NEVER GO
1.31%:  IS WHY YOU ARE NEVER TO
1.12%:  IS THE EXACT REASON I SA
1.12%:  IS WHY SOME PEOPLE ARE AGAINST TRICK
1.12%:  IS EXACTLY HOW YOU SAY PR
1.12%:  IS THE REASON I KEEP US
1.12%:  IS EXACTLY WHY I KEEP TRYING TO INVENT RO
1.12%:  IS EXACTLY THE REASON I NEVER MAKE YOU TE
1.12%:  IS EXACTLY THE REASON I WAS NEVER INTO UN
1.12%:  IS EXACTLY THE REASON WE EV
1.12%:  IS EXACTLY WHY I NEVER ASK ANYONE TO USE T
1.12%:  IS EXACTLY WHY I NEVER SPEAK IN YOUR T
1.12%:  IS WHY PEOPLE KEEP SAYING YOU M
1.12%:  IS EXACTLY ONE REASON WHY I NEVER SPEAK IN SU
1.12%:  IS EXACTLY THE REASON I KEEP IMP
1.12%:  IS HOW TO
1.12%:  IS WHY I NEVER LET YOU SPEAK AT MY STO
1.12%:  IS EXACTLY HOW EVENING PRAYER STARTS UP
1.12%:  IS EXACTLY WHY I KEEP SAYING STORIES ARE P
1.12%:  IS WHY I NEVER LET YOU COPY ME
1.12%:  IS THE REASON I CAN NEVER TRUST MY O
1.12%:  IS WHY I NEVER LISTEN TO YOUR TI
1.12%:  IS EXACTLY THE REASON I KEEP SAYING NOT EVERY SING
1.12%:  IS EXACTLY THE REASON I AM PRETTY SURE I WON
1.12%:  IS EXACTLY THE REASON I REGRET EVENING UP
1.12%:  IS EXACTLY WHY I MAKE SURE NO ONE GET
1.12%:  IS WHAT I COME UP AGAINST EVERY SINGLE PRES
1.12%:  IS WHY I NEVER TRUST ANYONE AGA
3.94%:  IS WHY I NEVER TRUST ANYONE AGAINST
1.12%:  IS WHY PEOPLE KEEP SAYING I AM EAS
1.12%:  IS THE REASON I CREATE E
1.12%:  IS EXACTLY THE REASON I AM SO UN
1.12%:  IS EXACTLY THE REASON I REGRET GIVING YOU MAN
1.12%:  IS THE VERSION I WAS TR
37.48%:  IS THE VERSION I WAS TRYING TO GET
12.83%:  IS THE VERSION I WAS TRYING TO S
7.68%:  IS THE VERSION I WAS TRYING TO T
4.88%:  IS THE VERSION I WAS TRYING TO IMP
3.67%:  IS THE VERSION I WAS TRYING TO TE
3.08%:  IS THE VERSION I WAS TRYING TO SUG
2.73%:  IS THE VERSION I WAS TRYING TO EX
7.61%:  IS THE VERSION I WAS TRYING TO EXPLAIN IN
2.70%:  IS THE VERSION I WAS TRYING TO A
2.47%:  IS THE VERSION I WAS TRYING TO G
2.44%:  IS THE VERSION I WAS TRYING TO EXPLAIN E
2.27%:  IS THE VERSION I WAS TRYING TO EXPLAIN Y
2.65%:  IS THE VERSION I WAS TRYING TO EXPLAIN YEAR
2.16%:  IS THE VERSION I WAS TRYING TO P
2.05%:  IS THE VERSION I WAS TRYING TO GET A
1.92%:  IS THE VERSION I WAS TRYING TO SAY IN
1.79%:  IS THE VERSION I WAS TRYING TO RE
1.74%:  IS THE VERSION I WAS TRYING TO PUT
1.59%:  IS THE VERSION I WAS TRYING TO IMPLY IN
1.12%:  IS EXACTLY THE REASON I MESS UP
1.12%:  IS WHY I GIVE PEOPLE SAYINGS IN
1.12%:  IS WHY I NEVER SPEAK TO ANYONE UNLESS I GET PA
1.12%:  IS WHERE I GET MY OP
1.12%:  IS EXACTLY WHY I NEVER GO TO PARTIES IN
1.12%:  IS EXACTLY THE REASON I WRITTEN G
1.12%:  IS EXACTLY WHY I NEVER POST TO ANY
1.12%:  IS EXACTLY THE REASON I NEVER WANT YOU IN MY SIT
1.12%:  IS THE ONLY VERSION I U
1.12%:  IS EXACTLY WHY I KEEP KEEPING SAYING NO ONE
1.12%:  IS EXACTLY THE REASON I WRITE STORIES IN AN EN
1.12%:  IS WHY PEOPLE ARE AGAINST USING ME IN CON
1.12%:  IS EXACTLY THE REASON I NEVER SPEAK IN YOUR IN
1.12%:  IS EXACTLY WHAT SOMEONE SAYS R
