if not then I doubt it would be a very good salad!
         0 0* 96.23474%  if                                                                                                                           -----aaabdddeeeghillnnoooorstttuvwyI!
    15,767 0* 0.01655%  then I doubt                                                                                                                 aaabdddeefgiillnoooorsttuvwy!
    15,768 0* 0.02150%  then I doubt it                                                                                                              aaabdddeefgillnoooorstuvwy!
    15,769 0* 0.06158%  then I doubt it would                                                                                                        aaabddeefgilnooorstvy!
    15,770 0* 0.10319%  then I doubt it would be                                                                                                     aaaddefgilnooorstvy!
    15,771 0* 0.34450%  then I doubt it would be good                                                                                                aaadefilnorstvy!
    15,772 0* 0.18526%  then I doubt it would be good for                                                                                            aaadeilnstvy!
    15,773 0* 0.05074%  then I doubt it would be good!                                                                                               aaadefilnorstvy
    15,774 0* 0.04828%  then I doubt it would be good at                                                                                             aadefilnorsvy!
    15,775 0* 0.04452%  then I doubt it would be very                                                                                                aaaddfgilnooost!
    15,776 0* 1.36677%  then I doubt it would be very good                                                                                           aaadfilnost!
    15,777 0* 0.19971%  then I doubt it would be very good!                                                                                          aaadfilnost
    15,778 0* 0.17614%  then I doubt it would be very good at                                                                                        aadfilnos!
    15,779 0* 0.03576%  then I doubt it would be as                                                                                                  aaddefgilnooortvy!
    15,780 0* 0.43175%  then I doubt it would be as good                                                                                             aadefilnortvy!
    15,781 0* 0.02265%  then I doubt it would be a                                                                                                   aaddefgilnooorstvy!
    15,782 0* 0.26930%  then I doubt it would be a good                                                                                              aadefilnorstvy!
    15,783 0* 0.01956%  then I doubt it would be any                                                                                                 aaddefgilooorstv!
    15,784 0* 0.43737%  then I doubt it would be any good                                                                                            aadefilorstv!
    15,785 0* 0.19464%  then I doubt it would be any good at                                                                                         adefilorsv!
    15,786 0* 0.16814%  then I doubt it would be any good for                                                                                        aadeilstv!
    15,787 0* 0.10884%  then I doubt it would be any good!                                                                                           aadefilorstv
    15,788 0* 0.01710%  then I doubt it would be very good as                                                                                        aadfilnot!
    15,789 0* 0.01654%  I would hate to be at                                                                                                        -----addefgiilnnoorsvy!
    15,790 0* 0.01654%  I would be the last to give                                                                                                  -----aaddfinnoory!
    15,791 0* 0.01654%  it would need to have lots                                                                                                   -----aabdfginoryI!
    15,792 0* 0.04951%  it would need to have lots of                                                                                                -----aabdginryI!
    15,793 0* 0.01653%  that is not good and you were                                                                                                -----abdefillvI!
    15,794 0* 0.01653%  that is a food I would only                                                                                                  -----abdeeeginrtv!
    15,795 0* 0.03648%  that is a food I would only eat                                                                                              -----bdeeginrv!
    15,796 0* 0.01653%  I would only eat at the                                                                                                      -----abddefgiinoorsv!
    15,797 0* 0.01653%  if you ever want to eat good                                                                                                 -----abddhillnsI!
    15,798 0* 0.01652%  then I too                                                                                                                   -----aaabdddeefgiillnoorstuvwy!
    15,799 0* 0.12855%  then I too would                                                                                                             -----aaabddeefgiilnorstvy!
    15,800 0* 0.11606%  then I too would be                                                                                                          -----aaaddefgiilnorstvy!
    15,801 0* 0.04122%  then I too would read                                                                                                        -----aabdefgiilnostvy!
    15,802 0* 0.02874%  then I too would read it                                                                                                     -----aabdefgilnosvy!
    15,803 0* 0.01868%  then I too would find                                                                                                        -----aaabdeegilorstvy!
    15,804 0* 0.03870%  then I too would find it                                                                                                     -----aaabdeeglorsvy!
    15,805 0* 0.01652%  I have only used                                                                                                             -----aabddefgiilnooortttw!
    15,806 0* 0.01652%  I have a good deal                                                                                                           -----bdefiilnnoorstttuwy!
    15,807 0* 0.04076%  I have a good deal of                                                                                                        -----bdeiilnnorstttuwy!
    15,808 0* 0.01652%  that would not good                                                                                                          -----aabdeeefiilnrsvyI!
    15,809 0* 0.01651%  if you want real good in the                                                                                                 -----abddelostvI!
    15,810 0* 0.01651%  I have to turn it                                                                                                            -----aabdddeefgillnoooswy!
    15,811 0* 0.11456%  I have to turn it down                                                                                                       -----aabddeefgilloosy!
    15,812 0* 0.10384%  I have to turn it down if                                                                                                    -----aabddeeglloosy!
    15,813 0* 0.01651%  I would not say that a                                                                                                       -----bddeeefgiilnoorv!
    15,814 0* 0.01651%  it you said                                                                                                                  -----aabddeeefghllnnooorttvwI!
    15,815 0* 0.01651%  I will not get                                                                                                               -----aaabdddeefhinooorstuvy!
    15,816 0* 0.01650%  I have also read only                                                                                                        -----bddefgiinootttuw!
    15,817 0* 0.01650%  we all have to eat!                                                                                                          -----bdddfgiinnooorstuyI
    15,818 0* 0.01650%  I would hate to be on                                                                                                        -----aaddefgiilnorstvy!
    15,819 0* 0.01650%  both of you need                                                                                                             -----aaaddegiillnorsttvwI!
    15,820 0* 0.03245%  both of you need to                                                                                                          -----aaaddegiillnrstvwI!
    15,821 0* 0.01650%  you and I both want to see                                                                                                   -----addefgiillorv!
    15,822 0* 0.01649%  I eat salad too                                                                                                              -----bddeefghiilnnoortuvwy!
    15,823 0* 0.01649%  if so it would have been good                                                                                                -----aadlnrttyI!
    15,824 0* 0.01649%  I doubt you will                                                                                                             aaabdddeeefghinnooorstttv!
    15,825 0* 0.02248%  I doubt you will ever                                                                                                        aaabdddefghinnooosttt!
    15,826 0* 0.01649%  if you want to get real bad                                                                                                  -----ddehilnoosvI!
    15,827 0* 0.01648%  I also read how to not die                                                                                                   -----abdefgilntuvy!
    15,828 0* 0.01648%  it would only be good at the                                                                                                 -----aadefinrsvI!
    15,829 0* 0.01648%  if you saw that on                                                                                                           -----abdddeeegillnoortvI!
    15,830 0* 0.01648%  if so you did                                                                                                                -----aaabdeeeghllnnoortttvwI!
    15,831 0* 0.02832%  if so you did not                                                                                                            -----aaabdeeeghllnorttvwI!
    15,832 0* 0.01648%  then it would fail and I                                                                                                     -----abdeegooorstvy!
    15,833 0* 0.01648%  I would eat that frig                                                                                                        -----abddeeilnnooosvy!
    15,834 0* 0.01648%  I would be into it then                                                                                                      -----aaaddefgloorsvy!
    15,835 0* 0.01648%  if you get to the salad                                                                                                      -----abddeilnnoorvwI!
    15,836 0* 0.01647%  that is not good and will                                                                                                    -----abdeeeforuvyI!
    15,837 0* 0.01647%  you got to eat                                                                                                               -----aabdddeefhiillnnorsvwI!
    15,838 0* 0.01646%  if not I would eat it and                                                                                                    -----abdeeghloorsvy!
    15,839 0* 0.01646%  I do that too                                                                                                                -----aabddeeefgiillnnorsuvwy!
    15,840 0* 0.01646%  if not I will be sad and you                                                                                                 -----adeeghoorttv!
    15,841 0* 0.01646%  then I will not eat your                                                                                                     -----aabdddefgioosv!
    15,842 0* 0.01645%  if I told you it was the                                                                                                     -----aabddeeglnnoorv!
    15,843 0* 0.01645%  if so I would not read that on                                                                                               -----abdeegilvy!
    15,844 0* 0.01645%  I only had one                                                                                                               -----aabddeefgiiloorstttuvw!
    15,845 0* 0.01645%  I would not be into it                                                                                                       -----aaaddeefghlorsvy!
    15,846 0* 0.01645%  that would be one too                                                                                                        -----aaddefgiilnrsvyI!
    15,847 0* 0.07981%  that would be one too far                                                                                                    -----addegiilnsvyI!
    15,848 0* 0.02701%  that would be one too far!                                                                                                   -----addegiilnsvyI
    15,849 0* 0.01645%  I only have a few                                                                                                            -----abdddegiilnooorstttu!
    15,850 0* 0.01645%  even if you eat salad                                                                                                        -----bddghilnooorttwI!
    15,851 0* 0.01645%  I will not date                                                                                                              -----aabddeefghinooorstuvy!
    15,852 0* 0.02257%  I will not date you                                                                                                          -----aabddeefghinoorstv!
    15,853 0* 0.02948%  I will not date you if                                                                                                       -----aabddeeghnoorstv!
    15,854 0* 0.01644%  then I would read an                                                                                                         -----abdefgiilooosttvy!
    15,855 0* 0.01644%  I would feel a bit                                                                                                           -----aaddeghinnooorsttvy!
    15,856 0* 0.01644%  I for one would be glad not                                                                                                  -----aadehiisttvy!
    15,857 0* 0.01644%  I want to have lots                                                                                                          -----abdddeefgiilnooruy!
    15,858 0* 0.05760%  I want to have lots of                                                                                                       -----abdddeegiilnoruy!
    15,859 0* 0.01644%  I also read how to buy a                                                                                                     -----ddeefgiilnnottv!
    15,860 0* 0.01644%  that is an even                                                                                                              -----abdddefgilloooortuwyI!
    15,861 0* 0.01644%  even as an                                                                                                                   -----abdddefghiilloooortttuwyI!
    15,862 0* 0.01643%  I would love to eat one                                                                                                      -----aabddfghiinrsty!
    15,863 0* 0.01643%  all the good and                                                                                                             -----abdeefiinoorsttuvwyI!
    15,864 0* 0.01643%  you need real food in                                                                                                        -----aabdghilostttvwI!
    15,865 0* 0.01643%  then it would be salad for a                                                                                                 -----deginootvyI!
    15,866 0* 0.01643%  I have a good beef                                                                                                           -----addiillnnoorstttuwy!
    15,867 0* 0.01642%  then it would be food at                                                                                                     -----aadegilnorsvyI!
    15,868 0* 0.01642%  a real                                                                                                                       -----abdddeefghiilnnoooostttuvwyI!
    15,869 0* 0.01642%  it would be the salad I                                                                                                      -----adefginnooortvy!
    15,870 0* 0.01642%  all I want to do is eat good                                                                                                 -----bdeefhinruvy!
    15,871 0* 0.01642%  you ate a                                                                                                                    -----abdddeefghiillnnooorsttvwI!
    15,872 0* 0.01641%  I would not even dare                                                                                                        -----aabdfghiiloostty!
    15,873 0* 0.01706%  I would not even dare to                                                                                                     -----aabdfghiilosty!
    15,874 0* 0.01641%  that would also be good if I                                                                                                 -----adeeinnrtvy!
    15,875 0* 0.01641%  that is not good and I feel                                                                                                  -----abdeiloruvwy!
    15,876 0* 0.01641%  it is not good when                                                                                                          -----aaabddeefllortuvyI!
    15,877 0* 0.01641%  if you want to not be                                                                                                        -----aadddeeghillorsvI!
    15,878 0* 0.01641%  I would rate it as a                                                                                                         -----bddeefghilnnoootvy!
    15,879 0* 0.01641%  that is no way for                                                                                                           -----abdddeeegillnootuvI!
    15,880 0* 0.01684%  that is no way for a                                                                                                         -----bdddeeegillnootuvI!
    15,881 0* 0.01641%  if we are to                                                                                                                 -----aabdddeghillnnooosttuvyI!
    15,882 0* 0.01640%  I find it hard to be too                                                                                                     -----aadeegllnosuvwy!
    15,883 0* 0.01640%  I will use                                                                                                                   -----aaabdddeefghinnoooortttvy!
    15,884 0* 0.01640%  that would sort of be one                                                                                                    -----aaddegiilnvyI!
    15,885 0* 0.01640%  then it would be I                                                                                                           -----aaaddefgilnooorstvy!
    15,886 0* 0.01640%  we have no food in our                                                                                                       -----aabddegillstttyI!
    15,887 0* 0.01640%  if you tell the                                                                                                              -----aaabdddeginnooorstvwI!
    15,888 0* 0.01639%  all I want to do is to find                                                                                                  -----abdeeeghoruvy!
    15,889 0* 0.01639%  I would only go so                                                                                                           -----aaabddeeefhiinrtttv!
    15,890 0* 0.10255%  I would only go so far                                                                                                       -----aabddeeehiintttv!
    15,891 0* 0.01639%  I want to get all                                                                                                            -----abdddeefhiinooorsuvy!
    15,892 0* 0.01639%  I for one would not say                                                                                                      -----aabddeeghiilttv!
    15,893 0* 0.01639%  if you went that                                                                                                             -----aabdddeegillnooorsvI!
    15,894 0* 0.01639%  I need food that isn                                                                                                         -----aabdegilloortuvwy!
    15,895 0* 0.01639%  no one will eat                                                                                                              -----aabdddefghioorsttuvyI!
    15,896 0* 0.01638%  I would not eat any good                                                                                                     -----abdeefhiilrstv!
    15,897 0* 0.01638%  if so then I would be glad to eat                                                                                            -----adinorvy!
    15,898 0* 0.01638%  that is no way for a good                                                                                                    -----bddeeeillntuvI!
    15,899 0* 0.01638%  I would not be very good at the                                                                                              -----aadfiilns!
    15,900 0* 0.01638%  I find that you need to be a                                                                                                 -----adgilloorsvw!
    15,901 0* 0.01638%  the only food I want is                                                                                                      -----aabddeegilortuv!
    15,902 0* 0.01638%  I feel that would be a sad                                                                                                   -----dgiinnooortvy!
    15,903 0* 0.01638%  I have read it too                                                                                                           -----abddefgillnnoostuwy!
    15,904 0* 0.01638%  then I sort                                                                                                                  -----aaabdddeefgiillnoootuvwy!
    15,905 0* 0.06256%  then I sort of                                                                                                               -----aaabdddeegiillnootuvwy!
    15,906 0* 0.07504%  then I sort of want                                                                                                          -----aabdddeegiilloouvy!
    15,907 0* 0.01678%  then I sort of want you                                                                                                      -----aabdddeegiillov!
    15,908 0* 0.01637%  if I had to rely on salad                                                                                                    -----bdeeginoottuvw!
    15,909 0* 0.01637%  you and I are no                                                                                                             -----abddeefghiilloostttvw!
    15,910 0* 0.01637%  I fear that you                                                                                                              -----abdddeegiillnnooostvw!
    15,911 0* 0.01637%  if not you need to be                                                                                                        -----aaaddghillorstvwI!
    15,912 0* 0.01636%  I would have gone into                                                                                                       -----aabddefilorstty!
    15,913 0* 0.01636%  I would at best                                                                                                              -----aaddeefghiilnnooortvy!
    15,914 0* 0.01636%  if you love it so                                                                                                            -----aaabdddeeghlnnorttwI!
    15,915 0* 0.01635%  I for one would hate to be a                                                                                                 -----addgiilnstvy!
    15,916 0* 0.01635%  if you want to save a                                                                                                        -----bdddeeghillnoortI!
    15,917 0* 0.01635%  even now                                                                                                                     -----aaabdddefghiillooorstttuyI!
    15,918 0* 0.01635%  if it was you have                                                                                                           -----abdddeegllnnooorttI!
    15,919 0* 0.01634%  I would only give that to                                                                                                    -----aabddeefinors!
    15,920 0* 0.01634%  I find it hard to say no                                                                                                     -----abdeeegllootuvw!
    15,921 0* 0.04315%  I find it hard to say no to                                                                                                  -----abdeeegllouvw!
    15,922 0* 0.01634%  you will not get the                                                                                                         -----aaabdddefinoorsvI!
    15,923 0* 0.01634%  it would not have to be any                                                                                                  -----addefgilorsI!
    15,924 0* 0.01634%  that would be sad at                                                                                                         -----deefgiilnnooorvyI!
    15,925 0* 0.01634%  that would be one of a                                                                                                       -----addegiilnorstvyI!
    15,926 0* 0.01634%  that all you ever want                                                                                                       -----bdddefgiinooosI!
    15,927 0* 0.01633%  if so then I will no                                                                                                         -----aaabdddeegoorttuvy!
    15,928 0* 0.01633%  I would eat that over and                                                                                                    -----bdefgiilnoosy!
    15,929 0* 0.01633%  I doubt that even you                                                                                                        aabdddefgiillnooorstw!
    15,930 0* 0.01633%  I have now been                                                                                                              -----aadddfgiillooorstttuy!
    15,931 0* 0.04074%  I have now been told                                                                                                         -----aaddfgiiloorsttuy!
    15,932 0* 0.01633%  it would be good not                                                                                                         -----aaadeefhilnrstvyI!
    15,933 0* 0.01633%  all they do in                                                                                                               -----aabddeefginooorsttuvwI!
    15,934 0* 0.01632%  if you read an                                                                                                               -----abddeeghillnooostttvwI!
    15,935 0* 0.01632%  then you are at                                                                                                              -----abdddefgiillnooostvwI!
    15,936 0* 0.01632%  I bet that was good                                                                                                          -----addeefiillnnooruvy!
    15,937 0* 0.01632%  I also did that                                                                                                              -----abdeeefgilnnooortuvwy!
    15,938 0* 0.01631%  I get how                                                                                                                    -----aaabdddeefiillnnooorsttuvy!
    15,939 0* 0.02495%  I get how to                                                                                                                 -----aaabdddeefiillnnoorstuvy!
    15,940 0* 0.01631%  no frig                                                                                                                      -----aaabdddeeehillnooostttuvwyI!
    15,941 0* 0.01631%  I have no doubt it will be good and you                                                                                      adefrstt!
    15,942 0* 0.01631%  I feel that is not                                                                                                           -----aabdddegilnoooruvwy!
    15,943 0* 0.01631%  I have no good                                                                                                               -----aabddeefiillnorstttuwy!
    15,944 0* 0.01631%  that would be real easy to do on                                                                                             -----dfgiinvI!
    15,945 0* 0.01631%  then I want to give you all                                                                                                  -----abdddefioors!
    15,946 0* 0.01630%  of you and the                                                                                                               -----aabddeegiillnoorsttvwI!
    15,947 0* 0.01630%  then I eat                                                                                                                   -----aabdddefgiillnoooorstuvwy!
    15,948 0* 0.02846%  then I eat it                                                                                                                -----aabdddefgillnoooorsuvwy!
    15,949 0* 0.03623%  then I eat it and                                                                                                            -----abddefgilloooorsuvwy!
    15,950 0* 0.04395%  then I eat it and you                                                                                                        -----abddefgillooorsvw!
    15,951 0* 0.01630%  I have no use for it!                                                                                                        -----aabdddegillnoottwy
    15,952 0* 0.01630%  not to be a                                                                                                                  -----aadddeefghiillnoorstuvwyI!
    15,953 0* 0.01629%  one good                                                                                                                     -----aaabddeefhiillnorstttuvwyI!
    15,954 0* 0.01629%  you and I both see                                                                                                           -----aaddefgiillnoorttvw!
    15,955 0* 0.01628%  I only eat salad for two                                                                                                     -----bddeeghiinotuv!
    15,956 0* 0.01628%  I would not feel the                                                                                                         -----aaabddgiinoorstvy!
    15,957 0* 0.01628%  if you need a salad to get                                                                                                   -----bdhilnoortvwI!
    15,958 0* 0.01628%  now I feel that                                                                                                              -----aabdddegiilnooorstuvy!
    15,959 0* 0.02188%  now I feel that you                                                                                                          -----aabdddegiilnoorstv!
    15,960 0* 0.01627%  I fail to see how you don                                                                                                    -----aabddegilnrttv!
    15,961 0* 0.01627%  it will have to be good for                                                                                                  -----aaddennstuyI!
    15,962 0* 0.01627%  I have only four                                                                                                             -----aabdddeegiilnoostttw!
    15,963 0* 0.01627%  I would only eat it on a                                                                                                     -----abddeefghiorstv!
    15,964 0* 0.01627%  then you lied and it                                                                                                         -----aabdefglooorstvwI!
    15,965 0* 0.01626%  you want the best                                                                                                            -----aadddefgiillnooorvI!
    15,966 0* 0.01626%  bad salad                                                                                                                    -----deeefghiilnnoooortttuvwyI!
    15,967 0* 0.01626%  that is all I ever want!                                                                                                     -----bdddefginoooouy
    15,968 0* 0.01626%  hate                                                                                                                         -----aabdddeefgiillnnoooorsttuvwyI!
    15,969 0* 0.01626%  I would love this                                                                                                            -----aaabddeefginnoortty!
    15,970 0* 0.01625%  then it would be sad if I                                                                                                    -----aadeglnooortvy!
    15,971 0* 0.01625%  that would be not very good as                                                                                               -----adefiilnI!
    15,972 0* 0.01625%  that would be a far                                                                                                          -----ddeegiilnnooostvyI!
    15,973 0* 0.01625%  if so then eat your                                                                                                          -----aabdddegillnootvwI!
    15,974 0* 0.01625%  I would have only read it                                                                                                    -----abdefginoostt!
    15,975 0* 0.03326%  I would have only read it if                                                                                                 -----abdegnoostt!
    15,976 0* 0.01625%  I find any salad with                                                                                                        -----bdeeegloooorttuv!
    15,977 0* 0.01625%  if you want to base                                                                                                          -----adddeeghillnoortvI!
    15,978 0* 0.01625%  that one guy is                                                                                                              -----aabdddeefillnooortvwI!
    15,979 0* 0.01624%  that one I read would                                                                                                        -----abdefgiilnoostvy!
    15,980 0* 0.01624%  then I would rate it five                                                                                                    -----aabddglnooosy!
    15,981 0* 0.01624%  I would be sad to have to                                                                                                    -----adefgiilnnorty!
    15,982 0* 0.01624%  I would have gone to a                                                                                                       -----abddefiilnorstty!
    15,983 0* 0.01624%  I would be the last one at                                                                                                   -----addfgiinoorvy!
    15,984 0* 0.01624%  if that salad would                                                                                                          -----bdeeeginnooortvyI!
    15,985 0* 0.01624%  if you had read all                                                                                                          -----bdeeginnooostttvwI!
    15,986 0* 0.01623%  then it is only a                                                                                                            -----aabdddeefglooortuvwI!
    15,987 0* 0.09578%  then it is only a good                                                                                                       -----aabddeeflortuvwI!
    15,988 0* 0.01623%  if so the only                                                                                                               -----aaabdddeegilnoorttuvwI!
    15,989 0* 0.01623%  if it all                                                                                                                    -----aabdddeeeghnnoooorsttuvwyI!
    15,990 0* 0.01623%  I will eat it and you                                                                                                        -----abddeefghnooorstv!
    15,991 0* 0.01623%  you need to have good                                                                                                        -----aabdfiillnrsttwI!
    15,992 0* 0.01623%  this guy at                                                                                                                  -----aabdddeeefillnnoooortvwI!
    15,993 0* 0.01623%  I have no doubt it would be good at any                                                                                      defilrst!
    15,994 0* 0.01623%  even that would only be a                                                                                                    -----addfgiioorstI!
    15,995 0* 0.02228%  even that would only be a good                                                                                               -----adfiirstI!
    15,996 0* 0.01622%  then it would be good yet                                                                                                    -----aaadfilnorsvI!
    15,997 0* 0.01622%  it would not then                                                                                                            -----aaabddeefgiloorsvyI!
    15,998 0* 0.03631%  it would not then be                                                                                                         -----aaaddefgiloorsvyI!
    15,999 0* 0.05235%  it would not then be a                                                                                                       -----aaddefgiloorsvyI!
    16,000 0* 0.21008%  it would not then be a good                                                                                                  -----aadefilrsvyI!
    16,001 0* 0.19144%  it would not then be a salad                                                                                                 -----defgioorvyI!
    16,002 0* 0.02915%  it would not then be good                                                                                                    -----aaadefilrsvyI!
    16,003 0* 0.02781%  it would not then be a salad for                                                                                             -----degiovyI!
    16,004 0* 0.02344%  it would not then be a salad!                                                                                                -----defgioorvyI
    16,005 0* 0.01622%  I would not need a                                                                                                           -----aabdefghiiloorsttvy!
    16,006 0* 0.01621%  you have a bad                                                                                                               -----ddeefgiillnnooorstttwI!
    16,007 0* 0.01621%  you have to die for                                                                                                          -----aabddegillnnosttwI!
    16,008 0* 0.01621%  then it                                                                                                                      -----aaabdddeefgillnoooorstuvwyI!
    16,009 0* 0.01620%  none of you get                                                                                                              -----aaabdddehiillorsttvwI!
    16,010 0* 0.02474%  none of you get that                                                                                                         -----aabdddeiillorsvwI!
    16,011 0* 0.01620%  then I would read it not                                                                                                     -----aabdefgiloosvy!
    16,012 0* 0.01620%  all I want to do is be a                                                                                                     -----ddeefghinoortuvy!
    16,013 0* 0.01620%  that would be an easy find too                                                                                               -----degilorvI!
    16,014 0* 0.01620%  then I would need it                                                                                                         -----aaabdfgilooorstvy!
    16,015 0* 0.01620%  you have to eat to                                                                                                           -----abdddefgiillnnorswI!
    16,016 0* 0.01620%  if not then I love                                                                                                           -----aaabdddegiloorstuwy!
    16,017 0* 0.04298%  if not then I love you                                                                                                       -----aaabdddegilorstw!
    16,018 0* 0.01619%  if not and you read it                                                                                                       -----abdeeghlloostvwI!
    16,019 0* 0.01619%  if you ever had one                                                                                                          -----aabddgillnoostttwI!
    16,020 0* 0.01619%  I do not see what you are                                                                                                    -----abddfgiillnotv!
    16,021 0* 0.01619%  if you told it was                                                                                                           -----aabddeeeghlnnoortvI!
    16,022 0* 0.01618%  that would be a no go                                                                                                        -----addeefiilnorstvyI!
    16,023 0* 0.03987%  that would be a no go for                                                                                                    -----addeeiilnstvyI!
    16,024 0* 0.01618%  I have only bad                                                                                                              -----addeefgiilnooorstttuw!
    16,025 0* 0.02628%  I have only bad news                                                                                                         -----addefgiilooortttu!
    16,026 0* 0.10216%  I have only bad news for                                                                                                     -----addegiilootttu!
    16,027 0* 0.01618%  I would rate the last                                                                                                        -----abddefgiinnooovy!
    16,028 0* 0.01618%  that would be it!                                                                                                            -----aaddeefgilnnooorsvyI
