T-Rex (punchline): Oh man, a sunset! Boo hoo hoo!
100.00%: 
0.49%:  T
0.00%:  the T-Rex is so cl
0.00%:  the T-Rex is so clum
0.00%:  (t-Rex, on his
0.00%:  T-Rex asleep, un
0.00%:  (T-Rex in cl
0.00%:  T-Rex has a hit on
0.00%:  T-Rex a hot
0.00%:  T-Rex (punchline): Oh man, nooo!
0.00%:  a sunset! a couple on
0.00%:  the T-Rex opens a con
0.00%:  T-Rex stomps on one he
0.00%:  T-Rex in house,
0.00%:  (T-Rex emph
0.00%:  T-Rex puts on an an
0.00%:  the T-Rex is alone, com
0.00%:  T-Rex puts a soul
0.00%:  T-Rex chases him!
0.00%:  the T-Rex house, lunch soon
0.00%:  the T-Rex is so hope
0.00%:  the T-Rex is ouch
0.00%:  T-Rex plans on each
0.00%:  (T-Rex is alone, un
0.00%:  the T-Rex musical has
0.00%:  (T-Rex, at school
0.00%:  (T-Rex has spo
0.00%:  T-Rex (as punch
0.00%:  T-Rex punches out a solo
0.00%:  the T-Rex upon sun
0.00%:  (T-Rex punches a house into
0.00%:  the T-Rex cans up some
0.00%:  T-Rex is a pat
0.00%:  the T-Rex anc
0.00%:  the T-Rex! as
0.00%:  the T-Rex chums!
0.00%:  T-Rex closes an open mouth,
0.00%:  (t-Rex uses a
0.00%:  T-Rex in a pun
0.00%:  (T-Rex almost pun
0.00%:  (T-Rex almost punches a
0.00%:  T-Rex put on a som
0.00%:  T-Rex is home, sent
0.00%:  T-Rex has one mean sun
0.00%:  the T-Rex has his place
0.00%:  T-Rex has put,
0.00%:  T-Rex listens (
0.00%:  T-Rex has the on
0.00%:  T-Rex has main
0.00%:  the T-Rex has no c
0.00%:  T-Rex phones home to his non
0.00%:  T-Rex punches oil
0.00%:  T-Rex is at a cool house
0.00%:  T-Rex on his cou
0.00%:  T-Rex steps on a nun
0.00%:  T-Rex comes to his ep
0.00%:  T-Rex has too much onions
0.00%:  T-Rex has too much onions on
0.00%:  the T-Rex house, sun (
0.00%:  T-Rex, sa
0.00%:  T-Rex comes to, un
0.00%:  T-Rex cannot sleep o
0.00%:  T-Rex has to imp
0.00%:  T-Rex has to punch no
0.00%:  T-Rex has to punch no one
0.00%:  T-Rex as a hunch
0.00%:  T-Rex, up to some no
0.00%:  the T-Rex has compose
0.00%:  T-Rex pins the sun
0.00%:  T-Rex on a plane soon
0.00%:  T-Rex punches the sun (on
0.00%:  T-Rex spies on the cl
0.00%:  T-Rex chooses late
0.00%:  -multip
0.00%:  T-Rex punches a hole in to a
0.00%:  the T-Rex has, upon a
0.00%:  T-Rex punches the sun, on a
0.00%:  T-Rex lit up!
0.00%:  T-Rex, peace on
0.00%:  T-Rex has no clue, as he
0.00%:  T-Rex loses not much
0.00%:  T-Rex, mouth open as he
0.00%:  T-Rex has put some ice
0.00%:  T-Rex, the cap
0.00%:  T-Rex (punchline): Oh no, nooo
0.00%:  T-Rex punches a hole into an on
0.00%:  T-Rex has a nice, home
0.00%:  T-Rex loses on e
0.00%:  Too
0.00%:  the T-Rex punches lions
0.00%:  T-Rex chumps on a sun
0.00%:  the T-Rex has a clim
0.00%:  T-Rex came upon a sunset!
0.00%:  T-Rex is sleep!
0.00%:  the T-Rex claps on his
0.00%:  T-Rex has come upon a un
0.00%:  T-Rex has his lunch to
0.00%:  T-Rex, to much
0.00%:  T-Rex puts on a ham
0.00%:  T-Rex has put on some cool,
0.00%:  (T-Rex puts his home on
0.00%:  the T-Rex as a house on
0.00%:  the T-Rex ah,
0.00%:  (T-Rex punches the sun!):
0.00%:  T-Rex in sunset, alone!
0.00%:  T-Rex, also un
0.00%:  T-Rex on his phone, on a
0.00%:  T-Rex punches a hole on a moon!
0.00%:  T-Rex as he is,
0.00%:  the T-Rex palm!
0.00%:  T-Rex has come out on a
0.00%:  the T-Rex phones in on
0.00%:  T-Rex plans in such
0.00%:  T-Rex at home, eup
0.00%:  the T-Rex main house
0.00%:  the T-Rex has one sc
0.00%:  T-Rex is cool, as
0.00%:  T-Rex has, as one
0.00%:  T-Rex on a place
0.00%:  T-Rex, the colon
0.00%:  (T-Rex is capt
0.00%:  the T-Rex has no incl
0.00%:  T-Rex has lunch, then opens
0.00%:  T-Rex is a ho
0.00%:  T-Rex has put on his m
0.00%:  T-Rex has um, let
0.00%:  T-Rex has a nice, m
0.00%:  T-Rex is out, alone on
0.00%:  (T-Rex has lost none
0.00%:  T-Rex helps an innocent
0.00%:  T-Rex monocle up his
0.00%:  T-Rex has (a
0.00%:  T-Rex is alone on moon
0.00%:  T-Rex has a chest
0.00%:  (T-Rex in a costume
0.00%:  T-Rex an un
0.00%:  the T-Rex (punchline): no sun
0.00%:  T-Rex is alone! Boo hoo h
0.00%:  the T-Rex special noon
0.00%:  the T-Rex special noon sun
0.00%:  T-Rex punches him too,
0.00%:  T-Rex chooses the,
0.00%:  T-Rex chooses the, um
0.00%:  T-Rex has come upon a 
0.00%:  the T-Rex lesson in ch
0.00%:  T-Rex in a hom
0.00%:  T-Rex alone, spo
0.00%:  T-Rex punches a hot sun
0.00%:  the T-Rex house, a chump
0.00%:  - aspects
0.00%:  T-Rex has some poo in
0.00%:  the T-Rex uses an on
0.00%:  T-Rex puts on some nice l
0.00%:  T-Rex chooses an a
0.00%:  T-Rex, in a plane
0.00%:  T-Rex (punchline): hush
0.00%:  T-Rex punches a tone
0.00%:  T-Rex is not home, as
0.00%:  the T-Rex is a m
0.00%:  T-Rex lies, c
0.00%:  (T-Rex home alone as
0.00%:  T-Rex naps in the sun, alone
0.00%:  the T-Rex is on a close
0.00%:  (t-Rex on a phone
0.00%:  T-Rex nails them,
0.00%:  T-Rex loses hop
0.00%:  T-Rex, shoot!
0.00%:  T-Rex choses one plan!
0.00%:  T-Rex loses an une
0.00%:  T-Rex at home, pals!
0.00%:  T-Rex schools a man on
0.00%:  T-Rex meets a sal
0.00%:  the T-Rex pun as
0.00%:  T-Rex the lone sun
0.00%:  T-Rex has an uh,
0.00%:  T-Rex has to some
0.00%:  the T-Rex house claim
0.00%:  the T-Rex, no pun
0.00%:  T-Rex at home un
0.00%:  T-Rex (punchline): man! he
0.00%:  the T-Rex pun on his name
0.00%:  T-Rex (punchline): so non
0.00%:  T-Rex (punchline): has the sun
0.00%:  T-Rex punches the mail!
0.00%:  (T-Rex punches on the sun
0.00%:  the T-Rex has unl
0.00%:  T-Rex is alone, cu
0.00%:  the T-Rex meals his
0.00%:  T-Rex hopes he at
0.00%:  T-Rex is much too hope
0.00%:  T-Rex, alone on a sp
0.00%:  (T-Rex homes, alone
0.00%:  T-Rex phones me on
0.00%:  T-Rex sent us a
0.00%:  T-Rex punches the soil
0.00%:  T-Rex on up to
0.00%:  T-Rex on up to some
0.00%:  T-Rex up close as
0.00%:  T-Rex helps the su
0.00%:  the T-Rex sails on an
0.00%:  T-Rex (punchline): oh man, nooooo
0.00%:  T-Rex came upon this house!
0.00%:  T-Rex places a shout
0.00%:  a thou
0.00%:  T-Rex has one point!
0.00%:  the T-Rex cannon phones
0.00%:  T-Rex is phone!
0.00%:  T-Rex is on the plan
0.00%:  T-Rex is alone, cheap
0.00%:  T-Rex has an honest couple
0.00%:  T-Rex sums up in one
0.00%:  T-Rex is so calm he
0.00%:  T-Rex meets a cousin!
0.00%:  T-Rex is not asleep!
0.00%:  T-Rex chases in
0.00%:  the T-Rex house (in a
0.00%:  T-Rex counts his m
0.00%:  T-Rex loses a ham
0.00%:  T-Rex punches moon out
0.00%:  T-Rex is at home, sal
0.00%:  T-Rex is on a plane, co
0.00%:  T-Rex is home alone scoop
0.00%:  T-Rex has one toe on
0.00%:  the T-Rex plans on, um
0.00%:  T-Rex punches an an
0.00%:  T-Rex is spent, alone
0.00%:  T-Rex is uncool on
0.00%:  T-Rex in a sunset punch
0.00%:  T-Rex has some pie,
0.00%:  T-Rex on no sleep
0.00%:  the T-Rex has a pon
0.00%:  T-Rex the unl
0.00%:  (T-Rex home alone, cuss
0.00%:  the T-Rex puns as
0.00%:  T-Rex on a plane, he
0.00%:  T-Rex is on the phone (no
0.00%:  T-Rex punches a sou
0.00%:  T-Rex insults a man,
0.00%:  T-Rex (punchline): house!
0.00%:  T-Rex eats spam
0.00%:  T-Rex on the phone, a com
0.00%:  T-Rex, as seen in a
0.00%:  T-Rex, as seen in a photo
0.00%:  T-Rex in the house, on
0.00%:  the T-Rex has soc
0.00%:  T-Rex actions up!
0.00%:  T-Rex put on some ch
0.00%:  T-Rex loses cou
0.00%:  T-Rex has a comes upon
0.00%:  T-Rex seems to cho
0.00%:  T-Rex (punchline): south
0.00%:  T-Rex phones in some un
0.00%:  the T-Rex on his house
0.00%:  - hate
0.00%:  T-Rex not so much poison
0.00%:  T-Rex has the space
0.00%:  (the sun has come up, h
0.00%:  -ane
0.00%:  the T-Rex loses a hum
0.00%:  the T-Rex plans use
0.00%:  T-Rex is those
0.00%:  (T-Rex not in
0.00%:  (T-Rex not in panel
0.00%:  T-Rex as a sp
0.00%:  T-Rex has not punch
0.00%:  T-Rex on an ep
0.00%:  T-Rex, as a complete
0.00%:  T-Rex chats up a l
0.00%:  T-Rex chats up a lone
0.00%:  T-Rex in costume, pos
0.00%:  the T-Rex uses a coin
0.00%:  the T-Rex cannon moon
0.00%:  the T-Rex clips on a
0.00%:  T-Rex has to punch a someone
0.00%:  T-Rex claps on the sun,
0.00%:  T-Rex is home the sun
0.00%:  T-Rex has a lunch time
0.00%:  T-Rex has to phone one
0.00%:  T-Rex, ast
0.00%:  T-Rex has upset no one,
0.00%:  T-Rex on his last,
0.00%:  the T-Rex come!
0.00%:  T-Rex loses man
0.00%:  T-Rex consumes an onion,
0.00%:  T-Rex has to choose a pun
0.00%:  T-Rex (punchline): an ass
0.00%:  T-Rex hates phone
0.00%:  T-Rex has put on sm
0.00%:  a ta
0.00%:  T-Rex is pu
0.00%:  T-Rex is soon on a plane!
0.00%:  T-Rex is at a school!
0.00%:  T-Rex is on the ocean, pun
0.00%:  T-Rex is not com
0.00%:  T-Rex (punchline): uses a
0.00%:  T-Rex touches a mouse!
0.00%:  T-Rex uses too much nap
0.00%:  T-Rex stomps on hou
0.00%:  the T-Rex house in a non
0.00%:  T-Rex naps, thus
0.00%:  T-Rex has an it
0.00%:  T-Rex has an itch on
0.00%:  T-Rex phones a con
0.00%:  T-Rex is on couples
0.00%:  the T-Rex homes on an
0.00%:  the T-Rex cool pun
0.00%:  the T-Rex!com phone
0.00%:  the T-Rex moon special!
0.00%:  T-Rex in the pul
0.00%:  OR act
0.00%:  T-Rex consumes a planet,
0.00%:  T-Rex uses a phone, much
0.00%:  T-Rex on a plane home, not
0.00%:  T-Rex stomps on ocean!
0.00%:  T-Rex puts his none
0.00%:  T-Rex comes out, in
0.00%:  the T-Rex some up
0.00%:  T-Rex cuts open a lemon!
0.00%:  the T-Rex clams up as
0.00%:  T-Rex punches an anim
0.00%:  the T-Rex panel, as
0.00%:  T-Rex homes in on the cou
0.00%:  T-Rex, one panel
0.00%:  -exists
0.00%:  T-Rex is on a pole
0.00%:  T-Rex is on a pole!
0.00%:  T-Rex hits B
0.00%:  T-Rex cuts up!
0.00%:  (T-Rex, so much
0.00%:  T-Rex meets his co
0.00%:  T-Rex (punchline): oh man, not
0.00%:  the T-Rex hopes his lunch
0.00%:  the T-Rex, hon
0.00%:  T-Rex punches a hole, thus
0.00%:  T-Rex notices up on
0.00%:  (T-Rex, in sun
0.00%:  (T-Rex homes on the
0.00%:  T-Rex places an ins
0.00%:  T-Rex choses to help
0.00%:  (T-Rex alone on the sun
0.00%:  T-Rex has some plant
0.00%:  T-Rex is alone on a s
0.00%:  the T-Rex couple is hon
0.00%:  T-Rex uncles his
0.00%:  T-Rex us on the moon, punch
0.00%:  a sunset! T-Rex cool
0.00%:  T-Rex has nine months
0.00%:  T-Rex also punches out one
0.00%:  T-Rex alone on his mount
0.00%:  the T-Rex haul,
0.00%:  T-Rex has capt
0.00%:  T-Rex in a hot pool!
0.00%:  T-Rex at home, each
0.00%:  T-Rex is on the phone, lo
0.00%:  T-Rex in a cannon
0.00%:  T-Rex stomps on an al
0.00%:  T-Rex, the monocle!
0.00%:  T-Rex has lunch at Bo
0.00%:  the T-Rex school opens!
0.00%:  T-Rex eats chops
0.00%:  T-Rex comes out in sun
0.00%:  the T-Rex has sol
0.00%:  T-Rex puts his O
0.00%:  T-Rex steps on an O
0.00%:  (T-Rex lines up on
0.00%:  the T-Rex is home B
0.00%:  the T-Rex is a chump, no
0.00%:  the T-Rex has, on a
0.00%:  T-Rex sees an 
0.00%:  T-Rex chats up an us
0.00%:  T-Rex consumes the a
0.00%:  the T-Rex has no lunch, no
0.00%:  T-Rex is up late ch
0.00%:  T-Rex on a plane, in the
0.00%:  the T-Rex clone imp
0.00%:  (T-Rex is on the ocean,
0.00%:  the T-Rex, clean sh
0.00%:  T-Rex punches the moon, a la
0.00%:  (T-Rex has no social
0.00%:  the T-Rex is mal
0.00%:  the T-Rex lines up sun
0.00%:  T-Rex has phone t
0.00%:  T-Rex not so much on a
0.00%:  the T-Rex has a soul!
0.00%:  T-Rex hops on a t
0.00%:  T-Rex chooses to line up a
0.00%:  the T-Rex shape has
0.00%:  T-Rex has lunch on his pat
0.00%:  T-Rex is so at peace,
0.00%:  T-Rex punches men!
0.00%:  T-Rex (punchline): Oh man, hot
0.00%:  T-Rex punches holes in h
0.00%:  T-Rex has mist
0.00%:  T-Rex has lunch he
0.00%:  the T-Rex clone h
0.00%:  the T-Rex console a
0.00%:  T-Rex homes in on a cheap
0.00%:  T-Rex is on the phone soon!
0.00%:  T-Rex has the lunch he
0.00%:  T-Rex is sel
0.00%:  (punchline, T-Rex su
0.00%:  T-Rex chats up someone un
0.00%:  T-Rex at a school house
0.00%:  T-Rex has chosen to an
0.00%:  T-Rex, a lot
0.00%:  a sunset, a cel
0.00%:  T-Rex cautious
0.00%:  -sets
0.00%:  T-Rex is so late, he can
0.00%:  T-Rex insults non
0.00%:  (T-Rex punches a mon
0.00%:  the T-Rex home nap
0.00%:  T-Rex uses an ac
0.00%:  T-Rex (punchline): Oh, oh man
0.00%:  T-Rex has so much upon
0.00%:  the T-Rex panel is so
0.00%:  - meals
0.00%:  T-Rex notes he can
0.00%:  T-Rex has lunch no
0.00%:  the T-Rex comes, on
0.00%:  T-Rex has put a lemon
0.00%:  T-Rex at his house, once
0.00%:  T-Rex not on sun
0.00%:  T-Rex has to close one
0.00%:  T-Rex alone on the moon, un
0.00%:  the T-Rex house, on his 
0.00%:  the T-Rex plan, chosen
0.00%:  T-Rex is alone at home, sup
0.00%:  T-Rex (punchline): oh no! the
0.00%:  T-Rex (punchline): oh no! the sun
0.00%:  the T-Rex (punchline): oh nooo,
0.00%:  (punchline, T-Rex on a mount
0.00%:  T-Rex is on the place
0.00%:  T-Rex chooses to nap on
0.00%:  T-Rex is cut open!
0.00%:  T-Rex choses an un
0.00%:  T-Rex, his non
0.00%:  -tol
0.00%:  T-Rex steps in one
0.00%:  T-Rex home alone, oh
0.00%:  T-Rex chooses a plan, the
0.00%:  T-Rex, no less than 
0.00%:  T-Rex close to his
0.00%:  the T-Rex has come, in
0.00%:  -email
0.00%:  T-Rex in the pool, home
0.00%:  the T-Rex name is a
0.00%:  T-Rex plans to sinc
0.00%:  T-Rex is on the moon, sno
0.00%:  T-Rex has a lon
0.00%:  T-Rex has eaten so much o
0.00%:  T-Rex, (a
0.00%:  (T-Rex is us
0.00%:  T-Rex is cool on sun
0.00%:  T-Rex in each
0.00%:  T-Rex in each panel
0.00%:  (punchline, T-Rex has sent
0.00%:  T-Rex, upon esc
0.00%:  (T-Rex sips
0.00%:  T-Rex up on mountain!
0.00%:  the T-Rex house on a map
0.00%:  T-Rex punches men in
0.00%:  T-Rex (punchline): oooooh man
0.00%:  T-Rex punches out his ham
0.00%:  T-Rex has too much O
0.00%:  the T-Rex home is al
0.00%:  T-Rex has not, as he
0.00%:  the T-Rex, up on a sun
0.00%:  the T-Rex couple! (no
0.00%:  (T-Rex chats up an
0.00%:  T-Rex comes on in the sun
0.00%:  T-Rex phones the lo
0.00%:  T-Rex is at home no
0.00%:  the T-Rex is as alone
0.00%:  (T-Rex has not pun
0.00%:  T-Rex chops out a
0.00%:  T-Rex, the sun comes up on
0.00%:  the T-Rex homes, a
0.00%:  (T-Rex pat
0.00%:  T-Rex is at home, no plans!
0.00%:  the T-Rex houses up a
0.00%:  T-Rex pals on a
0.00%:  T-Rex has a home sun
0.00%:  T-Rex has put in no
0.00%:  T-Rex is not much one
0.00%:  the T-Rex (punchline): huh!
0.00%:  T-Rex the man on
0.00%:  T-Rex comes up on a house!
0.00%:  T-Rex comes out as one
0.00%:  T-Rex (punchline): no, the sun
0.00%:  T-Rex is alone, hatch
0.00%:  the T-Rex monocle hon
0.00%:  T-Rex at home cl
0.00%:  T-Rex, a sal
0.00%:  (punchline, as T-Rex she
0.00%:  the T-Rex can phone
0.00%:  (T-Rex punches out as
0.00%:  the T-Rex as social
0.00%:  the T-Rex map is
0.00%:  T-Rex (punchline): Oh huh,
0.00%:  T-Rex, on a hunt
0.00%:  T-Rex opens a house on
0.00%:  T-Rex shoots, he
0.00%:  T-Rex is alone, up a
0.00%:  T-Rex, home alone at his
0.00%:  T-Rex is cool as a
0.00%:  (punchline, the sun hasn
0.00%:  T-Rex has plants,
0.00%:  T-Rex opens his home, to
0.00%:  (T-Rex homes in on an uns
0.00%:  T-Rex loses emotion
0.00%:  T-Rex comes up a list
0.00%:  T-Rex is put on much
0.00%:  T-Rex is the much
0.00%:  T-Rex is on the un
0.00%:  T-Rex acts on,
0.00%:  (t-Rex cl
0.00%:  T-Rex holes up at his home!
0.00%:  the T-Rex spies a man on
0.00%:  T-Rex is the usual
0.00%:  (T-Rex on the console
0.00%:  T-Rex is up ch
0.00%:  T-Rex, much less an
0.00%:  T-Rex chooses to e
0.00%:  T-Rex (punchline): Oh, on
0.00%:  T-Rex is alone moon
0.00%:  T-Rex the su
0.00%:  T-Rex is oh so much
0.00%:  T-Rex is up sun
0.00%:  T-Rex on his stomach, up
0.00%:  T-Rex can see it!
0.00%:  T-Rex phones the on
0.00%:  T-Rex as cool as he
0.00%:  the T-Rex has a punch line,
0.00%:  T-Rex can in no
0.00%:  T-Rex has to punch one house,
0.00%:  T-Rex chooses plan B, a
0.00%:  the T-Rex choose!
0.00%:  (punchline, to T-Rex):
0.00%:  T-Rex loses him phone!
0.00%:  the T-Rex has no, um
0.00%:  T-Rex helps the human
0.00%:  (T-Rex much too
0.00%:  the T-Rex has come upon in
0.00%:  T-Rex almost punches an o
0.00%:  T-Rex chooses panel B
0.00%:  T-Rex has so much t
0.00%:  (T-Rex sees a photo
0.00%:  T-Rex punches a house! (not
0.00%:  T-Rex has no come up
0.00%:  T-Rex at his home, p
0.00%:  at mile
0.00%:  T-Rex punches emotion!
0.00%:  T-Rex (punchline): ooh! a
0.00%:  T-Rex (punchline): ooh! a sun
0.00%:  the T-Rex house, in a punch
0.00%:  T-Rex holes up in one
0.00%:  T-Rex puts his chum
0.00%:  T-Rex uses the chain
0.00%:  T-Rex punches a seat
0.00%:  T-Rex punches him, the
0.00%:  T-Rex punches him, the sun
0.00%:  T-Rex has the soap
0.00%:  T-Rex has so much out
0.00%:  (T-Rex touches his phone):
0.00%:  the T-Rex houses a B
0.00%:  T-Rex is the moon
0.00%:  T-Rex up on a ch
0.00%:  T-Rex punches no holes!
0.00%:  the T-Rex house huh
0.00%:  T-Rex has hit up some
0.00%:  T-Rex spins on the moon
0.00%:  T-Rex at home, puch
0.00%:  T-Rex is so on!
0.00%:  the T-Rex annals!
0.00%:  T-Rex at home, ass
0.00%:  T-Rex eats his p
0.00%:  T-Rex on a mot
0.00%:  the T-Rex one punch,
0.00%:  the T-Rex (punchline): son
0.00%:  the T-Rex is one up!
0.00%:  T-Rex chumps out on his non
0.00%:  T-Rex, on his l
0.00%:  T-Rex is a chump on
0.00%:  T-Rex touches his phone, an
0.00%:  T-Rex has to punch someone non
0.00%:  T-Rex (punchline): Oh ho ho, am
0.00%:  T-Rex phones the chim
0.00%:  T-Rex (punchline): oh no oh no o
0.00%:  (punchline, T-Rex at a
0.00%:  T-Rex punches his O
0.00%:  T-Rex puts on some colon
0.00%:  the T-Rex plans on som
0.00%:  T-Rex pushes an une
0.00%:  T-Rex loses men
0.00%:  the T-Rex home is up
0.00%:  (T-Rex ties up
0.00%:  (T-Rex ties up loose
0.00%:  T-Rex loses out on phone
0.00%:  T-Rex comes to lo
0.00%:  the T-Rex is alone, ho
0.00%:  T-Rex is a complete B
0.00%:  T-Rex (punchline): sunset, oh
0.00%:  T-Rex sits home alone, non
0.00%:  - temple
0.00%:  T-Rex, a sunset ph
0.00%:  T-Rex (punchline): haha, so
0.00%:  T-Rex has one uns
0.00%:  T-Rex names his aut
0.00%:  T-Rex phones in the school
0.00%:  (the sun has come up, lo
0.00%:  T-Rex is asleep on a com
0.00%:  T-Rex naps on the cou
0.00%:  T-Rex is too much on one
0.00%:  T-Rex has chosen the B
0.00%:  T-Rex has an uncouth,
0.00%:  T-Rex has one nice,
0.00%:  T-Rex punches a the
0.00%:  T-Rex punches a the sun
0.00%:  T-Rex is at home, on one
0.00%:  T-Rex (punchline): num
0.00%:  the T-Rex lies on a com
0.00%:  T-Rex punches out a lone,
0.00%:  the T-Rex house, on calm
0.00%:  T-Rex phones out his lunch
0.00%:  the T-Rex house! a m
0.00%:  T-Rex phones home to school
0.00%:  T-Rex plans his (
0.00%:  T-Rex puts on each
0.00%:  T-Rex pals no
0.00%:  the T-Rex (punchline): man!
0.00%:  the T-Rex one plus
0.00%:  T-Rex is home co
0.00%:  T-Rex comes upon this alone,
0.00%:  T-Rex has one polite
0.00%:  T-Rex spies cl
0.00%:  the T-Rex spies on,
0.00%:  T-Rex posts a con
0.00%:  T-Rex slips on no
0.00%:  T-Rex has eaten school
0.00%:  the T-Rex punchline a
0.00%:  the T-Rex pen has
0.00%:  T-Rex, once a month
0.00%:  T-Rex punches a soul,
0.00%:  a lets
0.00%:  the T-Rex house in con
0.00%:  T-Rex moons the couple (
0.00%:  T-Rex slips on the unc
0.00%:  the T-Rex pun sc
0.00%:  T-Rex haps
0.00%:  T-Rex haps on
0.00%:  T-Rex has the a
0.00%:  T-Rex slips on (
0.00%:  T-Rex has a pie
0.00%:  T-Rex (punchline): mount
0.00%:  the T-Rex has, on some
0.00%:  T-Rex (punchline): noooo not
0.00%:  T-Rex is such a tool,
0.00%:  the T-Rex, once a man
0.00%:  T-Rex plans to so
0.00%:  the T-Rex couple moon!
0.00%:  T-Rex puts on his moh
0.00%:  T-Rex has put on a cone
0.00%:  T-Rex is alone! Boo!
0.00%:  T-Rex punches this,
0.00%:  the T-Rex consumes poo,
0.00%:  T-Rex has such hope
0.00%:  T-Rex puts on some nice, non
0.00%:  T-Rex has no nice
0.00%:  T-Rex acts on a sp
0.00%:  T-Rex has since up
0.00%:  T-Rex has no pals,
0.00%:  T-Rex shoots inc
0.00%:  T-Rex punches one mo
0.00%:  T-Rex chooses to email
0.00%:  T-Rex, is such
0.00%:  T-Rex has ic
0.00%:  T-Rex (punchline): oooooh, sun
0.00%:  T-Rex lies, as he
0.00%:  T-Rex (punchline): oh man he
0.00%:  T-Rex (punchline): heh!
0.00%:  the T-Rex lunch mop
0.00%:  T-Rex punches in on an
0.00%:  the T-Rex, hal
0.00%:  T-Rex is one soul
0.00%:  T-Rex plants some he
0.00%:  T-Rex monocles one
0.00%:  the T-Rex has polio
0.00%:  T-Rex punches in holes
0.00%:  T-Rex consumes, in one
0.00%:  the T-Rex moon space
0.00%:  the T-Rex oops canon
0.00%:  (punchline, the one on
0.00%:  (T-Rex uses no
0.00%:  the T-Rex house, on a lunch
0.00%:  T-Rex has no po
0.00%:  T-Rex chooses no plan,
0.00%:  T-Rex has a stolen phone!
0.00%:  T-Rex has come upon an O
0.00%:  T-Rex has his phone out, alone
0.00%:  T-Rex has someone to punch on
0.00%:  T-Rex on the phone, on a cl
0.00%:  (T-Rex eats ch
0.00%:  T-Rex is also an
0.00%:  T-Rex punches a health
0.00%:  (T-Rex has st
0.00%:  (T-Rex has stoop
0.00%:  T-Rex chooses a path no
0.00%:  T-Rex chooses a path no one
0.00%:  T-Rex comes upon his lou
0.00%:  at sl
0.00%:  T-Rex slaps the moon on
0.00%:  (T-Rex at home, sne
0.00%:  T-Rex has put on a clum
0.00%:  T-Rex has use the
0.00%:  T-Rex put on his cl
0.00%:  T-Rex is alone, sum
0.00%:  T-Rex punches holes in m
0.00%:  T-Rex has in the
0.00%:  T-Rex at home alone, ph
0.00%:  the T-Rex house a m
0.00%:  the T-Rex pie
0.00%:  T-Rex homes in on a che
0.00%:  T-Rex chooses an apt
0.00%:  T-Rex punches out so he
0.00%:  T-Rex chases, then
0.00%:  T-Rex is (a
0.00%:  T-Rex, a man close
0.00%:  T-Rex stomps on a canon!
0.00%:  T-Rex punches onion
0.00%:  T-Rex plans his unt
0.00%:  T-Rex (punchline): Oh man noooo!
0.00%:  T-Rex is on the map
0.00%:  the T-Rex ass,
0.00%:  T-Rex puts chum
0.00%:  T-Rex us on the sun
0.00%:  T-Rex so c
0.00%:  T-Rex is home, pen
0.00%:  T-Rex acts on his hope
0.00%:  the T-Rex pun! (
0.00%:  (T-Rex puts on his home
0.00%:  the T-Rex house has no can
0.00%:  the T-Rex compose on
0.00%:  T-Rex holes up at home, sun
0.00%:  T-Rex is on the sl
0.00%:  T-Rex came out al
0.00%:  T-Rex is home alone, ach
0.00%:  T-Rex alone, each
0.00%:  the T-Rex comes, upon
0.00%:  T-Rex punches a noise!
0.00%:  the T-Rex comes upon, on
0.00%:  T-Rex is los
0.00%:  the T-Rex monocle pin!
0.00%:  T-Rex comes up (
0.00%:  T-Rex, as he sl
0.00%:  T-Rex has lunch, sm
0.00%:  T-Rex has a penis!
0.00%:  (T-Rex on phones
0.00%:  (T-Rex is not as
0.00%:  the T-Rex minus one sun
0.00%:  T-Rex, up to his same
0.00%:  T-Rex opens a mental
0.00%:  T-Rex spies on home
0.00%:  the T-Rex none has
0.00%:  the T-Rex house has an 
0.00%:  T-Rex loses c
0.00%:  T-Rex sits upon a l
0.00%:  T-Rex punches a man, ut
0.00%:  T-Rex homes in on couple
0.00%:  T-Rex has stolen an ice
0.00%:  (T-Rex home on a
0.00%:  (T-Rex home on a school
0.00%:  the T-Rex shoes up, much
0.00%:  T-Rex, close to his
0.00%:  T-Rex, a lone sun
0.00%:  a sunset on an open cl
0.00%:  T-Rex, alone on mountain
0.00%:  T-Rex chooses a lie!
0.00%:  the T-Rex poison!
0.00%:  T-Rex has lunch, sn
0.00%:  the T-Rex house, on sh
0.00%:  T-Rex punches a hole in math
0.00%:  T-Rex, the uncool
0.00%:  T-Rex in the school!
0.00%:  T-Rex sees point
0.00%:  T-Rex puts on cal
0.00%:  the T-Rex has a consum
0.00%:  T-Rex cuts up someone on
0.00%:  T-Rex is on once
0.00%:  (T-Rex shoots up
0.00%:  T-Rex lines up to cash
0.00%:  T-Rex hops on school
0.00%:  T-Rex has a poo,
0.00%:  T-Rex has a poo, then
0.00%:  T-Rex to pals!
0.00%:  T-Rex smooches a lot
0.00%:  -mate
0.00%:  T-Rex cuts his palm,
0.00%:  -oct
0.00%:  T-Rex punches (in
0.00%:  the T-Rex as a p
0.00%:  the T-Rex punch in
0.00%:  T-Rex meets us up
0.00%:  T-Rex chooses to help in
0.00%:  T-Rex (punchline): smooth!
0.00%:  T-Rex in a plot
0.00%:  the T-Rex has a pul
0.00%:  T-Rex has so much unt
0.00%:  T-Rex has no one to phone
0.00%:  T-Rex is someone!
0.00%:  T-Rex, as some
0.00%:  T-Rex leaps B
0.00%:  T-Rex is home su
0.00%:  T-Rex alone, pic
