spend another decade making it so it can say other stuff too, okay?
41.67%:  go
0.67%:  keep doing this for ten
0.66%:  go make out on the roof
0.66%:  go take him out for a spin and ask
0.66%:  see you do that, frig
0.66%:  spend another ten years doing that, if
0.66%:  see if you can top that, idiot
0.66%:  send him to another star
0.66%:  update him to say another
0.66%:  not spend another four
0.66%:  go for a space
0.66%:  see if you can get him
2.31%:  see if you can get him to stop
0.84%:  see if you can get him to do
0.66%:  see if you can think of a good reason
0.66%:  spend another decade making his skin
0.99%:  spend another decade making his skin out
0.66%:  go to the park to see
0.66%:  send him into space on a rocket to another
0.66%:  fight a
0.66%:  go to the park and feed it candy
0.66%:  not spend so
1.80%:  not spend so much of
0.77%:  not spend so much effort
0.66%:  go find another friend to take
0.66%:  spend another ten years kick
0.66%:  spend another decade taking care of this,
0.66%:  do this for
11.07%:  do this for another decade
18.58%:  do this for another decade, okay
8.39%:  do this for another ten
1.02%:  do this for another decade, my
0.66%:  get some coffee, okay
0.66%:  set him on fire and take
0.66%:  make a friend that says another
0.66%:  not spend another decade making this fucker say
0.66%:  see you top that in
0.66%:  not spend our time doing
1.16%:  not spend our time doing that,
0.66%:  take him out to party
0.66%:  get out there and kick some ass in
0.66%:  send him to outer space to kick
0.66%:  get out there and kick ass today
0.66%:  go take him to an arcade to see
0.66%:  not spend another decade making this sucker,
0.66%:  take it apart and make another one, using the
0.66%:  spend another decade trying to make that not
0.83%:  spend another decade trying to make that not suck
0.66%:  go inside him for a second and see
0.66%:  take him for a test spin today, and
0.66%:  turn it off and go make another one that says,
0.66%:  team
10.00%:  team up and fight
3.71%:  team up and take
2.72%:  team up and defeat
2.04%:  team up and defeat the
1.58%:  team up and take on
1.48%:  team up and take on the forces
1.06%:  team up and fight another
0.91%:  team up and kick
0.90%:  team up and take this
0.88%:  team up and create
2.35%:  team up and create another
1.39%:  team up and create another one
0.88%:  team up to
2.25%:  team up to fight
1.48%:  team up to defeat
0.86%:  team up and kick his
0.82%:  team up and create another one,
0.82%:  team up and go
0.78%:  team up and teach
0.76%:  team up and fight a
0.66%:  get him out and take
0.66%:  take him out for a spin and go see
0.66%:  get out there and make it say
0.66%:  make sure he says another
0.66%:  start using him as
0.66%:  go out and see him,
1.49%:  go out and see him, okay
0.66%:  take him apart and go
0.66%:  go fuck some
1.40%:  go fuck some shit
0.66%:  go take him for a spin and test
0.86%:  go take him for a spin and test out
0.66%:  take this out for another test
0.66%:  go finish
0.66%:  not spend another day on that sucker,
0.66%:  take him for a test spin today, dude
0.66%:  take that for data
1.48%:  take that for data points
0.66%:  take him out for a spin today, do
0.66%:  stop saying our
0.66%:  stick around and see if he stops doing
0.66%:  go on another date and make
0.66%:  see if you can think of some
0.66%:  keep doing this, you
0.65%:  take that guy
3.82%:  take that guy for a spin,
1.12%:  take that guy for a test
0.65%:  not spend more of
0.65%:  take it out for a spin and get some food
0.65%:  hang out today to
0.65%:  take turns saying that,
0.65%:  make sure it says that a
0.65%:  go on a space
0.65%:  go inside,
0.65%:  get outta
1.50%:  get outta here and
0.65%:  go inside and take another
0.65%:  spend another decade trying to make a
0.65%:  stop trying to make sense out
1.77%:  stop trying to make sense out of this
1.92%:  stop trying to make sense out of this,
1.60%:  stop trying to make sense out of this and
0.65%:  turn him off and go on
1.11%:  turn him off and go on a date,
2.95%:  turn him off and go on a date, okay
0.65%:  go kick some ass, dudes
0.65%:  get this dude some
0.65%:  go pick
0.65%:  go take him out to dinner and see a
0.65%:  send him into space to do stuff,
2.17%:  send him into space to do stuff, okay
0.65%:  take the parts out and make another one today
0.65%:  make sure he takes
0.65%:  get out of this room and do
0.65%:  take him for a spin once
0.65%:  take him out for a spin, and decide
0.65%:  go kick the crap out of some sense in
0.65%:  go take him out for tea and toast
0.65%:  not go
0.76%:  not go around
0.65%:  send him out to attack a city
0.65%:  go out to the
0.65%:  go see if it
0.65%:  focus on making this friend
0.65%:  put him inside of
1.70%:  put him inside of another
0.65%:  use him to kick
0.65%:  send him into space, to see
0.65%:  go kick some trees
0.65%:  make it stop saying that for a second, to
0.65%:  go mess around in its
0.65%:  kiss and make out so
0.99%:  kiss and make out so that
0.98%:  kiss and make out so he can say it to
0.65%:  focus on the friend
0.65%:  not argue
0.65%:  see if you can make that not
0.65%:  take him out for a test spin?
0.65%:  get him coffee
0.65%:  spend another decade making this into
0.65%:  go inside his torso and put
0.77%:  go inside his torso and put some
0.65%:  go turn him into
0.65%:  say that counts as a good time spent?
0.65%:  send him to outer space, say
0.65%:  press him into
0.65%:  spend another day
1.36%:  spend another day making
1.02%:  spend another day making sure
1.24%:  spend another day making sure that
0.65%:  not forget to pay him
0.65%:  go find another friend to spend time
0.65%:  go to the park and dance
0.65%:  take that for a test spin,
1.09%:  take that for a test spin, okay
0.65%:  see if you can top that?
0.65%:  go in there and kick
0.65%:  keep doing this for another one and
0.65%:  go take him out for a date, okay
0.65%:  agree to keep that
0.65%:  take it out for another spin, and this
0.65%:  go into the past and make another one, okay
0.65%:  go take him for a spin and feed
0.65%:  take him out for a spin and get snacks
0.64%:  spend another decade taking him out for cake
0.64%:  take it out for a spin, say?
0.64%:  put it on
0.64%:  spend another ten years making that so
0.64%:  go update
1.00%:  go update him
0.64%:  find out if he can stop
1.96%:  find out if he can stop saying
0.64%:  make it stop saying that for a second, if
0.64%:  kiss and make out and stop
0.64%:  make that into a poster
0.64%:  hang out today, friend of
0.64%:  take him out and say
0.64%:  not spend another decade on a
0.64%:  make this friend
0.64%:  go into the forest and see
0.64%:  send him out to find another friend so
0.64%:  go to the store and spend
0.64%:  keep doing this, and
0.64%:  go on another date and see if that makes
0.64%:  go see if our
0.64%:  spend another decade making sure of this
0.64%:  go out and see if he can kick
1.12%:  go out and see if he can kick some
0.82%:  go out and see if he can kick some ass today
0.64%:  go find him, and
0.64%:  hang out more often today
0.64%:  go inside and take him out
6.85%:  go inside and take him out for a test
0.74%:  go inside and take him out for another
1.01%:  go inside and take him out for another test
0.64%:  take a second and admire that
0.64%:  get a drink
0.64%:  use him as
0.64%:  go take it out for a spin, yes
0.64%:  take it out for a spin and get some hot
0.64%:  send him into space to rescue
0.64%:  go see him, and
0.64%:  spend a fourth
0.64%:  turn it off and go do
1.31%:  turn it off and go do some
0.64%:  take him out for cake and soda
0.64%:  go to the arcade and put
1.69%:  go to the arcade and put some
3.10%:  go to the arcade and put some tokens
1.55%:  go to the arcade and put some coins
1.36%:  go to the arcade and put tokens
1.07%:  go to the arcade and put some tokens into
1.00%:  go to the arcade and put tokens into
0.99%:  go to the arcade and put some coins into
0.64%:  send him into space to start
0.64%:  not focus on that,
0.64%:  turn him off and go sit
0.64%:  send him into space to do great
0.64%:  team up to take
0.64%:  spend another ten years making that,
0.64%:  stick around and see if he makes
0.70%:  stick around and see if he makes another
0.64%:  find out if he can kick some
0.64%:  kick that dude in
0.64%:  go touch some faces
0.64%:  make sure it keeps
37.52%:  make sure it keeps saying that,
1.70%:  make sure it keeps saying that, and
0.87%:  make sure it keeps saying that as
0.70%:  make sure it keeps saying this
0.64%:  get drunk and take
1.60%:  get drunk and take him to
0.64%:  see if you can do as good as that, friend
0.64%:  ignore the times
0.64%:  go see it
0.64%:  go make it say another
0.64%:  go find some dudes
0.64%:  go take him for another spin, okay dude
0.64%:  keep on doing this, friend
0.64%:  turn him off and go on another
0.94%:  turn him off and go on another date,
0.64%:  try and make it
0.64%:  spend another ten years adding a
0.64%:  not get that
0.64%:  stay
0.64%:  spend another decade on this, guys
0.64%:  go take him out to eat and drink
0.64%:  take it out for a spin and teach
0.83%:  take it out for a spin and teach it some
0.64%:  keep doing this to
0.64%:  go take him out for cake today
0.64%:  not spend another second of this great time of
0.64%:  spend another decade making sure it can say
0.64%:  take him on another
1.07%:  take him on another date
0.64%:  paint his
1.26%:  paint his face
0.78%:  paint his face red
0.63%:  take it for a test spin, you
1.00%:  take it for a test spin, you and
0.63%:  modify the code
0.63%:  shake our fist at it
0.63%:  not spend another fourth of a decade
1.31%:  not spend another fourth of a decade making
0.63%:  go for a spin, man
0.63%:  each take a turn saying it
0.63%:  take care of him and feed
0.63%:  kick his ass today
0.63%:  spend another decade taking him out for a
0.63%:  take him around today and
0.63%:  try to get him to speak
2.05%:  try to get him to speak another
0.63%:  thank our
0.63%:  spend another decade making each
0.63%:  take him out for a spin today, and if
0.63%:  go mess up his
0.63%:  take him for a spin, and if
0.63%:  take him out and paint
0.63%:  take him on a date, and
0.63%:  ignore his
0.63%:  go inside and spend
0.72%:  go inside and spend another
0.63%:  see you top that, gross man
0.63%:  make out right
0.63%:  not spend another second of the rest of my
0.63%:  take a good
0.77%:  take a good hard
0.63%:  team up and go kick
0.63%:  see you pick another
0.86%:  see you pick another image
1.66%:  see you pick another image that
1.01%:  see you pick another image that doesn
0.85%:  see you pick another image for
0.83%:  see you pick another image for that
0.63%:  dump
0.63%:  use him to defend
0.63%:  not spend another second that
0.63%:  spend another decade making it a
0.63%:  go make out, okay
0.63%:  spend another ten years making it so that it
0.63%:  go ride this
0.63%:  get him to do stuff
0.63%:  make another one for
0.63%:  go punch some rocks
0.63%:  go punch some street
0.63%:  see you make it
0.63%:  go paint some
1.30%:  go paint some houses
0.63%:  take a photo of it for
0.63%:  put some effort into the
0.63%:  make it stop saying that for a second, see
0.63%:  find out if he can say it
0.63%:  go find the
0.63%:  hang out today and pat
0.63%:  kick around some ideas on
0.63%:  go take him out for a spin, so
0.63%:  go make it say another phrase
0.63%:  take him out for tea and toast
0.63%:  make sure he stays in
3.07%:  make sure he stays in good
0.63%:  send him into outer space okay
0.63%:  go take him out for a dance and
0.63%:  not spend another second,
0.70%:  not spend another second, okay
0.63%:  take him out to a fancy dinner,
0.63%:  hang out and feed it
0.63%:  keep it a
16.55%:  keep it a secret that
5.79%:  keep it a secret,
2.11%:  keep it a secret and
1.91%:  keep it a secret that it
0.73%:  keep it a secret so
0.78%:  keep it a secret so that
0.68%:  keep it a secret okay
0.64%:  keep it a secret that it says
0.63%:  spend another ten years doing that too,
0.63%:  make sure that it
0.71%:  make sure that it doesn
0.63%:  send him into space, yes
0.63%:  see if you can top that, d
0.63%:  send him into outer space and get another
0.63%:  hang out and make another
0.62%:  get another friend so he
0.62%:  take it for a spin, yes
0.62%:  take him apart and send
0.62%:  spend another decade trying to make this not
2.81%:  spend another decade trying to make this not suck
1.07%:  spend another decade trying to make this not suck,
0.62%:  make sure not
0.62%:  dance around the
0.62%:  go kick the crap out of my
0.62%:  pet
0.63%:  pet him and
0.62%:  find another friend to make
0.62%:  take him out for a spin to find
0.62%:  make it so that it
0.62%:  find some stairs
0.85%:  find some stairs to push
0.62%:  go see if he can dance
0.62%:  make it say that and
0.62%:  go take it for a spin, eh
0.62%:  not speak of him often
1.10%:  not speak of him often, okay
0.62%:  take him out for a spin, seeing
0.62%:  turn it off and make another one that says,
0.62%:  get another one and make it
0.62%:  take him out for a test spin, and if
0.62%:  modify that to read
0.62%:  go take out some trash, okay
0.62%:  take him out for a soda, and
0.62%:  make out, okay
0.62%:  go for some ice
0.62%:  make it say another thing too and
0.62%:  go feed him today
0.62%:  go inside him and eat potato
0.62%:  press his face into a cake to
0.62%:  take him to a friend
0.62%:  take it out for a spin and find some
0.62%:  go inside him and do stuff,
1.57%:  go inside him and do stuff, okay
0.62%:  take a second to admire it,
1.30%:  take a second to admire it, okay
0.62%:  go kick some ass inside of
0.62%:  go for another spin on
1.04%:  go for another spin on him, okay
0.62%:  keep making his
0.62%:  send him into space okay
0.62%:  take him out in
0.62%:  focus on making it say other
0.62%:  take him out for another dance,
0.62%:  go into the attic and make out
0.62%:  take him out for a spin, no
0.62%:  go take him to a park and see if anyone
0.62%:  see you top that, giant
0.62%:  go take him out to dinner to
0.62%:  take him out for a spin, soon
0.62%:  go kick some ass in the forest
0.62%:  go around
0.77%:  go around and
1.11%:  go around and shake
0.62%:  go to the moon
0.62%:  do this for another decade at
0.62%:  ignore the fact it
0.68%:  ignore the fact it says
0.68%:  ignore the fact it doesn
0.62%:  keep adding to our
0.62%:  make it say another thing too, dude
0.62%:  not take him for
0.62%:  find out if he can kick ass
0.62%:  turn it off and go home and
0.62%:  put it in charge of some
0.62%:  name it
0.62%:  not spend another decade making sure his
0.62%:  make that guy
0.62%:  make out for
0.91%:  make out for a second
0.62%:  kiss and make out and see
1.57%:  kiss and make out and see if that
0.62%:  take him for a spin and say
0.62%:  take him out today and see if
0.62%:  go feed our
0.62%:  go inside his torso and make out, okay
0.62%:  take him out for pie
0.62%:  send him into outer space on
0.62%:  keep on doing that, friend
0.62%:  go dance around him, okay
0.62%:  turn it off and go eat some cake
0.62%:  kick some ass today, friend
0.62%:  not forget to feed him at
0.62%:  ask him to do another dance
0.62%:  take him apart to find
0.62%:  feed it some candy
0.62%:  take out his
0.62%:  raise him up on
0.62%:  take it for a spin and then go to
0.61%:  get out of here and find another spot
0.61%:  go to the store and find another
0.61%:  go inside him for a sec
0.61%:  go take it out for a spin and shoot
0.61%:  hang out today so
0.61%:  go to the park and take a
0.61%:  make sure he does it
0.61%:  kiss and make out, right
0.61%:  meet
0.61%:  go kick some ass and then cry
0.61%:  go to the arcade,
0.61%:  not spend another day making this suck
0.61%:  go spend another decade
0.61%:  turn him off and go into
1.08%:  turn him off and go into another
0.61%:  shake our fists at it and demand
0.61%:  make it our
0.61%:  see if that sounds any more
0.61%:  keep saying that for another decade, if
0.61%:  see if you can top that, steam
0.61%:  take him out for steaks and ice
0.61%:  make it say that a
0.62%:  make it say that a second
0.61%:  modify this
0.61%:  spend another decade making it say that stuff,
0.61%:  make it stop saying that so often and
0.61%:  take turns making
0.61%:  put him on a stage and take
0.61%:  take him out and party,
0.61%:  make it stop saying that, since
0.61%:  send him off into space, dude
0.61%:  take him for a date,
0.75%:  take him for a date, okay
0.61%:  take him out today for
0.61%:  hang out today to make
0.61%:  take a group
0.61%:  take him out for a day,
0.61%:  keep taking him
1.20%:  keep taking him out for ice
0.82%:  keep taking him for
0.64%:  keep taking him out to
0.61%:  focus on making it say that second
0.61%:  see if that gets any
0.73%:  see if that gets any more
0.61%:  take a tour of him,
0.80%:  take a tour of him, okay
0.61%:  try to make it stop
0.61%:  not spend another decade on this guys
0.61%:  kick him a
0.61%:  go take it for a spin, and
0.61%:  go and see him today
0.61%:  team up and go defeat
0.61%:  not spend the rest of today making
0.61%:  try and get him to do another
0.61%:  take care of him so
0.61%:  go see him, friend
0.61%:  run some tests on it
0.61%:  take that for data points,
0.61%:  make sure to keep doing this
0.61%:  take him for a test spin, dudes
0.61%:  keep it a secret that most
0.61%:  make it say another thing too?
0.61%:  say that counts as a good time for
0.61%:  go inside and shake
0.61%:  see you make that into a sad
0.61%:  sit around and think
0.61%:  make sure to say
1.00%:  make sure to say that to
0.61%:  spend another ten years on that, too
0.61%:  go teach it
1.45%:  go teach it to dance
0.66%:  go teach it some
0.61%:  go paint some stuff
0.68%:  go paint some stuff on his
0.61%:  turn it off and get some snacks,
0.61%:  turn him on, and
0.61%:  go out and find some other
0.61%:  take it for a spin today, dude
0.61%:  not speak of it again for many
0.61%:  go inside and make another
0.61%:  go see if he can stack
0.61%:  make another one and put
0.61%:  try and make this
0.61%:  try not
1.09%:  try not to make
0.77%:  try not to damage
0.65%:  try not to think
0.61%:  spend another decade on that, too
0.61%:  stop and
2.13%:  stop and think
2.02%:  stop and think for
15.66%:  stop and think for a minute
10.20%:  stop and think for a second,
24.81%:  stop and think for a second, okay
5.38%:  stop and think for a minute,
14.57%:  stop and think for a minute, okay
3.28%:  stop and think for a second, guys
2.49%:  stop and think for a second if
1.20%:  stop and admire
0.90%:  stop and think for a second, you
0.76%:  stop and admire this
0.70%:  stop and admire that
0.70%:  stop and think for a sec
0.63%:  stop and think for a minute if
0.61%:  go find some other dudes
0.61%:  go take him on a test
0.61%:  take him out for a spin and get a snack
0.61%:  go and see if
0.61%:  go inside and eat
1.59%:  go inside and eat some snacks
1.02%:  go inside and eat some potato
0.64%:  go inside and eat some cake
0.63%:  go inside and eat some toast
0.61%:  make sure it keeps saying that and
0.61%:  make this dude
0.61%:  not spend another day here
0.61%:  take him out for a date today,
0.61%:  sit and
1.07%:  sit and admire
0.96%:  sit and stare
0.77%:  sit and stare at him,
1.62%:  sit and stare at him, okay
0.61%:  make it stop saying that for a second, to see
0.61%:  hang out and test
0.61%:  hang out and spend more
0.61%:  not spend another decade on this suck
0.61%:  go sit on
0.71%:  go sit on him and
0.63%:  go sit on him for
0.65%:  go sit on him for a second
0.61%:  spend another decade making it say that for us
0.61%:  head out and kick
5.54%:  head out and kick some ass
2.85%:  head out and kick some ass,
2.13%:  head out and kick some ass, friend
0.82%:  head out and kick some ass today
0.61%:  try and keep
0.61%:  not spend another decade making that our
0.61%:  take him on dates and
2.28%:  take him on dates and stuff
0.61%:  see if you can top that, grand
0.61%:  try and get him to do stuff
0.61%:  spend another decade taking him on
0.61%:  find out if there
0.61%:  spend another decade or so making that a
0.60%:  go take turns
0.60%:  go kick ass and
0.60%:  send him out to party,
0.60%:  go out and take him to
0.60%:  go inside and take him out for snacks
0.60%:  not spend another second of our time day
0.60%:  not forget to feed him potato
0.60%:  not speak of it again for a decade
0.60%:  take a second to stare at him and
0.60%:  go to the park and see if it
0.60%:  not think too
0.60%:  keep doing that for another, say
0.60%:  go ask him to repeat
0.60%:  take him out for a spin as
0.60%:  go do some stuff in this
0.60%:  take a photo of it and send it to our kids,
0.60%:  paint him orange,
0.93%:  paint him orange, okay
0.60%:  hang out and feed it some
0.60%:  kiss and make out and then get to
0.60%:  turn it off and make another one that does
0.60%:  take him for a test spin, okay dude
0.60%:  take him for a test spin, and if
0.60%:  take him out and feed
0.60%:  use him to stop
0.60%:  spend the rest of today and
0.60%:  take him out for a test spin, say
0.60%:  hang out for another decade and keep
0.60%:  do that for
1.12%:  do that for another
0.70%:  do that for another decade
0.60%:  take it out for another spin today, eh
0.60%:  go kick a
0.60%:  not spend another decade on him, kay
0.60%:  take him out for a spin today, ok
0.60%:  go take him on an
0.60%:  kiss and hug
0.60%:  take a second to ponder the
0.77%:  take a second to ponder the fact
0.60%:  not get rid of him, dude
0.60%:  head into
0.60%:  go find our
0.60%:  send him into deep
0.60%:  go into the past and modify
0.60%:  do it again and make sure
0.60%:  send him off to outer
5.23%:  send him off to outer space and
3.54%:  send him off to outer space to
3.44%:  send him off to outer space,
3.00%:  send him off to outer space, okay
1.10%:  send him off to outer space, and
0.73%:  send him off to outer space and say
0.72%:  send him off to outer space so
0.63%:  send him off to outer space to do
0.60%:  take him out for tests and
0.60%:  go see if there
0.60%:  go take him for a spin, see
0.60%:  send him into space to kick
0.78%:  send him into space to kick around
0.60%:  send him into space on a rocket, guys
0.60%:  touch it and
1.25%:  touch it and see if it sparks
1.09%:  touch it and see if it gets
0.60%:  find out if he can make toast
0.60%:  not make another one of those, kay
0.60%:  send him out to stop a
0.60%:  take it for a spin, guys
0.60%:  go for a spin inside
0.60%:  use that to
0.60%:  send him into space to go
0.60%:  get some chips and fries
0.60%:  go inside and check for
0.60%:  send him out today and
0.60%:  find out if he can dance to
0.60%:  take apart and
0.60%:  take it out for a spin and then come
0.60%:  go for another spin on the
0.60%:  focus on that part of
0.60%:  go make out in the park
0.60%:  press the off
0.60%:  not forget to feed him once
0.60%:  go take him to a party, and see
0.60%:  send him into space and take
0.60%:  send him out to find a
0.60%:  see if you can get past the
0.60%:  go defeat
0.69%:  go defeat some space
0.64%:  go defeat some super
0.60%:  send him out to sea
0.60%:  not push
0.60%:  take him out for a second
0.60%:  go into the past and make it say
0.60%:  focus on the good parts, man
0.59%:  go press
0.86%:  go press some
0.59%:  stop this
0.59%:  take that out for a spin and make
0.59%:  kiss and make out for a second, then
0.59%:  hang out and keep
0.59%:  get another friend, so
0.59%:  send him out for a spin today
0.59%:  go inside him and press
0.59%:  take him out for a nice day
0.59%:  take him for a spin soon
0.59%:  take this out for another spin, my
0.59%:  take that out for a spin and see if it does
0.59%:  go take a peek inside
0.59%:  go take him out for a fancy
0.59%:  go out for nachos and
0.59%:  take it out for a spin, since
0.59%:  spend another decade making sure of that fact
0.59%:  spend another decade making it say that four
0.59%:  take this out for a spin, my good
0.59%:  go party inside of
0.59%:  kick his ass some day
0.59%:  take it out for a spin once
0.59%:  spend some of the
0.59%:  go kick some other dudes
0.59%:  make it stop saying that for a second, k
0.59%:  go out and shoot some space
0.59%:  go out and shake
0.59%:  take him out to a steak
0.63%:  take him out to a steak dinner and
0.59%:  shake it and
0.70%:  shake it and see if it makes
0.59%:  take him out for a spin, in
0.59%:  make sure to say that often
0.59%:  use the
0.59%:  keep doing that for another decade to
0.59%:  go eat some ice
0.59%:  go on some
0.59%:  try to get him out
0.59%:  see if you can get that from
0.59%:  kiss and make out for a second and
0.59%:  keep adding stuff to him, so
0.59%:  take it out for a spin and smash
0.59%:  take him out for a test spin today, and see
0.59%:  think of another image,
0.86%:  think of another image, okay
0.59%:  take him out to dinner?
0.59%:  not spend another second day
0.59%:  take that for another
1.31%:  take that for another spin
0.59%:  agree not
2.23%:  agree not to think
0.59%:  make it stop saying that if
0.59%:  take him out for tests today,
0.59%:  stop trying to make sense of it,
0.59%:  try and get him to do another action
0.59%:  make it so he can say it
0.72%:  make it so he can say it faster
0.59%:  kiss and make out and then do it
0.59%:  go out and dance
0.59%:  keep doing this for another decade, as
0.59%:  press his face into a cake and make
0.59%:  do this again after
1.01%:  do this again after another
1.68%:  do this again after another decade
0.81%:  do this again after another decade,
0.78%:  do this again after another ten
0.68%:  do this again after another decade passes
0.59%:  do this again after another decade passes,
0.59%:  go into the attic and make another
0.59%:  not say
0.88%:  not say that
0.59%:  go find out if he can speak
0.72%:  go find out if he can speak another
0.59%:  get him to say nice
0.59%:  make it so he says it faster and
0.59%:  take it out for a dance
0.59%:  go turn him off and eat
0.59%:  spend another ten years on that dude
0.59%:  turn him off and go do another
0.59%:  go take it out for a spin, then
0.59%:  go take him to a friend
0.59%:  send him on a date
0.59%:  keep on doing this for a
0.59%:  update his code to make it
0.67%:  update his code to make it say
0.59%:  go find out if he can do tricks
0.59%:  take that for a spin, my
0.91%:  take that for a spin, my dude
0.59%:  turn him off and go pet
0.59%:  kick his ass and get some ice
0.59%:  not spend another second out of the
0.59%:  turn him into a giant
0.59%:  take that apart
1.37%:  take that apart and see
0.59%:  dance,
0.66%:  dance, friend
0.59%:  do this again for
0.92%:  do this again for another
0.95%:  do this again for another decade
0.59%:  go turn him off and spend
0.59%:  send him into space, as a gift for
0.59%:  see if you can top that one, gross
0.59%:  turn him on again
0.59%:  go take him out for another soda
0.58%:  spend another ten years adding stuff to him to
0.58%:  take it apart and see if it
0.58%:  use him to defeat another
0.58%:  see if you can pick the
0.58%:  take him out today for a spin,
0.58%:  add another arm and
0.58%:  take him out for a spin and if
0.58%:  defeat
0.58%:  take him out to dinner again
0.58%:  go inside and shoot
0.58%:  see you top that, racist
0.58%:  go take him to a park and see if any
0.58%:  take some photos to
0.58%:  get rid of him and put
0.72%:  get rid of him and put in another
0.58%:  go kick some ass and then eat ice
0.58%:  put another
0.58%:  fight crimes,
0.58%:  spend the rest of today making it dance
0.58%:  keep saying that for another decade, k
0.58%:  spend another ten years doing stuff to it
0.58%:  kiss and make out for a second to
0.58%:  see if you can do that as
0.58%:  take off
1.33%:  take off his pants
0.70%:  take off his pants and make
0.90%:  take off his pants and make out
0.58%:  spend another decade on that, yes
0.58%:  not spend another decade making it faster
0.58%:  get out of there and
0.58%:  team up and get
0.58%:  press his face into a cake to make
0.58%:  spend another decade making his face out of toast
0.58%:  turn him off and go to space,
1.31%:  turn him off and go to space, okay
0.58%:  go to the park and see if it can
0.58%:  go kick the crap out of some titans of
0.58%:  spend another tenth of a decade on
0.58%:  not spend another second day of
0.58%:  go do stuff that
0.80%:  go do stuff that makes
0.58%:  go find out if there
0.58%:  get another friend, so that
0.58%:  keep that secret,
0.58%:  go take him for a spin today?
0.58%:  send him into outer space and say good
0.58%:  shake on it, my
0.58%:  shake on it, my dude
0.58%:  take that for data points, okay
0.58%:  spend another decade taking care of him, k
0.58%:  get drunk and take him to a dance
0.58%:  paint his face green
0.58%:  take a second to admire its
0.58%:  not do this again for another decade, yes
0.58%:  go inside him for a snack
0.58%:  see you find another friend
1.51%:  see you find another friend that
1.27%:  see you find another friend that does
0.68%:  see you find another friend that can
0.83%:  see you find another friend that can top
0.58%:  make it stop saying that so often, dude
0.58%:  go into the forest and make out, okay
0.58%:  go see if this
0.58%:  feed it some cake
0.58%:  go take him for another test spin, you
0.58%:  go check it out and
1.10%:  go check it out and see if it says
0.58%:  go inside and take off our shoes
0.58%:  hang out and press
0.58%:  see you top that, grand
0.58%:  go to the arcade and kick
0.58%:  go to the arcade and kick some
0.85%:  go to the arcade and kick some ass
0.58%:  make it say another thing?
0.58%:  go inside and fuck
0.58%:  take him for a dance,
0.58%:  make this guy dance
0.58%:  see if you can teach
0.58%:  go kick some ass in the city
0.58%:  send him into space as a gift to another star
0.58%:  go to the park, and
0.58%:  see if you can top that, gross meat
0.58%:  send him into space on a rocket, dude
0.58%:  take him out for cake, and
0.58%:  hang out today and stroke
0.58%:  not spend another dime
1.21%:  not spend another dime on this
0.79%:  not spend another dime on this guy
0.73%:  not spend another dime on that
0.58%:  not spend another dime on this guy,
0.58%:  not forget that aspect
0.58%:  go find out if he can do more
0.58%:  take it for a spin, and then take
0.57%:  not spend another decade on that, k
0.57%:  go take him out for a spin, to
0.57%:  take him for a date and
0.57%:  go to dinner
0.57%:  send him off into space to die
0.57%:  spend another ten years making it shoot out
0.57%:  go kick the crap out of it some
0.57%:  send him to outer space, and say
0.57%:  do this for another decade, you
0.57%:  go kick the crap outta some sense
0.57%:  try making
0.57%:  update the code
0.57%:  take him to a fancy
0.57%:  see you get past
1.05%:  see you get past that one
0.57%:  update that
0.57%:  go inside and touch some parts
0.57%:  send him off into space, guys
0.57%:  go for a spin, you and
0.57%:  go take him out for a spin, and take
0.57%:  make another one, right
0.57%:  send him to outer space, on
0.57%:  spend another decade making that not
1.27%:  spend another decade making that not suck
0.57%:  go test him out in a
0.57%:  go around him
0.57%:  take him out for a spin a
0.57%:  go kick some ass and see
0.82%:  go kick some ass and see if that
0.57%:  see you make that as gross,
0.57%:  go take him to an arcade so
0.57%:  take it out for some snacks and
0.57%:  keep doing it that
0.57%:  go dance around it
0.57%:  take it apart,
0.57%:  go kick some ass and shoot
0.57%:  stop and think for a second if it
0.57%:  make sure to keep adding to this
0.57%:  make out for a second and
0.84%:  make out for a second and then go
0.57%:  go home and take apart
0.57%:  keep doing stuff that makes it so
0.57%:  hear
0.57%:  not spend another year making this dude
0.57%:  send him into space or
0.57%:  go kick the crap out of some sea
0.57%:  take him for a spin at
0.57%:  take him for a dance, okay
0.57%:  go do some stuff that is
0.57%:  use him to pick
0.57%:  go check out my
0.93%:  go check out my friend
0.57%:  do it again today
0.57%:  hang out today, and make
0.57%:  go for a spin on
0.57%:  go try
0.88%:  go try to make
0.57%:  take apart some
1.26%:  take apart some of the
0.57%:  take a trip to see
0.57%:  not do this again for another decade, if
0.57%:  feed him a potato and
0.67%:  feed him a potato and see if
0.57%:  spend another ten years doing stuff to make it
0.57%:  go out and drink
1.20%:  go out and drink some
0.82%:  go out and drink some coffee
0.57%:  go into the forest and find out
0.57%:  go shoot some dudes and
0.57%:  turn him off and go pet another
0.57%:  go forth
2.51%:  go forth and make
0.80%:  go forth and do
0.63%:  go forth and do some
0.57%:  kiss and make out for the
0.57%:  go take him out for a snack, and
0.57%:  focus on the good parts, and
0.57%:  do it again?
0.57%:  go inside and take off his pants so
0.57%:  take him out for a spin, kid
0.57%:  not spend another decade making it say stuff other
0.57%:  not spend another decade making sure it
0.64%:  not spend another decade making sure it says
1.45%:  not spend another decade making sure it says that,
