hung over is like winning the lottery, except they pay you in regret!
       625 0* 0.29334% (94.780% 0.053% 5.168%)   hung over is like winning the lottery, in the                                                                                aceeeegopprrttuxyyy!
       626 0* 0.29096% (94.780% 0.053% 5.168%)   this hung over,                                                                                                              -------aceeeeeeeeghiikllnoopprrrtttttuxyyyy!
       627 0* 0.29036% (94.781% 0.053% 5.166%)   even the t                                                                                                                   -------aceeeeeegghhiiikllnooopprrrrsttttuuxyyyy,!
       628 0* 0.29032% (94.789% 0.053% 5.158%)   hung over is pretty the                                                                                                      -------aceeeeeeghiikllnooprrtttuxyyy,!
       629 0* 0.28965% (94.789% 0.053% 5.158%)   hung over truly is like the                                                                                                  -------aceeeeeeghinoopprrttttxyyy,!
       630 0* 0.28859% (94.789% 0.053% 5.158%)   hung over is like winning the lottery, except then you pay                                                                   eegirrty!
       631 0* 0.28849% (94.789% 0.053% 5.158%)   hung over is pretty great on the                                                                                             -------ceeeeehiiklloprttuxyyy,!
       632 0* 0.38392% (94.789% 0.053% 5.158%)   hung over is pretty great on the other                                                                                       -------ceeeeiikllptuxyyy,!
       633 0* 0.28760% (94.789% 0.053% 5.158%)   hung over is like winning the lottery, except                                                                                aeeeghinoprrttuyyy!
       634 0* 0.28724% (94.789% 0.053% 5.158%)   hung over is like winning the lottery, right up                                                                              aceeeeenoprttxyyy!
       635 0* 0.28715% (94.789% 0.053% 5.158%)   hung over is pretty great once you try                                                                                       -------eeeeehhiikllpttxy,!
       636 0* 0.46104% (94.789% 0.053% 5.158%)   hung over is pretty great once you try it                                                                                    -------eeeeehhikllptxy,!
       637 0* 0.28647% (94.789% 0.053% 5.158%)   this hung over, it                                                                                                           -------aceeeeeeeeghikllnoopprrrttttuxyyyy!
       638 0* 0.28633% (94.789% 0.053% 5.158%)   hung over is a lot like regret                                                                                               -------ceeeeehhinopprttttuxyyyy,!
       639 0* 0.38855% (94.789% 0.053% 5.158%)   hung over is a lot like regret except                                                                                        -------eeehhinoprtttuyyyy,!
       640 0* 0.28517% (94.789% 0.053% 5.158%)   hung over is pretty killer!                                                                                                  -------aceeeeeeghhinooprttttuxyyy,
       641 0* 0.28406% (94.789% 0.053% 5.158%)   over the                                                                                                                     -------aceeeeeeegghhiiikllnnoopprrrstttttuuxyyyy,!
       642 0* 0.72533% (94.792% 0.053% 5.155%)   over the legal                                                                                                               -------ceeeeeeghhiiiknnoopprrrstttttuuxyyyy,!
       643 0* 0.28336% (94.800% 0.053% 5.148%)   hung over is pretty okay, yo                                                                                                 -------ceeeeeeeghhiillnprrttttuxy!
       644 0* 0.28287% (94.800% 0.053% 5.148%)   hung over is pretty agree                                                                                                    -------ceeeeehhiikllnooprttttuxyyy,!
       645 0* 0.28252% (94.800% 0.053% 5.148%)   sick never really                                                                                                            -------eeeeeegghhhiinooopprrttttttuuxyyy,!
       646 0* 0.28199% (94.800% 0.053% 5.147%)   hung over is like winning the lottery, except your hang                                                                      eeeiprttyy!
       647 0* 0.28113% (94.800% 0.053% 5.147%)   hung over is like trying to cry                                                                                              -------aeeeeeeehhlopprttttuxyy,!
       648 0* 0.27900% (94.800% 0.053% 5.147%)   hung over is pretty pe                                                                                                       -------aceeeeeeghhiikllnoorrttttuxyyy,!
       649 0* 0.27836% (94.800% 0.053% 5.147%)   hung over is like winning the lottery except you get h                                                                       aeeinprrtyy,!
       650 0* 0.27783% (94.800% 0.053% 5.147%)   hung over is not great,                                                                                                      -------ceeeeeeehhiikllopprrttttuxyyyy!
       651 0* 4.51999% (94.800% 0.053% 5.147%)   hung over is not great, either                                                                                               -------ceeeeehikllopprtttuxyyyy!
       652 0* 5.02461% (94.800% 0.053% 5.147%)   hung over is not great, either!                                                                                              -------ceeeeehikllopprtttuxyyyy
       653 0* 0.27588% (94.800% 0.053% 5.147%)   hung over is pretty tricky!                                                                                                  -------aeeeeeeeghhillnooprtttuxyy,
       654 0* 0.27499% (94.800% 0.053% 5.147%)   hung over is not great either, yo                                                                                            -------ceeeeehikllpprtttuxyyy!
       655 0* 0.27494% (94.800% 0.053% 5.147%)   hung over is pretty enough                                                                                                   -------aceeeeeehiiklloprrttttxyyy,!
       656 0* 0.27491% (94.800% 0.053% 5.147%)   hung over is like winning the lottery, except you gain the                                                                   eeprrtyy!
       657 0* 0.27421% (94.800% 0.053% 5.147%)   hung over is pretty not great, you                                                                                           -------ceeeeeehhiikllprttxyy!
       658 0* 0.27409% (94.800% 0.053% 5.147%)   hung over is like poetry                                                                                                     -------aceeeeeeghhilnoprrtttttuxyyy,!
       659 0* 0.27355% (94.800% 0.053% 5.147%)   hung over is like winning the lottery, except the guy in                                                                     aeeoprrtyy!
       660 0* 0.27299% (94.800% 0.053% 5.147%)   hung over is like winning the lottery except in your                                                                         aeeeghprttyy,!
       661 0* 0.27203% (94.800% 0.053% 5.147%)   hung over is pretty great, not                                                                                               -------ceeeeeehhiiklloprttuxyyy!
       662 0* 0.27111% (94.800% 0.053% 5.147%)   hung over is like trying to carry out                                                                                        -------eeeeeeehhlpptttxyy,!
       663 0* 0.49817% (94.800% 0.053% 5.147%)   hung over is like trying to carry out the                                                                                    -------eeeeeehlppttxyy,!
       664 0* 0.27109% (94.800% 0.053% 5.147%)   hung over is nice                                                                                                            -------aeeeeeeeghhiklloopprrrttttttuxyyyy,!
       665 0* 0.27076% (94.800% 0.053% 5.147%)   really,                                                                                                                      -------ceeeeeeeegghhhiiiknnooopprrrsttttttuuvxyyy!
       666 0* 0.27053% (94.818% 0.053% 5.129%)   hung over is like winning the lottery, except you g                                                                          aeeehinprrttyy!
       667 0* 0.26939% (94.818% 0.053% 5.129%)   alive                                                                                                                        -------ceeeeeeeegghhhiiklnnooopprrrrsttttttuuxyyyy,!
       668 0* 0.26926% (94.834% 0.053% 5.113%)   hung over is like winning the lottery, except at                                                                             eeeghinoprrtuyyy!
       669 0* 0.26921% (94.834% 0.053% 5.113%)   hung over is like trying to type the                                                                                         -------aceeeeehloprrttuxyy,!
       670 0* 0.26869% (94.834% 0.053% 5.113%)   hung over is a lot like regret except you                                                                                    -------eeehhinprtttyyy,!
       671 0* 0.26808% (94.834% 0.053% 5.113%)   hung over is pretty pretty great!                                                                                            -------ceeeeehhiikllnootuxyy,
       672 0* 0.26802% (94.834% 0.053% 5.113%)   hung over is like one                                                                                                        -------aceeeeeeghhilopprrrttttttuxyyyy,!
       673 0* 0.26718% (94.835% 0.053% 5.113%)   hung over is like winning the lottery except hung                                                                            aeeeioprrttyyy,!
       674 0* 0.26697% (94.835% 0.053% 5.113%)   hung over is pretty great, like you                                                                                          -------ceeeeehhilnoprtttxyy!
       675 0* 0.26681% (94.835% 0.053% 5.113%)   hung over is like winning the lottery, except you enter a                                                                    eghiprtyy!
       676 0* 0.26643% (94.835% 0.053% 5.113%)   hung over is pretty great, in ret                                                                                            -------ceeeeehhiklloopttuxyyy!
       677 0* 0.26628% (94.835% 0.053% 5.113%)   hung over is really not the                                                                                                  -------ceeeeeeghiikopprrttttuxyyy,!
       678 0* 0.26405% (94.835% 0.053% 5.113%)   hung over is like winning the lottery, except here you get                                                                   ainprtyy!
       679 0* 0.26372% (94.835% 0.053% 5.113%)   hung over is pretty ugly,                                                                                                    -------aceeeeeeehhiiklnooprrttttxyy!
       680 0* 0.26193% (94.835% 0.053% 5.113%)   hung over is pretty okay, except there                                                                                       -------eeeghiillnorttuyy!
       681 0* 0.26178% (94.835% 0.053% 5.113%)   hung over is the legit                                                                                                       -------aceeeeeehiklnoopprrrttttuxyyyy,!
       682 0* 0.25886% (94.835% 0.053% 5.113%)   a little hung over is pretty ok though                                                                                       -------ceeeeeeinprrtxyyy,!
       683 0* 0.25817% (94.835% 0.053% 5.113%)   hung over is like your teeth                                                                                                 -------aceeeeeghilnopprrttttxyyy,!
       684 0* 0.30728% (94.835% 0.053% 5.113%)   hung over is like your teeth trying                                                                                          -------aceeeeehlopprtttxyy,!
       685 0* 0.79254% (94.835% 0.053% 5.113%)   hung over is like your teeth trying to                                                                                       -------aceeeeehlpprttxyy,!
       686 0* 0.30986% (94.835% 0.053% 5.113%)   hung over is like your teeth trying to eat                                                                                   -------ceeeehlpprtxyy,!
       687 0* 0.25678% (94.835% 0.053% 5.113%)   hung over is like trying to cheer                                                                                            -------aeeeeehlopprttttuxyyy,!
       688 0* 0.99654% (94.835% 0.053% 5.113%)   hung over is like trying to cheer up                                                                                         -------aeeeeehloprttttxyyy,!
       689 0* 0.27307% (94.835% 0.053% 5.113%)   hung over is like trying to cheer up the                                                                                     -------aeeeeloprtttxyyy,!
       690 0* 0.25666% (94.835% 0.053% 5.113%)   hung over is pretty great once you try it!                                                                                   -------eeeeehhikllptxy,
       691 0* 0.25492% (94.835% 0.053% 5.113%)   hung over is pretty great, only like                                                                                         -------ceeeeehhioprtttuxyy!
       692 0* 0.25435% (94.835% 0.053% 5.113%)   hung over really is the ticket                                                                                               -------eeeeeghinoopprrtttuxyyy,!
       693 0* 0.25372% (94.835% 0.053% 5.113%)   hung over truly is the only                                                                                                  -------aceeeeeeeghiikopprrttttxyy,!
       694 0* 0.25367% (94.835% 0.053% 5.113%)   hung over is like winning the lottery, except you get pain                                                                   eehrrtyy!
       695 0* 0.25348% (94.835% 0.053% 5.113%)   in the                                                                                                                       -------aceeeeeeeegghhiikllnooopprrrrstttttuuvxyyyy,!
       696 0* 0.25308% (94.862% 0.053% 5.086%)   sick never got                                                                                                               -------aeeeeeeeghhhiillnoopprrrtttttuuxyyyy,!
       697 0* 0.25245% (94.862% 0.053% 5.085%)   hung over in                                                                                                                 -------aceeeeeeeeghhiiklloopprrrsttttttuxyyyy,!
       698 0* 0.34909% (94.864% 0.053% 5.083%)   hung over in the                                                                                                             -------aceeeeeeeghiiklloopprrrstttttuxyyyy,!
       699 0* 0.25212% (94.867% 0.053% 5.081%)   hung over is like winning the lottery, except they pay                                                                       eeginorrtuy!
       700 0* 1.43209% (94.867% 0.053% 5.081%)   hung over is like winning the lottery, except they pay you                                                                   eeginrrt!
       701 0* 1.93957% (94.867% 0.053% 5.081%)   hung over is like winning the lottery, except they pay you in                                                                eegrrt!
