even I think that one's not so good.
      0 100.00%: 
      1 183.88%:  thanks
  13691 0.01%:  so it's not end
  13692 0.01%:  that one's done. Is it hot
  13693 0.01%:  so that one's no good. I
  13694 0.01%:  that's the sink
  13695 0.01%:  no don't take this one too
  13696 0.01%:  I don't see this
  13697 0.01%:  so that's one din
  13698 0.01%:  that one I got done in one shot
  13699 0.01%:  that one I got done in one shot.
  13700 0.01%:  don't take this too
  13701 0.01%:  so I kinda st
  13702 0.01%:  that's no one in
  13703 0.01%:  that's not even done.
  13704 0.01%:  sooooo that's it. It
  13705 0.01%:  I haven't got to the end so
  13706 0.01%:  I need to go soon so that
  13707 0.01%:  I've gotta shit
  13708 0.01%:  that don
  13709 0.01%:  no I haven't got this one done
  13710 0.01%:  so I've got to dash it
  13711 0.01%:  I don't even get it
  13712 0.01%: . It's not as good the
  13713 0.01%:  ok and
  13714 0.01%:  no one has voted this
  13715 0.01%:  no it's a good one
  13716 0.01%:  no it's done. It
  13717 0.01%:  I need to go so this one
  13718 0.01%:  soooo that's not the ending.
  13719 0.02%:  soooo that's not the ending. I
  13720 0.01%:  so I haven't get
  13721 0.01%: . I need to go shoot the
  13722 0.01%:  I think that goes to seven
  13723 0.01%:  so I have the ending on
  13724 0.01%:  that one's good then
  13725 0.01%:  that's the end I gots
  13726 0.01%:  I haven't got this to
  13727 0.01%:  so I hate it
  13728 0.01%:  so that one doesn't to
  13729 0.01%:  that one needs no tit
  13730 0.01%:  so no it doesn't go
  13731 0.01%:  so no it doesn't go on
  13732 0.01%:  so no it doesn't go that
  13733 0.01%:  I think that one's even
  13734 0.01%:  that's not the end no one is
  13735 0.01%:  so I don't think that goes even
  13736 0.01%:  that one got in
  13737 0.01%:  so it's got to end on the
  13738 0.01%:  that's not the so good
  13739 0.01%:  that one's is
  13740 0.01%:  that one's not so not
  13741 0.01%:  that one's not ending.
  13742 0.01%:  that one goes in the not
  13743 0.01%:  that's the end so in
  13744 0.01%:  I have to do this one too
  13745 0.01%:  so on that note. I
  13746 0.01%:  so I take this one
  13747 0.01%:  that's good one too
  13748 0.01%:  that's good one too.
  13749 0.01%:  I've asked
  13750 0.01%:  so I got to do this one
  13751 0.01%:  so that doesn't even go
  13752 0.01%:  so that doesn't even go on
  13753 0.01%:  so that one one is
  13754 0.01%: . I've gotten a
  13755 0.01%:  that's the end so I go
  13756 0.01%:  no it's the one
  13757 0.01%:  no it's the one I
  13758 0.01%:  so I've got a hit
  13759 0.01%:  so I need to get this thank
  13760 0.01%:  that's not on the engine
  13761 0.01%:  that one I invented so
  13762 0.01%:  so I gotta set
  13763 0.01%:  that one got too dense
  13764 0.01%:  I need to go so that is
  13765 0.01%:  that's one I need to go into
  13766 0.01%: . It ends on
  13767 0.01%: . It ends on a high
  13768 0.01%:  no that's not the ending .
  13769 0.01%:  so that's one I got
  13770 0.01%:  these notes
  13771 0.01%:  it's so hot that
  13772 0.01%:  that one's nons
  13773 0.01%:  I've a
  13774 0.01%:  so I've gotta note on
  13775 0.01%:  so I've gotta note on this
  13776 0.01%: . I've got to sit on
  13777 0.01%:  so that one ties the
  13778 0.01%:  that's it I need to en
  13779 0.01%:  so I've got that one done h
  13780 0.01%:  I've got to take those
  13781 0.01%:  that one's not good honest
  13782 0.01%:  no thanks I've got to do this
  13783 0.01%:  that's it. I got done
  13784 0.01%:  that's it send
  13785 0.01%:  so eighteen
  13786 0.01%:  so I have to sit
  13787 0.02%:  so I have to sit on
  13788 0.02%:  so I have to sit on the
  13789 0.01%:  no that's to the
  13790 0.01%:  no this one I gotta
  13791 0.01%:  no that's not its end
  13792 0.01%:  that one's shit.
  13793 0.01%:  so that one doesn't get no
  13794 0.01%:  that isn't one I
  13795 0.01%:  no that one doesn't go on.
  13796 0.01%:  so I need to get to an
  13797 0.01%:  so I don't have nothing on
  13798 0.01%:  so I haven't done this too
  13799 0.01%:  no this one's not on a
  13800 0.01%:  so it's not not not
  13801 0.01%:  ok so
  13802 0.02%:  ok so I
  13803 0.01%:  ok so I need
  13804 0.01%:  ok so I need to go
  13805 0.01%:  ok so it
  13806 0.03%:  ok so it's not that
  13807 0.08%:  ok so it's not that good
  13808 0.02%:  ok so it's not the
  13809 0.02%:  ok so it's not done
  13810 0.01%:  ok so it's not the end
  13811 0.01%:  ok so it's a
  13812 0.01%:  ok so I need to get
  13813 0.02%:  ok so I need to get this
  13814 0.01%:  no I need to go soon
  13815 0.01%:  no that's not good honest I
  13816 0.01%:  so that's the tie
  13817 0.01%:  I need to eat tonight sooo
  13818 0.01%:  so I've gotta note it
  13819 0.01%:  that one doesn't took
  13820 0.01%:  I got to the end so this
  13821 0.01%:  I got to the end so this one
  13822 0.01%:  it's totes done.
  13823 0.01%:  so I have to get the kids
  13824 0.01%: . I've gotta do this one on
  13825 0.01%:  no I need to eat so
  13826 0.01%: . It doesn't have to go to
  13827 0.01%:  that one's on to
  13828 0.01%:  that's good Isn
  13829 0.01%:  so I have done too
  13830 0.01%:  no the end isn't a
  13831 0.01%:  so it has to end on the
  13832 0.01%:  shots
  13833 0.01%:  kiss
  13834 0.01%:  no it's not the end so thank
  13835 0.01%:  no I've got that in
  13836 0.01%:  I've gotta hide
  13837 0.01%:  I need to go think the
  13838 0.01%: . I think that's one good one on
  13839 0.01%:  so it's on that
  13840 0.01%:  so it's on that I
  13841 0.01%:  it's the end thank
  13842 0.01%:  so that's the ind
  13843 0.01%:  so I got that one done then
  13844 0.01%:  I've got to sne
  13845 0.08%:  I've got to sneak into
  13846 0.02%:  I've got to sneak this
  13847 0.02%:  I've got to sneak this one
  13848 0.01%:  that isn't so good on
  13849 0.01%:  so hang
  13850 0.01%:  I have to go set those
  13851 0.01%:  so I took the setting
  13852 0.01%:  so that one's not to
  13853 0.01%: . It's good that these
  13854 0.01%:  so that one's not in the ve
  13855 0.01%:  it's had
  13856 0.01%:  this one I don't see
  13857 0.01%:  I need to go take shots
  13858 0.01%:  so that one doesn't I
  13859 0.01%:  that's not the good one in
  13860 0.01%:  that's it go.
  13861 0.01%:  so it gets the
  13862 0.01%:  so I need a night
  13863 0.01%:  see this
  13864 0.01%:  it doesn't have to go on to
  13865 0.01%:  that one's not on the sink
  13866 0.01%:  thass
  13867 0.01%:  so I haven't seen it
  13868 0.01%:  that one goes on the no
  13869 0.01%:  that one doesn't give too
  13870 0.01%:  so I've not eaten
  13871 0.01%:  so I've not eaten tonight
  13872 0.01%:  then that's done.
  13873 0.01%:  so it hasn't even got
  13874 0.01%:  that's not go
  13875 0.02%:  that's not goin
  13876 0.01%: . It's not even that good in
  13877 0.01%:  that one's not so one
  13878 0.01%:  hot so
  13879 0.01%:  that one's on the non
  13880 0.01%:  that's the end. I sign
  13881 0.01%:  so I need in
  13882 0.01%:  no that's good this
  13883 0.02%:  no that's good this one
  13884 0.01%:  so I got nothin' on
  13885 0.01%:  so I got nothin' on that
  13886 0.02%:  so I got nothin' on that one
  13887 0.01%:  no that's not on the end.
  13888 0.01%:  no that's not on the end. I
  13889 0.01%:  not too
  13890 0.01%:  I need to go host
  13891 0.01%:  no don't get that
  13892 0.02%:  no don't get that one
  13893 0.01%:  no this one I don't have no
  13894 0.01%:  I've got this one one
  13895 0.01%:  that's not one. It
  13896 0.01%:  so I haven't one
  13897 0.01%:  so I need to get that '
  13898 0.01%:  so that's not even one good
  13899 0.01%:  so this one I gotta do
  13900 0.01%:  that one's in the nest
  13901 0.01%:  no need to ask the
  13902 0.01%:  so I need to go on to
  13903 0.01%:  that's one hook
  13904 0.01%:  does the
  13905 0.01%:  I need to get an
  13906 0.01%:  so I don't get to have this
  13907 0.01%:  that one's n
  13908 0.01%:  no that's not the end one. I
  13909 0.01%:  that one goes on the 
  13910 0.01%:  so I got to the end thanks
  13911 0.01%: . I need one thing
  13912 0.01%:  don't kiss
  13913 0.01%:  so I don't go
  13914 0.02%:  so I don't go into
  13915 0.01%: . I have got to do
  13916 0.01%: . I have got to do this
  13917 0.01%:  so I need to go into the hot
  13918 0.01%:  thanks I need to go sit on
  13919 0.01%:  no thanks no I've
  13920 0.02%:  no thanks no I've got this
  13921 0.01%:  so kids
  13922 0.01%:  sheet
  13923 0.01%:  that one doesn't go in. I
  13924 0.01%:  that one's to the side
  13925 0.01%:  so no one ask
  13926 0.01%:  that's the end I got so
  13927 0.01%:  that's not even doing
  13928 0.01%:  good to see this one on
  13929 0.01%:  it's totes the end.
  13930 0.01%:  so even I don't get it.
  13931 0.01%:  so this one and I
  13932 0.01%:  so don't eat these
  13933 0.01%:  so I haven't done this on
  13934 0.01%:  that one's no good in
  13935 0.01%:  I need to tie that
  13936 0.01%:  no that's not the gen
  13937 0.01%: . It takes the
  13938 0.01%:  that one's ending. It
  13939 0.01%:  so the end the
  13940 0.01%:  so I do have to get
  13941 0.01%:  so I do have to get this
  13942 0.01%:  ok that's good too
  13943 0.01%:  I've gotta tone
  13944 0.01%:  I've gotta tone this
  13945 0.01%: . I've got tons to
  13946 0.01%:  so get it at
  13947 0.01%:  I got that done in 
  13948 0.01%:  I've got to hit the sa
  13949 0.01%:  no thanks to the end
  13950 0.01%:  I think that's so good
  13951 0.01%:  no I need this to go no
  13952 0.01%:  that one's nothing to send
  13953 0.01%:  I have to go soon so the
  13954 0.01%:  no that's too good in
  13955 0.01%:  so I need to gain
  13956 0.01%:  so that one isn't done. I
  13957 0.01%:  I do not think that'
  13958 0.01%:  I have to get onto
  13959 0.02%:  I have to get onto the
  13960 0.01%:  I have to get onto this
  13961 0.01%:  that he
  13962 0.01%:  that t
  13963 0.01%:  that one doesn't hit on
  13964 0.01%:  so I've got to do that one.
  13965 0.01%:  so the end isn't that I
  13966 0.01%:  so that ending's not too
  13967 0.01%:  so that one hit
  13968 0.01%:  so that is not the end. I'
  13969 0.02%:  so that is not the end. I've
  13970 0.01%:  that's the set.
  13971 0.01%:  so that one's not into
  13972 0.01%:  and it's honest
  13973 0.01%:  so it's not even 
  13974 0.01%:  that's it I need notes
  13975 0.01%:  that's good one I
  13976 0.01%: . I've done this too
  13977 0.01%:  this one's not done. I have to go
  13978 0.01%:  thanks. I got this
  13979 0.01%:  this's the end
  13980 0.01%:  this's the end.
  13981 0.01%:  no I got this
  13982 0.02%:  no I got this one
  13983 0.01%:  that's good those
  13984 0.01%:  so don't get one
  13985 0.01%: . I have to get on this soon
  13986 0.01%:  seasoning
  13987 0.01%:  thanks. I need this one
  13988 0.02%:  thanks. I need this one to go on
  13989 0.01%: . It's gotten so
  13990 0.01%:  it's a good one
  13991 0.01%:  so that one's doing
  13992 0.01%:  so I have gone too
  13993 0.01%:  so that one's not on the in
  13994 0.01%:  I've got to do this one on the
  13995 0.01%:  this one's done I have to go to
  13996 0.01%:  so this one took a ton
  13997 0.01%:  I haven't gotten it done
  13998 0.01%:  no I've got to do this one
  13999 0.01%:  that one's not eight
  14000 0.01%:  I've got to eat soon
  14001 0.01%:  that's too good not
  14002 0.01%:  that's not on the ones
  14003 0.01%:  no no it's not the end I have to go
  14004 0.01%:  no that's not good. Is
  14005 0.01%:  this one doesn't eat
  14006 0.01%:  so it's not the one I had
  14007 0.01%:  I've got to sneak this onto
  14008 0.01%:  good the
  14009 0.01%:  it's not that on
  14010 0.01%:  that's dog
  14011 0.01%:  that doesn't he
  14012 0.01%:  no thanks I don't get the
  14013 0.01%:  so no that isn
  14014 0.02%:  so no that isn't the
  14015 0.01%:  so no that isn't the end.
  14016 0.02%:  so no that isn't the end. I
  14017 0.01%:  so on this one I gotta
  14018 0.01%:  it's good that I took
  14019 0.01%:  ok so it's gonna
  14020 0.01%:  so it's gonna end on
  14021 0.01%:  so it's gonna end on the
  14022 0.01%: . I've got to send that one in soon
  14023 0.01%:  so I need to go to it
  14024 0.01%:  no no that's not in
  14025 0.01%:  so I got those
  14026 0.01%: . I've got that one on
  14027 0.01%:  I have to go t
  14028 0.01%:  I have to go tink
  14029 0.01%:  so I've kinda not
  14030 0.01%:  that's it. I need to so
  14031 0.01%:  no that one doesn't go in so
  14032 0.01%:  so get it on the
  14033 0.01%:  that's the sign I took
  14034 0.01%:  no it's even
  14035 0.01%:  that one's sign
  14036 0.01%:  so it doesn't have the non
  14037 0.01%:  so I've got this tone
  14038 0.01%:  so I need to go hit
  14039 0.01%:  that's good on its
  14040 0.01%:  I don't have those in
  14041 0.01%:  I got that one in one shot
  14042 0.01%:  I need a note
  14043 0.01%:  that one stinks even to
  14044 0.01%:  so I haven't don
  14045 0.01%:  I've kinda gone
  14046 0.01%:  so I think that one's gone on
  14047 0.01%:  so I've gotta send the
  14048 0.01%:  so I've done ten
  14049 0.01%:  no that's not the end ok so
  14050 0.01%:  that's the one I voted
  14051 0.01%:  so that's not good one
  14052 0.01%: . I think that one's good too
  14053 0.01%:  no the end's the
  14054 0.01%: . I think she
  14055 0.02%: . I think she's gonna
  14056 0.02%: . I think she's gonna need
  14057 0.01%:  so I haven't gotten one shot on
  14058 0.01%:  I think that's te
  14059 0.01%:  no that's good I think too
  14060 0.01%:  no I've got to take it
  14061 0.01%:  no it's not even the
  14062 0.01%:  no this one's not good the
  14063 0.01%:  so this one I don't have not
  14064 0.01%:  that need
  14065 0.01%:  that is the g
  14066 0.01%:  I've got to take one
  14067 0.01%:  have to
  14068 0.01%:  that one's not too in
  14069 0.01%:  so I do not have this one
  14070 0.01%:  that one's on it
  14071 0.01%:  and it's got to
  14072 0.01%:  so that I think
  14073 0.01%:  that one is not so good. I've
  14074 0.01%:  then. It's good that
  14075 0.01%:  no I don't have the stones to go
  14076 0.01%:  that's in no
  14077 0.01%:  I have this one done.
  14078 0.01%:  I need this on a
  14079 0.01%:  that one's not even good so it
  14080 0.01%:  that one's gotten on
  14081 0.01%: . It's at
  14082 0.01%: . It's at the end
  14083 0.01%:  that's not the song.
  14084 0.01%:  I've gotten the hint
  14085 0.01%:  so I've tied
  14086 0.01%:  so I've tied the
  14087 0.01%:  this one's gonna do
  14088 0.01%:  that's not the design
  14089 0.01%:  that's not good I see
  14090 0.01%:  sheesh I don
  14091 0.01%:  so that one the ending
  14092 0.01%:  I've got that on the
  14093 0.01%:  so not that one is not
  14094 0.01%:  ahh
  14095 0.01%:  dooooo
  14096 0.01%:  no that's the one end.
  14097 0.01%:  so that one's got the 
  14098 0.01%:  video
  14099 0.01%:  it goes on to the
  14100 0.01%:  so I hate to give
  14101 0.01%:  no that's en
  14102 0.01%:  no this one ends on
  14103 0.01%:  no this one ends on the
  14104 0.01%:  not taking
  14105 0.01%:  that does it. I've got 
  14106 0.01%:  that's it gents
  14107 0.01%:  so that's one thing done on
  14108 0.01%: . It is the
  14109 0.01%:  so that is not even on
  14110 0.01%:  so that's it go on
  14111 0.01%:  so it's not that good no
  14112 0.01%:  no no it's not that end
  14113 0.01%:  that's not even in the good
  14114 0.01%: . I need to ask the
  14115 0.01%:  no I don't have this one to
  14116 0.01%:  I need to get on that soon
  14117 0.01%:  so that's indent
  14118 0.01%:  so I've got the dates
  14119 0.01%:  that's it even I
  14120 0.01%:  doesn't the
  14121 0.01%:  no that's one setting
  14122 0.01%:  I need it to go
  14123 0.02%:  I need it to go on
  14124 0.01%:  I need it to go to
  14125 0.01%:  to the end.
  14126 0.01%:  it's these
  14127 0.01%:  that's not on the e
  14128 0.01%:  I need to go sit on the sh
  14129 0.01%:  so I got tons
  14130 0.01%:  that's the dong
  14131 0.01%:  that's one so it
  14132 0.01%:  so I need to go to 
  14133 0.01%:  so that's It.
  14134 0.01%: . I need to invent that
  14135 0.01%:  I see that's gone
  14136 0.01%:  no that one ends in
  14137 0.01%:  no that one ends in the
  14138 0.01%:  thanks. It is
  14139 0.01%:  so I think that one's not done
  14140 0.01%:  so I have gotten to
  14141 0.01%:  that's done she
  14142 0.01%:  good I think that one's on
  14143 0.01%:  that one got the kids
  14144 0.01%:  no one's done that so
  14145 0.01%:  I have to go do this one
  14146 0.01%:  thanks done
  14147 0.01%:  that one's not I think
  14148 0.01%:  I've done that eight
  14149 0.01%:  that one's in notes
  14150 0.01%:  that one's in notes.
  14151 0.01%:  that's this even
  14152 0.01%:  so that one's not end
  14153 0.01%:  this h
  14154 0.01%:  so I give that one to
  14155 0.02%:  so I give that one to the
  14156 0.01%:  so I got this one done.
  14157 0.01%:  no it's not end
  14158 0.01%: . I think that one too
  14159 0.01%:  in that one I get
  14160 0.01%:  so it's not done I have
  14161 0.01%:  no that's the end. I got no
  14162 0.01%:  so that one isn't non
  14163 0.01%:  so no one said
  14164 0.01%:  so I've got to thank this one
  14165 0.01%: . I've got to do this on
  14166 0.01%:  so i've done
  14167 0.01%:  not a
  14168 0.01%:  that's one so I
  14169 0.08%:  that's one so I think
  14170 0.01%:  that one's this one done
  14171 0.01%:  that one's this one done.
  14172 0.01%:  I need to go onto that
  14173 0.01%: . It's not even a good hook
  14174 0.01%:  that's the end set
  14175 0.01%:  no no no that one gets
  14176 0.01%:  I need to go on that is
  14177 0.01%: . It's gonna end soon
  14178 0.01%:  I've gotta honest
  14179 0.01%:  that's it. good
  14180 0.01%:  so the idea's to
  14181 0.01%:  so I think that '
  14182 0.01%:  so on a good
  14183 0.01%:  so that doesn't go the
  14184 0.01%:  that one's done. It is not
  14185 0.01%:  so that one doesn't get In
  14186 0.01%:  on that note the end
  14187 0.01%:  this one's not to the
  14188 0.01%:  so I've got so
  14189 0.01%:  that's the end so I no
  14190 0.01%:  no one needs to go
  14191 0.01%:  that's one good one on
  14192 0.01%:  no it's not. It
  14193 0.01%:  that one goes in the t
  14194 0.01%:  so I need to get it onto
  14195 0.01%:  so I need to sing
  14196 0.01%:  that this one ends on
  14197 0.01%:  so I've not done that in
  14198 0.01%:  so that one's not non
  14199 0.01%:  I've got to end this one on
  14200 0.01%: . It's that one thing
  14201 0.01%:  that's not the end so one
  14202 0.01%:  'k
  14203 0.01%:  no it's not done I have ten
  14204 0.01%:  that one's got this
  14205 0.02%:  that one's got this one
  14206 0.01%:  so then I have to do
  14207 0.01%:  that's this one. I don
  14208 0.01%:  that one is the '
  14209 0.01%:  that's the tide
  14210 0.01%:  no I've got to take notes
  14211 0.02%:  no I've got to take notes on
  14212 0.01%:  so I've done nothing at
  14213 0.01%:  so I think a good
  14214 0.01%: ish
  14215 0.01%:  no it goes on that
  14216 0.01%:  so that's not it on
  14217 0.01%:  that's good. I think so
  14218 0.01%:  I need to eat 
  14219 0.01%:  that's good e
  14220 0.01%:  that is not the end on
  14221 0.01%: . I need to go this one
  14222 0.01%:  it's the seventh
  14223 0.01%:  I've got one that isn
  14224 0.01%:  that's good I see
  14225 0.01%:  in the end that
  14226 0.02%:  in the end that'
  14227 0.02%:  in the end that's not
  14228 0.01%:  in the end that one
  14229 0.01%:  so I have not gone
  14230 0.01%:  so I have not gone into
  14231 0.02%:  so I have not gone into the
  14232 0.01%:  that's not on the engine.
  14233 0.01%:  so that one's gone into
  14234 0.01%:  so in the end I took
  14235 0.01%:  that's ok
  14236 0.01%:  that's ok I
  14237 0.01%:  so I haven't nothing
  14238 0.01%:  I have to get this done so.
  14239 0.01%:  no that doesn't go into
  14240 0.01%:  no no I haven't gotten the
  14241 0.01%:  I've got to honest this
  14242 0.01%:  I've got to honest this one
  14243 0.01%:  no that's not end.
  14244 0.01%: . I've got a dent
  14245 0.01%:  not that one is done
  14246 0.01%:  not that one is done.
  14247 0.01%:  I have to go to the tennis
  14248 0.01%: . It's not an ending
  14249 0.01%:  so not the end so
  14250 0.01%:  that's not this even
  14251 0.01%:  that's the endnn
  14252 0.01%:  that one's not done so not
  14253 0.01%:  nothing on
  14254 0.01%:  I've done that one too.
  14255 0.01%:  no this one's good I
  14256 0.01%:  no need to go on I have
  14257 0.01%:  no it's not. I have
  14258 0.03%:  no it's not. I have to go to
  14259 0.02%:  no it's not. I have no
  14260 0.01%:  that's got this one
  14261 0.01%:  so I've had to
  14262 0.01%:  no that one's not signed
  14263 0.01%:  so I don't have the tons
  14264 0.01%:  so at the end I invent
  14265 0.01%:  so I have to tone
  14266 0.01%:  I need to to take
  14267 0.01%:  thanks. It's got
  14268 0.01%:  I have got it
  14269 0.01%:  so I haven't got this done.
  14270 0.01%:  so it doesn't have one.
  14271 0.01%:  that one is done too. I
  14272 0.01%:  so I need to not
  14273 0.01%:  and I've got it on
  14274 0.01%:  so I do not have these
  14275 0.01%:  I've sk
  14276 0.01%: . that's the ending to
  14277 0.01%:  so I have to do this ten
  14278 0.01%:  so I need to get '
  14279 0.01%:  I have to think on
  14280 0.01%:  so I think that to
  14281 0.01%:  this song
  14282 0.01%:  that doesn't go on too
  14283 0.01%:  no I think that's even
  14284 0.02%:  no I think that's even too
  14285 0.01%:  no I think that's even too good
  14286 0.01%:  I need to go tattoo
  14287 0.01%:  I've gotten as
  14288 0.01%:  so it's not gonna the end.
  14289 0.01%:  thanks I've got to send
  14290 0.02%:  thanks I've got to send it
  14291 0.01%:  no it doesn't that one
  14292 0.01%:  no no I think that's good
  14293 0.01%:  that one's done. It gets
  14294 0.01%:  that's on to
  14295 0.01%:  that's on to the
  14296 0.01%:  it's those
  14297 0.01%:  that is the end. It goes
  14298 0.01%:  no I haven't gone
  14299 0.01%:  I think that does go to
  14300 0.01%:  that's it I need to go shoo
  14301 0.01%:  so I got the head
  14302 0.01%:  I don't have the note
  14303 0.01%:  thanks dis
  14304 0.01%:  so that one's not evident
  14305 0.01%:  no need to sit
  14306 0.01%:  so I got to the end in the
  14307 0.01%:  no I've got that one.
  14308 0.01%:  so that one's not good I think
  14309 0.01%:  that's good. It took 
  14310 0.01%:  so thanks to the end
  14311 0.01%:  so thanks to the end I
  14312 0.01%:  I need to go onto a
  14313 0.01%:  I've got to send that one in.
  14314 0.01%:  I do not think that one goes
  14315 0.01%:  so I've got to do one
  14316 0.01%:  thanks it's gotten
  14317 0.01%:  that's not so invent
  14318 0.01%:  that one's in the end.
  14319 0.01%: I
  14320 0.01%:  so I've got to shoot the
  14321 0.01%: . It's not in
  14322 0.01%:  no it's the end the
  14323 0.01%: . I've done nothing to
  14324 0.01%:  no that is no good
  14325 0.01%:  thanks I need to set
  14326 0.01%:  I have to do it on
  14327 0.01%:  so that's not on the evening
  14328 0.01%:  that it's I
  14329 0.01%:  that one doesn't 
  14330 0.01%:  so I get that not
  14331 0.01%:  that's the ones I got
  14332 0.01%:  no not that's the ending
  14333 0.01%:  no not that's the ending.
  14334 0.01%:  no not that's the ending I
  14335 0.01%:  no don't think I have to
  14336 0.01%:  no don't think I have to go
  14337 0.01%:  I need a sit
  14338 0.01%:  it's done so that
  14339 0.01%:  I need this to not
  14340 0.01%:  that's not ne
  14341 0.01%:  no one's in
  14342 0.01%:  it's gotten to
  14343 0.01%:  that one is good. It
  14344 0.03%:  that one is good. It's not
  14345 0.03%:  that one is good. It's the
  14346 0.02%:  that one is good. It's not even
  14347 0.01%:  that one's not done is the
  14348 0.01%:  that's no good this one
  14349 0.01%:  no that one doesn't set
  14350 0.01%:  so I don't think even that
  14351 0.01%:  I've got to do this one a
  14352 0.01%:  I got to take
  14353 0.01%:  I got to take this
  14354 0.02%:  I got to take this one
  14355 0.01%:  that's notes
  14356 0.01%:  so doesn
  14357 0.01%:  that's it too
  14358 0.01%:  that one's in need
  14359 0.01%:  no it's not done that one
  14360 0.01%:  this one's not on a
  14361 0.01%:  that goes in the note
  14362 0.01%:  so this one had to get
  14363 0.01%:  I need to go eat onions
  14364 0.01%:  so I don't have to think so
  14365 0.01%:  I do not have this one
  14366 0.01%:  that one too isn't on
  14367 0.01%:  so it's the end on
  14368 0.02%:  so it's the end on the
  14369 0.01%:  that doesn't go on the one
  14370 0.01%: . I think that doesn
  14371 0.03%: . I think that doesn't even
  14372 0.01%:  that's not even on the kind
  14373 0.01%:  no that's it I no
  14374 0.01%:  that one's done in one
  14375 0.01%:  I need to go eat soon.
  14376 0.01%: . I need to get onto it
  14377 0.01%: . I think that goes on to
  14378 0.01%:  good. I think the
  14379 0.01%:  that's one I give
  14380 0.01%: . I've had this one
  14381 0.01%: . It's good that those
  14382 0.01%:  no it doesn't have to go on the
  14383 0.01%:  I have it done
  14384 0.01%:  this one doesn't have to.
  14385 0.01%:  so I took this the
  14386 0.01%:  so that's not the end o
  14387 0.01%:  so that one is not the one
  14388 0.01%:  that one's not good. It is
  14389 0.01%:  so that's not the ending ok
  14390 0.01%:  that's it. I need to go on soon
  14391 0.01%:  no thanks I got this
  14392 0.01%:  and I've got to shoot
  14393 0.01%:  and I've got to shoot this
  14394 0.01%:  that one I don't see.
  14395 0.01%:  no that's not good I think.
  14396 0.01%:  so I've done this one a
  14397 0.01%:  so I've done a thing
  14398 0.01%:  that's no good so I think
  14399 0.01%:  I need to get to it.
  14400 0.01%:  I have to get on to this one
  14401 0.01%:  so it's got to end the
  14402 0.01%:  no that one is not so
  14403 0.01%:  so even I don't get that so
  14404 0.01%:  it's good to see the
  14405 0.01%:  no that's not the end g
  14406 0.01%: . I have to go shoot
  14407 0.01%:  that one's not good it
  14408 0.01%:  not ending
  14409 0.01%:  so that's not on the 
  14410 0.01%:  that one's gotten no
  14411 0.01%:  soooo that's one
  14412 0.01%:  I need this one to go
  14413 0.02%:  I need this one to go on
  14414 0.01%:  that's done. Is it too
  14415 0.01%:  it's got an
  14416 0.01%:  on that one. I
  14417 0.01%:  on that one. I think
  14418 0.01%:  that one ends on one
  14419 0.01%:  I need to get onto this.
  14420 0.01%:  ok that's done
  14421 0.01%:  ok that's done.
  14422 0.01%:  so don't even think
  14423 0.01%:  so don't even think I
  14424 0.01%:  that doesn't to
  14425 0.01%:  so on that note. I think
  14426 0.01%: . Is this good
  14427 0.01%:  that's it I need to go sn
  14428 0.01%:  that one's not so keen
  14429 0.01%:  so on the one hand it's got to
  14430 0.01%:  no that's not on I think
  14431 0.01%:  no I don't have to go
  14432 0.02%:  no I don't have to go to
  14433 0.03%:  no I don't have to go to the
  14434 0.01%:  I need to to go
  14435 0.01%:  note
  14436 0.01%:  note to
  14437 0.01%:  no one's done it that
  14438 0.01%:  that's not not good
  14439 0.01%:  that's not not good.
  14440 0.01%:  that is one I don't even
  14441 0.01%:  it's not an end
  14442 0.01%:  that one's done tonight
  14443 0.01%:  that one's done tonight.
  14444 0.01%:  I've got to edit the
  14445 0.01%:  so I have to do this too
  14446 0.01%:  no I think that's end
  14447 0.01%:  that's got to end.
  14448 0.01%:  shit
  14449 0.12%:  shitheads
  14450 0.01%:  so that one goes on the '
  14451 0.01%:  that's this done
  14452 0.01%:  I need to go to the '
  14453 0.01%:  no end
  14454 0.01%:  no I've got it done
  14455 0.02%:  no I've got it done thanks
  14456 0.01%:  that's not the one end
  14457 0.01%:  thanks. I need this one to go to
  14458 0.01%:  that's not seen
  14459 0.01%:  I have got to see
  14460 0.01%:  so as I'
  14461 0.01%:  that's not so good the
  14462 0.01%:  so I give that one 
  14463 0.01%:  so that's the ending ok
  14464 0.01%:  I've got that done.
  14465 0.01%:  so I got that one on
  14466 0.01%:  that's it. I need to go ske
  14467 0.01%:  to this
  14468 0.01%:  don't go
  14469 0.01%:  so that one too I
  14470 0.01%:  so that one is one the
  14471 0.01%:  that's those 
  14472 0.01%:  so on the one hand one
  14473 0.01%:  that I've got this done
  14474 0.01%:  that one's teen
  14475 0.01%:  this one's need
  14476 0.01%:  so I've no
  14477 0.01%: . I've gotten this one
  14478 0.01%:  I gotta do this one to
  14479 0.01%:  that's not even good it
  14480 0.01%:  so the one's not
  14481 0.01%:  so I've kinda got too
  14482 0.01%:  so that one needs ton
  14483 0.01%:  on that one. I need
  14484 0.03%:  on that one. I need to go to
  14485 0.01%:  it's gotta end so
  14486 0.01%:  thanks. I got the
  14487 0.01%:  that's it I need to go shoe
  14488 0.01%:  that's the end it I
  14489 0.01%:  so no need to give
  14490 0.01%:  so that one's got kind
  14491 0.01%:  so that is not the good
