set 'em up, future generations knock 'em down!
    35,180 0* 0.00000% (99.912% 0.073% 0.015%)   don't seek prof                                                                                                              -----------ceekmmntuuuw',!
    35,181 0* 0.00000% (99.912% 0.073% 0.015%)  'm proud of me, n'                                                                                                            -----------ceeekknsttuuw!
    35,182 0* 0.00000% (99.912% 0.073% 0.015%)  'm fun out                                                                                                                    -----------cdeeeekkmnoprstuw',!
    35,183 0* 0.00000% (99.912% 0.073% 0.015%)   won't do free                                                                                                                -----------ceekkmmnpstuuu',!
    35,184 0* 0.00000% (99.912% 0.073% 0.015%)  'm no' sure                                                                                                                   -----------cdeeefkkmnopttuuw,!
    35,185 0* 0.00000% (99.912% 0.073% 0.015%)   know, fuck '                                                                                                                 -----------deeeemmnoprsttuu'!
    35,186 0* 0.00000% (99.912% 0.073% 0.015%)   know, fuck 'em                                                                                                               -----------deeemnoprsttuu'!
    35,187 0* 0.00000% (99.912% 0.073% 0.015%)   know, fuck 'em!                                                                                                              -----------deeemnoprsttuu'
    35,188 0* 0.00000% (99.912% 0.073% 0.015%)   do not presume!                                                                                                              -----------ceefkkmntuuw'',
    35,189 0* 0.00000% (99.912% 0.073% 0.015%)  , 'count                                                                                                                      -----------deeeefkkmmnoprstuuw'!
    35,190 0* 0.00000% (99.912% 0.073% 0.015%)  , 'count'                                                                                                                     -----------deeeefkkmmnoprstuuw!
    35,191 0* 0.00000% (99.912% 0.073% 0.015%)  'm most prof                                                                                                                  -----------cdeeeekknntuuuw',!
    35,192 0* 0.00000% (99.912% 0.073% 0.015%)  'm from generations top                                                                                                       cdeeeekknnstuuuw',!
    35,193 0* 0.00000% (99.912% 0.073% 0.015%)  'm now dec                                                                                                                    -----------eeefkkmnoprsttuuu',!
    35,194 0* 0.00000% (99.912% 0.073% 0.015%)  'm count proud,                                                                                                               -----------eeeefkkmnstuw'!
    35,195 0* 0.00000% (99.912% 0.073% 0.015%)   don't more!                                                                                                                  -----------ceeefkkmnpstuuuw',
    35,196 0* 0.00000% (99.912% 0.073% 0.015%)  'd set future                                                                                                                 -----------ceekkmmnnoopuw',!
    35,197 0* 0.00001% (99.912% 0.073% 0.015%)  'd set future generations                                                                                                     ceekkmmnnoopuw',!
    35,198 0* 0.00007% (99.912% 0.073% 0.015%)  'd set future generations up                                                                                                  ceekkmmnnoow',!
    35,199 0* 0.00000% (99.912% 0.073% 0.015%)  'd set future generations'                                                                                                    ceekkmmnnoopuw,!
    35,200 0* 0.00000% (99.912% 0.073% 0.015%)  'd set future generations on                                                                                                  ceekkmmnopuw',!
    35,201 0* 0.00000% (99.912% 0.073% 0.015%)  'd set future generations,                                                                                                    ceekkmmnnoopuw'!
    35,202 0* 0.00000% (99.912% 0.073% 0.015%)  'd set future generations upon                                                                                                ceekkmmnow',!
    35,203 0* 0.00000% (99.912% 0.073% 0.015%)  'd set future generations knock                                                                                               eemmnopuw',!
    35,204 0* 0.00000% (99.912% 0.073% 0.015%)  'd set future generations po                                                                                                  ceekkmmnnouw',!
    35,205 0* 0.00000% (99.912% 0.073% 0.015%)  'd set future generations one                                                                                                 cekkmmnopuw',!
    35,206 0* 0.00000% (99.912% 0.073% 0.015%)   refuse, come                                                                                                                 -----------dekkmnnopttuuw''!
    35,207 0* 0.00000% (99.912% 0.073% 0.015%)  'm poured some                                                                                                                -----------ceefkknnttuuw',!
    35,208 0* 0.00000% (99.912% 0.073% 0.015%)  'm for sum                                                                                                                    -----------cdeeeekknnopttuuw',!
    35,209 0* 0.00000% (99.912% 0.073% 0.015%)   knocked 'em up to                                                                                                            -----------eefmnrstuuw',!
    35,210 0* 0.00000% (99.912% 0.073% 0.015%)  'm 'ut                                                                                                                        -----------cdeeeefkkmnnooprstuuw,!
    35,211 0* 0.00000% (99.912% 0.073% 0.015%)   won't see utop                                                                                                               -----------cdeefkkmmnruu',!
    35,212 0* 0.00000% (99.912% 0.073% 0.015%)  'm out, refuse                                                                                                                -----------cdeekkmnnoptuw'!
    35,213 0* 0.00000% (99.912% 0.073% 0.015%)   now, er                                                                                                                      -----------cdeeefkkmmnopsttuuu''!
    35,214 0* 0.00000% (99.912% 0.073% 0.015%)   know, future generations use emot                                                                                            cdekmnp''!
    35,215 0* 0.00000% (99.912% 0.073% 0.015%)  'm often puk                                                                                                                  -----------cdeeekmnorstuuw',!
    35,216 0* 0.00000% (99.912% 0.073% 0.015%)  'm out for '                                                                                                                  -----------cdeeeekkmnnpstuuw,!
    35,217 0* 0.00000% (99.912% 0.073% 0.015%)   don't fuck w                                                                                                                 -----------eeeekmmnoprstuu',!
    35,218 0* 0.00000% (99.912% 0.073% 0.015%)   need, more                                                                                                                   -----------cefkkmnopsttuuuw''!
    35,219 0* 0.00000% (99.912% 0.073% 0.015%)  'm no sucker fo                                                                                                               -----------deeekmnpttuuw',!
    35,220 0* 0.00000% (99.912% 0.073% 0.015%)  'm no sucker fo'                                                                                                              -----------deeekmnpttuuw,!
    35,221 0* 0.00000% (99.912% 0.073% 0.015%)   don't puke '                                                                                                                 -----------ceeefkmmnorstuuw,!
    35,222 0* 0.00000% (99.912% 0.073% 0.015%)   don't puke 'c                                                                                                                -----------eeefkmmnorstuuw,!
    35,223 0* 0.00000% (99.912% 0.073% 0.015%)   now stop                                                                                                                     -----------cdeeeefkkmmnrtuuu'',!
    35,224 0* 0.00000% (99.912% 0.073% 0.015%)   do not meet                                                                                                                  -----------ceefkkmnprsuuuw'',!
    35,225 0* 0.00000% (99.912% 0.073% 0.014%)  'm perfect, due                                                                                                               -----------ekkmnnoostuuw'!
    35,226 0* 0.00000% (99.912% 0.073% 0.014%)  'm perfect, due to                                                                                                            -----------ekkmnnosuuw'!
    35,227 0* 0.00000% (99.912% 0.073% 0.014%)  'm poems of                                                                                                                   -----------cdeeekknnrttuuuw',!
    35,228 0* 0.00000% (99.912% 0.073% 0.014%)  'm um, not used to                                                                                                            -----------ceeefkknpruw'!
    35,229 0* 0.00000% (99.912% 0.073% 0.014%)   presume, etc                                                                                                                 -----------defkkmnnootuuw''!
    35,230 0* 0.00000% (99.912% 0.073% 0.014%)  'm 'crow                                                                                                                      -----------deeeefkkmnnopsttuuu,!
    35,231 0* 0.00000% (99.912% 0.073% 0.014%)  'm use of                                                                                                                     -----------cdeeekkmnnoprttuuw',!
    35,232 0* 0.00000% (99.912% 0.073% 0.014%)  'm on spoke                                                                                                                   -----------cdeeefkmnrttuuuw',!
    35,233 0* 0.00000% (99.912% 0.073% 0.014%)  'm sure generations out                                                                                                       cdeeefkkmnnoptuw',!
    35,234 0* 0.00000% (99.912% 0.073% 0.014%)  'm on fucked up,                                                                                                              -----------eeekmnorsttuw'!
    35,235 0* 0.00000% (99.912% 0.073% 0.014%)  'd not po                                                                                                                     -----------ceeeefkkmmnrstuuuw',!
    35,236 0* 0.00000% (99.912% 0.073% 0.014%)  'm on desk                                                                                                                    -----------ceeefkmnoprttuuuw',!
    35,237 0* 0.00000% (99.912% 0.073% 0.014%)  'm come up 'n                                                                                                                 -----------deeefkknorsttuuw,!
    35,238 0* 0.00000% (99.912% 0.073% 0.014%)   keep cor                                                                                                                     -----------deefkmmnnosttuuuw'',!
    35,239 0* 0.00000% (99.912% 0.073% 0.014%)  'm ten generations, four                                                                                                      cdeeekkmnopstuuw'!
    35,240 0* 0.00000% (99.912% 0.073% 0.014%)   woke up, cr                                                                                                                  -----------deeefkmmnnosttuu''!
    35,241 0* 0.00000% (99.912% 0.073% 0.014%)  'm newer!                                                                                                                     -----------cdeefkkmnoopsttuuu',
    35,242 0* 0.00000% (99.912% 0.073% 0.014%)   don't use 'future                                                                                                            -----------ceekkmmnopw,!
    35,243 0* 0.00000% (99.912% 0.073% 0.014%)   counted em up                                                                                                                -----------eefkkmnorstuw'',!
    35,244 0* 0.00000% (99.912% 0.073% 0.014%)   counted em up,                                                                                                               -----------eefkkmnorstuw''!
    35,245 0* 0.00000% (99.912% 0.073% 0.014%)   presume, need                                                                                                                -----------cfkkmnoottuuw''!
    35,246 0* 0.00000% (99.912% 0.073% 0.014%)   know, future generations do me                                                                                               ceekmnpstu''!
    35,247 0* 0.00000% (99.912% 0.073% 0.014%)  'm product'                                                                                                                   -----------eeeefkkmnnostuuw,!
    35,248 0* 0.00000% (99.912% 0.073% 0.014%)  'm out, em                                                                                                                    -----------cdeeefkknnoprstuuw'!
    35,249 0* 0.00000% (99.912% 0.073% 0.014%)  'm on term                                                                                                                    -----------cdeeefkknopstuuuw',!
    35,250 0* 0.00000% (99.912% 0.073% 0.014%)   use future generations to keep                                                                                               cdkmmnnow'',!
    35,251 0* 0.00000% (99.912% 0.073% 0.014%)   presume 'one                                                                                                                 -----------cdefkkmnottuuw',!
    35,252 0* 0.00000% (99.912% 0.073% 0.014%)   presume 'one'                                                                                                                -----------cdefkkmnottuuw,!
    35,253 0* 0.00000% (99.912% 0.073% 0.014%)  'd 'put                                                                                                                       -----------ceeeefkkmmnnoorstuuw,!
    35,254 0* 0.00000% (99.912% 0.073% 0.014%)  'm punk rocks                                                                                                                 -----------deeeefmnottuuw',!
    35,255 0* 0.00000% (99.912% 0.073% 0.014%)   wore pocket                                                                                                                  -----------deefkmmnnstuuu'',!
    35,256 0* 0.00000% (99.912% 0.073% 0.014%)  'm so ok!                                                                                                                     -----------cdeeeefkmnnprttuuuw',
    35,257 0* 0.00000% (99.912% 0.073% 0.014%)  'm often work                                                                                                                 -----------cdeeekmnpstuuu',!
    35,258 0* 0.00000% (99.912% 0.073% 0.014%)   know, prom                                                                                                                   -----------cdeeeefkmnsttuuu''!
    35,259 0* 0.00000% (99.912% 0.073% 0.014%)   went toe                                                                                                                     -----------cdeefkkmmnoprsuuu'',!
    35,260 0* 0.00000% (99.913% 0.073% 0.014%)   umm, po                                                                                                                      -----------cdeeeefkknnorsttuuw''!
    35,261 0* 0.00000% (99.913% 0.073% 0.014%)  'm torn, so                                                                                                                   -----------cdeeeefkkmnptuuuw'!
    35,262 0* 0.00000% (99.913% 0.073% 0.014%)  'm won't sue,                                                                                                                 -----------cdeeefkkmnoprtuu!
    35,263 0* 0.00000% (99.913% 0.073% 0.014%)  'm fused,                                                                                                                     -----------ceeekkmnnooprttuuw'!
    35,264 0* 0.00000% (99.913% 0.073% 0.014%)  'm on four generations'                                                                                                       cdeeeekkmnpsttuuw,!
    35,265 0* 0.00000% (99.913% 0.073% 0.014%)  'm, too                                                                                                                       -----------cdeeeefkkmnnprstuuuw'!
    35,266 0* 0.00000% (99.913% 0.073% 0.014%)  'm won't up                                                                                                                   -----------cdeeeefkkmnorstuu,!
    35,267 0* 0.00000% (99.913% 0.073% 0.014%)  'm more knocked up,                                                                                                           -----------eefnsttuuw'!
    35,268 0* 0.00000% (99.913% 0.073% 0.014%)  'm too neck                                                                                                                   -----------deeefkmnprstuuuw',!
    35,269 0* 0.00000% (99.913% 0.073% 0.014%)  'm too neck deep                                                                                                              -----------efkmnrstuuuw',!
    35,270 0* 0.00000% (99.913% 0.073% 0.014%)  'd pose no                                                                                                                    -----------ceeefkkmmnrttuuuw',!
    35,271 0* 0.00000% (99.913% 0.073% 0.014%)   need proof,                                                                                                                  -----------ceekkmmnsttuuuw''!
    35,272 0* 0.00000% (99.913% 0.073% 0.014%)  'm free sm                                                                                                                    -----------cdeekknnoopttuuuw',!
    35,273 0* 0.00000% (99.913% 0.073% 0.014%)  'd count, future                                                                                                              -----------eeekkmmnopsw'!
    35,274 0* 0.00000% (99.913% 0.073% 0.014%)  'd count, future generations                                                                                                  eeekkmmnopsw'!
    35,275 0* 0.00000% (99.913% 0.073% 0.014%)  'd count, future me                                                                                                           -----------eekkmnopsw'!
    35,276 0* 0.00000% (99.913% 0.073% 0.014%)   proceeds                                                                                                                     -----------eefkkmmnnottuuuw'',!
    35,277 0* 0.00000% (99.913% 0.073% 0.014%)  'm deep, sure!                                                                                                                -----------cefkkmnnoottuuw'
    35,278 0* 0.00000% (99.913% 0.073% 0.014%)  'm not rocks!                                                                                                                 -----------deeeefkmnptuuuw',
    35,279 0* 0.00000% (99.913% 0.073% 0.014%)  'm free come,                                                                                                                 -----------dekknnopsttuuuw'!
    35,280 0* 0.00000% (99.913% 0.073% 0.014%)  'd use c                                                                                                                      -----------eeefkkmmnnooprttuuw',!
    35,281 0* 0.00000% (99.913% 0.073% 0.014%)   know, cred                                                                                                                   -----------eeefkmmnopsttuuu''!
    35,282 0* 0.00000% (99.913% 0.073% 0.014%)  'd post 'em on                                                                                                                -----------ceeefkkmnrtuuuw,!
    35,283 0* 0.00000% (99.913% 0.073% 0.014%)  'd cut me, for                                                                                                                -----------eeekkmnnopstuuw'!
    35,284 0* 0.00000% (99.913% 0.073% 0.014%)   must mount                                                                                                                   -----------cdeeeefkknopruw'',!
    35,285 0* 0.00000% (99.913% 0.073% 0.014%)  'm sure generations of unc                                                                                                    deeekkmnopttuw',!
    35,286 0* 0.00000% (99.913% 0.073% 0.014%)   sum up modern                                                                                                                -----------ceeefkknottuw'',!
    35,287 0* 0.00000% (99.913% 0.073% 0.014%)   for one we                                                                                                                   -----------cdeekkmmnpsttuuu'',!
    35,288 0* 0.00000% (99.913% 0.073% 0.014%)   for one weep                                                                                                                 -----------cdekkmmnsttuuu'',!
    35,289 0* 0.00000% (99.913% 0.073% 0.014%)  'm now due to                                                                                                                 -----------ceeefkkmnprstuu',!
    35,290 0* 0.00000% (99.913% 0.073% 0.014%)  'd count! me                                                                                                                  -----------eeefkkmnoprstuuw',
    35,291 0* 0.00000% (99.913% 0.073% 0.014%)  'm 'ps                                                                                                                        -----------cdeeeefkkmnnoorttuuuw,!
    35,292 0* 0.00000% (99.913% 0.073% 0.014%)  'd present,                                                                                                                   -----------ceefkkmmnootuuuw'!
    35,293 0* 0.00000% (99.913% 0.073% 0.014%)  'm ensu                                                                                                                       -----------cdeeefkkmnooprttuuw',!
    35,294 0* 0.00000% (99.913% 0.073% 0.014%)  'm upset too                                                                                                                  -----------cdeeefkkmnnruuw',!
    35,295 0* 0.00000% (99.913% 0.073% 0.014%)  'm upset too,                                                                                                                 -----------cdeeefkkmnnruuw'!
    35,296 0* 0.00000% (99.913% 0.073% 0.014%)  'm from poet,                                                                                                                 -----------cdeeekknnstuuuw'!
    35,297 0* 0.00000% (99.913% 0.073% 0.014%)  'm on two,                                                                                                                    -----------cdeeeefkkmnprstuuu'!
    35,298 0* 0.00000% (99.913% 0.073% 0.014%)   see future generations, men!                                                                                                 cdkkmnooptuw''
    35,299 0* 0.00000% (99.913% 0.073% 0.014%)   see future generations now, mem                                                                                              cdkknoptu''!
    35,300 0* 0.00000% (99.913% 0.073% 0.014%)  'd know future me,                                                                                                            -----------ceekmnopstu'!
    35,301 0* 0.00000% (99.913% 0.073% 0.014%)  'm fun super                                                                                                                  -----------cdeeekkmnoottuw',!
    35,302 0* 0.00000% (99.913% 0.073% 0.014%)  'd suck no                                                                                                                    -----------eeeefkmmnoprttuuw',!
    35,303 0* 0.00000% (99.913% 0.073% 0.014%)  ''m done for                                                                                                                  -----------ceeekkmnpsttuuuw,!
    35,304 0* 0.00000% (99.913% 0.073% 0.014%)  'm our generations own                                                                                                        cdeeeefkkmnpsttuu',!
    35,305 0* 0.00000% (99.913% 0.073% 0.014%)  'm future generations now suck                                                                                                deeekmnopt',!
    35,306 0* 0.00000% (99.913% 0.073% 0.014%)   core dump on                                                                                                                 -----------eeefkkmnsttuuw'',!
    35,307 0* 0.00000% (99.913% 0.073% 0.014%)  'd owe po                                                                                                                     -----------ceeefkkmmnnrsttuuu',!
    35,308 0* 0.00000% (99.913% 0.073% 0.014%)  'm on se                                                                                                                      -----------cdeeefkkmnoprttuuuw',!
    35,309 0* 0.00000% (99.913% 0.073% 0.014%)  'm super ut                                                                                                                   -----------cdeeefkkmnnootuw',!
    35,310 0* 0.00000% (99.913% 0.073% 0.014%)   kept,                                                                                                                        -----------cdeeefkmmnnoorstuuuw''!
    35,311 0* 0.00000% (99.913% 0.073% 0.014%)   kept, um                                                                                                                     -----------cdeeefkmnnoorstuuw''!
    35,312 0* 0.00000% (99.913% 0.073% 0.014%)  'd poem't                                                                                                                     -----------ceeefkkmnnorstuuuw,!
    35,313 0* 0.00000% (99.913% 0.073% 0.014%)  'm on route                                                                                                                   -----------cdeeefkkmnpstuuw',!
    35,314 0* 0.00000% (99.913% 0.073% 0.014%)  'm so 'f                                                                                                                      -----------cdeeeekkmnnoprttuuuw,!
    35,315 0* 0.00000% (99.913% 0.073% 0.014%)  'm stuck on red                                                                                                               -----------eeefkmnoptuuw',!
    35,316 0* 0.00000% (99.913% 0.073% 0.014%)   know 'sc                                                                                                                     -----------deeeefkmmnoprttuuu',!
    35,317 0* 0.00000% (99.913% 0.073% 0.014%)  'm stuck on true                                                                                                              -----------deeefkmnopuw',!
    35,318 0* 0.00000% (99.913% 0.073% 0.014%)  'm spoo                                                                                                                       -----------cdeeeefkkmnnrttuuuw',!
    35,319 0* 0.00000% (99.913% 0.073% 0.014%)  'm know our generations                                                                                                       cdeeeefkmnpsttuu',!
    35,320 0* 0.00000% (99.913% 0.073% 0.014%)   found some cr                                                                                                                -----------eeekkmnpttuuw'',!
    35,321 0* 0.00000% (99.913% 0.073% 0.014%)   found some crum                                                                                                              -----------eeekknpttuw'',!
    35,322 0* 0.00000% (99.913% 0.073% 0.014%)  'm not so cur                                                                                                                 -----------deeeefkkmnptuuw',!
    35,323 0* 0.00000% (99.913% 0.073% 0.014%)   see more generations                                                                                                         cdefkkmnnopttuuuw'',!
    35,324 0* 0.00000% (99.913% 0.073% 0.014%)  'm must on                                                                                                                    -----------cdeeeefkknoprtuuw',!
    35,325 0* 0.00000% (99.913% 0.073% 0.014%)   once rem                                                                                                                     -----------deefkkmnopsttuuuw'',!
    35,326 0* 0.00000% (99.913% 0.073% 0.014%)  'm me, generations down                                                                                                       ceeefkknoprsttuuu'!
    35,327 0* 0.00000% (99.913% 0.073% 0.014%)  'd count generations of,                                                                                                      eeeekkmmnprstuuw'!
    35,328 0* 0.00000% (99.913% 0.073% 0.014%)  'm open to mur                                                                                                                -----------cdeeefkknstuuw',!
    35,329 0* 0.00000% (99.913% 0.073% 0.014%)   keep know                                                                                                                    -----------cdeefmmnorsttuuu'',!
    35,330 0* 0.00000% (99.913% 0.073% 0.014%)  'm more cos                                                                                                                   -----------deeefkknnpttuuuw',!
    35,331 0* 0.00000% (99.913% 0.073% 0.014%)  'm on for weeks                                                                                                               -----------cdeekmnpttuuu',!
    35,332 0* 0.00000% (99.913% 0.073% 0.014%)   set generations                                                                                                              cdeeefkkmmnnooprtuuuw'',!
    35,333 0* 0.00000% (99.913% 0.073% 0.014%)   don't commute!                                                                                                               -----------eeefkknprsuuw',
    35,334 0* 0.00000% (99.913% 0.073% 0.014%)   use 'pre                                                                                                                     -----------cdeefkkmmnnoottuuw',!
    35,335 0* 0.00000% (99.913% 0.073% 0.014%)  'd keep me for generations                                                                                                    cekmnnosttuuuw',!
    35,336 0* 0.00000% (99.913% 0.073% 0.014%)  'm more put on                                                                                                                -----------cdeeefkknstuuw',!
    35,337 0* 0.00000% (99.913% 0.073% 0.014%)  'm um, ret                                                                                                                    -----------cdeeefkknnoopstuuw'!
    35,338 0* 0.00000% (99.913% 0.073% 0.014%)  'm open to 'future                                                                                                            -----------cdeekkmnsuw,!
    35,339 0* 0.00000% (99.913% 0.073% 0.014%)  'd mute                                                                                                                       -----------ceeefkkmnnooprstuuw',!
    35,340 0* 0.00000% (99.913% 0.073% 0.014%)   weep for d                                                                                                                   -----------ceekkmmnnosttuuu'',!
    35,341 0* 0.00000% (99.913% 0.073% 0.014%)   know, future generations keep some                                                                                           cdmntu''!
    35,342 0* 0.00000% (99.913% 0.073% 0.014%)   keep 'c                                                                                                                      -----------deefkmmnnoorsttuuuw',!
    35,343 0* 0.00000% (99.913% 0.073% 0.014%)   put 'w                                                                                                                       -----------cdeeeefkkmmnnoorstuu',!
    35,344 0* 0.00000% (99.913% 0.073% 0.014%)   sooner                                                                                                                       -----------cdeeefkkmmnpttuuuw'',!
    35,345 0* 0.00000% (99.913% 0.073% 0.014%)   put 'me'                                                                                                                     -----------cdeeefkkmnnoorstuuw,!
    35,346 0* 0.00000% (99.913% 0.073% 0.014%)  'm due up front                                                                                                               -----------ceeekkmnostuw',!
    35,347 0* 0.00000% (99.913% 0.073% 0.014%)  'm from generations utop                                                                                                      cdeeeekknnstuuw',!
    35,348 0* 0.00000% (99.913% 0.073% 0.014%)   fucked me                                                                                                                    -----------eekmnnooprsttuuw'',!
    35,349 0* 0.00000% (99.913% 0.073% 0.014%)   fucked me up                                                                                                                 -----------eekmnnoorsttuw'',!
    35,350 0* 0.00000% (99.913% 0.073% 0.014%)   fucked me up,                                                                                                                -----------eekmnnoorsttuw''!
    35,351 0* 0.00000% (99.913% 0.073% 0.014%)   fucked me up!                                                                                                                -----------eekmnnoorsttuw'',
    35,352 0* 0.00000% (99.913% 0.073% 0.014%)  'm set, count                                                                                                                 -----------deeefkkmnopruuw'!
    35,353 0* 0.00000% (99.913% 0.073% 0.014%)  'm set, count me                                                                                                              -----------deefkknopruuw'!
    35,354 0* 0.00000% (99.913% 0.073% 0.014%)  'm not etc,                                                                                                                   -----------deeefkkmnoprsuuuw'!
    35,355 0* 0.00000% (99.913% 0.073% 0.014%)   seek to produce                                                                                                              -----------efkmmnntuuw'',!
    35,356 0* 0.00000% (99.913% 0.073% 0.014%)  'm for te                                                                                                                     -----------cdeeekkmnnopstuuuw',!
    35,357 0* 0.00000% (99.913% 0.073% 0.014%)  'm sure, once p                                                                                                               -----------deefkkmnottuuw'!
    35,358 0* 0.00000% (99.913% 0.073% 0.014%)  , for two                                                                                                                     -----------cdeeeekkmmnnpstuuu''!
    35,359 0* 0.00000% (99.913% 0.073% 0.014%)  'm come up ok,                                                                                                                -----------deeefknnrsttuuw'!
    35,360 0* 0.00000% (99.913% 0.073% 0.014%)  'm pew                                                                                                                        -----------cdeeefkkmnnoorsttuuu',!
    35,361 0* 0.00000% (99.913% 0.073% 0.014%)  'm cut one                                                                                                                    -----------deeefkkmnoprstuuw',!
    35,362 0* 0.00000% (99.913% 0.073% 0.014%)  d                                                                                                                             -----------ceeeefkkmmnnooprsttuuuw'',!
    35,363 0* 0.00000% (99.913% 0.073% 0.014%)  'd counter su                                                                                                                 -----------eeefkkmmnoptuw',!
    35,364 0* 0.00000% (99.913% 0.073% 0.014%)  ''m fr                                                                                                                        -----------cdeeeekkmnnoopsttuuuw,!
    35,365 0* 0.00000% (99.913% 0.073% 0.014%)   won't, ut of                                                                                                                 -----------cdeeeekkmmnprsuu'!
    35,366 0* 0.00000% (99.913% 0.073% 0.014%)   weep, un                                                                                                                     -----------cdeefkkmmnoorsttuu''!
    35,367 0* 0.00000% (99.913% 0.073% 0.014%)   met '                                                                                                                        -----------cdeeefkkmnnooprstuuuw',!
    35,368 0* 0.00000% (99.913% 0.073% 0.014%)  'm done, use me                                                                                                               -----------cefkknoprttuuw'!
    35,369 0* 0.00000% (99.913% 0.073% 0.014%)  'm for putt                                                                                                                   -----------cdeeeekkmnnosuuw',!
    35,370 0* 0.00000% (99.913% 0.073% 0.014%)  'm so 'down                                                                                                                   -----------ceeeefkkmnprttuuu,!
    35,371 0* 0.00000% (99.913% 0.073% 0.014%)   rock, po                                                                                                                     -----------deeeefkmmnnsttuuuw''!
    35,372 0* 0.00000% (99.913% 0.073% 0.014%)  'd put re                                                                                                                     -----------ceeefkkmmnnoostuuw',!
    35,373 0* 0.00000% (99.913% 0.073% 0.014%)   weep, once more                                                                                                              -----------dfkkmnsttuuu''!
    35,374 0* 0.00000% (99.913% 0.073% 0.014%)  'm future generations pot                                                                                                     cdeeekkmnnosuw',!
    35,375 0* 0.00000% (99.913% 0.073% 0.014%)   run compet                                                                                                                   -----------deeefkkmnostuuw'',!
    35,376 0* 0.00000% (99.913% 0.073% 0.014%)   come now, future                                                                                                             -----------deekkmnpstu''!
    35,377 0* 0.00001% (99.913% 0.073% 0.014%)   come now, future generations                                                                                                 deekkmnpstu''!
    35,378 0* 0.00002% (99.913% 0.073% 0.014%)   come now, future generations!                                                                                                deekkmnpstu''
    35,379 0* 0.00000% (99.913% 0.073% 0.014%)   or, um                                                                                                                       -----------cdeeeefkkmnnopsttuuw''!
    35,380 0* 0.00000% (99.913% 0.073% 0.014%)   round out                                                                                                                    -----------ceeeefkkmmnpstuw'',!
    35,381 0* 0.00000% (99.913% 0.073% 0.014%)  'm not perfect, em                                                                                                            -----------dekknosuuuw'!
    35,382 0* 0.00000% (99.913% 0.073% 0.014%)  'm knocked, ut                                                                                                                -----------eeefmnoprstuuw'!
    35,383 0* 0.00000% (99.913% 0.073% 0.014%)  'm four deep generations                                                                                                      ceekkmnnosttuuw',!
    35,384 0* 0.00000% (99.913% 0.073% 0.014%)  'm onto 'em!                                                                                                                  -----------cdeeefkknprstuuuw,
    35,385 0* 0.00000% (99.913% 0.073% 0.014%)  'm to rum                                                                                                                     -----------cdeeeefkknnopstuuw',!
    35,386 0* 0.00000% (99.913% 0.073% 0.014%)   won't seek deep                                                                                                              -----------cfkmmnortuuu',!
    35,387 0* 0.00000% (99.913% 0.073% 0.014%)  'm open for tum                                                                                                               -----------cdeeekknstuuw',!
    35,388 0* 0.00000% (99.913% 0.073% 0.014%)   down,                                                                                                                        -----------ceeeefkkmmnoprsttuuu''!
    35,389 0* 0.00000% (99.913% 0.073% 0.014%)   comment to                                                                                                                   -----------deeefkknprsuuuw'',!
    35,390 0* 0.00000% (99.913% 0.073% 0.014%)  'd know me,                                                                                                                   -----------ceeefkmnoprsttuuu'!
    35,391 0* 0.00000% (99.913% 0.073% 0.014%)  'd put ne                                                                                                                     -----------ceeefkkmmnoorstuuw',!
    35,392 0* 0.00000% (99.913% 0.073% 0.014%)   stuck 'em up for generations                                                                                                 deeekmnnotuw',!
    35,393 0* 0.00000% (99.913% 0.073% 0.014%)  'm keen to suck up                                                                                                            -----------deefmnortuw',!
    35,394 0* 0.00000% (99.913% 0.073% 0.014%)  'm rockets!                                                                                                                   -----------deeefkmnnoptuuuw',
    35,395 0* 0.00000% (99.913% 0.073% 0.014%)  'm respected generations to                                                                                                   efkkmnnouuuw',!
    35,396 0* 0.00000% (99.913% 0.073% 0.014%)  'm future generations'com                                                                                                     deeekknnopstuw,!
    35,397 0* 0.00000% (99.913% 0.073% 0.014%)  'm to respected generations of                                                                                                ekkmnnuuuw',!
    35,398 0* 0.00000% (99.913% 0.073% 0.014%)  'm turned up!                                                                                                                 -----------ceeefkkmnoostuw',
    35,399 0* 0.00000% (99.913% 0.073% 0.014%)   posture!                                                                                                                     -----------cdeeefkkmmnnotuuw'',
    35,400 0* 0.00000% (99.913% 0.073% 0.014%)  'm free document                                                                                                              -----------ekknopstuuw',!
    35,401 0* 0.00000% (99.913% 0.073% 0.014%)   need to power                                                                                                                -----------cefkkmmnstuuu'',!
    35,402 0* 0.00000% (99.913% 0.073% 0.014%)  'd focus not                                                                                                                  -----------eeeekkmmnprtuuw',!
