FOR WHAT I CAN ONLY DESCRIBE AS "AWESOME REASONS"
236.19%:  REASONS
0.41%:  WHAT I CAN ONLY DESCRIBE AS "RA
0.41%:  WHAT I CAN ONLY DESCRIBE AS FR
0.40%:  WHAT I CAN ONLY DESCRIBE AS A "MOR
0.40%:  WHAT I CAN ONLY DESCRIBE AS A "FORM
0.39%:  WHAT I CAN ONLY DESCRIBE AS "A FE
0.39%:  WHAT I CAN ONLY DESCRIBE AS A MOR
0.39%:  WHAT I CAN ONLY DESCRIBE AS "FRE
0.39%:  WHAT I CAN ONLY DESCRIBE AS " REASONS"
0.38%:  WHAT I CAN ONLY DESCRIBE AS "A RE
0.37%:  WHAT I CAN ONLY DESCRIBE AS "AW
0.35%:  WHAT I CAN ONLY DESCRIBE AS A "MO
0.34%:  WHAT I CAN ONLY DESCRIBE AS MAR
0.33%:  WHAT I CAN ONLY DESCRIBE AS "REF
0.33%:  WHAT I CAN ONLY DESCRIBE ARE
0.71%:  WHAT I CAN ONLY DESCRIBE ARE REASONS
0.32%:  WHAT I CAN ONLY DESCRIBE AS A FE
0.32%:  WHAT I CAN ONLY DESCRIBE AS A WE
0.32%:  WHAT I CAN ONLY DESCRIBE AS A "F
0.31%:  WHAT I CAN ONLY DESCRIBE AS FORM
0.31%:  WHAT I CAN ONLY DESCRIBE AS A FOR
0.30%:  WHAT I CAN ONLY DESCRIBE AS A "W
0.30%:  WHAT I CAN ONLY DESCRIBE AS ME
0.30%:  WHAT I CAN ONLY DESCRIBE AS "F
0.30%:  WHAT I CAN ONLY DESCRIBE AS REASONS OF A "
0.29%:  WHAT I CAN ONLY DESCRIBE AS A MERE
0.29%:  WHAT I CAN ONLY DESCRIBE AS "A REM
0.29%:  WHAT I CAN ONLY DESCRIBE AS M
0.28%:  WHAT I CAN ONLY DESCRIBE AS WE
0.28%:  WHAT I CAN ONLY DESCRIBE AS "A M
0.28%:  WHAT I CAN ONLY DESCRIBE AS "MERE
0.27%:  WHAT I CAN ONLY DESCRIBE AS "AM
0.27%:  WHAT I CAN ONLY DESCRIBE AS AW
0.27%:  WHAT I CAN ONLY DESCRIBE AS "A FEW MORE
0.38%:  WHAT I CAN ONLY DESCRIBE AS "A FEW MORE REASONS
0.26%:  WHAT I CAN ONLY DESCRIBE AS A MOO
0.26%:  WHAT I CAN ONLY DESCRIBE AS "MORE OF
0.26%:  WHAT I CAN ONLY DESCRIBE AS "A FEW"
1.80%:  WHAT I CAN ONLY DESCRIBE AS "A FEW" REASONS
0.26%:  WHAT I CAN ONLY DESCRIBE AS "FEAR
0.38%:  WHAT I CAN ONLY DESCRIBE AS "FEAR REASONS
0.24%:  WHAT I CAN ONLY DESCRIBE AS "A FR
0.23%:  WHAT I CAN ONLY DESCRIBE AS "A MORE
0.23%:  WHAT I CAN ONLY DESCRIBE AS MER
0.22%:  WHAT I CAN ONLY DESCRIBE AS MERE
0.22%:  WHAT I CAN ONLY DESCRIBE AS "A MOR
0.22%:  WHAT I CAN ONLY DESCRIBE AS "WR
0.21%:  WHAT I CAN ONLY DESCRIBE AS A "MERE
0.21%:  WHAT I CAN ONLY DESCRIBE AS FRA
0.21%:  WHAT I CAN ONLY DESCRIBE AS REASONS WE
0.21%:  WHAT I CAN ONLY DESCRIBE AS "A FORM
0.20%:  WHAT I CAN ONLY DESCRIBE AS A "FRE
0.20%:  WHAT I CAN ONLY DESCRIBE AS A "FEW
1.07%:  WHAT I CAN ONLY DESCRIBE AS A "FEW REASONS
0.20%:  WHAT I CAN ONLY DESCRIBE AS A F
0.20%:  WHAT I CAN ONLY DESCRIBE ARE SOME
0.47%:  WHAT I CAN ONLY DESCRIBE ARE SOME REASONS
0.19%:  WHAT I CAN ONLY DESCRIBE AS "FRA
0.19%:  WHAT I CAN ONLY DESCRIBE AS REASONS MORE
0.19%:  WHAT I CAN ONLY DESCRIBE AS A "MER
0.18%:  WHAT I CAN ONLY DESCRIBE AS FOR A
0.18%:  WHAT I CAN ONLY DESCRIBE AS A "REF
0.18%:  WHAT I CAN ONLY DESCRIBE AS "FOR AWESOME
8.95%:  WHAT I CAN ONLY DESCRIBE AS "FOR AWESOME REASONS"
0.18%:  WHAT I CAN ONLY DESCRIBE AS A "FREE
0.17%:  WHAT I CAN ONLY DESCRIBE AS REASONS FROM
0.17%:  WHAT I CAN ONLY DESCRIBE AS "FAR
0.17%:  WHAT I CAN ONLY DESCRIBE AS "WOR
0.17%:  WHAT I CAN ONLY DESCRIBE AS "WE
0.16%:  WHAT I CAN ONLY DESCRIBE AS ARE
0.16%:  WHAT I CAN ONLY DESCRIBE AS "O
0.16%:  WHAT I CAN ONLY DESCRIBE AS 
0.16%:  WHAT I CAN ONLY DESCRIBE AS A "REM
0.16%:  WHAT I CAN ONLY DESCRIBE FOR REASONS
0.16%:  WHAT I CAN ONLY DESCRIBE AS A ROM
0.15%:  WHAT I CAN ONLY DESCRIBE AS AR
0.15%:  WHAT I CAN ONLY DESCRIBE AS A RO
0.15%:  WHAT I CAN ONLY DESCRIBE AS AM
0.15%:  WHAT I CAN ONLY DESCRIBE AS O
0.15%:  WHAT I CAN ONLY DESCRIBE AS "FOR AWESOME"
0.39%:  WHAT I CAN ONLY DESCRIBE AS "FOR AWESOME" REASONS
0.15%:  WHAT I CAN ONLY DESCRIBE AS EMER
0.15%:  WHAT I CAN ONLY DESCRIBE AS "ARE
0.15%:  WHAT I CAN ONLY DESCRIBE AS ROM
0.14%:  WHAT I CAN ONLY DESCRIBE AS "OR
0.14%:  WHAT I CAN ONLY DESCRIBE AS "A F
0.14%:  WHAT I CAN ONLY DESCRIBE AS "MOO
0.14%:  WHAT I CAN ONLY DESCRIBE AS MO
0.13%:  WHAT I CAN ONLY DESCRIBE AS "MORE E
0.13%:  WHAT I CAN ONLY DESCRIBE AS MA
0.13%:  WHAT I CAN ONLY DESCRIBE AS REASONS OF EM
0.13%:  WHAT I CAN ONLY DESCRIBE AS A "WE
0.12%:  WHAT I CAN ONLY DESCRIBE AS A W
0.12%:  WHAT I CAN ONLY DESCRIBE AS "A MERE
0.12%:  WHAT I CAN ONLY DESCRIBE AS REF
0.12%:  WHAT I CAN ONLY DESCRIBE AS "A WE
0.12%:  WHAT I CAN ONLY DESCRIBE FOR REASONS AS
0.12%:  WHAT I CAN ONLY DESCRIBE AS "OM
0.11%:  WHAT I CAN ONLY DESCRIBE AS A ME
0.11%:  WHAT I CAN ONLY DESCRIBE AS "A RO
0.11%:  WHAT I CAN ONLY DESCRIBE AS REASONS FOR A
0.11%:  WHAT I CAN ONLY DESCRIBE AS REASONS OF MOR
0.11%:  WHAT I CAN ONLY DESCRIBE AS REM
0.11%:  WHAT I CAN ONLY DESCRIBE AS FRE
0.11%:  WHAT I CAN ONLY DESCRIBE AS A MO
0.11%:  WHAT I CAN ONLY DESCRIBE AS FE
0.10%:  WHAT I CAN ONLY DESCRIBE AS A 
0.10%:  WHAT I CAN ONLY DESCRIBE AS A "EM
0.10%:  WHAT I CAN ONLY DESCRIBE AS REASONS "FOR
0.10%:  WHAT I CAN ONLY DESCRIBE AS MORE OF
0.10%:  WHAT I CAN ONLY DESCRIBE ARE REASONS OF
0.10%:  WHAT I CAN ONLY DESCRIBE AS "A ME
0.10%:  WHAT I CAN ONLY DESCRIBE AS REASONS "OF
0.10%:  WHAT I CAN ONLY DESCRIBE A
0.10%:  WHAT I CAN ONLY DESCRIBE AS A REASONS OF
0.10%:  WHAT I CAN ONLY DESCRIBE AS "A FEW R
0.10%:  WHAT I CAN ONLY DESCRIBE AS REASONS FOR ME
0.09%:  WHAT I CAN ONLY DESCRIBE AS REASONS OF E
0.09%:  WHAT I CAN ONLY DESCRIBE AS "MR
0.09%:  WHAT I CAN ONLY DESCRIBE AS MERE REASONS
0.09%:  WHAT I CAN ONLY DESCRIBE AS A "WR
0.09%:  WHAT I CAN ONLY DESCRIBE AS "MERE REASONS
0.09%:  WHAT I CAN ONLY DESCRIBE AS ARE REASONS
0.09%:  WHAT I CAN ONLY DESCRIBE AS "A ROM
0.08%:  WHAT I CAN ONLY DESCRIBE AS FOR A "
0.08%:  WHAT I CAN ONLY DESCRIBE AS MOO
0.08%:  WHAT I CAN ONLY DESCRIBE AS REASONS OF A MORE
0.08%:  WHAT I CAN ONLY DESCRIBE ARE SOME "
0.08%:  WHAT I CAN ONLY DESCRIBE AS "FORE
0.08%:  WHAT I CAN ONLY DESCRIBE AS FAR
0.08%:  WHAT I CAN ONLY DESCRIBE AS "FARM
0.12%:  WHAT I CAN ONLY DESCRIBE AS "FARM REASONS
0.08%:  WHAT I CAN ONLY DESCRIBE AS "FO
0.08%:  WHAT I CAN ONLY DESCRIBE AS A "E
0.08%:  WHAT I CAN ONLY DESCRIBE AS "A"
0.08%:  WHAT I CAN ONLY DESCRIBE AS "A W
0.08%:  WHAT I CAN ONLY DESCRIBE AS "ER
0.08%:  WHAT I CAN ONLY DESCRIBE AS REASONS OF A MOR
0.07%:  WHAT I CAN ONLY DESCRIBE AS F
0.07%:  CAREER
0.07%:  SOME WONDER
0.07%:  "HORSES ONLY
1.06%:  "HORSES ONLY" REASONS
0.07%:  WHAT I CAN ONLY DESCRIBE AS WAR
0.07%:  SOME STE
0.08%:  SOME STEADY REASONS
0.07%:  A HORSE I CAN
0.07%:  AW
0.07%:  SOME SECRET REASONS I CAN ONLY
0.07%:  HORSE RELATED REASONS OF A NON
0.07%:  FOR REASONS I CAN ONLY DESCRIBE AS HOM
0.07%:  AN INDOOR CH
0.07%:  AN AN
0.07%:  A BIT OF HORSE AND
0.07%:  FASHION
0.63%:  FASHION REASONS
0.07%:  THE ANSWERS
0.07%:  MY OWN SECRET CH
0.07%:  FOR CHESS TRO
0.07%:  CHESS MAT
0.07%:  WHAT I CAN ONLY DESCRIBE AS REASONS R
0.07%:  A SECRET CON
0.07%:  FOR CHESS REASONS NOW
0.07%:  CHESS D
0.07%:  FOR MORE CHE
0.07%:  CHESS REASONS I CAN ONLY
0.07%:  FOR A SECOND REASON
0.07%:  NON HORSE RELATED REASONS IF
0.07%:  FOR SOME REASONS I NEED TO BE
0.07%:  "DRESS
0.07%:  MOO
0.07%:  A REASON I
0.10%:  A REASON I CAN
0.07%:  FOR A LESSON IN THE
0.07%:  REASONS I CAN ONLY DESCRIBE AS "TH
0.07%:  HORSES MAN
0.07%:  HORSE FEED
0.07%: CHESS TIME
0.07%:  ONE HORSE OF
0.07%:  THE FINAL
0.07%:  FOR AWESOME REASONS I
0.14%:  FOR AWESOME REASONS I CANNOT
0.14%:  FOR AWESOME REASONS I CANNOT DIS
0.13%:  FOR AWESOME REASONS I CANNOT DESCR
0.07%:  STABLE REASONS MAY
0.07%:  RELATED REASON
0.07%:  ANOTHER MEAN
0.07%:  MORE CHESS RELATED REASONS I
0.07%:  A HORSES RACE
0.07%:  FOR A SECRET COW
0.07%:  FOR A HORSE NEEDS
0.07%:  FOR THE ANSWER
0.07%:  A HORSE NAMED "BO
0.07%:  A RACE BETWEEN H
0.07%:  FOR CHESS RELATED REASONS OB
0.07%:  CHESS O
0.20%:  CHESS O REASONS
0.07%:  FOR REASONS I CAN ONLY DESCRIBE AS "WH
0.08%:  FOR REASONS I CAN ONLY DESCRIBE AS "WHATE
0.07%:  HORSE REL
0.07%:  FOR A "SECRET
0.07%:  A STORY
0.07%:  WHAT I CAN ONLY DESCRIBE AS "FOR"
0.16%:  WHAT I CAN ONLY DESCRIBE AS "FOR" REASONS
0.07%:  CHORES
0.07%:  FOR SOME REL
0.07%:  BOTH
0.07%:  SOME REASON I ONLY
0.07%:  ICE
0.07%:  ANOTHER REAL
0.07%:  WHAT I CAN ONLY DESCRIBE AS "FREE REASONS
0.07%:  HORSES DO
0.07%:  MY NEW CHESS TRAIN
0.07%:  A SECRET SOCIAL MEDIA
0.07%:  FOR A HORSE I NEED
0.07%:  WHAT I CAN ONLY DESCRIBE AS A FRE
0.07%:  FOR REASONS I WON
0.07%:  A CERTAIN HORSE IS
0.07%:  WHAT I CAN ONLY DESCRIBE AS A MERE "
0.07%:  FOR A MISSION
0.07%:  OTHER REASONS AND ALSO MY
0.07%:  CRYSTAL
0.07%:  FOR A NICE CHAT
0.07%:  HORSE DRAMA REASONS
0.07%:  FOR REASONS I CAN ONLY DESCRIBE AS E
0.07%:  FEEL
0.07%:  FOR A WHOLE SERIES
0.07%:  FOR A HORSE AND ALSO
0.07%:  REASONS OF AN
0.07%:  A CHESS MATE
0.07%:  A "SECRET
0.17%:  A "SECRET" REASON
0.08%:  A "SECRET" HORSE
0.07%:  FOR A HORSE TO SEE
0.07%:  A HORSE NAMED RE
0.07%:  A HORSE MADE
0.08%:  A HORSE MADE OF STEEL
0.07%:  "SOME"
0.28%:  "SOME" REASONS
0.12%:  "SOME" HORSE
0.11%:  "SOME" HORSE REASONS
0.07%:  "SOME" HORSE RELATED
1.11%:  "SOME" HORSE RELATED REASONS
0.07%:  ROBOTIC CH
0.40%:  ROBOTIC CHESS REASONS
0.07%:  WHAT I CAN ONLY DESCRIBE AS "WAR REASONS
0.07%:  FOR THE SAME REASON A
0.07%:  SOME BREATH
0.07%:  OH MAN
0.07%:  ANOTHER WIN
0.07%:  OTHER REASONS AND MAYBE I
0.07%:  "HORSE CARE
0.07%:  "HORSE CARE" REASONS
0.07%:  SECRET SHADOW
0.07%:  STABLE REASONS OF MINE
0.07%:  WATER
0.07%:  HON
0.11%:  HONESTY
0.93%:  HONESTY REASONS
0.07%:  SECOND
0.07%:  A REAL REASON THIS
0.07%:  I NEED HORSE
0.07%:  THE REAL
0.40%:  THE REAL REASON
0.14%:  THE REAL REASON I
0.07%:  A SECRET SCO
0.07%:  MORE REASONS THAN I CAN SAF
0.24%:  MORE REASONS THAN I CAN SAFELY DESCR
0.20%:  MORE REASONS THAN I CAN SAFELY DIS
0.15%:  MORE REASONS THAN I CAN SAFELY AD
0.07%:  HORSE L
0.07%:  A HORSE IS BORN
0.07%:  OTHER REASONS AND I
0.07%:  SOME HORSE REASONS I DON
0.07%:  WHAT I CAN ONLY DESCRIBE AS A MORE "
0.07%:  FOR SOME WH
0.07%:  FOR A SECRET CON
0.07%:  ONE SECRET
0.07%:  FOR BREATH
0.07%:  FOR REASONS I ALREADY
0.07%:  CHEESE AND
0.07%:  HORSE MEDICAL
0.07%:  SOME HORSE TRO
0.07%:  FOOD
0.07%:  REASONS I CAN ONLY DESCRIBE AS "M
0.07%:  FOR SOME REASON I WANTED A
0.07%:  A REASONS
0.07%:  FOR MY SECRET WE
0.07%:  NON HORSE RELATED REASONS COM
0.07%:  SOME FINAL
0.07%:  MORALS
0.67%:  MORALS REASONS
0.07%:  MY HORSE TO ANSWER
0.07%:  FOR SOME SEC
0.07%:  SOME HORSE RELATED REASONS IF
0.07%:  WHAT I CAN ONLY DESCRIBE AS "FRAM
0.07%:  FOR AWESOME REASONS I CAN
0.07%:  FOR A HORSE NAMED "ST
0.07%:  OTHER REASONS I CAN ONLY DESCRIBE AS E
0.07%:  RIDE TIME
0.07%:  SOME HORSE C
0.07%:  I NEED SOME
0.12%:  I NEED SOME HORSE
0.07%:  AN OLD
0.08%:  AN OLD HORSE
0.07%:  FORTY WIN
0.07%:  SOME REASONS I CANNOT CLARIFY HERE
0.07%:  HORSES IN ACTION
0.07%:  OTHER REASONS I CAN ONLY DESCRIBE AS EM
0.07%:  MORE REASONS THAN I CAN AD
0.07%:  AN ANATOMY CLASS
0.07%:  CHESS RELATED REASONS 
0.07%:  CHESS RE REASONS
0.07%:  FOR SOME "HORSE"
0.33%:  FOR SOME "HORSE" REASONS
0.07%: A RIDE
0.07%:  REASONS I CAN ONLY DESCRIBE AS THE "
0.07%:  A SENSE
0.28%:  A SENSE OF BALANCE
0.07%:  A SENSE OF CONTROL
0.07%:  ALREADY
0.08%:  ALREADY REASONS
0.07%:  CHESS CON
0.07%:  MY SECRET CHE
0.07%:  MY BOARD
0.07%:  RED REASONS
0.07%:  REASONS I CAN NOT DIS
0.07%:  ANOTHER WAY
0.07%:  SECRETS AND REASONS
0.07%:  A HORSE AND SOMEONE
0.07%:  A HORSE NAMED "T
0.07%:  MORE REASONS THAN WE CAN SAY
0.07%:  CHESS ERR
0.07%: HORSE RELATED REASONS I CAN
0.07%:  WHAT I CAN ONLY DESCRIBE AS WOR
0.07%:  HORSE DISC
0.07%:  FOR A SECRET "
0.07%:  FOR MEDICAL REASONS IN THE
0.07%:  FOR MEDICAL REASONS IN THE CASE
0.07%:  "LESSON
0.08%:  "LESSON TIME
0.07%:  A HORSE NAMED FOR
0.07%:  FOR TEAM
0.07%:  A SECRET HORSE NAM
0.10%:  A SECRET HORSE NAMED "
0.07%:  MORE REASONS THAN ANY OF
0.07%:  HORSE C
0.07%:  HORSES ARE WE
0.07%:  AN ART
0.08%:  AN ART LESSON
0.07%:  MY LESSON ON
0.07%:  MY LESSON ON HOW
0.07%:  FOR "CH
2.49%:  FOR "CHESS REASONS
1.49%:  FOR "CHESS" REASONS
0.35%:  FOR "CHESS RELATED
0.15%:  FOR "CHESS RELATED"
0.07%:  HORSES BEFORE
0.07%:  MENTAL
0.55%:  MENTAL REASONS
0.08%:  MENTAL HORSE
0.07%:  FOR AN ARTICLE ON
0.07%:  MY NEW BEST HORSE
0.07%:  FOR MY SECRET H
0.07%:  ANOTHER SENS
0.07%:  WHAT I CAN ONLY DESCRIBE ARE "SOME
0.74%:  WHAT I CAN ONLY DESCRIBE ARE "SOME REASONS
0.07%:  HORSES ARE MADE
0.07%:  "HORSE SCIENCE
0.07%:  FOR A LESSON IN HOW
0.07%:  FOR SHADOW
0.07%:  SECRET MEDICAL
0.07%:  FOR A CLASS ON
0.07%:  A SECRET HORSE MY
0.07%:  THE SCIENCE
0.07%:  RED HORSE
0.07%:  FOR A HORSE AND A MAN
0.07%:  STABLE HORSE MAN
0.07%:  FOR SOME REALITY BASED
0.95%:  FOR SOME REALITY BASED REASONS
0.07%:  REASONS I NEED NOT EL
0.07%:  A HORSE NAMED BONES
0.07%:  EMOTION
0.07%:  SOME HORSE BREED REASONS
0.07%:  FOR REASONS I CAN ONLY DESCRIBE TO
0.07%:  FOR A CLASS ACTION
0.07%:  FOR SOME LAST
0.07%:  SECRET REASONS I WON
0.07%: FOR CH
1.57%: FOR CHESS REASONS
0.07%:  FOR RAC
1.40%:  FOR RACIAL REASONS
0.07%:  A CERTAIN HORSE AND ALSO
0.07%:  STABLE REASONS IN
0.07%:  REASONS I CANNOT EL
0.07%: H
0.93%: HORSES REASONS
0.35%: HORSES AND
0.07%:  FOR A TIME
0.20%:  FOR A TIME SENS
0.07%:  OTHER REASONS AND ALSO FOR A
0.07%:  HORSE FACTORS
0.07%:  FOR CERTAIN REASONS I NEED
0.07%:  STABLE REASONS OH
0.09%:  STABLE REASONS OH MAN
0.07%:  FOR SENS
0.07%:  CHESS RELATED REASONS CAN
0.07%:  REASONS I CANNOT ADE
0.07%:  FOR COMICS RELATED
0.07%:  A HORSE NAMED CARL
0.07%: SOME SECRET
0.07%:  A HORSE RACE I
0.07%:  REN
0.07%:  FOR HORSE REASONS I NEED
0.07%:  A DRESS
0.07%:  FOR OTHER REASONS I DON
0.07%:  A HORSE AND ALSO FOR A
0.07%:  A FEW REASON
0.06%:  YES
0.06%:  FOR A WHOLE REASON
0.06%: A HORSE NAM
0.06%:  FOR ST
0.21%:  FOR STABLE HORSE
1.99%:  FOR STABLE HORSE REASONS
0.20%:  FOR STABLE REASON
0.10%:  FOR STABLE CH
0.10%:  FOR STABLE SCIENCE
0.15%:  FOR STABLE SCIENCE REASONS
0.06%:  OTHER REASONS AND ALSO SCIENCE
0.06%:  MORE FRIENDS
0.06%:  FOR HORSES CAN
0.06%:  HORSE NOTES
0.06%:  AN ALMOST
0.06%:  FRESH
0.06%:  A HORSE MEET AND
0.06%:  HORSE CRABS
0.06%:  A HORSE NAMED "ROBIN
0.06%:  TO SEE A
0.45%:  TO SEE A FRIEND
0.06%:  FOR MY HORSE LISTEN
0.06%:  OTHER REASONS AND ALSO FOR MY
0.06%:  FOR DANCE
0.23%:  FOR DANCE CLASS
0.17%:  FOR DANCE LESS
0.06%:  A HORSE TRAINED
0.06%:  CHESS RELATED REASONS OF AN
0.06%:  ONE HORSE AND
0.06%:  TRADES
0.06%:  "CHESS RELATED" REASONS I
0.06%:  HORSES TO RIDE ON
0.06%:  AN AFTER SCHOOL RIDE
0.06%:  A HORSE NAMED FRANCIS
0.06%:  STE
0.29%:  STEADY REASONS
0.16%:  STEADY HORSE
0.06%:  MORE REASONS THAN ON
0.06%:  REASONS SECRET
0.06%:  REASONS I CAN NOT DESCR
0.06%:  HORSES NEED NOT
0.06%:  I NEED TO SEE MY
0.06%: REASON
0.06%:  A WHOLE SERIES OF REASONS I
0.16%:  A WHOLE SERIES OF REASONS I CANNOT
0.10%:  A WHOLE SERIES OF REASONS I CAN
0.06%:  FOR SOME BREATH
0.06%:  SECRET HORSE REASONS I
0.07%:  SECRET HORSE REASONS I CAN
0.06%:  MY CHESS DATE
0.06%:  FOR CHEE
0.06%:  WHAT I CAN ONLY DESCRIBE AS FOR AWESOME
0.06%:  DYNAMIC
0.11%:  DYNAMIC REASONS
0.08%:  DYNAMIC HORSE
0.06%:  FOR A HORSE NAMED "STE
0.06%:  TO LEARN SOME
0.10%:  TO LEARN SOME HORSE
0.06%:  REASONS TO BE CLEAR
0.06%:  MYS
0.06%:  SECRET SCHE
0.06%:  "A HORSE"
0.06%:  FOR A HORSE NAMED E
0.06%:  DYNAM
0.06%:  FOR A HORSE NAMED L
0.06%:  FOR MY NEW HORSE TO
0.06%:  "HORSE CARE REASONS
0.06%:  SOME REALITY CHE
0.06%:  SOME REASONS I CANNOT DESCRIBE OR
0.06%:  FOR A R
0.06%:  HORSE DREAM
0.06%:  SOME HORSE T
0.06%:  FOR REASONS I CAN ONLY DESCRIBE AS THE "
0.06%:  FOR SOME REASONS OR
0.06%:  FOR MORE REASONS THAN I CAN AD
0.06%:  A HORSE TO SEE
0.06%:  FOR NO REASON WHY
0.06%:  AN ENTIRE DAY OF
0.20%:  AN ENTIRE DAY OF HORSE
0.06%:  HORSE O
0.06%:  CHESS RELIEF
0.06%:  A NEW FRIEND
0.06%:  WHAT I CAN ONLY DESCRIBE AS "FRAME
0.06%:  SELF REASONS
0.06%:  A CERTAIN HORSE AND A
0.06%:  A FEW MONTHS
0.06%:  FOR A HORSE COM
0.07%:  FOR A HORSE COMEDY
0.06%:  FOR SOME REASON D
0.06%:  ANY REASON I DEC
0.06%:  FOR MY OWN CHESS TO
0.06%:  A HORSE NAMED CLE
0.06%:  "SECRET
0.48%:  "SECRET REASONS
0.19%:  "SECRET HORSE
0.37%:  "SECRET HORSE REASONS
0.06%:  OTHER RE
0.06%:  HORSES ARE IN
0.14%:  HORSES ARE IN FACT
0.06%:  OTHER REASONS I CAN ONLY DESCRIBE AS "M
0.06%:  "HORSEY
0.49%:  "HORSEY REASONS
0.06%:  OTHER REASONS AND REASONS I
0.06%:  FOR CHESS REASONS MAY
0.06%:  AWHILE
0.06%:  REASONS I CAN ONLY DESCRIBE AS "MA
0.06%:  REASONS I AM
0.07%:  REASONS I AM NOT FREE
0.07%:  REASONS I AM NOT READY
0.06%:  MASTER
0.06%:  "STABLE FRIENDS
0.06%:  CHESS ANAL
0.06%:  SCENES OF A CERTAIN
0.06%:  NEW CHESS FRIEND
0.06%:  STEADY HORSE REASONS
0.06%:  STABLE REASONS YEAH
0.06%:  THE NAME
0.08%:  THE NAME OF SCIENCE
0.06%:  THE NAME OF A
0.06%:  WHAT I CAN ONLY DESCRIBE AS A REF
0.06%:  ONE LAST HORSE RIDE
0.06%:  REAL CH
0.49%:  REAL CHESS REASONS
0.06%:  OTHER REASONS AND ALSO MAYBE A
0.06%:  A HORSE AND A SECRET
0.06%:  CONTROL
0.34%:  CONTROL REASONS
0.06%:  A HORSE COMEDY
0.06%:  REASONS I CAN ONLY DESCRIBE AS "ART
0.06%:  REASONS I CANNOT SHA
0.06%:  STABLE REASONS MY
0.28%:  STABLE REASONS MY FRIENDS
0.06%:  A HORSE NAMED FRE
0.06%:  A WORD WITH SOME
0.06%:  ANOTHER R
0.06%:  SOME RIDE
0.06%:  "SOME HORSE"
0.06%:  A FEW RID
0.06%:  WHAT I CAN ONLY DES
0.06%:  WHAT I CAN ONLY DESCRIBE AS "A FOR
0.06%:  FOR "REASON
0.06%:  REASONS OF THE
0.06%:  MY FRIEND "
0.06%:  MY FRIEND "HOR
0.06%:  A HORSE AND FOR SOME
0.12%:  A HORSE AND FOR SOME REASONS
0.06%:  FOR A WONDER
0.06%: HORSE FRIEND
0.45%: HORSE FRIEND REASONS
0.06%: OTHER
0.06%:  A "SECRET HORSE
0.06%:  MORE THAN ONE REASONS
0.06%:  RANDOM SCIENCE
0.06%:  ART SCHOOL
0.06%:  TWO SECON
0.06%:  FOR MY NEW BEST HORSE
0.06%:  FOR SHINY REASON
0.06%:  CHASS
0.06%:  THIS ONE
0.06%: A FRIEND
0.06%:  FOR HORSE AND MAN
0.07%:  FOR HORSE AND MAN REASONS
0.06%:  A HORSE FRIEND TO
0.06%:  REASONS I CANNOT HERE DESCR
0.06%:  ONLINE HORSE
0.06%:  FOR MONEY
0.06%:  HORSE FAMILY
0.06%:  T
0.06%:  REASONS WE
0.06%:  FOR MY HORSE REASONS
0.06%:  HORSES AND FOR
0.06%:  A SER
0.06%:  A SECRET CHEES
0.06%:  OTHER REASONS AND ALSO I CAN
0.06%:  FOR AN AWESOME SECRET REASONS
0.06%:  A HORSE NAMED ROBIN
0.06%:  WHAT I CAN ONLY DESCRIBE AS REASONS FAR
0.06%:  A HORSE NAMED FR
0.06%:  AL
0.06%:  A S
0.06%:  A HORSE OF MY
0.06%:  FOR OTHER REASONS BES
0.06%:  OTHER REASONS IN MY
0.06%:  FOR A HORSE NAMED "SALT
0.06%:  FOR CHESS RELATED REASONS I MEAN
0.06%:  FOR HORSE REASONS MAN
0.06%:  FOR LESSON
0.06%:  SOME REASON THE IDEA OF AN
0.06%:  CHEESE SAND
0.06%:  A SECRET REASON MAY
0.06%:  HORSE FEEL
0.06%:  INDOORS CH
0.06%:  I DONT
0.06%:  SOME SEC
0.06%:  HORSE N
0.06%:  ANOTHER RE
0.06%:  MY HORSE AND I ARE ALSO
0.06%:  FOR REASONS I CAN ONLY DESCRIBE AS "MOT
0.06%:  "CLASS
0.06%:  "A FRIEND
0.06%:  HORSES REASONS I
0.07%:  HORSES REASONS I CANNOT
0.06%:  THE AWESOME
0.06%:  FOR CHESS RELATED REASONS NOW
0.06%:  WHAT I CAN ONLY DESCRIBE "
0.06%:  REASONS I CAN ONLY DESCRIBE AS "WHAT
0.06%:  CHESS RELATED RE
0.06%:  FOR A HORSE NAMED NE
0.06%:  FOR "HOR
1.50%:  FOR "HORSE REASONS
0.06%:  HORSE COMBO
0.06%:  A HORSE NAMED A
0.06%:  FOR A HORSE IDEA
0.06%:  REASONS I CAN ONLY DESCRIBE AS "HAR
0.06%:  HORSE MASTER
0.06%:  AN ANIME
0.06%:  MORE REASONS THAN ONE I
0.06%:  MORE REASONS THAN I ALREADY
0.06%:  ALSO
0.06%:  CHESS REASONS I ALREADY
0.06%: REASONS REASONS
0.06%:  SOMEONE IS
0.06%:  HORSE CONF
0.06%:  A HORSE NAMED N
0.06%:  CHEET
0.06%:  SOME STABLE REASONS I DON
0.06%:  WHO
0.06%:  A CHEES
0.06%:  REASONS I CAN ONLY DESCRIBE AS TEM
0.06%:  SOME HORSEY REASONS OF
0.06%:  FOR REASONS I CANNOT HERE
0.06%:  REASONS I CAN ONLY DESCRIBE AS "HE
0.06%:  FOR SOME NON
0.06%:  SOME OTHER RID
0.06%:  WHAT REASON I
0.06%:  A HORSE MANNER
